SYNT,Syntel,NASDAQ
38.26,38.71,38.83,38.02
38.70,38.05,38.70,37.85
37.90,37.57,38.24,37.45
37.66,37.49,37.76,36.90
37.28,37.38,37.59,36.93
37.42,36.89,37.43,36.79
36.75,37.01,37.22,36.37
37.01,37.17,37.28,36.65
37.19,36.79,37.24,36.66
36.90,35.07,36.90,34.94
35.01,35.48,35.51,34.81
35.10,34.82,35.15,34.21
34.77,34.10,35.02,34.03
34.10,33.55,34.15,33.30
33.88,33.50,34.03,33.26
33.29,33.08,33.72,32.77
32.80,33.89,33.99,32.75
33.85,33.17,33.85,33.08
33.22,33.62,33.78,33.20
33.62,33.74,34.00,33.12
33.59,33.72,33.80,32.69
33.52,34.05,34.06,33.38
33.75,31.95,33.78,31.95
31.69,32.07,32.19,30.79
32.15,31.86,32.15,31.62
32.30,32.46,32.61,32.01
32.46,32.55,32.89,31.82
32.41,32.25,32.59,31.57
31.87,32.13,32.48,31.79
32.32,33.19,33.31,31.73
33.44,33.57,33.66,33.30
33.59,33.94,34.05,33.51
33.93,33.95,33.99,33.49
33.98,33.38,34.23,33.32
33.17,33.32,33.40,32.89
33.52,33.82,34.03,33.48
33.31,33.88,33.99,33.31
34.00,33.90,34.07,33.69
34.05,34.96,34.96,33.94
34.99,35.19,35.27,34.48
35.34,35.54,36.02,35.28
35.48,35.54,36.18,35.42
35.65,36.49,36.49,35.64
36.59,36.90,36.98,36.33
36.76,36.99,37.00,36.00
36.88,37.20,37.35,36.24
37.07,37.27,37.38,36.85
37.55,37.31,37.55,36.99
37.09,37.20,37.29,36.85
37.41,37.55,37.55,37.20
37.72,38.36,38.67,37.69
38.48,38.70,38.75,37.96
38.90,38.04,38.90,37.84
37.93,38.59,39.12,37.91
38.70,38.79,38.85,37.99
38.61,38.08,38.68,37.87
38.21,38.70,39.24,38.05
38.97,38.73,39.31,38.58
38.69,38.85,39.00,38.16
38.78,39.26,39.26,38.54
39.03,38.46,39.23,38.36
38.61,38.44,38.88,37.92
38.45,40.31,40.31,38.45
40.23,40.18,40.34,39.80
40.02,39.39,40.02,39.13
39.15,39.42,39.99,38.76
39.34,40.00,40.00,39.02
39.89,39.79,40.00,39.50
39.69,40.51,40.52,39.68
40.83,41.25,41.36,40.59
41.29,41.85,41.96,40.89
41.87,41.04,41.87,40.73
40.97,40.69,40.97,39.96
41.01,41.40,41.48,40.70
41.32,41.03,41.50,40.93
40.20,38.98,40.25,38.61
38.95,37.85,39.09,37.32
38.00,37.38,38.02,37.32
37.27,36.88,37.94,36.60
37.00,36.77,37.34,36.47
37.00,37.00,37.76,36.90
36.99,36.12,37.06,36.12
36.38,36.92,36.92,36.38
36.40,36.15,36.40,35.42
35.77,35.99,36.25,35.77
35.69,34.76,36.17,33.18
34.58,33.98,34.75,33.26
35.84,35.22,35.91,34.80
35.00,34.94,35.29,34.75
34.95,35.44,35.46,34.72
35.24,35.09,35.45,34.94
34.72,34.53,34.72,34.00
34.63,34.49,34.71,33.62
34.98,34.27,35.03,34.04
34.07,34.56,35.07,33.97
33.91,33.25,34.25,33.24
32.81,33.19,33.48,32.19
33.07,32.58,33.18,32.53
32.00,32.51,32.60,31.49
32.64,32.54,33.66,32.34
33.31,33.45,33.45,32.94
33.61,33.44,34.04,33.20
33.08,32.32,33.47,32.31
32.44,33.89,33.93,32.02
33.75,34.75,35.17,33.75
34.06,33.40,34.12,33.19
33.53,32.99,33.77,32.75
33.08,33.14,33.28,32.10
33.52,33.10,33.72,32.96
33.96,34.19,34.34,33.68
33.97,35.08,35.08,33.97
35.50,34.75,35.50,34.25
35.09,35.73,35.84,34.76
35.35,36.45,36.57,35.23
36.58,36.25,36.70,36.04
36.49,35.18,36.49,35.01
35.46,34.75,35.60,34.60
34.84,34.16,35.20,34.14
34.07,33.70,34.09,33.47
33.41,33.00,33.65,33.00
33.05,33.14,33.44,32.32
32.95,34.23,34.47,32.86
33.60,33.95,34.64,33.60
34.01,33.95,34.63,33.60
33.79,33.97,34.16,33.21
34.30,34.08,34.30,33.81
34.57,34.57,34.82,34.10
34.78,35.08,35.13,34.29
35.34,35.52,35.64,35.07
35.37,35.68,35.76,35.25
35.48,36.48,36.49,35.45
36.96,37.35,37.47,36.65
37.28,37.22,37.68,35.60
37.27,36.88,37.47,36.50
36.52,35.73,36.59,35.64
35.94,36.91,36.96,35.94
36.33,36.98,37.02,36.03
37.38,37.16,37.94,36.84
40.00,41.64,42.70,40.00
41.67,42.71,42.73,41.07
42.86,43.25,43.46,42.56
43.00,42.29,43.00,42.18
42.18,41.71,42.64,41.40
41.83,41.43,42.06,41.02
40.90,41.26,41.60,40.87
41.79,41.88,42.22,41.31
42.00,42.51,42.80,42.00
42.50,42.57,42.61,42.08
42.14,41.54,42.67,41.41
41.00,41.21,41.28,40.62
41.47,42.18,42.28,41.16
41.89,41.44,41.98,41.00
40.65,40.59,40.79,40.23
40.13,39.92,40.55,39.85
39.66,39.26,39.76,39.25
39.14,39.50,39.72,39.06
39.94,40.62,41.14,39.86
40.66,40.68,41.13,40.21
40.44,39.88,40.77,39.51
39.60,39.95,40.03,39.12
40.16,38.84,40.16,38.83
38.43,38.45,39.09,38.25
38.13,38.64,38.70,37.86
38.73,38.75,39.32,38.41
39.17,39.40,39.58,38.59
39.18,38.53,39.49,38.51
38.39,38.49,38.73,37.92
39.06,39.75,39.84,38.84
