MKC.V,McCormick & Company,NASDAQ
35.57,35.57,35.57,35.57
36.15,36.08,36.16,36.00
36.30,36.30,36.30,36.30
36.57,36.57,36.57,36.57
36.27,36.60,36.60,36.27
36.77,36.94,37.07,36.77
37.09,37.27,37.27,36.91
37.37,37.70,37.87,37.37
37.67,37.60,37.68,37.60
38.00,37.48,38.00,37.48
37.70,37.65,37.70,37.56
37.57,37.19,37.57,37.19
37.38,37.02,37.52,37.02
37.08,36.85,37.10,36.85
36.85,37.08,37.10,36.69
37.00,37.00,37.00,36.86
37.25,37.35,37.50,37.25
37.32,36.58,37.32,36.50
36.63,36.33,36.63,36.33
36.41,36.50,36.50,36.24
36.59,36.75,36.75,36.59
36.84,36.45,36.87,36.45
36.30,36.00,36.30,36.00
35.72,35.72,35.72,35.72
34.75,34.75,34.75,34.75
35.45,35.80,35.81,35.45
35.80,35.80,35.80,35.80
35.50,35.88,35.88,35.50
36.11,36.11,36.11,36.11
36.33,36.44,36.44,36.33
36.64,37.13,37.19,36.62
36.90,37.36,37.44,36.90
37.48,37.71,37.71,37.48
37.54,37.46,37.56,37.45
37.15,37.26,37.26,37.01
36.29,36.29,36.29,36.29
36.90,37.00,37.00,36.90
36.89,37.08,37.08,36.89
37.23,37.23,37.24,37.19
37.30,37.68,37.75,37.30
37.80,37.85,37.85,37.80
37.70,37.72,37.72,37.69
36.96,36.96,36.96,36.96
36.96,36.96,36.96,36.96
37.70,37.79,37.79,37.70
37.89,38.00,38.07,37.89
37.10,37.10,37.10,37.10
38.29,38.22,38.29,38.22
38.50,38.53,38.53,38.50
38.60,38.53,38.60,38.53
38.75,38.75,38.75,38.75
38.75,38.87,39.00,38.74
39.00,39.10,39.10,39.00
39.25,39.26,39.26,39.25
39.50,39.50,39.50,39.50
39.58,39.23,39.58,39.18
39.01,38.14,39.27,38.06
37.97,37.56,37.97,37.56
37.79,37.82,37.82,37.79
38.12,38.12,38.12,38.12
37.90,38.39,38.39,37.90
38.44,38.49,38.49,38.44
