NFEC,NF Energy Saving Corporation - Common Stock,NASDAQ
4.14,4.50,4.70,4.10
4.60,4.61,4.85,4.55
4.84,4.77,4.84,4.65
4.78,4.70,4.78,4.60
4.70,4.58,4.71,4.55
4.65,4.70,4.70,4.51
4.70,4.50,4.70,4.25
4.52,4.39,4.52,4.25
4.49,4.45,4.54,4.30
4.45,4.50,4.68,4.27
4.60,4.70,4.70,4.50
4.70,4.50,4.70,4.48
4.40,4.25,4.45,4.25
4.25,4.44,4.49,4.10
4.44,4.44,4.44,4.16
4.34,4.39,4.39,4.20
4.20,4.25,4.31,4.15
4.16,4.00,4.16,4.00
4.00,3.68,4.10,3.68
3.60,4.20,4.20,3.50
4.10,3.95,4.10,3.90
3.92,3.80,4.10,3.76
3.80,3.80,3.80,3.70
3.66,3.65,3.85,3.11
3.55,3.60,3.60,3.50
3.56,3.73,3.73,3.56
3.60,3.55,3.73,3.40
3.55,3.64,3.65,3.45
3.60,3.50,3.60,3.50
3.48,3.40,3.48,3.40
3.40,3.70,3.70,3.40
3.65,3.50,3.65,3.50
3.50,3.50,3.60,3.50
3.50,3.72,3.79,3.50
3.55,3.60,3.86,3.55
3.55,3.55,3.60,3.55
3.55,3.45,3.60,3.25
3.40,3.20,3.40,3.10
3.25,3.23,3.25,3.03
3.25,3.25,3.25,3.11
3.20,3.30,3.30,3.15
3.30,3.65,3.74,3.30
3.55,3.80,3.84,3.50
3.71,3.95,3.99,3.71
4.00,4.05,4.20,3.90
4.08,4.00,4.08,3.95
4.00,4.00,4.03,3.95
4.00,4.00,4.00,3.93
4.00,4.00,4.03,4.00
4.00,4.03,4.04,3.95
4.03,4.03,4.05,4.00
4.00,4.04,4.04,3.95
4.02,4.02,4.03,3.45
3.95,4.00,4.00,3.60
3.90,4.00,4.00,3.72
3.80,4.00,4.00,3.70
3.83,4.00,4.00,3.76
3.95,3.90,3.98,3.60
3.70,3.77,3.77,3.65
3.90,3.96,3.96,3.66
4.00,4.00,4.00,3.90
3.90,3.99,3.99,3.90
3.85,4.00,4.00,3.85
3.99,3.91,4.00,3.91
3.98,3.97,3.98,3.91
3.97,3.95,3.98,3.95
3.95,3.91,3.97,3.91
3.91,3.90,3.97,3.90
3.90,3.80,3.92,3.80
3.78,3.85,3.85,3.75
3.75,3.75,3.89,3.71
3.74,3.70,3.74,3.66
3.80,3.70,3.80,3.67
3.70,3.83,3.83,3.70
3.83,3.80,3.85,3.75
3.80,3.84,3.85,3.80
3.70,3.80,3.89,3.70
3.85,3.75,3.87,3.71
3.75,3.83,3.85,3.75
3.75,3.83,3.83,3.75
3.71,3.58,3.75,3.55
3.57,3.60,3.60,3.40
3.62,3.70,3.78,3.60
3.70,3.70,3.75,3.70
3.60,3.60,3.65,3.25
3.30,3.30,3.30,3.00
3.00,3.00,3.09,2.90
3.15,3.20,3.20,3.10
3.30,3.22,3.40,2.65
3.20,3.00,3.20,3.00
3.05,3.05,3.07,3.05
3.06,3.06,3.20,3.06
3.10,2.92,3.10,2.90
2.60,2.95,2.99,2.44
2.95,2.92,2.95,2.51
2.88,2.95,2.95,2.81
2.81,3.00,3.00,2.81
3.00,2.90,3.00,2.90
2.99,3.00,3.00,2.90
2.90,2.92,2.92,2.90
2.92,2.95,3.00,2.90
2.90,2.90,3.00,2.90
2.90,2.89,2.90,2.80
2.81,2.89,2.89,2.70
