LOAN,Manhattan Bridge Capital,NASDAQ
1.00,1.05,1.06,1.00
1.06,1.05,1.06,1.05
1.05,1.05,1.05,1.05
1.03,1.01,1.03,1.01
1.02,1.00,1.02,1.00
1.00,1.00,1.00,1.00
1.02,1.02,1.02,1.02
1.03,1.02,1.03,1.02
1.02,1.02,1.02,1.02
1.08,1.01,1.10,1.01
1.01,1.01,1.01,1.01
1.00,1.00,1.00,1.00
1.03,1.03,1.03,1.03
1.05,1.10,1.10,1.05
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.09,1.08,1.10,1.08
1.09,1.09,1.10,1.09
1.09,1.09,1.09,1.09
1.15,1.14,1.15,1.09
1.10,1.10,1.10,1.10
1.10,1.12,1.15,1.09
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.17,1.17,1.17,1.17
1.16,1.18,1.18,1.16
1.19,1.18,1.19,1.18
1.27,1.36,1.36,1.24
1.43,1.42,1.44,1.37
1.42,1.48,1.48,1.35
1.56,1.50,1.56,1.48
1.53,1.45,1.53,1.45
1.40,1.38,1.40,1.30
1.26,1.38,1.45,1.26
1.44,1.42,1.45,1.40
1.39,1.35,1.39,1.30
1.36,1.38,1.44,1.36
1.42,1.32,1.42,1.32
1.30,1.38,1.38,1.30
1.38,1.40,1.44,1.36
1.44,1.40,1.44,1.39
1.43,1.42,1.43,1.38
1.43,1.42,1.43,1.42
1.41,1.41,1.41,1.41
1.41,1.41,1.41,1.41
1.44,1.38,1.44,1.38
1.42,1.42,1.42,1.42
1.44,1.30,1.44,1.20
1.26,1.32,1.33,1.26
1.40,1.40,1.40,1.40
1.37,1.39,1.39,1.37
1.39,1.40,1.40,1.39
1.40,1.40,1.40,1.35
1.39,1.43,1.43,1.35
1.41,1.35,1.41,1.35
1.38,1.35,1.38,1.35
1.34,1.30,1.34,1.29
1.38,1.35,1.38,1.35
1.35,1.35,1.35,1.35
1.34,1.34,1.34,1.25
1.34,1.38,1.39,1.34
1.36,1.36,1.36,1.33
1.34,1.32,1.34,1.30
1.31,1.31,1.31,1.31
1.26,1.29,1.29,1.24
1.29,1.29,1.29,1.29
1.25,1.29,1.29,1.25
1.29,1.29,1.29,1.24
1.29,1.29,1.29,1.29
1.29,1.28,1.29,1.24
1.29,1.29,1.29,1.29
1.29,1.25,1.29,1.24
1.25,1.24,1.25,1.24
1.24,1.24,1.24,1.22
1.24,1.25,1.25,1.24
1.25,1.34,1.39,1.25
1.34,1.33,1.37,1.26
1.30,1.30,1.34,1.25
1.27,1.27,1.28,1.27
1.27,1.25,1.33,1.21
1.34,1.34,1.34,1.34
1.34,1.22,1.34,1.20
1.25,1.25,1.29,1.20
1.26,1.23,1.26,1.10
1.13,1.26,1.26,1.13
1.34,1.27,1.34,1.15
1.25,1.31,1.32,1.25
1.32,1.30,1.32,1.26
1.33,1.34,1.34,1.31
1.39,1.30,1.39,1.30
1.35,1.34,1.37,1.30
1.36,1.35,1.36,1.25
1.33,1.29,1.33,1.28
1.28,1.25,1.28,1.25
1.29,1.32,1.32,1.20
1.34,1.28,1.34,1.23
1.25,1.25,1.25,1.24
1.25,1.31,1.31,1.25
1.34,1.34,1.34,1.34
1.24,1.23,1.33,1.23
1.23,1.23,1.25,1.23
1.23,1.34,1.34,1.23
1.33,1.33,1.33,1.33
1.34,1.31,1.34,1.31
1.23,1.32,1.32,1.23
1.34,1.31,1.34,1.20
1.25,1.35,1.37,1.25
1.24,1.32,1.35,1.24
1.24,1.34,1.39,1.24
1.38,1.34,1.38,1.34
1.35,1.35,1.35,1.30
1.34,1.35,1.35,1.32
1.34,1.37,1.37,1.33
1.33,1.36,1.38,1.33
1.34,1.34,1.34,1.34
1.37,1.36,1.37,1.30
1.38,1.37,1.38,1.25
1.38,1.37,1.38,1.25
1.36,1.37,1.37,1.25
1.36,1.36,1.37,1.20
1.37,1.37,1.37,1.37
1.37,1.37,1.37,1.35
1.37,1.37,1.37,1.37
1.30,1.27,1.30,1.27
1.26,1.28,1.37,1.26
1.36,1.37,1.37,1.27
1.36,1.36,1.36,1.36
1.36,1.38,1.38,1.36
1.45,1.46,1.59,1.45
1.47,1.60,1.60,1.47
1.62,1.60,1.70,1.49
1.65,1.55,1.65,1.50
1.55,1.50,1.55,1.50
1.50,1.44,1.52,1.38
1.41,1.40,1.41,1.40
1.48,1.48,1.49,1.47
1.48,1.55,1.55,1.48
1.50,1.45,1.52,1.45
1.53,1.55,1.55,1.45
1.55,1.55,1.60,1.55
1.55,1.45,1.59,1.45
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.54,1.50
1.50,1.50,1.50,1.50
1.55,1.52,1.55,1.50
1.55,1.53,1.55,1.53
1.55,1.46,1.55,1.46
1.49,1.49,1.49,1.49
1.51,1.55,1.55,1.51
1.50,1.46,1.50,1.46
1.46,1.46,1.50,1.45
1.50,1.46,1.50,1.42
1.45,1.45,1.45,1.45
1.50,1.50,1.50,1.41
1.45,1.50,1.50,1.45
1.50,1.45,1.50,1.43
1.45,1.42,1.45,1.40
1.32,1.45,1.50,1.32
1.45,1.35,1.46,1.35
1.39,1.39,1.39,1.39
1.36,1.33,1.36,1.31
1.36,1.45,1.45,1.36
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.36,1.35,1.36,1.35
1.36,1.36,1.36,1.36
1.36,1.36,1.46,1.36
1.45,1.40,1.45,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.43,1.39,1.43,1.39
1.39,1.45,1.45,1.39
1.45,1.48,1.55,1.45
1.48,1.48,1.48,1.48
1.41,1.41,1.41,1.41
1.41,1.41,1.41,1.41
1.41,1.39,1.41,1.35
1.36,1.44,1.44,1.36
1.44,1.42,1.45,1.40
1.41,1.43,1.45,1.41
1.45,1.43,1.45,1.43
1.44,1.43,1.44,1.43
1.40,1.40,1.40,1.40
1.39,1.41,1.41,1.39
1.42,1.41,1.42,1.41
1.41,1.36,1.41,1.36
1.36,1.39,1.40,1.36
1.39,1.40,1.40,1.39
1.35,1.35,1.35,1.35
1.40,1.40,1.40,1.40
1.35,1.40,1.40,1.35
1.40,1.35,1.40,1.35
1.40,1.40,1.40,1.40
1.40,1.32,1.40,1.32
1.40,1.31,1.40,1.31
1.36,1.31,1.36,1.30
1.40,1.40,1.40,1.40
1.50,1.35,1.50,1.32
1.35,1.40,1.47,1.35
1.43,1.43,1.43,1.43
1.37,1.38,1.38,1.30
1.38,1.38,1.38,1.38
1.35,1.30,1.35,1.30
1.30,1.30,1.30,1.30
1.35,1.39,1.56,1.25
1.50,1.50,1.50,1.50
1.38,1.38,1.38,1.38
1.41,1.43,1.49,1.40
1.36,1.48,1.48,1.36
1.49,1.45,1.49,1.36
1.38,1.44,1.44,1.38
1.44,1.44,1.44,1.44
1.45,1.45,1.45,1.45
1.45,1.39,1.45,1.39
1.39,1.44,1.44,1.37
1.45,1.45,1.45,1.43
1.43,1.45,1.45,1.43
1.43,1.39,1.43,1.39
1.39,1.40,1.40,1.39
1.34,1.34,1.34,1.34
1.37,1.37,1.37,1.37
1.36,1.36,1.36,1.36
1.34,1.34,1.34,1.34
1.48,1.36,1.48,1.36
1.38,1.31,1.38,1.31
1.30,1.26,1.30,1.23
1.28,1.28,1.28,1.28
1.29,1.28,1.29,1.28
1.34,1.35,1.35,1.34
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.34,1.35,1.34
1.35,1.31,1.35,1.31
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.33,1.33,1.33,1.33
1.33,1.34,1.34,1.33
1.32,1.32,1.34,1.30
1.32,1.28,1.32,1.28
1.34,1.33,1.35,1.33
1.28,1.34,1.35,1.27
1.33,1.27,1.33,1.27
1.27,1.30,1.30,1.27
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.35,1.27,1.35,1.26
1.26,1.28,1.28,1.26
1.30,1.27,1.30,1.27
1.30,1.27,1.32,1.26
1.29,1.29,1.29,1.29
1.34,1.33,1.39,1.33
1.34,1.34,1.34,1.32
1.34,1.34,1.34,1.30
1.34,1.34,1.34,1.34
1.34,1.31,1.34,1.31
1.30,1.43,1.50,1.30
1.40,1.40,1.40,1.35
1.40,1.40,1.40,1.40
1.45,1.45,1.46,1.45
1.50,1.50,1.50,1.32
1.34,1.34,1.34,1.34
1.38,1.46,1.50,1.38
1.45,1.39,1.45,1.39
1.38,1.37,1.48,1.37
1.42,1.49,1.49,1.42
1.46,1.38,1.46,1.38
1.49,1.43,1.49,1.42
1.38,1.38,1.40,1.38
1.47,1.43,1.47,1.43
1.38,1.45,1.45,1.37
1.38,1.43,1.44,1.38
1.45,1.43,1.49,1.43
1.44,1.48,1.49,1.43
1.49,1.53,1.53,1.48
1.53,1.47,1.53,1.45
1.45,1.43,1.45,1.35
1.41,1.50,1.53,1.38
1.50,1.54,1.55,1.45
1.52,1.50,1.53,1.50
1.50,1.50,1.50,1.50
1.48,1.50,1.50,1.48
1.50,1.50,1.50,1.48
1.46,1.50,1.50,1.46
1.53,1.50,1.54,1.50
1.52,1.50,1.54,1.50
1.45,1.56,1.56,1.45
1.56,1.60,1.60,1.56
1.58,1.58,1.58,1.58
1.60,1.59,1.60,1.58
1.56,1.58,1.58,1.56
1.60,1.70,1.80,1.60
1.74,1.66,1.74,1.65
