MLM,Martin Marietta Materials,NASDAQ
90.06,91.67,91.79,90.06
91.28,90.43,91.83,90.08
93.43,92.68,93.43,92.09
92.68,91.85,92.68,90.72
91.74,90.33,92.51,89.87
90.68,88.93,90.95,88.66
88.33,88.63,89.03,88.13
89.14,88.70,89.23,87.39
88.61,88.32,88.81,88.01
88.45,86.45,88.45,86.22
86.33,88.16,88.16,86.16
87.25,87.34,87.50,85.91
87.51,84.66,87.71,83.76
84.64,82.07,85.39,81.96
82.88,81.95,83.31,81.85
81.65,81.40,82.61,80.63
81.22,80.79,81.22,79.16
80.93,79.78,81.10,78.13
80.12,79.18,81.35,78.95
79.66,80.96,80.96,79.35
81.18,82.10,82.45,80.95
81.77,80.97,82.58,80.73
80.03,78.50,80.03,78.43
78.32,78.62,78.85,76.26
78.49,79.61,80.09,77.39
76.98,75.95,77.93,74.66
75.94,77.41,77.98,74.00
77.08,78.05,78.11,76.05
77.37,78.25,78.26,76.48
78.60,79.57,79.66,78.15
79.88,79.67,80.16,79.17
79.76,80.67,80.81,79.43
80.33,81.51,81.77,80.17
81.62,81.99,82.46,80.86
81.56,81.49,82.13,80.66
81.76,81.87,82.10,80.99
80.66,80.96,81.18,79.80
81.29,79.22,81.52,78.59
79.44,78.17,79.44,77.81
78.22,77.63,78.89,77.38
77.99,79.38,79.98,77.88
79.89,80.53,80.79,79.74
81.15,82.14,82.33,81.15
82.16,82.53,82.99,82.03
82.00,81.88,82.39,81.53
82.00,82.00,82.50,81.39
81.64,82.38,82.58,81.09
82.49,82.06,82.63,81.47
82.14,81.33,82.14,80.73
81.50,82.81,82.86,81.25
82.85,89.20,89.67,82.85
88.98,87.45,89.56,86.65
87.41,87.41,87.54,85.51
86.65,88.98,90.22,85.98
89.75,88.94,89.75,87.98
88.84,87.90,89.36,87.77
88.25,84.27,89.17,84.10
84.35,83.37,84.43,82.50
83.82,84.90,84.91,83.52
85.15,84.27,85.82,83.98
84.03,83.55,84.40,83.14
83.90,86.50,86.86,83.90
86.59,86.92,87.79,86.05
86.35,85.62,86.35,85.37
85.32,85.59,86.05,84.90
85.58,87.25,87.38,84.61
85.35,87.51,88.32,83.53
87.61,87.08,88.02,86.68
87.10,86.50,87.66,86.36
86.75,87.29,87.39,86.33
87.27,88.90,89.34,86.34
88.64,90.83,91.43,87.19
90.24,89.79,90.48,88.11
90.33,92.28,92.53,89.61
92.59,93.41,94.27,92.21
92.21,95.94,96.33,91.84
94.95,96.56,97.48,94.91
96.71,97.03,99.24,96.28
96.91,93.73,97.68,93.34
93.78,93.43,94.81,93.06
93.85,96.38,96.47,93.85
96.64,95.88,97.88,95.09
92.71,99.81,100.33,92.71
98.16,92.41,98.16,91.28
93.15,89.74,93.15,87.98
