BRS,Bristow Group Inc. Common Stock,NASDAQ
39.24,38.93,39.48,38.63
39.06,39.65,40.65,38.53
39.72,39.95,41.06,39.40
39.96,39.93,40.08,39.18
39.79,40.01,40.26,39.79
40.16,39.67,40.25,39.46
39.24,39.59,39.83,39.23
39.87,39.74,40.07,38.90
39.48,39.59,40.15,38.88
39.62,39.03,39.75,38.40
39.03,38.88,39.20,38.43
38.40,37.74,38.40,37.26
37.90,37.08,38.17,37.06
36.99,35.93,36.99,35.70
36.37,37.01,37.30,36.08
36.87,36.65,37.24,36.30
36.41,37.10,37.17,36.00
37.21,36.52,37.41,35.61
36.62,35.70,37.13,35.63
35.91,37.08,37.08,35.73
37.22,37.25,37.36,36.52
37.19,37.66,37.78,36.60
36.83,33.25,36.83,32.81
33.22,33.73,33.81,32.56
33.59,33.76,34.06,33.16
34.13,34.05,34.72,33.48
33.21,33.93,34.00,33.00
33.72,34.14,34.53,33.38
33.67,34.20,34.23,33.14
34.62,34.53,34.73,33.75
34.88,34.82,34.99,33.90
34.87,35.38,35.50,34.63
35.38,35.91,36.00,35.30
35.95,35.55,36.23,35.43
35.55,34.80,35.55,34.63
35.00,35.13,35.60,34.82
34.37,35.71,35.74,34.37
35.81,36.21,36.29,35.38
36.73,37.46,37.79,36.38
37.77,38.41,38.76,37.55
38.60,38.48,39.00,38.40
38.69,39.14,39.14,38.26
39.34,39.19,39.63,38.70
39.30,39.48,39.94,39.29
39.29,39.35,39.54,38.95
39.47,39.50,39.74,39.04
39.29,39.59,39.73,39.05
39.88,39.80,40.04,39.27
39.61,40.22,40.28,39.61
40.25,39.95,40.37,39.78
39.98,39.65,40.00,39.44
39.73,39.16,39.83,38.88
39.40,39.43,39.60,38.15
39.01,39.25,39.80,38.70
39.37,39.31,39.37,38.79
38.24,38.37,39.21,38.24
38.55,37.18,38.89,37.09
37.43,37.02,37.68,36.67
37.20,37.83,38.05,37.20
37.77,38.75,39.04,37.77
38.70,37.73,39.24,37.70
38.14,38.08,38.48,37.68
38.34,38.60,38.87,38.27
38.60,38.49,38.72,38.03
38.44,38.20,38.79,37.71
37.95,37.99,38.03,37.18
37.94,37.95,38.04,37.50
38.03,37.65,38.04,37.62
37.51,37.61,37.64,36.87
37.88,38.00,38.14,37.59
38.00,38.02,38.34,37.82
38.00,37.00,38.01,36.36
36.69,37.15,37.21,36.30
37.50,37.82,38.07,37.37
37.81,37.68,37.98,36.87
37.18,38.25,38.47,37.09
38.39,38.50,38.62,38.09
38.63,38.38,38.70,38.33
38.03,37.04,38.34,36.95
37.40,38.33,38.44,37.01
38.69,38.96,39.15,38.33
39.01,38.71,39.37,37.99
38.83,40.15,40.59,38.54
39.45,38.78,39.45,38.30
38.29,37.43,38.32,37.38
37.26,35.25,38.01,33.41
35.05,33.16,35.53,33.02
34.54,35.70,35.78,34.54
35.25,36.00,36.39,35.11
36.21,37.59,37.73,36.03
37.58,37.77,38.48,37.27
37.36,36.47,37.36,36.04
36.67,35.46,36.96,34.69
36.09,35.79,36.52,35.71
35.77,34.65,36.10,34.20
33.65,31.64,35.28,31.64
