UPRO,ProShares UltraPro S&P 500,NASDAQ
154.59,158.25,158.61,154.51
158.17,159.61,159.87,156.55
159.13,160.07,161.05,158.78
159.11,162.02,162.50,157.76
160.62,163.60,163.76,159.73
165.79,164.18,165.98,162.19
161.04,159.72,162.04,157.82
160.90,163.79,165.05,158.47
163.07,165.01,165.90,162.88
164.27,159.54,164.52,157.62
159.24,165.52,166.51,159.21
162.07,160.51,162.15,156.49
160.42,151.11,161.94,150.55
149.21,141.31,150.79,140.66
144.96,143.05,145.59,141.88
141.48,141.25,145.84,140.31
140.91,143.36,144.20,137.55
144.80,138.34,144.90,135.86
140.17,133.81,143.00,133.17
136.77,140.07,140.13,136.43
140.95,145.26,146.07,139.46
143.30,143.10,145.39,141.79
139.70,129.97,139.87,129.69
130.21,130.72,131.38,122.95
130.84,127.91,133.00,127.40
132.22,132.53,135.86,129.06
132.00,131.80,133.98,128.39
131.19,135.75,136.30,128.96
131.54,135.38,135.61,129.78
138.66,141.85,142.36,136.91
143.97,143.83,144.51,141.98
143.22,146.55,147.33,143.08
145.40,147.51,149.05,144.26
149.00,147.27,149.07,146.18
146.16,141.97,147.57,140.94
143.22,145.96,146.56,142.24
139.64,145.47,145.60,138.48
145.70,145.77,147.06,143.16
147.39,150.16,150.64,147.35
152.12,151.20,153.59,150.65
152.71,151.80,154.50,150.75
152.45,153.14,153.84,150.73
156.33,159.80,160.13,155.08
159.89,159.78,160.94,159.11
158.17,160.58,162.87,158.17
160.85,162.76,164.01,160.50
161.67,164.86,164.91,160.12
166.97,164.74,166.98,163.60
164.01,165.01,165.39,161.20
166.33,168.95,169.39,165.06
170.37,171.85,173.58,170.25
171.87,171.71,172.71,169.66
168.92,168.92,173.41,167.06
166.20,171.67,172.66,165.88
172.54,175.45,175.77,170.86
173.30,172.86,174.92,171.62
176.34,171.84,178.36,171.26
172.88,171.93,175.38,169.61
174.28,174.88,175.79,173.31
175.45,175.19,177.06,173.00
173.07,173.26,175.68,171.63
177.11,176.94,178.76,173.86
179.03,181.11,181.58,177.50
179.80,182.43,183.48,179.22
181.49,179.54,182.70,176.92
177.19,181.11,182.11,175.93
182.42,184.69,185.02,181.44
185.53,185.73,187.04,184.83
185.00,186.31,187.00,182.28
188.21,192.28,192.42,187.25
191.35,193.02,194.05,191.32
190.96,183.80,191.89,180.85
182.00,185.52,186.18,179.51
189.27,190.57,191.10,187.46
