GHC,Graham Holdings Company Common Stock,NASDAQ
441.40,442.06,443.60,437.06
442.02,443.34,443.34,439.25
448.85,443.95,455.90,442.14
442.31,454.04,454.40,440.66
450.14,454.04,454.04,450.14
454.04,455.05,456.89,453.51
454.85,449.31,455.14,447.85
452.35,452.34,454.36,449.40
452.83,455.22,459.00,452.71
456.40,446.86,456.97,442.33
442.00,448.60,449.99,442.00
449.60,442.81,449.60,437.88
441.55,446.82,449.90,441.55
449.00,446.82,451.44,444.71
449.00,446.21,449.56,444.50
444.46,441.19,447.23,441.19
442.51,446.60,446.67,438.22
445.88,441.06,445.88,440.42
441.06,434.62,442.48,434.60
432.02,440.20,441.08,432.02
442.04,438.95,442.04,435.00
438.95,438.66,440.85,437.13
438.86,425.76,438.86,425.02
425.76,421.50,425.76,414.54
419.77,416.46,420.28,416.01
419.00,415.36,419.50,414.75
413.19,412.37,414.29,409.64
412.65,408.14,414.15,407.89
407.00,408.56,411.08,403.30
411.05,414.77,417.51,410.52
416.43,415.01,417.53,413.80
418.20,416.80,418.20,414.50
415.50,415.32,417.54,415.27
418.00,415.33,418.74,414.66
416.00,412.51,417.37,412.27
416.10,420.30,429.99,412.99
416.50,419.26,423.12,412.48
418.00,420.31,422.71,414.37
424.00,431.00,431.62,422.49
434.00,433.02,434.72,430.73
434.00,436.52,437.89,432.82
438.00,437.18,439.99,436.29
439.44,448.43,449.59,438.05
448.43,450.53,451.65,445.71
450.00,450.17,450.25,445.21
451.90,453.49,454.36,450.25
451.99,451.55,452.11,441.96
453.99,446.15,454.05,444.91
445.00,445.83,449.51,442.58
447.33,446.85,447.33,443.36
445.41,448.82,451.61,443.25
447.51,449.58,453.00,447.14
448.00,448.00,452.15,446.76
446.00,449.79,450.00,446.00
450.99,449.35,452.12,448.75
447.50,444.18,448.37,439.70
444.78,445.60,448.27,442.66
447.82,440.22,447.93,439.50
443.50,443.07,444.83,438.28
443.07,441.25,443.07,439.01
441.29,444.18,446.05,441.29
445.22,444.74,447.11,444.09
466.00,483.00,489.88,460.15
486.94,484.84,486.94,479.00
485.00,484.89,485.91,482.58
483.00,488.65,489.95,483.00
490.33,492.00,493.00,488.00
492.00,492.10,494.48,489.00
492.10,513.01,513.60,491.00
514.89,529.97,530.64,514.89
526.08,541.38,546.95,523.99
541.00,535.70,541.66,528.00
535.10,531.99,535.69,527.51
531.66,538.54,539.97,531.64
542.00,540.06,547.58,538.07
537.05,539.58,539.97,530.00
539.58,538.77,541.60,533.64
529.50,532.27,537.13,529.50
529.00,517.51,532.96,509.91
521.19,525.03,527.70,514.79
521.51,524.68,530.68,512.25
521.58,507.16,524.81,507.16
507.60,515.08,516.15,506.83
510.00,502.70,512.85,497.73
499.50,500.82,503.00,493.98
496.99,488.50,500.69,468.61
487.98,476.52,489.95,468.02
503.00,499.49,506.95,492.05
492.10,498.13,506.50,490.08
502.31,514.68,521.40,499.00
514.68,511.37,517.55,511.37
510.27,501.86,510.27,497.67
502.50,513.24,514.16,491.95
518.00,501.72,520.12,499.98
501.72,495.59,503.12,491.57
487.74,477.65,490.79,475.94
494.99,483.67,494.99,469.00
479.04,473.81,484.12,472.61
459.71,469.37,470.00,457.13
469.64,478.03,485.93,469.64
480.57,470.00,485.40,461.00
468.22,465.73,477.74,462.93
464.00,451.71,467.92,450.66
456.02,464.42,465.45,452.57
468.00,464.43,471.01,458.36
457.07,449.63,461.49,449.05
450.07,442.70,453.59,442.27
442.70,438.54,445.00,436.49
442.00,439.46,451.51,437.62
440.06,449.64,456.56,440.06
443.20,451.22,451.22,441.66
451.44,444.30,451.61,441.96
445.51,457.82,459.61,443.99
450.21,458.19,462.85,450.00
458.58,457.27,458.58,452.34
461.25,457.90,461.58,454.07
459.64,456.09,464.64,454.68
457.00,444.43,457.48,443.84
446.09,438.45,446.09,435.76
436.65,435.40,443.04,431.22
438.48,432.55,438.48,428.11
433.33,426.96,433.33,426.14
422.50,412.92,423.50,410.42
413.63,410.48,416.71,409.00
411.83,413.17,416.25,404.76
411.25,408.25,416.56,406.59
415.75,406.65,415.75,403.18
409.16,409.46,409.89,395.74
410.06,424.00,424.16,410.06
425.20,429.35,430.61,421.91
430.09,426.88,430.90,422.52
427.00,433.29,434.83,426.99
431.35,437.38,439.66,427.92
435.91,441.43,445.04,432.89
436.05,425.90,437.19,423.94
426.55,436.12,448.88,426.55
434.89,428.82,434.89,418.11
430.70,415.37,432.03,411.86
415.33,412.49,415.96,406.80
419.71,425.41,432.24,416.10
427.25,431.72,433.34,421.91
432.99,430.77,432.99,424.87
430.77,423.92,430.77,422.83
427.00,422.25,430.65,415.80
420.00,420.49,424.22,415.50
444.00,433.89,444.00,425.38
430.17,428.18,433.68,424.26
429.96,416.58,431.40,415.00
421.85,408.61,421.85,397.27
399.94,377.56,400.99,363.50
377.92,384.85,386.37,376.06
383.80,380.98,385.13,378.08
376.46,363.25,377.06,360.62
363.00,348.83,364.03,348.83
347.95,343.48,351.71,337.85
304.00,315.65,321.14,295.56
324.59,327.63,336.58,319.74
335.05,338.11,349.99,327.37
337.94,345.61,348.40,333.46
344.99,347.68,349.43,339.29
350.24,368.78,375.74,350.00
358.25,369.60,378.01,355.11
366.54,374.71,380.07,366.54
373.06,374.74,380.00,369.92
378.07,384.82,388.55,370.52
384.37,370.49,388.29,370.49
374.00,360.23,377.72,360.23
366.14,376.24,377.92,363.32
376.99,386.14,387.90,376.75
390.50,388.91,393.93,383.71
384.00,374.47,385.76,373.51
374.48,373.68,380.50,370.79
377.41,375.13,382.71,375.00
376.32,379.03,380.21,374.69
382.00,375.88,382.00,367.99
375.68,371.98,375.68,368.07
368.00,363.01,369.33,359.00
362.50,357.16,362.71,355.32
359.00,367.25,367.89,354.51
367.51,375.12,377.49,367.51
375.48,365.58,376.95,363.57
364.50,360.22,366.73,358.00
357.80,375.75,381.00,355.46
380.00,380.00,385.55,375.23
378.54,371.76,379.42,369.37
372.45,390.63,391.20,370.60
388.00,390.05,394.34,386.66
388.00,399.41,401.95,383.61
402.05,403.94,405.58,396.00
403.45,403.61,409.74,399.39
405.85,407.81,409.16,402.85
406.61,403.24,407.83,399.30
403.85,402.44,408.36,402.23
403.58,411.40,412.88,403.16
409.09,420.11,423.42,409.09
421.93,420.64,428.18,419.28
423.35,428.61,431.92,422.34
395.13,390.25,405.97,389.11
392.18,381.72,392.18,378.71
382.34,382.57,391.59,377.33
378.00,379.11,384.87,376.31
379.99,372.43,381.88,371.43
372.47,370.06,377.40,366.91
370.25,372.63,378.80,370.07
373.80,370.57,378.80,370.57
372.66,377.17,383.80,366.70
373.60,380.32,381.32,373.60
379.58,381.72,387.21,379.40
381.93,402.15,402.15,378.00
407.16,390.60,418.77,386.00
396.00,403.23,403.99,393.76
402.84,387.30,403.07,383.05
387.10,383.90,387.65,368.26
384.59,398.38,398.97,384.41
396.29,399.26,399.65,392.03
399.59,390.57,400.00,389.41
389.55,383.46,391.28,382.29
383.01,391.79,396.58,380.47
389.00,388.00,397.57,387.00
387.94,384.58,389.98,384.28
384.55,388.38,400.98,384.46
392.00,384.85,392.00,382.02
389.46,385.44,391.50,382.72
385.47,386.33,386.77,383.41
385.25,385.20,386.63,384.00
392.00,380.14,392.00,377.28
382.05,384.19,387.42,380.03
380.89,380.63,386.16,380.11
380.30,382.03,385.20,377.92
382.03,377.02,382.03,375.57
383.07,378.54,385.20,378.00
378.29,387.61,390.50,378.29
385.03,388.11,392.26,381.17
388.11,389.67,391.77,385.39
393.37,394.20,398.70,392.65
393.32,396.00,397.53,393.32
398.71,401.39,403.00,397.55
401.67,414.55,416.47,401.39
415.04,416.11,422.65,414.09
419.00,426.60,427.93,416.19
424.85,418.68,429.45,418.40
417.00,421.86,423.80,416.20
419.50,423.00,427.34,419.50
424.85,432.06,434.66,424.34
435.00,421.81,435.00,421.38
423.99,426.50,426.71,421.64
423.80,431.93,435.89,423.12
422.40,431.30,434.66,422.40
429.53,440.92,441.53,429.53
443.66,440.38,446.00,434.36
441.98,438.13,441.98,435.56
438.00,439.50,443.40,434.50
442.75,440.27,443.69,437.38
438.05,440.85,442.57,430.56
438.20,440.00,445.71,437.75
441.83,440.70,444.24,434.00
442.70,442.56,443.00,438.96
428.89,415.00,428.94,409.00
418.44,430.14,431.56,418.10
432.80,419.18,432.80,418.19
417.35,421.30,421.30,415.20
417.91,423.77,424.30,417.91
424.14,426.27,433.10,418.77
426.99,423.39,428.52,420.50
424.82,433.25,439.87,421.11
435.18,434.11,437.35,430.10
432.24,439.18,440.94,430.00
439.00,443.41,445.90,437.03
444.00,444.11,447.49,442.00
441.52,444.43,446.33,440.13
447.10,438.52,447.10,435.33
428.35,428.35,439.90,428.35
430.00,436.99,437.60,429.01
436.00,434.71,439.49,434.20
437.35,442.65,442.74,434.50
443.70,434.84,445.00,430.00
435.26,431.14,435.47,430.49
430.25,430.14,430.25,427.65
429.74,429.25,430.00,427.50
427.81,431.98,434.41,427.81
433.03,429.40,433.03,427.00
430.45,432.08,434.99,430.39
429.00,432.09,433.00,426.10
430.76,438.94,439.49,428.80
439.47,446.84,447.50,437.50
447.54,451.17,455.68,445.26
450.85,440.38,454.35,438.19
446.00,414.55,446.00,413.00
410.02,415.49,416.23,402.08
419.07,429.31,432.45,415.58
428.20,433.09,441.19,428.20
437.75,433.27,442.92,427.00
431.00,430.40,436.87,423.00
434.36,431.56,442.47,430.57
432.31,436.54,440.44,432.31
440.50,432.02,442.74,430.02
427.05,425.90,434.05,425.31
427.85,425.50,430.42,424.09
420.02,418.15,424.68,417.35
422.00,424.11,427.89,418.51
421.00,427.43,430.99,421.00
425.45,418.70,430.00,418.54
418.99,417.51,422.95,414.61
419.97,422.08,426.60,419.53
425.00,434.85,439.00,424.58
436.79,439.26,443.87,436.79
441.54,439.35,443.85,435.45
435.55,437.42,439.95,434.70
440.58,439.34,442.53,438.65
438.28,439.50,441.60,438.28
440.72,436.12,444.98,436.12
433.99,437.00,438.89,424.00
440.00,443.08,443.46,440.00
440.00,437.56,443.19,437.54
439.64,441.25,441.52,437.82
442.71,446.29,446.50,436.62
445.51,439.96,445.51,437.86
440.51,447.12,447.50,440.18
443.30,448.46,449.90,443.30
449.82,442.86,450.00,441.16
440.14,440.68,443.49,439.00
441.07,441.31,443.84,440.54
440.20,440.00,443.05,437.70
438.10,434.86,440.86,433.34
438.20,436.08,438.20,435.72
431.06,432.50,438.98,431.00
432.50,416.69,438.40,414.66
420.00,417.82,421.75,411.00
420.50,424.51,424.72,418.25
426.70,420.98,427.15,420.98
423.50,429.54,429.55,423.50
432.00,439.43,441.97,427.00
438.00,439.10,440.81,435.87
441.00,435.90,444.46,435.90
440.00,439.94,441.63,437.21
440.00,448.35,449.32,433.03
448.00,442.25,448.00,437.26
442.11,432.56,443.46,430.45
425.84,412.25,428.41,408.18
417.00,415.73,417.00,407.90
419.70,420.95,423.00,416.80
423.04,422.78,427.82,416.47
426.00,426.18,426.54,419.25
421.25,416.52,423.21,415.05
413.73,415.80,419.00,411.02
415.97,417.51,418.37,414.13
420.00,415.79,422.65,412.82
417.32,420.90,422.00,416.58
422.85,416.67,422.85,416.09
415.80,413.37,416.22,411.35
412.00,411.77,414.29,410.31
410.55,408.46,411.40,408.46
408.95,408.49,409.66,403.74
411.35,414.00,414.41,410.00
411.10,410.59,411.87,407.84
411.75,405.96,415.39,405.67
445.99,426.42,454.97,422.23
420.00,414.88,424.60,409.11
412.54,418.70,418.89,412.54
417.55,423.98,426.99,417.55
420.61,420.30,424.29,417.70
421.18,424.72,424.72,416.74
420.61,416.14,422.97,416.00
418.22,415.67,418.84,415.00
420.00,421.71,422.50,417.99
420.50,415.54,423.89,414.65
415.23,418.36,419.25,412.04
420.69,418.98,421.00,413.87
417.58,415.95,420.75,415.83
417.60,415.62,417.60,411.91
414.00,411.45,416.75,410.44
410.00,411.97,414.12,403.85
410.00,405.73,413.10,404.79
406.53,414.00,415.30,401.50
415.28,417.13,419.25,415.00
416.90,417.45,419.75,411.13
419.68,418.95,420.50,413.86
423.95,422.21,423.95,418.05
421.31,419.56,422.69,418.03
423.00,417.34,423.00,417.22
420.69,422.70,424.25,418.62
420.00,415.38,421.98,412.68
411.55,405.86,411.55,404.14
406.53,407.63,411.83,398.89
408.00,415.84,417.16,406.58
417.46,417.68,418.66,414.73
415.00,413.01,416.33,410.81
411.62,412.73,413.55,406.85
418.25,418.21,419.52,413.49
420.00,419.20,422.11,417.96
417.45,427.45,428.30,416.37
421.15,423.54,426.46,420.33
424.81,426.51,428.11,418.70
428.13,426.80,430.32,423.00
426.90,419.82,430.86,419.40
418.57,409.86,418.57,403.38
405.88,402.30,406.00,388.00
419.72,399.16,419.72,393.77
394.66,399.75,400.81,385.21
399.75,392.60,399.75,386.34
386.82,368.22,388.46,366.04
393.87,382.85,393.87,368.94
373.56,350.91,376.14,350.91
355.96,357.50,360.00,340.00
346.06,350.00,361.83,346.01
353.96,365.19,366.16,349.01
364.00,357.04,364.00,353.40
366.85,361.11,366.85,350.97
360.99,368.29,369.74,357.47
367.38,359.11,371.25,357.85
353.97,333.73,353.97,332.02
332.27,338.51,345.99,332.27
340.00,335.36,342.39,331.74
335.61,338.65,341.08,334.27
337.29,345.10,346.37,333.40
347.28,337.51,347.28,335.60
337.18,336.65,342.29,330.02
340.00,353.50,354.12,340.00
353.40,354.12,355.95,350.70
356.15,355.76,361.54,350.03
352.00,335.35,352.00,334.08
329.99,320.88,329.99,320.00
309.63,316.14,318.65,309.63
322.02,326.05,328.32,318.08
320.01,326.73,329.58,316.81
315.03,330.00,332.32,315.03
323.43,329.32,331.75,322.15
331.12,341.49,345.78,329.32
341.59,343.05,349.18,337.49
346.98,343.29,349.08,342.25
347.99,343.25,351.65,342.49
339.93,337.93,343.85,331.71
341.04,334.40,344.92,334.40
333.03,318.50,334.18,316.65
311.21,313.00,316.91,309.42
311.54,325.92,329.86,311.54
327.81,323.81,327.81,315.50
328.28,320.78,334.13,317.06
322.50,315.14,325.79,313.31
321.00,323.84,326.47,318.00
322.74,326.97,331.88,318.64
324.09,313.75,325.82,311.82
308.95,320.00,320.30,308.50
322.50,321.69,327.94,318.43
319.75,328.99,329.38,318.02
330.00,330.33,334.85,324.33
335.25,344.00,344.00,333.06
344.27,339.36,346.29,337.74
344.00,345.56,351.82,342.30
344.35,347.84,348.72,341.99
352.00,348.46,354.50,345.00
348.88,340.03,348.88,335.00
339.94,346.54,346.70,329.60
348.98,339.12,349.63,335.83
336.54,337.18,342.00,327.13
342.87,346.14,348.04,338.65
346.43,349.84,351.95,342.97
348.95,345.22,352.00,343.42
353.00,350.21,357.46,348.12
361.45,356.14,365.55,354.88
358.90,361.10,361.36,354.71
356.45,340.16,356.45,338.88
339.33,334.55,342.80,332.06
338.51,329.79,338.96,322.50
331.90,335.70,336.91,324.89
335.30,329.61,335.30,323.29
329.52,339.60,342.38,325.68
340.81,344.10,345.63,335.33
337.50,334.18,338.53,331.45
336.84,335.14,340.64,333.39
338.00,342.82,344.25,336.26
340.00,340.67,344.80,338.05
343.00,345.41,347.37,342.01
341.19,354.75,358.72,341.19
354.00,349.56,356.70,348.57
351.80,348.32,352.03,347.27
343.40,345.15,349.82,341.28
344.22,343.19,349.04,342.66
340.75,336.19,344.00,335.00
333.73,343.76,349.37,330.00
347.21,344.04,350.85,343.00
345.68,348.00,349.97,343.30
358.90,358.91,358.91,349.95
360.40,358.79,366.32,355.14
361.11,366.71,369.74,357.17
369.63,350.34,376.70,347.68
