COOL,PolarityTE,NASDAQ
48.30,49.98,49.98,47.46
52.50,48.72,53.34,47.88
47.04,49.98,50.82,47.04
51.66,44.52,51.66,42.42
44.94,46.62,47.04,44.52
47.04,45.78,47.88,45.36
47.04,45.78,49.56,45.78
47.46,46.20,47.52,44.94
47.46,49.98,50.82,45.78
39.90,39.48,42.00,37.38
39.90,36.62,40.34,36.54
35.70,33.60,36.54,33.18
34.02,33.85,34.86,33.85
34.44,33.60,34.44,32.76
32.76,33.56,34.86,32.76
33.18,32.76,34.44,31.97
32.34,32.76,33.60,31.88
33.60,31.96,33.91,31.92
31.92,35.70,36.54,31.50
35.70,37.80,37.80,35.70
37.80,39.90,40.32,37.80
40.74,39.02,41.12,37.87
38.64,35.70,39.48,35.70
35.70,36.12,36.46,34.44
36.12,35.49,36.96,34.86
36.96,35.23,36.96,34.86
35.28,34.86,35.28,32.34
35.70,34.02,35.70,33.27
34.02,35.28,35.28,33.60
35.49,35.28,35.69,34.02
35.28,35.20,35.28,34.02
34.86,33.15,34.86,32.97
33.18,33.60,34.44,33.18
34.44,33.60,34.44,33.18
34.44,33.50,34.65,32.73
33.60,32.42,33.60,32.38
33.60,34.02,34.44,32.43
34.02,33.60,34.02,33.19
33.60,33.60,33.85,33.19
33.60,34.86,35.28,33.18
35.28,37.38,38.64,34.86
38.22,38.22,41.58,35.95
39.90,41.58,44.52,38.22
41.58,42.00,43.68,40.76
41.16,42.00,44.52,40.32
42.84,42.84,45.36,41.61
44.10,43.26,45.36,42.00
42.42,41.58,44.52,41.58
42.42,41.58,42.84,40.32
43.68,43.68,44.10,41.66
44.52,38.64,44.94,38.32
39.48,40.32,42.00,39.48
40.32,39.48,40.61,38.64
39.48,37.80,39.48,37.80
37.80,38.22,38.62,37.80
37.83,38.22,38.64,37.06
37.80,36.19,38.64,36.19
36.12,35.70,36.96,35.70
36.96,36.96,38.63,35.91
37.38,36.12,37.80,36.12
36.96,37.38,37.38,36.17
N/A,N/A,N/A,N/A
36.12,36.96,36.96,36.12
36.12,37.80,37.80,34.86
36.96,37.38,38.64,36.12
37.80,36.12,38.64,35.70
35.70,36.61,37.72,35.70
36.96,35.70,37.80,35.70
36.54,34.48,36.96,34.46
34.45,35.69,36.12,34.44
34.86,35.24,36.12,34.86
35.70,34.99,35.70,34.86
34.86,35.19,35.65,34.86
35.65,36.54,39.90,35.28
36.96,36.96,38.14,36.63
37.38,36.54,37.38,35.70
37.38,35.46,37.38,34.98
35.70,35.70,36.54,35.49
35.70,35.49,36.96,35.28
36.12,36.04,36.12,35.31
36.54,37.38,37.38,36.12
37.38,36.16,37.38,36.12
36.12,36.43,36.96,35.74
35.70,36.12,36.66,35.28
35.70,35.11,35.70,34.94
35.28,33.60,35.70,33.60
33.60,33.81,34.82,33.60
36.12,34.48,36.12,34.03
34.86,34.65,35.40,34.44
34.44,34.65,34.83,34.44
35.28,34.86,36.12,34.86
34.02,35.28,35.28,33.83
36.54,33.94,36.54,33.81
33.82,34.06,34.81,33.82
33.81,32.76,35.28,32.34
32.76,31.54,33.18,31.50
31.50,32.34,34.02,31.50
33.60,34.43,34.43,32.76
32.34,32.09,33.17,31.92
31.98,32.76,33.18,31.98
32.97,32.97,33.60,32.97
32.34,32.76,34.44,32.34
33.81,33.68,33.81,33.60
33.60,33.68,34.06,33.60
31.92,33.18,34.02,31.92
32.55,32.76,33.60,32.55
34.44,31.71,34.44,31.54
31.92,31.92,33.60,31.92
31.92,33.60,33.60,31.92
33.18,32.76,33.60,31.92
32.76,33.60,33.60,32.76
33.60,34.02,34.86,32.88
31.50,32.15,32.76,31.50
33.60,32.55,33.60,31.56
33.93,31.50,33.93,31.50
31.50,32.55,33.18,31.50
32.55,33.43,33.43,31.94
33.43,32.55,33.43,32.05
32.76,31.71,32.76,31.61
31.94,31.50,31.94,31.29
31.50,32.34,32.34,31.50
31.50,31.50,32.34,30.66
30.24,29.40,30.30,28.98
29.82,29.82,29.82,28.14
30.66,30.66,30.87,27.35
28.19,30.87,30.87,28.19
30.24,29.82,30.87,26.88
29.40,29.82,30.66,29.40
29.19,28.56,30.23,27.38
28.56,29.02,29.40,27.93
28.56,28.56,29.23,27.72
28.52,27.72,28.98,27.72
