VSS,Vanguard FTSE All-Wld ex-US SmCp Idx ETF,NASDAQ
82.72,84.19,84.30,82.72
84.47,84.53,84.95,84.15
84.71,85.19,85.35,84.50
84.93,85.09,85.21,84.53
85.32,85.93,85.94,85.03
86.66,86.63,86.81,86.27
86.00,85.19,86.00,84.99
87.59,86.32,87.59,85.34
86.14,86.67,86.73,86.05
86.35,85.72,86.35,85.26
85.52,86.54,86.63,85.52
85.08,84.48,85.13,83.74
84.15,82.35,85.04,82.18
81.99,80.67,82.18,80.62
81.67,81.71,82.34,81.60
80.76,80.73,81.56,80.51
80.50,80.77,80.77,79.49
81.25,79.99,81.25,79.38
80.36,79.15,80.38,78.76
79.50,80.47,80.47,79.50
81.05,81.84,81.89,80.83
81.52,81.10,81.74,80.81
80.10,78.07,80.10,78.02
77.15,76.97,78.00,75.47
76.79,75.86,77.22,75.82
76.86,78.24,78.91,76.86
78.37,78.11,78.37,77.42
78.00,79.20,79.28,77.82
78.21,78.61,78.61,77.29
79.08,80.08,80.14,78.70
80.27,80.12,80.32,79.72
79.89,80.61,80.63,79.88
79.61,79.98,80.27,79.19
80.58,80.16,80.58,79.99
79.96,79.00,79.96,78.84
79.30,79.31,79.73,79.06
78.31,79.14,79.14,77.50
78.70,79.51,79.64,78.50
79.56,80.11,80.54,79.56
81.11,81.05,81.59,80.76
81.90,82.04,82.39,81.50
82.21,81.82,82.21,81.40
82.67,83.31,83.34,82.59
83.56,83.25,83.57,82.95
82.61,82.93,83.35,82.21
83.35,83.92,83.92,83.05
83.54,83.82,83.96,83.24
84.23,84.29,84.51,84.09
83.95,83.94,83.97,83.30
84.55,85.06,85.07,84.07
82.65,85.58,85.94,82.65
85.59,85.15,85.59,84.79
84.18,84.18,85.25,83.73
83.26,84.50,84.58,83.11
84.60,84.92,85.07,84.29
84.04,83.80,84.08,83.57
84.60,83.60,84.60,83.55
84.31,84.46,84.67,83.93
84.90,85.38,85.38,84.83
85.74,85.36,85.74,85.06
85.45,85.51,85.75,85.13
86.55,87.02,87.02,86.50
87.38,87.60,87.68,87.06
87.45,87.76,87.89,87.16
87.66,87.20,87.74,86.98
87.01,87.64,87.73,86.61
88.19,88.61,88.61,88.00
88.78,88.58,88.82,88.46
88.50,88.29,88.50,87.68
88.68,89.52,89.52,88.58
89.17,89.35,89.52,89.00
88.63,87.72,88.77,87.03
86.64,87.02,87.25,86.16
88.00,88.16,88.23,87.72
88.10,88.15,88.23,87.61
87.49,88.22,88.23,87.01
88.07,89.14,89.14,87.83
89.25,89.01,89.37,88.97
88.01,85.97,88.36,85.69
86.21,85.83,86.63,84.85
86.79,87.28,87.42,86.79
