PBBI,PB Bancorp,NASDAQ
3.78,3.78,3.78,3.78
3.78,3.78,3.78,3.78
3.78,3.78,3.78,3.78
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.21,3.20,3.22,3.20
3.26,3.39,3.39,3.25
3.39,3.39,3.39,3.39
3.39,3.39,3.39,3.39
3.39,3.39,3.39,3.39
3.39,3.39,3.39,3.39
3.21,3.21,3.21,3.21
3.21,3.21,3.21,3.21
3.11,3.01,3.39,2.97
3.39,3.20,3.39,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.33,3.35,3.35,3.33
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.26,3.59,3.59,3.26
3.58,3.50,3.58,3.50
3.50,3.50,3.50,3.50
3.20,3.20,3.20,3.20
3.79,3.79,3.79,3.79
3.79,3.79,3.79,3.79
3.26,3.43,3.43,3.26
3.62,3.62,3.62,3.62
3.62,3.62,3.62,3.62
3.62,3.62,3.62,3.62
3.60,3.50,3.60,3.50
3.59,3.78,3.78,3.59
3.78,4.03,4.04,3.78
4.03,4.03,4.03,4.03
4.03,4.03,4.03,4.03
3.67,3.67,3.67,3.67
3.55,4.50,4.50,3.52
3.84,4.01,4.01,3.76
4.01,4.01,4.01,4.01
4.01,4.01,4.01,4.01
4.00,3.82,4.00,3.82
3.82,3.82,3.82,3.82
3.83,3.83,3.83,3.83
4.47,4.47,4.47,4.47
4.47,4.47,4.47,4.47
4.47,4.47,4.47,4.47
4.37,4.99,5.01,4.37
5.00,5.33,5.33,5.00
5.33,5.33,5.33,5.33
4.48,4.48,4.48,4.48
4.48,4.49,4.53,4.45
4.49,4.49,4.49,4.49
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.25,5.10,5.25,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.11,5.10,5.11,5.10
5.10,5.10,5.10,5.10
5.11,5.10,5.11,5.10
5.14,5.12,5.18,5.12
5.13,5.10,5.13,5.10
5.10,5.10,5.10,5.10
5.11,5.10,5.11,5.10
5.13,5.10,5.13,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.25,5.10
5.10,5.00,5.10,4.56
4.55,4.55,4.59,4.55
4.52,4.40,4.52,4.40
5.19,5.14,5.19,5.14
4.50,4.50,4.51,4.50
4.53,4.37,4.53,4.37
4.37,4.37,4.37,4.37
4.37,4.37,4.37,4.37
5.18,5.18,5.18,5.18
5.18,4.00,5.18,3.85
4.05,4.03,4.05,4.03
4.08,4.07,4.13,4.07
4.92,4.29,4.92,4.29
4.29,4.07,4.29,4.07
4.15,4.05,4.21,4.05
4.07,4.04,4.07,4.04
4.04,4.04,4.04,4.04
4.04,4.04,4.04,4.04
4.04,4.04,4.04,4.04
4.05,4.06,4.06,4.05
4.06,4.06,4.06,4.06
4.06,4.06,4.06,4.06
4.09,4.09,4.09,4.09
4.90,4.20,4.90,4.04
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.09,4.07,4.09,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.07,4.07,4.07,4.07
4.81,4.83,4.86,4.81
4.83,4.83,4.83,4.83
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.11,4.89,4.89,4.11
4.13,4.18,4.18,4.12
4.30,4.14,4.47,4.13
4.14,4.14,4.14,4.14
4.14,4.14,4.14,4.14
4.39,4.17,4.39,4.14
4.32,4.05,4.69,4.05
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.04,4.05,4.05,4.04
3.76,3.76,3.76,3.76
4.29,4.00,4.29,4.00
3.68,3.65,3.68,3.65
3.85,3.99,3.99,3.85
3.99,3.99,3.99,3.99
3.99,3.99,3.99,3.99
3.72,4.04,4.10,3.72
3.97,4.00,4.00,3.95
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
4.00,4.49,4.75,4.00
4.24,4.32,4.47,4.15
4.11,4.30,4.32,4.10
4.25,4.25,4.25,4.25
4.09,4.30,4.30,4.09
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
3.97,4.05,4.09,3.97
4.01,4.03,4.03,3.97
4.03,4.03,4.03,4.03
4.03,4.03,4.03,4.03
3.98,3.97,3.98,3.97
3.97,3.97,3.97,3.97
4.05,4.00,4.05,3.97
4.10,4.10,4.11,4.10
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.60,4.00,4.62,4.00
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
3.69,3.95,3.95,3.69
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
3.78,2.96,3.78,2.60
3.06,3.25,3.35,3.06
3.40,3.30,3.49,3.30
3.47,3.39,3.60,3.35
