MSLI,Merus Labs International Inc. - Common Stock,NASDAQ
1.09,1.03,1.09,1.03
1.03,1.05,1.05,1.02
1.02,1.03,1.03,1.02
1.04,1.02,1.05,1.02
1.02,1.01,1.07,1.01
1.01,1.01,1.03,1.00
1.00,1.00,1.00,1.00
1.00,0.98,1.00,0.95
1.00,0.97,1.00,0.97
1.00,0.99,1.00,0.95
1.00,1.00,1.05,1.00
1.01,0.97,1.01,0.97
0.97,0.99,0.99,0.97
0.96,1.00,1.09,0.96
1.03,1.05,1.09,1.01
1.01,1.06,1.06,1.01
1.05,1.00,1.08,1.00
1.00,1.00,1.05,1.00
1.00,1.00,1.00,1.00
0.97,0.93,0.97,0.90
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.94,0.99,0.93
0.93,0.99,1.00,0.93
1.00,1.06,1.07,1.00
1.00,1.02,1.03,1.00
1.05,1.01,1.05,1.00
1.03,1.02,1.03,1.02
1.01,1.02,1.02,1.00
1.00,0.95,1.00,0.95
0.95,0.95,0.95,0.95
0.99,1.00,1.00,0.95
0.92,0.97,0.97,0.92
0.92,0.97,0.97,0.92
0.97,0.95,0.97,0.95
0.95,0.95,0.95,0.95
0.95,0.98,0.98,0.95
0.93,0.95,0.99,0.93
0.99,0.95,1.00,0.95
0.91,0.98,0.98,0.91
0.96,0.96,0.97,0.93
0.95,0.91,1.10,0.91
1.00,0.91,1.00,0.91
0.96,0.96,0.96,0.96
0.91,0.91,0.92,0.90
0.90,0.92,0.92,0.90
0.90,0.93,0.93,0.90
0.93,0.94,0.97,0.93
0.90,0.98,0.98,0.90
0.98,0.95,0.98,0.95
0.98,0.99,0.99,0.98
0.98,0.99,0.99,0.98
0.97,0.93,1.00,0.93
1.00,0.97,1.00,0.90
0.96,0.93,0.96,0.90
0.90,0.92,0.96,0.90
0.95,0.95,0.95,0.95
0.95,0.99,0.99,0.90
0.90,0.99,0.99,0.90
0.94,0.94,0.97,0.92
0.94,0.94,0.94,0.86
0.95,0.95,0.95,0.95
0.80,0.97,0.99,0.80
0.98,1.05,1.09,0.98
1.05,1.06,1.10,1.05
1.03,1.09,1.09,1.03
1.03,1.05,1.10,0.99
1.05,1.11,1.12,1.05
1.10,1.10,1.10,0.96
1.05,1.11,1.11,1.05
1.08,1.10,1.10,1.08
1.12,1.05,1.14,1.05
1.05,1.15,1.15,1.04
1.13,1.09,1.13,1.04
1.09,1.09,1.10,1.04
1.02,1.02,1.02,1.00
1.10,1.08,1.10,1.02
1.03,1.02,1.15,1.02
1.03,1.06,1.12,1.03
1.12,1.03,1.12,0.99
1.03,1.02,1.13,1.02
1.12,1.06,1.12,1.00
1.12,1.07,1.12,1.06
1.13,1.11,1.13,1.06
1.13,1.11,1.13,1.06
1.06,1.00,1.12,1.00
1.12,1.27,1.50,1.12
1.45,1.30,1.47,1.27
1.25,1.26,1.45,1.25
1.37,1.28,1.38,1.26
1.28,1.33,1.37,1.28
1.29,1.33,1.34,1.29
1.32,1.26,1.34,1.25
1.26,1.26,1.33,1.25
1.23,1.23,1.30,1.23
1.19,1.21,1.21,1.19
1.18,1.17,1.18,1.04
1.17,1.17,1.17,1.17
1.11,1.05,1.11,1.05
1.02,1.06,1.11,1.02
1.02,1.01,1.06,1.01
1.02,1.02,1.02,1.02
1.05,1.01,1.05,1.01
1.01,1.02,1.14,1.01
1.03,1.01,1.03,1.01
1.01,1.01,1.05,1.01
1.05,1.01,1.05,1.01
1.01,1.01,1.01,1.01
1.01,1.01,1.05,1.01
1.01,1.04,1.04,1.01
1.02,1.01,1.05,1.01
1.04,1.05,1.06,1.04
1.06,1.06,1.06,1.01
1.02,1.01,1.02,1.01
1.01,1.01,1.06,1.01
1.02,1.01,1.03,1.01
1.03,0.96,1.03,0.96
0.94,0.94,1.00,0.94
0.95,0.95,1.01,0.95
1.00,1.02,1.02,0.94
1.00,1.03,1.03,0.94
1.01,0.93,1.04,0.92
0.91,0.91,0.92,0.91
0.91,0.91,0.91,0.91
0.91,0.91,0.91,0.91
0.90,0.85,0.96,0.75
0.94,0.89,0.94,0.89
0.89,0.91,0.91,0.88
0.93,0.93,0.93,0.93
0.89,0.93,0.93,0.88
0.94,0.89,0.94,0.89
0.92,0.94,0.94,0.88
0.88,1.02,1.10,0.88
1.01,0.98,1.01,0.97
1.02,1.02,1.02,1.02
0.97,0.97,0.97,0.97
0.90,0.95,0.95,0.90
0.95,0.95,0.95,0.95
0.95,0.99,0.99,0.93
0.99,0.94,0.99,0.94
0.98,0.91,0.99,0.88
1.00,1.15,1.15,0.99
1.16,1.11,1.24,1.11
1.23,1.09,1.23,1.03
1.13,1.10,1.13,1.10
1.03,1.10,1.15,1.01
1.01,1.16,1.16,0.99
1.08,1.09,1.20,1.08
1.04,1.15,1.15,1.04
1.22,1.09,1.22,1.09
