EFO,ProShares Ultra MSCI EAFE,NASDAQ
81.46,82.06,82.06,81.46
82.07,82.16,82.75,82.00
82.50,82.50,82.50,82.50
81.53,82.23,82.23,81.44
82.70,83.55,83.55,82.70
85.00,85.12,85.12,84.75
83.00,82.78,83.78,82.78
83.40,84.75,84.76,83.40
84.51,85.07,85.07,84.51
nan,82.52,nan,nan
84.44,84.84,84.84,84.44
81.80,80.38,81.80,80.38
80.78,77.18,80.78,77.18
76.50,77.00,77.00,76.50
76.41,76.23,76.53,76.11
73.87,75.09,75.73,73.87
74.27,74.32,74.32,73.87
nan,72.24,nan,nan
nan,72.24,nan,nan
72.74,72.74,72.74,72.74
75.04,75.44,75.44,75.04
70.42,73.36,73.36,70.42
69.90,68.10,69.90,67.78
67.49,63.50,67.49,63.50
66.46,65.19,66.46,65.19
67.66,68.60,70.02,66.24
67.89,68.07,68.07,66.78
67.38,68.40,68.51,67.38
nan,66.80,nan,nan
68.69,71.45,71.45,68.64
72.22,71.42,72.22,71.08
nan,71.51,nan,nan
nan,71.51,nan,nan
71.32,71.32,71.32,71.32
70.00,69.28,70.00,69.28
70.32,70.32,70.32,70.32
68.06,67.78,68.22,67.78
64.91,69.12,69.12,64.91
nan,70.49,nan,nan
nan,70.49,nan,nan
nan,74.77,nan,nan
nan,74.77,nan,nan
74.84,76.93,77.34,74.84
77.01,77.07,77.49,77.01
76.18,76.74,77.25,76.18
nan,77.61,nan,nan
nan,77.61,nan,nan
78.45,78.45,78.45,78.45
77.33,77.33,77.33,77.33
79.15,79.83,79.83,79.15
80.92,80.94,81.55,80.64
78.94,79.52,79.52,78.94
79.21,78.26,79.21,78.26
76.41,78.90,78.90,76.06
79.04,78.93,79.19,78.93
77.48,76.80,77.60,75.00
78.48,78.17,78.94,78.09
78.15,77.79,78.15,77.79
79.20,79.91,79.91,79.20
nan,79.70,nan,nan
nan,79.70,nan,nan
nan,79.70,nan,nan
nan,82.17,nan,nan
nan,82.17,nan,nan
nan,82.17,nan,nan
78.13,81.25,81.35,78.13
82.42,82.44,82.44,82.42
84.46,83.75,84.46,83.75
83.60,83.59,83.60,83.20
84.75,85.95,85.95,84.69
85.00,85.67,85.87,85.00
84.67,82.19,84.67,81.06
79.90,80.00,80.00,79.73
82.36,82.40,82.40,82.36
81.88,81.36,81.93,80.76
78.45,79.94,79.94,78.45
79.32,80.28,80.47,78.97
81.27,81.25,81.53,81.08
78.04,75.00,78.04,74.98
75.33,74.60,75.33,73.60
76.26,76.47,76.47,76.26
75.83,74.73,75.84,74.62
74.80,75.14,75.15,74.80
71.93,69.93,71.93,69.93
65.81,68.25,68.25,65.81
66.20,60.77,74.75,0.14
62.29,60.50,62.95,59.20
68.82,68.07,69.58,68.07
65.61,66.60,68.48,65.61
68.25,67.87,68.30,67.87
67.06,66.19,67.32,66.19
64.66,61.97,64.66,61.43
61.56,60.76,61.56,60.00
61.32,60.01,61.32,60.00
59.64,60.58,60.58,59.45
59.58,57.03,59.58,55.55
55.21,58.49,58.71,55.00
57.30,57.58,57.70,57.07
53.11,55.84,55.96,52.94
56.31,54.26,56.47,54.25
58.07,60.30,60.30,58.07
nan,58.82,nan,nan
56.78,59.11,59.29,56.78
57.45,59.93,59.93,57.45
60.55,59.59,60.55,58.64
56.60,54.43,56.82,54.43
54.68,53.10,54.91,53.10
53.74,53.52,53.85,53.21
56.22,54.49,56.22,54.01
57.71,58.96,58.96,57.54
58.48,58.84,58.84,58.08
60.41,59.86,60.99,59.86
62.97,63.44,63.44,62.97
62.17,63.06,63.50,62.17
63.22,63.38,63.46,62.25
63.25,63.11,63.60,63.11
65.05,63.09,65.25,62.97
63.30,61.73,63.30,61.62
61.56,62.29,62.29,61.20
60.35,60.35,60.35,60.35
60.42,60.43,60.43,59.42
60.43,60.43,60.43,60.43
56.93,56.08,57.00,56.08
56.88,55.31,56.88,55.22
nan,55.57,nan,nan
nan,55.57,nan,nan
59.65,58.93,60.38,58.87
59.34,62.38,62.38,59.34
62.99,62.26,63.04,62.26
nan,63.65,nan,nan
nan,63.65,nan,nan
64.90,65.41,65.87,64.90
65.00,65.88,66.14,65.00
66.52,66.52,66.52,66.52
nan,62.54,nan,nan
nan,62.54,nan,nan
61.39,64.23,64.23,61.39
64.10,61.98,64.10,61.65
64.75,65.88,66.00,64.75
66.36,67.32,67.32,66.33
67.40,68.49,68.49,67.40
nan,68.86,nan,nan
nan,68.86,nan,nan
69.89,69.01,70.27,68.70
66.70,68.50,68.60,66.70
71.20,72.79,72.79,71.20
71.98,72.53,72.97,71.98
71.92,72.58,72.58,71.92
72.02,71.91,72.02,71.91
72.27,72.79,72.79,72.21
73.69,73.35,73.69,73.35
70.58,72.37,72.37,70.11
67.59,65.40,67.59,65.40
64.31,65.32,65.42,64.31
64.96,65.00,65.00,64.96
66.37,66.37,66.37,66.37
67.29,67.29,67.29,67.29
nan,67.60,nan,nan
nan,67.60,nan,nan
nan,63.49,nan,nan
nan,63.49,nan,nan
61.54,62.06,62.06,61.17
nan,60.54,nan,nan
nan,60.54,nan,nan
63.79,63.79,63.79,63.79
63.48,63.19,63.48,63.19
62.47,62.47,62.47,62.47
65.52,66.99,67.49,65.52
66.97,66.97,66.97,66.97
nan,68.57,nan,nan
68.34,67.57,68.34,67.57
69.11,69.11,69.11,69.11
70.04,69.49,70.04,69.49
69.75,69.75,69.75,69.75
71.85,71.85,71.85,71.85
nan,72.00,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
74.59,74.59,74.59,74.59
74.71,74.98,75.47,73.75
nan,74.51,nan,nan
N/A,N/A,N/A,N/A
76.64,76.64,76.64,76.64
nan,76.23,nan,nan
N/A,N/A,N/A,N/A
77.24,77.24,77.24,77.24
75.13,75.16,75.16,75.13
77.00,77.08,77.08,76.26
75.86,75.86,75.86,75.86
nan,78.60,nan,nan
N/A,N/A,N/A,N/A
79.91,80.05,80.05,79.91
79.88,80.50,80.50,79.88
80.89,80.76,80.89,80.62
nan,79.42,nan,nan
N/A,N/A,N/A,N/A
83.08,82.85,83.60,82.55
82.77,82.71,82.77,82.71
82.66,83.55,83.55,82.66
79.34,79.41,79.41,79.34
80.10,82.50,82.53,80.10
81.69,81.31,81.69,81.31
nan,81.75,nan,nan
N/A,N/A,N/A,N/A
80.70,81.27,81.31,80.70
79.97,79.44,79.97,79.44
nan,80.49,nan,nan
N/A,N/A,N/A,N/A
81.33,81.33,81.33,81.33
nan,83.06,nan,nan
N/A,N/A,N/A,N/A
nan,87.50,nan,nan
N/A,N/A,N/A,N/A
85.88,86.07,86.21,85.63
nan,84.20,nan,nan
N/A,N/A,N/A,N/A
nan,83.27,nan,nan
N/A,N/A,N/A,N/A
82.83,81.83,83.23,81.83
80.47,78.31,80.47,78.31
79.15,79.15,79.15,79.15
82.25,82.85,83.05,82.18
81.65,82.80,82.80,81.17
81.06,81.06,81.06,81.06
77.20,76.09,77.23,76.09
nan,78.25,nan,nan
76.03,76.65,76.65,75.77
nan,74.75,nan,nan
N/A,N/A,N/A,N/A
75.83,77.07,77.07,75.83
76.52,79.66,79.83,76.52
81.00,81.09,81.09,81.00
80.11,80.85,80.85,80.03
82.77,80.95,82.77,80.95
nan,80.57,nan,nan
N/A,N/A,N/A,N/A
81.82,82.07,82.07,81.82
84.18,84.18,84.18,84.18
84.08,84.14,84.14,83.92
82.99,82.99,82.99,82.99
81.85,82.14,82.14,81.85
nan,81.92,nan,nan
N/A,N/A,N/A,N/A
83.33,83.50,83.51,83.33
nan,83.76,nan,nan
N/A,N/A,N/A,N/A
nan,83.20,nan,nan
N/A,N/A,N/A,N/A
85.16,85.16,85.16,85.16
83.79,84.31,84.36,83.79
85.62,85.89,86.02,85.62
86.41,86.79,86.95,86.41
86.55,86.55,86.55,86.55
83.56,85.01,85.01,83.47
84.50,84.50,84.50,84.50
82.84,82.84,82.84,82.84
81.18,82.53,82.53,80.95
83.38,83.64,83.64,83.17
85.45,86.69,86.72,85.45
88.33,87.86,88.33,87.79
nan,88.28,nan,nan
89.36,89.74,89.75,89.36
90.37,88.49,90.37,88.49
87.05,86.77,87.05,85.73
87.78,88.06,88.06,87.78
89.41,89.78,89.78,89.41
88.50,88.50,88.50,88.50
90.46,90.53,90.53,89.91
90.89,90.91,90.95,90.14
89.57,88.55,89.57,88.55
88.32,88.96,88.96,87.99
90.98,92.77,92.77,90.98
nan,92.41,nan,nan
N/A,N/A,N/A,N/A
91.57,91.94,91.94,91.57
nan,93.14,nan,nan
N/A,N/A,N/A,N/A
93.51,93.63,93.63,93.39
91.07,92.34,92.34,91.07
90.85,92.55,92.55,90.85
nan,92.87,nan,nan
nan,92.35,nan,nan
N/A,N/A,N/A,N/A
94.21,95.36,95.36,94.21
nan,95.87,nan,nan
0.00,90.33,90.33,90.33
90.88,90.83,90.88,90.83
90.94,90.79,90.94,90.33
