THLD,Threshold Pharmaceuticals,NASDAQ
1.77,1.80,1.80,1.76
1.80,1.87,1.90,1.80
1.90,1.96,1.99,1.90
1.93,1.92,1.95,1.86
1.90,1.97,1.97,1.90
2.00,2.28,2.37,1.91
2.39,2.21,2.43,2.15
2.29,2.12,2.29,2.09
2.17,2.12,2.17,2.10
2.13,2.06,2.13,2.01
2.01,1.95,2.02,1.91
1.95,1.96,1.96,1.90
1.95,1.89,1.95,1.81
1.85,1.87,1.92,1.83
1.91,1.92,1.93,1.87
2.27,2.01,2.27,2.00
2.02,1.95,2.05,1.91
1.90,1.87,1.90,1.85
1.90,1.84,1.90,1.83
1.89,1.89,1.89,1.83
1.86,1.85,1.90,1.83
1.84,1.89,1.90,1.84
1.86,1.86,1.91,1.82
1.86,1.86,1.88,1.82
1.86,1.84,1.87,1.82
1.84,1.75,1.84,1.74
1.76,1.76,1.77,1.73
1.81,1.77,1.83,1.75
1.75,1.78,1.78,1.75
1.79,1.77,1.82,1.76
1.79,1.77,1.80,1.76
1.77,1.66,1.77,1.65
1.67,1.78,1.85,1.67
1.80,1.75,1.80,1.74
1.74,1.76,1.76,1.72
1.82,1.80,1.82,1.73
1.78,1.91,1.92,1.76
1.93,1.98,2.05,1.81
1.94,1.93,1.99,1.92
1.98,1.91,1.98,1.86
1.87,1.86,1.87,1.79
1.91,1.80,1.92,1.78
1.92,1.81,1.92,1.79
1.90,1.81,1.91,1.75
1.85,1.80,1.85,1.79
1.79,1.85,1.85,1.79
1.87,1.80,1.87,1.80
1.87,1.78,1.87,1.76
1.73,1.88,2.19,1.73
1.88,1.87,1.90,1.84
1.81,1.85,1.88,1.81
1.88,1.92,1.92,1.84
1.80,1.80,1.90,1.80
1.80,1.82,1.85,1.79
1.85,1.88,1.90,1.82
1.85,1.83,1.85,1.80
1.81,1.76,1.88,1.75
1.79,1.75,1.81,1.73
1.71,1.77,1.79,1.66
1.75,1.79,1.80,1.72
1.77,1.86,1.88,1.77
1.81,1.82,1.87,1.79
1.80,1.72,1.85,1.54
1.73,1.72,1.82,1.72
1.73,1.78,1.80,1.72
1.73,1.73,1.82,1.73
1.82,1.79,1.82,1.73
1.80,1.85,2.00,1.75
1.95,1.90,2.15,1.88
1.92,1.72,1.96,1.67
1.75,1.75,1.80,1.73
1.75,1.79,1.80,1.72
1.77,1.77,1.78,1.72
1.83,1.75,1.83,1.72
1.75,1.78,1.80,1.75
1.78,1.74,1.78,1.71
1.76,1.72,1.76,1.70
1.70,1.72,1.73,1.66
1.68,1.70,1.72,1.68
1.71,1.72,1.74,1.71
1.76,1.70,1.76,1.68
1.69,1.73,1.74,1.68
1.71,1.69,1.72,1.68
1.72,1.75,1.78,1.66
1.71,1.73,1.79,1.71
1.73,1.70,1.73,1.65
1.65,1.59,1.67,1.54
1.55,1.64,1.64,1.50
1.67,1.59,1.67,1.54
1.59,1.64,1.68,1.57
1.68,1.70,1.78,1.68
1.68,1.70,1.75,1.68
1.69,1.67,1.71,1.63
1.70,1.68,1.72,1.67
1.65,1.62,1.67,1.59
1.60,1.55,1.60,1.50
1.52,1.55,1.60,1.50
1.53,1.53,1.57,1.53
1.50,1.44,1.53,1.44
1.44,1.46,1.48,1.44
1.48,1.42,1.48,1.42
1.43,1.41,1.46,1.41
1.45,1.40,1.45,1.39
1.39,1.41,1.41,1.35
1.39,1.38,1.42,1.38
1.36,1.36,1.38,1.34
1.46,1.42,1.54,1.36
1.40,1.40,1.40,1.35
1.38,1.32,1.40,1.32
1.32,1.31,1.35,1.30
1.30,1.29,1.33,1.29
1.30,1.22,1.32,1.22
1.24,1.25,1.26,1.24
1.28,1.23,1.29,1.23
