ONVI,Onvia,NASDAQ
3.08,3.00,3.08,2.94
3.06,3.02,3.06,2.95
2.91,2.99,2.99,2.91
3.02,3.06,3.06,2.98
3.00,2.91,3.00,2.91
2.95,2.95,2.95,2.95
2.97,2.92,3.16,2.92
2.95,2.95,3.01,2.95
3.10,2.94,3.10,2.94
3.00,2.99,3.00,2.98
3.09,3.00,3.39,3.00
3.00,3.19,3.19,3.00
3.03,3.01,3.03,3.01
3.02,3.05,3.12,2.96
3.02,2.95,3.02,2.95
2.95,3.05,3.09,2.95
2.99,2.98,3.03,2.98
3.03,2.98,3.03,2.98
3.01,3.01,3.09,2.99
2.99,3.05,3.08,2.99
3.02,2.99,3.02,2.99
2.99,2.99,2.99,2.98
2.98,3.00,3.05,2.97
2.89,2.95,3.00,2.88
2.97,3.03,3.07,2.95
3.00,3.20,3.20,3.00
3.14,3.24,3.24,3.14
3.16,3.15,3.32,3.06
3.20,3.21,3.26,3.20
3.49,3.42,3.50,3.41
3.31,3.18,3.31,3.18
3.19,3.28,3.28,3.11
3.31,3.25,3.38,3.15
3.30,3.26,3.30,3.25
3.44,3.50,3.70,3.34
3.57,3.48,3.62,3.47
3.37,3.40,3.40,3.27
3.35,3.35,3.54,3.34
3.34,3.45,3.45,3.34
3.40,3.40,3.57,3.40
3.57,4.14,4.15,3.40
4.02,3.97,4.05,3.85
3.97,3.93,3.97,3.90
3.99,3.89,3.99,3.85
3.98,3.54,3.98,3.54
3.58,3.77,3.96,3.58
3.90,4.41,4.61,3.90
4.41,4.26,4.41,4.26
4.30,4.30,4.31,4.30
4.27,4.27,4.27,4.26
4.29,4.62,4.76,4.29
4.46,4.45,4.51,4.36
4.52,4.63,4.68,4.33
4.63,4.63,4.63,4.54
4.68,4.53,4.70,4.53
4.51,4.48,4.51,4.40
4.62,4.39,4.70,4.39
4.42,4.41,4.42,4.41
4.51,4.55,4.60,4.51
4.40,4.50,4.53,4.40
4.49,4.44,4.49,4.44
4.42,4.67,4.69,4.42
4.56,4.45,4.56,4.45
4.46,4.45,4.47,4.45
4.50,4.50,4.50,4.50
4.40,4.38,4.40,4.38
4.30,4.20,4.69,4.20
4.20,4.20,4.20,4.20
4.12,4.12,4.15,4.12
4.12,4.12,4.18,4.12
4.28,4.28,4.28,4.27
4.65,4.39,4.65,4.30
4.05,4.29,4.50,4.05
4.30,4.31,4.49,4.30
4.35,4.35,4.35,4.35
4.30,4.34,4.69,4.30
4.31,4.30,4.40,4.30
4.32,4.31,4.55,4.30
4.29,4.30,4.47,4.29
4.31,4.31,4.31,4.30
4.30,4.38,4.38,4.30
4.31,4.30,4.31,4.30
4.30,4.30,4.31,4.30
4.40,4.50,4.50,4.40
4.48,4.44,4.53,4.30
4.49,4.41,4.49,4.31
4.36,4.36,4.36,4.36
4.45,4.30,4.45,4.30
4.09,4.38,4.38,4.09
4.30,4.30,4.48,4.27
4.49,4.30,4.49,4.30
4.30,4.30,4.30,4.30
4.31,4.50,4.50,4.10
