ESS,Essex Property Trust,NASDAQ
84.21,82.62,84.62,82.15
82.72,83.12,83.25,81.29
83.23,83.70,84.65,83.12
83.42,84.57,85.29,83.00
84.35,83.70,84.78,82.93
84.11,83.76,84.48,83.62
83.03,82.65,83.77,82.07
82.93,84.29,84.45,82.64
83.60,84.86,85.13,83.39
84.77,84.29,85.06,84.00
84.25,85.44,85.61,84.15
85.11,85.69,86.67,84.32
85.70,83.46,86.67,83.41
83.53,80.88,84.80,80.68
81.70,81.45,82.35,80.23
80.56,81.00,82.18,80.55
80.80,82.00,82.34,79.45
82.25,81.42,82.27,80.55
81.89,79.69,82.18,79.55
80.18,80.99,81.19,79.37
81.32,82.39,82.53,80.48
81.69,80.02,82.02,79.59
79.15,77.66,79.15,77.27
77.85,78.25,78.49,76.35
78.69,77.87,79.76,77.81
78.74,78.25,78.95,77.26
78.31,78.42,79.25,76.48
78.42,79.44,79.53,77.75
78.50,80.21,80.28,78.38
81.08,82.22,82.39,80.65
82.39,83.65,83.65,82.23
83.42,84.25,84.52,82.85
83.84,84.19,84.41,83.63
84.48,84.62,84.94,83.58
84.42,84.59,84.97,83.67
84.94,85.22,85.24,84.31
84.18,85.42,85.57,83.75
85.47,85.90,87.05,85.04
86.21,86.52,86.57,85.48
86.99,87.10,87.29,86.48
87.07,87.13,87.48,86.60
87.20,88.06,88.13,87.15
88.67,90.38,90.57,88.20
90.04,90.54,91.27,89.50
90.11,89.84,90.93,89.41
89.95,89.86,90.06,88.86
89.40,90.46,90.50,89.07
90.96,91.10,91.57,90.18
91.00,90.46,91.85,89.98
90.59,92.37,92.37,90.59
92.09,93.42,93.98,92.09
93.51,92.92,93.86,92.80
92.95,92.17,93.51,91.99
91.55,92.90,92.96,91.55
92.08,91.77,92.85,90.55
91.47,91.75,92.50,91.43
92.09,91.12,92.56,90.92
90.97,89.81,91.59,89.55
88.89,88.50,90.24,88.42
88.45,89.82,90.05,88.42
89.12,89.95,90.52,88.54
90.13,90.86,91.05,89.23
91.00,93.35,93.38,90.97
92.91,96.00,96.02,92.86
95.30,94.92,95.89,94.48
94.43,95.05,95.50,94.42
95.64,97.72,98.16,95.64
97.25,97.74,98.18,97.25
97.85,100.63,100.99,97.71
101.00,99.32,101.06,99.11
99.07,97.41,99.57,97.35
96.75,96.35,97.78,96.28
95.89,96.15,97.42,95.27
96.39,98.17,98.23,95.35
98.54,100.44,101.47,98.16
99.69,101.28,101.68,99.34
101.58,103.99,104.20,100.43
104.25,105.17,106.47,104.25
104.68,102.80,105.77,102.70
103.68,104.00,104.89,103.20
104.86,109.76,110.22,104.85
109.43,105.82,110.02,105.61
106.40,110.24,110.85,106.40
108.51,110.94,113.03,108.51
109.99,110.00,112.32,109.10
110.22,105.09,111.44,91.55
105.56,102.55,107.63,102.07
106.23,108.60,108.62,104.32
106.67,109.46,111.04,106.67
109.90,111.15,111.46,109.77
111.10,109.31,111.45,108.76
108.07,107.05,109.10,106.18
107.55,108.94,109.03,105.11
110.23,107.21,110.68,107.08
106.72,106.65,108.62,104.81
105.07,101.33,105.67,101.31
100.05,105.05,105.94,98.68
104.78,102.86,105.92,102.85
101.74,103.03,103.16,99.79
104.46,103.10,105.92,102.64
105.33,107.65,107.90,104.32
107.16,105.23,108.50,105.22
104.47,102.03,104.97,101.88
102.27,103.28,103.34,100.18
103.22,102.64,103.99,101.90
100.91,96.74,101.16,96.37
97.74,97.57,100.08,97.02
98.07,99.25,99.55,95.49
100.27,101.98,104.16,100.27
103.41,105.58,105.76,102.55
104.71,106.56,106.88,103.90
107.51,106.82,108.76,105.41
107.25,108.25,108.25,106.52
107.19,107.95,108.35,107.10
107.98,107.90,108.34,106.93
107.92,108.11,108.49,107.32
108.99,107.28,109.65,106.89
107.69,103.25,107.99,103.20
103.66,103.62,104.98,101.73
103.15,101.10,103.77,100.79
101.58,105.39,105.39,101.04
104.26,103.86,104.80,103.09
102.34,99.82,102.62,99.56
99.87,97.54,101.30,97.47
97.54,96.84,98.30,94.79
96.90,95.08,97.47,94.51
96.70,93.47,97.61,92.62
93.81,99.23,99.23,93.48
100.75,101.85,103.18,99.91
101.63,103.32,103.72,101.42
102.90,103.30,103.88,102.04
104.42,105.58,105.75,103.99
105.23,104.04,105.54,103.29
104.82,104.15,104.82,101.57
103.68,100.96,104.09,100.48
101.35,102.76,103.30,99.70
100.25,103.38,103.42,100.00
103.70,100.91,104.17,100.55
102.13,104.55,104.73,102.10
103.83,104.63,104.65,102.04
104.78,106.60,106.87,104.01
107.43,107.34,107.99,105.91
107.17,107.03,108.16,105.92
107.74,104.64,108.12,103.53
103.38,105.11,106.10,103.11
106.74,108.00,108.21,106.34
108.22,107.11,108.22,106.50
107.17,107.05,107.54,104.96
106.83,106.37,108.25,106.23
105.29,106.04,106.31,103.96
106.47,107.27,107.52,105.79
106.25,106.77,108.00,105.90
105.50,103.85,105.63,103.03
102.18,102.56,103.81,101.80
102.27,102.58,103.42,102.01
101.81,101.66,103.41,100.57
102.69,104.19,104.96,102.36
104.30,104.21,105.31,103.31
103.71,102.42,104.05,101.97
101.89,102.51,102.63,101.46
102.87,101.95,103.55,101.95
100.67,102.07,102.60,100.27
101.32,103.86,104.14,101.16
104.23,103.55,105.33,102.99
104.32,105.02,105.53,102.09
104.44,103.30,105.76,103.24
103.05,105.77,105.86,102.61
107.58,109.12,109.14,106.86
108.87,109.82,109.87,108.51
110.50,110.66,111.06,109.60
110.10,109.97,111.29,109.66
110.35,108.97,110.79,108.77
110.43,108.40,110.43,108.01
108.90,109.49,109.70,108.31
110.28,110.93,111.18,109.93
110.60,109.83,110.89,109.68
109.24,110.38,110.89,109.16
110.14,109.50,111.04,109.49
110.00,110.75,110.95,109.37
110.89,114.72,115.08,110.89
114.76,111.95,114.76,111.90
111.60,110.63,112.82,110.38
109.42,107.66,110.49,107.66
109.41,110.57,110.85,109.06
110.80,108.60,110.80,107.79
108.23,108.23,108.46,106.38
108.03,108.49,108.74,107.00
109.35,109.44,111.04,108.90
110.63,109.08,110.63,107.60
108.75,109.69,109.80,108.56
110.34,110.60,110.60,109.10
110.11,109.47,110.75,108.81
109.87,109.86,110.34,109.42
110.09,109.81,110.32,109.13
110.09,110.06,110.35,109.70
110.37,111.48,111.81,109.97
