DEO,Diageo plc Common Stock,NASDAQ
69.99,69.47,70.10,69.33
68.46,68.19,68.65,68.03
68.06,68.02,68.27,67.93
68.14,68.42,68.42,67.91
68.48,68.37,68.55,68.08
69.05,68.74,69.05,68.53
67.91,68.38,68.56,67.91
69.13,69.13,69.32,68.82
70.03,70.00,70.24,69.84
69.76,69.54,69.87,69.09
70.25,70.92,70.94,70.12
70.00,70.24,70.34,69.65
70.87,69.57,70.96,69.11
69.06,68.65,69.53,68.52
68.64,68.83,69.05,68.56
67.91,68.28,68.61,67.90
68.40,68.58,68.72,68.11
68.75,67.99,68.78,67.87
67.76,67.19,68.01,67.04
67.05,67.46,67.63,66.93
67.56,68.09,68.19,67.35
67.19,67.07,67.40,66.52
65.74,64.22,65.75,64.13
63.10,63.35,63.42,62.30
62.94,62.87,63.44,62.81
63.40,63.90,64.31,63.05
63.82,64.05,64.42,63.66
62.75,64.08,64.28,62.68
64.94,64.44,64.94,64.25
64.92,65.65,65.67,64.70
66.00,66.19,66.42,65.92
65.97,66.54,66.75,65.92
65.86,66.25,66.53,65.81
65.96,65.86,66.11,65.70
65.79,65.44,65.87,65.33
65.69,65.60,66.17,65.52
64.75,65.14,65.23,64.37
64.42,65.28,65.48,64.34
65.31,65.69,65.93,65.06
65.64,65.51,65.85,65.32
65.08,65.32,65.59,65.03
65.50,65.20,65.68,64.84
65.13,65.78,65.94,65.05
65.80,65.71,65.97,65.31
65.29,65.34,65.75,65.25
65.45,65.71,65.92,65.37
65.84,65.79,65.92,65.20
66.39,66.38,66.53,66.15
66.09,66.37,66.41,65.94
66.62,67.28,67.34,66.55
67.64,66.97,67.64,66.75
66.74,66.81,66.94,66.42
66.06,66.06,66.59,65.74
65.75,66.56,66.77,65.68
66.28,66.85,66.95,66.15
66.25,66.04,66.70,65.90
66.55,66.28,66.82,66.28
66.38,66.47,66.76,66.26
66.37,66.43,66.91,66.23
67.12,67.18,67.44,66.90
67.49,67.45,67.63,67.00
68.50,68.66,68.81,68.37
68.82,68.61,68.88,68.53
68.49,68.79,68.93,68.28
68.32,68.29,68.60,68.11
68.11,69.03,69.11,68.00
69.87,70.38,70.38,69.87
70.39,70.27,70.65,70.18
71.74,71.59,71.87,71.18
71.91,71.99,71.99,71.63
70.85,71.29,71.49,70.80
71.34,70.89,71.52,70.48
69.77,70.49,70.57,69.73
70.73,70.82,70.88,70.50
70.60,70.06,70.65,69.86
70.03,70.28,70.31,69.44
70.16,70.23,70.33,69.76
70.35,69.70,70.61,69.66
68.98,67.42,69.30,67.33
67.45,67.21,67.79,66.96
68.93,69.03,69.38,68.75
68.66,68.14,69.00,68.10
68.25,67.81,68.61,67.72
67.95,67.11,68.00,66.85
65.47,65.44,66.10,65.06
65.63,62.98,65.99,55.90
