MELI,MercadoLibre,NASDAQ
50.90,50.59,50.90,48.73
50.55,51.88,52.04,49.90
51.88,51.27,52.40,51.02
51.11,50.26,51.62,49.28
50.00,50.51,51.00,49.99
50.00,45.65,50.00,44.87
43.99,45.00,46.70,43.05
45.00,45.23,45.70,44.25
44.99,43.22,44.99,43.11
43.17,42.15,43.17,41.51
42.06,43.41,43.69,42.06
43.29,42.04,43.29,41.55
42.31,41.37,43.47,41.02
41.30,40.86,41.84,39.90
41.20,39.68,41.71,39.06
39.42,38.70,39.88,38.38
38.56,39.63,39.79,38.24
39.88,38.35,40.29,37.73
38.69,38.03,39.50,37.59
38.51,38.49,38.94,37.86
38.63,39.35,39.46,37.81
39.21,40.66,40.71,38.80
40.27,36.44,40.27,36.44
36.68,36.42,37.47,35.50
36.50,36.37,37.61,36.09
36.84,36.92,37.57,36.12
36.81,36.39,37.25,36.03
36.44,38.04,38.13,36.27
37.58,38.68,38.68,37.20
39.11,39.65,39.65,38.82
39.91,40.22,40.30,39.19
40.18,41.59,41.67,39.75
41.59,41.74,42.16,40.76
42.14,40.93,42.40,40.75
36.90,38.05,39.08,36.75
38.32,39.70,39.76,38.01
38.90,40.04,40.13,38.50
40.10,41.14,41.57,39.70
41.55,42.74,42.87,41.29
42.85,42.45,43.56,42.16
42.42,43.06,43.79,42.40
43.06,43.39,43.43,42.35
43.75,44.65,44.84,43.52
44.86,45.44,45.85,44.50
45.41,46.44,46.75,45.02
46.69,46.72,47.50,46.63
46.60,47.23,47.27,45.62
47.65,48.65,48.81,47.29
48.50,46.47,48.50,46.04
46.52,46.33,46.94,45.60
46.37,47.33,48.02,46.25
47.52,47.25,47.68,46.80
46.26,46.26,47.64,46.15
46.01,46.87,46.99,44.66
46.86,47.10,47.30,46.51
47.00,46.72,48.13,46.66
47.28,46.51,47.85,46.46
46.52,46.75,47.00,45.84
46.97,47.89,48.45,46.96
48.10,47.93,48.67,47.67
47.87,48.21,48.75,47.50
48.64,49.30,50.00,48.46
49.74,49.38,50.00,48.74
49.19,49.97,50.40,48.56
49.66,48.08,49.78,47.67
47.30,47.94,48.40,46.30
47.83,48.91,48.99,47.32
49.00,51.47,51.75,48.74
51.73,51.00,51.87,50.75
51.49,51.59,52.08,51.07
51.64,51.81,52.13,51.48
51.53,50.81,51.80,50.30
50.77,49.25,51.29,48.98
49.64,50.14,50.54,49.39
51.53,51.18,52.35,50.12
50.76,51.87,51.97,49.68
52.04,53.72,53.76,52.04
53.81,53.67,54.88,53.59
53.58,51.45,53.61,51.26
51.66,50.73,52.25,49.88
51.16,51.56,52.00,51.08
51.72,50.42,52.12,50.42
50.73,51.02,51.40,50.25
50.84,49.44,51.29,48.86
48.27,47.37,48.56,46.07
47.50,44.79,48.13,41.00
