OIS,Oil States International,NASDAQ
40.00,40.70,40.78,39.86
40.45,40.61,40.82,40.22
40.19,41.10,41.18,40.19
41.45,41.54,41.70,41.00
41.45,42.64,42.74,41.03
43.19,42.23,43.20,41.81
41.73,41.47,41.84,40.93
41.36,40.99,41.63,40.48
41.25,41.35,41.41,40.54
41.32,40.66,41.32,40.21
40.52,41.96,42.05,40.52
41.53,41.08,41.53,40.93
41.49,40.38,41.63,40.28
40.23,38.55,40.23,38.44
38.62,39.09,39.54,38.59
38.73,39.08,39.59,38.43
38.98,38.50,39.37,38.13
38.42,37.42,38.47,37.17
37.76,36.84,38.29,36.57
37.33,37.37,37.72,36.96
37.65,37.70,37.84,37.25
37.28,37.38,37.74,37.12
36.60,35.08,36.60,35.05
34.94,34.73,35.30,33.65
34.54,34.20,35.37,34.18
34.61,34.99,35.54,34.52
34.81,34.63,35.26,34.23
34.47,35.71,35.71,34.47
35.22,36.30,36.31,34.80
36.96,36.76,37.02,36.36
36.83,37.22,37.41,36.59
36.98,37.38,37.52,36.96
37.18,37.67,38.40,37.14
39.15,39.52,40.24,38.84
39.54,39.41,39.64,39.06
39.65,40.38,40.47,39.63
39.75,41.22,41.30,39.57
41.57,43.02,43.08,41.29
42.84,43.01,43.91,42.84
43.14,43.87,44.27,43.14
44.23,44.92,45.38,44.23
44.90,44.49,45.25,44.30
44.83,44.81,45.06,44.57
44.90,45.10,45.40,44.58
44.91,44.98,45.62,44.63
44.85,45.21,45.78,44.28
44.90,45.26,45.39,44.60
45.40,45.54,45.76,45.04
45.47,45.79,45.91,44.83
45.99,46.60,46.84,45.69
46.84,46.97,47.58,46.79
47.12,45.35,47.35,44.94
45.35,45.35,45.62,44.51
44.66,44.69,45.02,43.85
44.58,46.42,46.48,44.57
46.08,47.92,48.77,46.04
48.24,45.45,48.25,45.44
45.70,44.75,46.07,44.60
45.18,45.70,45.95,45.17
45.79,45.84,46.34,45.61
46.02,45.34,46.46,45.22
45.82,45.45,46.09,45.15
45.69,46.55,46.80,45.47
46.29,46.78,46.86,46.19
46.46,45.99,46.60,45.69
45.56,46.20,46.34,45.10
46.52,46.97,46.99,46.00
46.98,46.54,47.62,46.39
46.33,45.95,46.46,45.35
46.14,46.75,46.75,45.72
46.79,46.82,47.00,46.38
46.40,46.13,47.06,45.41
45.45,45.05,46.36,44.85
45.53,47.04,47.17,45.53
47.06,48.92,49.45,47.06
48.38,50.37,50.37,47.98
50.15,50.89,51.11,50.03
50.68,50.87,51.20,50.61
50.36,48.01,50.60,47.81
48.26,49.10,49.17,47.85
49.69,48.79,50.20,48.02
48.72,48.31,49.13,46.51
48.74,48.88,49.44,47.79
47.97,46.96,48.24,46.64
46.21,46.25,47.09,45.33
46.17,44.28,47.06,41.17
44.40,42.95,44.78,42.28
45.45,45.55,45.81,44.71
45.28,45.58,46.40,44.90
45.77,47.44,47.47,45.77
47.24,47.19,48.10,46.93
46.61,45.41,46.61,44.72
45.39,43.36,45.66,42.59
43.86,41.78,44.23,41.62
41.60,41.50,42.40,40.97
39.88,38.85,40.74,38.68
37.95,40.38,40.41,37.63
40.17,38.57,40.77,38.50
37.30,38.78,38.92,36.93
39.64,39.00,40.17,38.83
40.23,41.04,41.07,39.69
40.77,39.04,40.77,39.02
37.86,36.49,38.58,36.49
37.08,39.73,39.76,36.77
39.96,39.51,40.17,38.51
38.43,37.96,39.92,37.70
38.22,37.09,38.64,37.07
36.91,37.98,38.09,35.99
38.35,38.34,39.78,38.02
39.49,40.36,40.47,39.22
39.92,42.31,42.59,39.87
43.01,42.05,43.23,41.90
42.29,43.80,43.86,42.29
43.43,43.55,44.01,42.82
43.93,44.05,44.59,43.43
44.11,45.39,45.42,43.71
46.10,44.41,46.35,44.01
44.20,42.61,44.46,42.51
42.43,42.30,42.67,41.62
42.16,40.85,42.23,40.74
40.93,41.48,41.66,40.49
41.37,41.07,41.51,40.83
40.32,40.25,40.89,39.80
40.31,39.58,41.46,39.50
39.81,39.11,40.15,38.24
39.31,39.43,39.80,38.61
40.29,39.03,40.82,38.66
39.35,40.90,41.06,39.35
41.17,41.87,41.93,40.68
42.01,42.39,42.44,41.58
42.20,41.31,42.90,41.19
42.07,42.93,43.21,41.49
42.73,43.23,43.57,42.24
43.03,43.29,43.52,41.82
42.94,42.02,42.94,41.96
42.23,42.58,42.74,41.78
41.66,43.13,43.25,41.63
43.47,43.28,44.18,43.01
43.84,44.04,44.50,43.35
43.57,45.32,45.40,43.31
45.17,45.83,45.85,44.98
46.25,44.88,46.34,44.55
44.37,43.77,44.84,43.53
43.89,44.99,45.09,43.56
44.24,45.94,46.03,44.12
46.51,46.40,47.49,46.12
45.91,45.47,46.29,44.94
45.78,44.71,47.89,44.07
44.45,46.59,46.67,44.23
46.08,46.00,47.02,45.75
46.08,46.23,46.33,45.42
45.62,45.21,45.74,44.95
44.33,43.29,44.54,43.18
42.39,43.25,43.65,42.23
43.19,42.85,43.70,42.82
42.51,42.87,43.04,42.41
43.28,44.42,44.86,43.28
44.25,43.75,44.31,43.68
43.47,42.62,43.74,42.27
41.98,41.52,42.26,40.89
41.78,41.34,41.96,41.19
40.50,40.52,41.16,39.95
40.38,40.28,40.40,39.29
40.64,39.90,40.74,39.84
40.09,42.16,42.28,39.63
42.04,41.24,42.57,41.24
40.77,41.23,41.44,40.58
42.08,42.67,42.90,41.79
42.97,43.12,43.14,41.84
43.60,43.58,43.99,43.21
42.99,42.81,43.25,42.50
42.98,43.45,43.67,42.98
44.37,43.52,44.37,43.31
43.70,44.62,44.75,43.66
45.11,45.10,45.34,44.72
45.12,45.24,45.40,44.30
45.11,44.27,45.13,43.96
44.36,44.36,44.72,43.97
44.70,43.83,44.79,43.78
43.88,45.18,45.33,43.43
45.25,45.73,46.13,44.84
45.47,44.87,46.31,44.59
