DYNT,Dynatronics Corporation - Common Stock,NASDAQ
4.45,4.24,4.45,3.98
4.45,4.38,4.45,3.98
4.40,4.35,4.40,4.05
4.25,4.20,4.25,3.98
4.15,4.44,4.44,4.05
4.06,4.34,4.44,4.05
4.30,4.30,4.30,4.30
4.30,5.25,5.40,4.30
5.45,6.00,7.20,5.35
6.00,5.70,6.00,5.35
5.45,5.60,5.75,5.25
5.50,5.80,5.80,5.45
6.00,5.55,6.00,5.50
5.45,5.50,5.75,5.45
5.75,5.70,5.95,5.50
5.55,5.40,5.95,5.15
5.40,5.60,5.60,5.30
5.25,5.60,5.60,5.25
5.60,6.00,6.10,5.50
6.10,5.60,6.25,5.35
5.50,5.60,5.60,5.30
5.60,5.40,5.60,5.25
5.90,5.55,5.95,5.30
5.60,5.55,5.60,5.50
5.75,5.85,5.85,5.35
5.75,5.70,5.75,5.05
5.20,5.55,5.70,5.20
5.55,5.46,5.65,5.30
5.65,5.25,5.65,5.00
5.70,5.70,5.80,5.45
5.55,5.70,5.80,5.30
5.50,5.65,5.75,5.30
5.80,5.55,5.80,5.30
5.75,5.35,5.75,5.30
5.30,5.60,5.60,5.30
5.30,5.35,5.65,5.10
5.65,5.20,5.65,5.05
5.20,4.60,5.20,4.60
4.75,5.44,5.44,4.75
5.45,5.30,5.45,4.90
5.20,5.26,5.44,4.90
4.90,5.00,5.45,4.75
4.85,4.85,5.20,4.75
4.85,5.15,5.15,4.85
5.45,5.00,5.45,5.00
5.00,4.75,5.20,4.40
nan,4.75,nan,nan
4.80,5.00,5.15,4.80
4.80,5.12,5.15,4.80
5.00,5.05,5.05,4.75
5.15,5.15,5.15,5.15
4.95,5.15,5.15,4.95
4.95,4.95,4.95,4.95
4.95,5.10,5.15,4.85
5.05,5.30,5.40,4.96
5.20,5.25,5.25,5.05
5.05,5.20,5.20,5.05
5.20,5.20,5.20,5.05
5.05,5.20,5.20,5.00
5.00,5.15,5.15,4.85
5.15,5.10,5.15,4.95
N/A,N/A,N/A,N/A
4.95,5.15,5.15,4.95
5.05,5.30,5.50,5.05
5.30,5.25,5.30,5.05
5.30,5.15,5.30,5.00
4.90,5.05,5.15,4.90
5.35,5.05,5.35,5.05
5.05,5.30,5.30,4.85
5.30,5.25,5.40,4.90
4.85,5.05,5.15,4.85
5.05,5.05,5.05,4.85
5.00,5.05,5.05,4.85
5.02,5.00,5.05,4.85
5.03,4.85,5.03,4.85
4.80,4.80,5.16,4.76
4.90,5.05,5.05,4.75
5.05,5.15,5.15,5.00
5.25,5.15,5.25,5.15
5.10,5.20,5.20,5.05
5.15,5.00,5.20,4.75
5.15,5.00,5.15,5.00
5.15,5.00,5.15,4.85
4.90,4.95,5.03,4.85
5.05,5.00,5.05,4.85
4.86,4.95,5.00,4.60
4.60,4.45,5.00,4.24
4.75,4.75,4.85,4.40
4.58,4.74,4.75,4.58
4.50,4.50,4.50,4.00
4.65,4.75,5.00,4.30
5.00,4.85,5.00,4.85
4.30,4.50,4.90,4.24
4.20,4.68,4.85,4.20
4.25,4.54,4.54,4.25
4.00,4.25,4.50,3.75
3.56,4.20,4.20,3.56
