TOPS,TOP Ships Inc. - Common Stock,NASDAQ
1.01,0.99,1.01,0.98
1.05,1.06,1.08,0.99
1.10,1.10,1.11,1.06
1.10,1.14,1.15,1.08
1.14,1.14,1.15,1.09
1.18,1.19,1.22,1.15
1.18,1.17,1.25,1.15
1.20,1.21,1.25,1.16
1.25,1.24,1.30,1.21
1.28,1.17,1.28,1.16
1.17,1.04,1.17,1.02
1.11,1.05,1.11,1.03
1.03,1.10,1.10,1.03
1.08,1.11,1.11,1.06
1.13,1.13,1.16,1.10
1.11,1.14,1.16,1.07
1.16,1.12,1.16,1.08
1.10,1.12,1.12,1.08
1.11,1.10,1.13,1.07
1.16,1.10,1.16,1.09
1.15,1.10,1.15,1.10
1.15,1.10,1.15,1.10
1.10,1.10,1.11,1.10
1.07,1.10,1.11,1.07
1.14,1.10,1.14,1.10
1.08,1.10,1.13,1.08
1.12,1.10,1.12,1.09
1.10,1.09,1.10,1.05
1.11,1.14,1.14,1.11
1.14,1.16,1.16,1.11
1.17,1.09,1.17,1.08
1.10,1.07,1.10,1.05
1.05,1.03,1.07,1.02
1.03,1.08,1.08,1.03
1.06,1.07,1.08,1.03
1.06,1.07,1.07,1.03
1.10,1.09,1.10,1.02
1.10,1.08,1.11,1.04
1.10,1.10,1.12,1.06
1.10,1.06,1.10,1.05
1.09,1.08,1.12,1.06
1.07,1.08,1.08,1.06
1.09,1.07,1.10,1.07
1.09,1.12,1.19,1.06
1.08,1.14,1.18,1.04
1.14,1.12,1.14,1.08
1.12,1.11,1.12,1.09
1.09,1.14,1.14,1.04
1.13,1.14,1.14,1.12
1.14,1.12,1.15,1.12
1.12,1.13,1.14,1.11
1.12,1.12,1.15,1.08
1.05,1.05,1.14,1.05
1.05,1.07,1.09,1.05
1.07,1.07,1.08,1.06
1.07,1.08,1.09,1.06
1.12,1.08,1.12,1.07
1.08,1.11,1.11,1.08
1.12,1.10,1.12,1.10
1.10,1.10,1.11,1.10
1.11,1.10,1.12,1.10
1.10,1.10,1.12,1.10
1.12,1.11,1.13,1.10
