BGI,Birks Group Inc. Common Stock,NASDAQ
1.23,1.17,1.23,1.17
1.24,1.08,1.24,1.05
1.01,0.95,1.01,0.95
0.95,0.95,0.95,0.95
1.00,1.00,1.00,1.00
1.00,0.95,1.00,0.95
0.95,0.95,0.95,0.95
1.00,1.00,1.00,1.00
0.96,0.86,1.02,0.86
0.60,0.60,0.60,0.60
0.91,0.91,0.91,0.91
nan,0.91,nan,nan
0.96,0.96,0.96,0.96
0.92,0.92,0.92,0.92
0.86,0.86,0.86,0.76
0.83,0.83,0.83,0.83
0.82,0.82,0.82,0.82
0.52,0.52,0.52,0.52
0.82,0.82,0.82,0.82
0.77,0.77,0.77,0.77
0.80,0.81,0.81,0.80
0.69,0.69,0.69,0.69
0.81,0.81,0.81,0.81
nan,0.81,nan,nan
0.75,0.73,0.75,0.73
0.72,0.75,0.75,0.72
0.75,0.75,0.75,0.75
0.70,0.63,0.70,0.61
0.64,0.63,0.90,0.63
nan,0.63,nan,nan
0.70,0.67,0.70,0.64
0.68,0.68,0.68,0.68
0.72,0.77,0.83,0.71
0.80,0.70,0.80,0.67
0.70,0.70,0.70,0.70
0.67,0.63,0.67,0.61
0.63,0.63,0.65,0.63
0.65,0.67,0.67,0.65
0.66,0.66,0.66,0.66
0.62,0.62,0.62,0.62
0.67,0.67,0.71,0.67
0.61,0.61,0.61,0.61
0.68,0.68,0.68,0.68
1.18,0.87,1.18,0.71
1.20,0.80,1.20,0.63
0.82,0.82,0.82,0.77
nan,0.82,nan,nan
0.78,0.78,0.78,0.78
0.65,0.70,0.72,0.65
0.69,0.69,0.69,0.69
0.70,0.70,0.70,0.70
0.73,0.72,0.73,0.72
0.70,0.70,0.70,0.70
0.76,0.80,0.80,0.76
0.82,0.82,0.82,0.82
0.71,0.71,0.71,0.71
0.80,0.80,0.80,0.80
0.82,0.82,0.82,0.82
0.73,0.73,0.73,0.73
0.79,0.79,0.79,0.79
0.71,0.71,0.71,0.71
0.75,0.72,0.79,0.70
0.72,0.72,0.72,0.72
0.70,0.72,0.72,0.70
0.74,0.78,0.78,0.74
0.68,0.68,0.68,0.68
0.81,0.82,0.85,0.81
0.79,0.80,0.83,0.71
0.82,0.86,0.86,0.82
0.89,0.94,0.94,0.89
0.96,0.98,0.98,0.95
0.86,0.86,0.86,0.86
1.00,0.95,1.06,0.78
0.95,1.01,1.01,0.95
1.01,1.00,1.10,1.00
0.80,0.80,0.80,0.80
1.03,1.06,1.09,1.03
1.10,1.04,1.10,1.01
1.01,0.91,1.10,0.85
0.93,0.96,0.97,0.93
0.95,0.95,0.98,0.95
0.95,0.95,0.95,0.95
0.98,1.85,0.00,0.98
2.35,1.99,2.35,1.85
2.00,1.73,2.13,1.65
1.77,1.70,1.77,1.70
1.70,1.49,1.70,1.49
1.55,1.61,1.64,1.55
1.55,1.53,1.55,1.49
1.35,1.31,1.43,1.31
1.38,1.54,1.54,1.37
1.42,1.46,1.46,1.42
1.38,1.35,1.38,1.28
1.39,1.32,1.39,1.32
1.26,1.25,1.29,1.11
1.20,1.21,1.29,1.20
1.20,1.16,1.20,1.16
1.16,1.22,1.22,1.16
1.12,1.12,1.12,1.12
1.13,1.15,1.19,1.13
1.16,1.16,1.16,1.16
1.19,1.19,1.19,1.19
1.40,1.45,1.45,1.34
1.19,1.19,1.19,1.19
0.73,0.73,0.73,0.73
1.43,1.30,1.63,1.30
1.30,1.25,1.30,1.25
1.16,1.17,1.22,1.16
1.31,1.25,1.41,1.25
1.25,1.25,1.25,1.25
1.20,1.25,1.25,1.18
1.32,1.18,1.46,1.17
1.18,1.18,1.18,1.18
1.18,1.18,1.18,1.18
1.20,1.20,1.20,1.20
1.28,1.34,1.34,1.22
1.38,1.32,1.38,1.32
1.31,1.31,1.31,1.31
1.20,1.32,1.32,1.17
1.20,1.17,1.20,1.17
0.96,0.96,0.96,0.96
1.29,1.29,1.29,1.29
1.18,1.18,1.18,1.18
1.17,1.23,1.23,1.17
1.17,1.10,1.17,1.10
1.08,1.05,1.08,1.05
1.05,1.10,1.10,1.05
1.10,1.47,1.50,1.10
1.70,1.40,1.70,1.40
1.35,1.38,1.40,1.35
1.25,1.32,1.32,1.25
1.38,1.38,1.45,1.38
1.28,1.25,1.28,1.25
1.25,1.35,1.35,1.25
1.17,1.22,1.25,1.15
nan,1.22,nan,nan
1.25,1.21,1.30,1.21
1.30,1.30,1.30,1.30
1.30,1.20,1.30,1.20
1.20,1.16,1.27,1.16
1.16,1.16,1.16,1.16
1.17,1.15,1.17,1.12
1.14,1.15,1.15,1.14
0.87,0.87,0.87,0.87
nan,1.15,nan,nan
1.15,1.15,1.15,1.15
1.15,1.20,1.20,1.15
1.19,1.19,1.19,1.19
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
1.25,1.17,1.25,1.17
nan,1.17,nan,nan
0.87,0.87,0.87,0.87
1.14,1.09,1.14,1.03
1.02,1.06,1.10,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.02,1.00
1.00,1.00,1.00,1.00
1.00,1.04,1.04,1.00
1.08,1.09,1.11,1.08
1.09,1.09,1.09,1.09
0.80,0.80,0.80,0.80
1.06,1.06,1.06,1.06
1.10,1.10,1.10,1.10
0.93,0.93,0.93,0.93
nan,1.10,nan,nan
nan,1.10,nan,nan
1.02,1.02,1.07,1.02
1.55,1.10,1.55,1.06
N/A,N/A,N/A,N/A
1.14,1.10,1.14,1.10
1.10,1.10,1.15,1.10
0.83,0.83,0.83,0.83
1.14,1.25,1.25,1.14
1.25,1.11,1.25,1.11
0.51,0.51,0.51,0.51
N/A,N/A,N/A,N/A
1.15,1.17,1.17,1.15
1.15,1.25,1.25,1.15
1.20,1.25,1.25,1.15
1.25,1.25,1.25,1.25
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
1.21,1.20,1.22,1.20
1.20,1.20,1.20,1.16
1.20,1.20,1.20,1.20
0.87,0.87,0.87,0.87
0.71,0.71,0.71,0.71
1.16,1.04,1.16,1.04
N/A,N/A,N/A,N/A
1.10,1.14,1.14,1.10
1.05,1.14,1.15,1.05
1.15,1.20,1.25,1.15
1.10,1.10,1.10,1.10
1.20,1.20,1.24,1.20
1.26,1.20,1.26,1.20
1.26,1.20,1.26,1.20
1.20,1.20,1.20,1.20
1.21,1.20,1.21,1.12
1.15,1.15,1.15,1.15
1.16,1.15,1.16,1.15
0.87,0.87,0.87,0.87
1.19,1.24,1.26,1.19
1.26,1.24,1.26,1.24
1.25,1.26,1.26,1.24
1.24,1.21,1.24,1.21
1.30,1.35,1.35,1.30
1.35,1.35,1.35,1.35
1.25,1.35,1.35,1.22
1.07,1.07,1.07,1.07
1.28,1.26,1.28,1.26
1.26,1.23,1.26,1.17
1.01,1.01,1.01,1.01
1.23,1.23,1.23,1.23
1.22,1.32,1.60,1.11
1.23,1.32,1.32,1.15
1.23,1.30,1.34,1.23
1.15,1.15,1.15,1.15
1.29,1.29,1.29,1.29
1.16,1.15,1.16,1.15
1.20,1.27,1.27,1.20
1.13,1.13,1.13,1.13
1.29,1.29,1.29,1.29
1.19,1.18,1.19,1.18
1.08,1.13,1.14,1.08
1.17,1.24,1.24,1.17
1.28,1.40,1.40,1.28
1.34,1.25,1.35,1.25
1.24,1.24,1.24,1.24
1.34,1.34,1.34,1.34
1.47,1.33,1.47,1.33
1.34,1.34,1.34,1.34
1.10,1.10,1.10,1.10
1.44,1.47,1.49,1.44
1.47,1.47,1.47,1.47
1.47,1.50,1.50,1.47
1.55,1.50,1.55,1.50
1.55,1.38,1.55,1.38
1.35,1.35,1.35,1.35
1.45,1.37,1.50,1.36
1.12,1.12,1.12,1.12
1.46,1.47,1.50,1.46
1.25,1.25,1.25,1.25
1.37,1.54,1.54,1.37
1.44,1.40,1.44,1.40
1.54,1.48,1.55,1.48
1.48,1.48,1.55,1.48
1.53,1.40,1.53,1.35
1.35,1.35,1.35,1.35
1.42,1.42,1.42,1.42
1.41,1.45,1.45,1.41
1.40,1.40,1.40,1.40
1.31,1.31,1.31,1.31
1.34,1.34,1.34,1.34
1.10,1.10,1.10,1.10
1.46,1.39,1.46,1.34
1.42,1.40,1.42,1.40
1.50,1.52,1.52,1.50
2.00,1.52,1.52,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.40,1.50,1.50,1.40
1.40,1.40,1.41,1.40
1.43,1.43,1.43,1.43
N/A,N/A,N/A,N/A
1.40,1.35,1.40,1.35
1.44,1.44,1.44,1.44
1.35,1.40,1.40,1.35
1.22,1.22,1.22,1.22
1.45,1.45,1.45,1.45
1.55,1.45,1.55,1.45
1.55,1.48,1.55,1.48
1.40,1.35,1.40,1.35
1.32,1.35,1.40,1.32
1.42,1.44,1.47,1.42
1.49,1.39,1.49,1.39
1.48,1.46,1.48,1.46
1.36,1.31,1.36,1.25
1.37,1.25,1.37,1.25
1.34,1.28,1.50,1.28
1.26,1.50,1.50,1.26
1.50,1.34,1.50,1.27
1.34,1.34,1.34,1.34
1.35,1.42,1.42,1.35
1.42,1.48,1.48,1.42
1.46,1.44,1.46,1.43
1.30,1.46,1.50,1.30
1.50,1.49,1.50,1.40
1.40,1.40,1.40,1.40
1.15,1.15,1.15,1.15
1.39,1.39,1.39,1.39
1.48,1.48,1.48,1.48
1.33,1.40,1.40,1.33
1.33,1.33,1.33,1.33
1.47,1.50,1.50,1.47
1.72,1.50,1.72,1.45
1.50,1.57,1.58,1.50
1.59,1.45,1.59,1.45
1.45,1.45,1.45,1.45
1.50,1.41,1.50,1.41
1.50,1.53,1.53,1.50
1.53,1.46,1.53,1.46
1.36,1.35,1.43,1.35
1.34,1.28,1.34,1.25
