KLDX,Klondex Mines Ltd. Common Stock,NASDAQ
1.24,1.24,1.24,1.24
1.21,1.21,1.21,1.21
1.28,1.27,1.28,1.27
1.33,1.37,1.37,1.32
1.36,1.36,1.36,1.36
1.37,1.41,1.41,1.37
1.41,1.41,1.41,1.41
1.32,1.29,1.32,1.29
1.28,1.29,1.29,1.28
1.29,1.29,1.29,1.29
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.20,1.19,1.21,1.19
1.16,1.16,1.16,1.16
1.17,1.23,1.23,1.17
1.20,1.20,1.20,1.20
1.21,1.18,1.21,1.18
1.18,1.18,1.18,1.18
1.18,1.17,1.18,1.17
1.18,1.18,1.18,1.18
1.18,1.20,1.20,1.16
1.17,1.17,1.17,1.17
1.11,1.17,1.18,1.11
1.17,1.15,1.17,1.15
1.17,1.17,1.17,1.17
1.18,1.18,1.18,1.18
1.18,1.18,1.18,1.18
1.19,1.19,1.19,1.18
1.17,1.20,1.22,1.17
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.16,1.12,1.16,1.12
1.15,1.11,1.20,1.11
1.11,1.11,1.11,1.11
1.10,1.10,1.10,1.10
1.12,1.17,1.17,1.12
1.12,1.12,1.12,1.12
1.11,1.17,1.17,1.11
1.15,1.20,1.20,1.15
1.16,1.16,1.16,1.16
1.21,1.21,1.21,1.21
1.21,1.21,1.21,1.21
1.18,1.22,1.22,1.18
1.22,1.22,1.22,1.22
1.22,1.22,1.22,1.22
1.23,1.27,1.28,1.23
1.31,1.31,1.31,1.30
1.31,1.31,1.31,1.31
1.36,1.36,1.36,1.36
1.36,1.36,1.36,1.36
1.36,1.53,1.53,1.36
1.49,1.42,1.49,1.40
1.39,1.35,1.39,1.35
1.45,1.34,1.46,1.34
1.34,1.34,1.34,1.34
1.36,1.36,1.36,1.36
1.39,1.42,1.42,1.37
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.37,1.37,1.37,1.37
1.38,1.42,1.42,1.36
1.43,1.42,1.45,1.42
