ISDR,Issuer Direct Corporation Common Stock,NASDAQ
0.13,0.13,0.13,0.13
0.17,0.14,0.17,0.14
0.14,0.14,0.14,0.14
0.13,0.13,0.13,0.13
0.16,0.16,0.16,0.13
0.16,0.16,0.16,0.16
0.17,0.17,0.17,0.17
0.13,0.17,0.17,0.13
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.13
0.15,0.15,0.15,0.15
0.13,0.13,0.14,0.13
0.13,0.13,0.13,0.13
0.14,0.14,0.14,0.14
0.15,0.13,0.15,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.16,0.16,0.15
0.16,0.16,0.16,0.16
0.15,0.14,0.20,0.12
0.15,0.14,0.15,0.14
0.13,0.20,0.20,0.12
0.20,0.20,0.20,0.20
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.18,0.18,0.18,0.18
0.16,0.18,0.18,0.16
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.11,0.17,0.17,0.11
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.15
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.17,0.18,0.18,0.15
0.18,0.18,0.20,0.18
0.20,0.23,0.23,0.20
0.20,0.21,0.25,0.20
0.22,0.22,0.22,0.22
0.51,0.19,0.51,0.19
0.21,0.21,0.21,0.21
0.21,0.20,0.22,0.20
0.25,0.21,0.25,0.19
0.21,0.21,0.21,0.21
0.21,0.25,0.26,0.21
0.25,0.25,0.32,0.25
0.26,0.27,0.29,0.26
0.28,0.25,0.28,0.25
0.25,0.25,0.25,0.25
0.20,0.18,0.20,0.18
0.23,0.24,0.24,0.23
0.24,0.25,0.25,0.23
0.30,0.31,0.31,0.30
0.31,0.32,0.32,0.30
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.35,0.35,0.35,0.35
0.29,0.29,0.29,0.29
0.34,0.34,0.34,0.34
0.20,0.35,0.35,0.20
0.25,0.35,0.35,0.25
0.30,0.34,0.34,0.30
0.34,0.34,0.34,0.34
0.25,0.26,0.26,0.24
0.35,0.25,0.35,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.22,0.25,0.21
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.25,0.35,0.35,0.24
0.22,0.22,0.22,0.20
0.28,0.29,0.30,0.22
0.29,0.29,0.29,0.29
0.35,0.29,0.35,0.29
0.30,0.30,0.30,0.30
0.29,0.20,0.29,0.20
0.24,0.18,0.24,0.18
0.18,0.18,0.18,0.18
0.19,0.23,0.23,0.19
0.21,0.21,0.21,0.21
0.22,0.26,0.26,0.20
0.20,0.25,0.25,0.20
0.25,0.25,0.25,0.19
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.19,0.25,0.25,0.19
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.26,0.26,0.26,0.26
0.22,0.22,0.22,0.22
0.25,0.25,0.30,0.25
0.25,0.25,0.25,0.25
0.32,0.22,0.32,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.25,0.25,0.23
0.25,0.26,0.26,0.25
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.23,0.23,0.23,0.23
0.20,0.21,0.21,0.20
0.22,0.22,0.22,0.22
0.21,0.18,0.21,0.15
0.17,0.19,0.22,0.17
0.21,0.20,0.21,0.20
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.20,0.21,0.20
0.20,0.20,0.20,0.20
0.19,0.20,0.20,0.19
0.20,0.18,0.20,0.18
0.25,0.19,0.25,0.19
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.18,0.23,0.18
0.18,0.18,0.18,0.18
0.18,0.19,0.19,0.18
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.18,0.19,0.19,0.18
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.17,0.17,0.17,0.17
0.21,0.21,0.21,0.21
