JJT,iPath Bloomberg Tin Subindex Total Return SM ETN,NASDAQ
43.87,43.87,43.87,43.87
41.26,41.65,47.36,40.76
41.82,41.49,42.16,41.49
41.49,41.49,41.49,41.49
41.49,41.49,41.49,41.49
42.21,42.33,42.76,42.09
42.33,42.33,42.33,42.33
42.44,42.44,42.44,42.44
43.08,43.08,43.08,43.08
43.14,43.14,43.14,43.14
42.75,42.73,43.25,41.59
42.73,42.73,42.73,42.73
42.73,42.73,42.73,42.73
41.61,41.91,42.25,41.61
42.15,42.25,42.56,42.00
42.25,42.25,42.25,42.25
41.79,41.79,41.79,41.79
41.50,41.56,41.56,41.50
40.75,40.00,40.75,40.00
38.21,37.81,38.21,37.81
37.29,39.27,39.37,37.29
39.04,38.61,39.30,38.59
38.46,37.64,38.46,37.64
36.86,36.27,37.11,36.03
36.10,36.29,36.29,36.10
36.29,36.29,36.29,36.29
37.37,37.19,37.37,37.19
37.80,37.80,37.80,37.80
37.85,37.85,37.85,37.85
37.85,37.85,37.85,37.85
37.64,40.18,40.18,37.64
40.50,40.10,41.70,39.51
40.33,39.86,40.33,39.35
39.86,39.86,39.86,39.86
40.25,39.73,40.25,39.06
39.26,39.66,40.36,39.26
39.66,39.66,39.66,39.66
39.66,39.66,39.66,39.66
39.02,40.06,40.62,38.34
39.77,39.70,39.95,39.38
39.70,39.70,39.70,39.70
39.92,40.38,40.38,39.92
40.81,40.60,40.81,40.60
41.73,40.56,41.90,40.56
40.56,40.56,40.56,40.56
42.04,41.39,42.04,41.16
40.62,40.68,40.83,40.62
40.81,41.01,41.01,40.81
40.78,40.78,40.78,40.78
40.78,40.78,40.78,40.78
40.78,40.78,40.78,40.78
40.78,40.78,40.78,40.78
40.78,40.78,40.78,40.78
40.78,40.78,40.78,40.78
41.00,41.43,41.43,40.86
41.43,41.43,41.43,41.43
41.43,41.43,41.43,41.43
40.95,40.95,40.95,40.95
42.35,42.30,42.35,42.30
42.30,42.30,42.30,42.30
42.30,42.30,42.30,42.30
42.99,42.99,42.99,42.99
43.42,43.38,43.42,43.37
43.38,43.38,43.38,43.38
43.38,43.38,43.38,43.38
43.32,43.50,43.50,43.32
43.50,43.50,43.50,43.50
44.99,44.99,44.99,44.99
44.99,44.99,44.99,44.99
44.99,44.99,44.99,44.99
43.97,44.90,44.90,43.97
44.90,44.07,44.98,44.07
44.07,44.07,44.07,44.07
44.07,44.07,44.07,44.07
44.07,44.07,44.07,44.07
44.07,44.07,44.07,44.07
43.72,43.72,43.72,43.72
43.72,43.72,43.72,43.72
