DRQ,Dril-Quip,NASDAQ
57.32,57.85,58.13,57.32
57.90,58.20,58.33,57.54
58.20,58.42,58.56,58.01
58.31,57.90,58.41,57.14
57.45,58.47,58.62,57.45
58.79,57.73,59.00,57.22
57.20,56.34,57.21,56.15
56.32,56.56,56.66,54.83
56.51,55.53,57.05,55.37
56.59,55.84,56.59,55.19
55.77,56.63,56.69,55.63
56.00,55.86,56.22,54.63
55.98,55.19,56.25,54.52
55.15,54.45,55.15,54.12
54.79,54.36,55.85,54.11
54.07,54.04,55.46,53.33
53.60,54.51,54.52,53.21
54.84,54.00,54.88,53.24
54.36,52.49,54.99,52.01
52.85,53.51,54.00,52.66
53.77,53.82,54.44,52.99
53.37,53.62,54.56,52.94
52.82,51.13,52.82,51.07
51.14,50.40,51.43,48.71
50.60,50.67,51.36,49.92
51.22,52.62,52.79,51.05
52.32,52.31,52.89,51.38
52.12,53.32,53.49,51.68
52.63,53.96,53.96,52.28
54.02,54.91,54.91,53.91
55.30,54.70,55.52,54.08
54.78,56.39,56.53,54.60
56.46,56.40,57.20,56.15
56.59,57.00,57.33,56.13
56.74,55.36,57.10,55.18
55.40,56.44,56.49,55.09
55.50,56.51,56.64,54.26
56.38,54.72,56.44,52.70
54.88,56.33,56.34,54.75
56.30,57.44,57.52,56.06
57.71,58.21,59.26,57.50
58.51,58.20,58.78,57.59
58.72,59.79,59.88,58.68
59.95,60.68,61.02,59.75
60.29,60.60,61.00,60.04
60.43,60.90,61.21,59.93
60.59,61.56,61.64,60.08
61.98,62.14,62.25,61.51
61.86,62.38,62.57,61.15
62.60,63.09,63.33,61.92
63.43,63.20,64.13,63.04
62.92,62.00,63.37,61.45
62.12,60.28,62.12,59.95
59.63,60.96,61.19,59.23
61.14,61.28,62.00,60.68
60.79,62.12,62.34,60.72
62.70,59.25,62.70,59.21
59.28,59.13,60.14,58.42
59.48,60.47,61.41,59.27
60.73,60.70,61.22,60.40
60.66,60.84,61.98,60.66
61.33,63.96,63.96,61.33
64.40,64.94,65.29,64.10
64.85,65.43,65.72,64.58
65.33,65.17,65.98,64.40
65.06,64.58,65.06,63.37
64.88,64.83,64.88,63.80
65.18,64.56,65.56,64.49
64.20,64.30,64.37,63.22
64.78,65.37,65.39,63.74
65.10,65.45,65.59,64.84
65.16,64.89,65.65,64.15
64.40,65.24,65.34,64.25
65.75,66.08,66.37,65.64
66.05,66.35,66.42,65.24
65.38,68.13,68.50,65.35
68.38,69.97,69.99,68.23
70.11,69.68,70.78,69.47
69.15,64.50,69.15,64.44
65.14,63.59,65.18,62.97
63.79,65.62,65.98,62.71
63.76,57.93,63.76,57.84
58.25,60.86,61.21,56.39
59.85,58.53,60.30,58.30
57.07,57.11,59.05,55.97
56.57,54.91,57.25,50.71
55.33,55.00,58.00,54.12
57.51,57.93,59.89,57.00
57.37,57.13,58.55,56.98
57.59,61.96,62.19,57.59
61.88,60.60,62.80,60.16
59.70,58.52,60.05,57.18
58.76,57.42,59.28,56.59
58.15,56.16,58.69,55.87
55.70,54.60,56.07,53.58
53.19,51.38,53.19,50.83
50.21,53.41,54.47,49.93
53.17,51.05,53.54,51.01
49.07,52.61,52.81,48.71
53.24,53.89,55.07,53.24
55.23,53.55,56.28,53.02
53.51,48.71,53.51,48.68
46.97,40.95,46.97,40.86
41.79,43.89,44.02,40.38
43.11,44.00,44.20,42.67
43.20,43.61,45.89,42.75
43.96,43.60,45.37,43.40
43.65,43.91,44.49,42.42
44.16,43.64,46.69,43.22
44.47,46.71,46.73,43.98
45.97,47.02,47.30,45.81
47.61,47.77,48.97,47.00
48.24,49.88,50.15,47.97
49.21,49.68,50.94,48.83
49.97,49.09,49.97,48.80
49.26,48.98,49.47,48.73
49.88,48.95,50.06,48.46
48.70,47.21,49.13,47.02
46.86,46.12,46.90,45.32
46.12,44.79,46.16,44.44
45.05,46.02,46.11,44.90
46.50,45.55,46.50,45.42
44.52,44.83,45.35,44.14
44.91,44.02,45.46,43.82
43.92,44.03,44.63,42.35
44.53,44.43,44.92,43.51
45.22,44.62,46.28,44.15
44.95,46.91,46.94,44.95
47.28,48.27,48.36,46.92
48.31,49.28,49.33,47.80
48.98,48.57,49.53,47.73
49.44,49.14,49.44,48.15
48.77,48.88,49.55,48.36
49.50,49.22,49.90,48.06
48.79,47.62,49.11,47.38
47.61,47.50,47.96,46.43
46.55,49.47,49.62,46.39
50.02,48.55,50.25,48.23
49.51,51.07,51.81,49.19
50.81,52.42,52.52,50.02
52.77,51.52,52.77,50.63
51.97,51.89,52.76,51.42
51.59,51.83,51.94,50.44
52.25,52.15,53.29,51.49
51.13,52.28,52.52,50.73
53.43,54.03,55.00,53.29
53.93,53.79,54.69,53.31
53.98,53.91,54.59,53.35
53.42,53.39,53.99,52.37
52.62,52.37,52.90,50.65
52.50,53.59,53.72,52.28
52.82,54.03,54.71,52.17
52.91,51.93,52.94,51.67
50.97,51.51,52.30,50.81
51.45,51.61,51.97,51.16
51.29,51.60,51.84,50.91
52.43,53.37,54.08,51.95
53.25,53.91,54.12,52.70
53.72,52.35,54.00,52.18
51.74,51.83,51.95,50.87
52.25,52.06,53.00,51.92
51.01,52.01,52.94,51.01
51.79,51.63,51.86,50.50
51.98,51.18,52.81,50.95
51.74,53.80,54.05,51.08
53.61,52.56,53.79,52.54
52.47,52.87,53.33,51.95
54.02,54.39,55.02,53.56
54.32,54.95,55.42,54.00
55.67,56.90,56.91,55.67
56.46,56.20,56.80,56.00
56.53,56.92,57.14,56.31
58.04,56.95,58.05,56.43
57.01,58.77,58.79,56.93
59.27,58.85,59.59,58.51
58.82,58.17,59.07,58.10
57.91,59.23,59.62,57.30
58.94,57.83,59.08,57.20
58.74,57.57,58.94,57.37
57.72,58.89,58.96,56.86
59.00,59.86,60.19,58.90
59.76,60.10,60.61,59.49
59.44,60.05,60.74,59.36
60.90,61.23,61.53,60.54
61.06,60.86,62.00,60.69
60.99,62.42,62.57,60.61
62.01,63.13,63.53,61.88
63.48,62.11,63.52,61.45
62.69,63.59,63.93,61.71
63.58,62.10,63.93,61.69
62.89,64.00,64.25,62.73
63.92,63.96,64.46,63.60
64.39,63.25,64.55,62.34
63.46,64.92,65.49,63.38
65.05,65.81,66.33,64.93
65.40,65.40,65.98,64.45
65.44,67.01,67.41,65.41
66.96,66.40,67.47,65.67
66.50,65.98,66.55,64.77
65.90,66.04,66.13,65.10
65.39,65.69,66.96,64.76
66.05,67.98,68.48,65.66
68.06,66.58,68.41,65.54
66.88,67.27,67.62,66.72
68.07,67.94,68.86,67.81
67.34,67.71,68.66,67.05
67.10,67.75,67.81,66.34
68.22,66.93,68.72,66.38
66.89,69.10,69.33,66.45
69.57,68.69,70.51,67.84
69.45,70.09,70.41,69.06
70.33,69.84,70.84,68.37
71.13,73.44,73.92,70.36
73.98,73.23,74.19,72.59
71.90,74.34,74.45,71.78
74.78,72.45,75.85,71.80
72.62,75.76,75.78,72.00
74.42,76.49,76.82,74.07
74.99,73.01,75.41,72.19
71.51,73.06,74.01,71.36
72.17,71.86,72.24,70.70
72.13,74.73,74.93,72.13
75.90,77.61,78.51,75.71
77.31,77.67,77.81,76.26
77.01,78.08,78.28,75.91
76.96,75.59,76.96,74.60
76.06,78.50,78.55,76.06
77.51,77.11,78.11,77.09
76.78,77.47,77.81,74.74
76.23,77.44,78.31,75.52
79.35,80.40,81.44,79.35
80.39,80.25,80.99,79.79
79.19,80.14,80.43,79.10
79.95,81.66,81.94,79.90
83.06,81.97,83.80,81.59
82.29,80.83,82.86,80.55
81.49,80.79,81.79,80.17
81.01,81.11,81.20,80.22
81.66,82.28,83.30,81.66
82.51,81.42,83.49,80.98
81.21,77.92,81.34,77.55
77.73,78.53,78.55,76.28
78.53,77.22,78.69,77.05
77.59,77.94,78.14,76.38
78.13,78.83,78.85,77.14
78.93,78.99,79.28,78.29
78.34,78.37,79.18,78.08
78.10,77.67,78.27,77.21
77.68,77.41,77.94,76.87
77.48,78.69,79.20,77.48
78.63,78.36,78.86,78.15
78.34,77.72,78.78,77.60
78.69,78.81,80.26,78.53
79.17,75.46,79.37,75.14
75.31,76.25,76.38,74.39
76.40,73.58,76.46,72.90
73.72,74.23,74.89,72.89
73.49,74.40,74.59,72.00
74.79,75.38,75.92,74.76
76.05,76.57,78.44,75.72
76.71,77.22,77.66,75.84
77.17,77.04,77.17,76.40
76.83,78.85,78.86,76.51
78.84,76.17,79.32,76.02
75.49,73.66,75.59,72.95
72.90,72.91,74.76,72.86
72.86,73.67,73.92,72.64
73.29,72.79,73.67,71.36
73.01,75.14,75.29,72.91
74.78,73.91,75.11,72.69
73.80,73.61,74.74,72.32
74.17,77.12,77.33,73.60
77.57,78.14,78.84,76.52
77.99,78.87,79.25,77.23
78.75,78.64,79.24,77.31
78.53,77.35,78.53,76.66
77.81,80.19,80.99,77.40
80.26,77.49,80.26,77.46
77.20,76.41,77.33,75.52
76.22,77.45,77.70,75.72
76.97,77.70,77.74,76.90
77.53,80.80,81.03,77.31
80.63,79.37,81.17,78.85
79.83,80.97,82.00,79.28
81.04,81.19,82.04,80.76
81.60,81.36,81.94,80.35
81.31,78.87,82.49,78.44
78.95,78.68,80.35,78.06
78.68,76.75,79.50,76.60
77.77,79.02,79.15,76.86
77.66,76.70,77.66,71.69
78.36,76.59,79.36,76.46
76.46,77.49,77.71,74.97
78.20,78.43,79.14,77.00
77.90,77.83,78.75,76.49
77.96,75.90,78.37,75.50
76.26,76.70,77.74,74.79
76.68,75.15,77.15,74.98
73.46,71.56,73.58,71.40
71.16,74.62,75.21,70.14
73.70,75.13,75.36,71.32
72.05,74.05,75.16,71.02
74.06,71.77,74.72,71.02
73.32,73.21,74.21,72.62
74.05,74.56,76.02,73.86
75.99,77.46,77.50,75.19
77.47,76.31,77.47,76.05
76.30,76.40,76.66,74.68
76.92,76.90,77.89,75.16
77.00,77.67,78.59,76.30
77.66,76.49,78.68,76.37
76.35,79.52,80.00,75.83
79.89,78.93,79.98,78.69
78.88,79.03,79.74,78.84
79.77,78.91,80.64,78.49
79.57,78.68,80.15,78.61
78.72,79.73,80.20,78.72
80.21,78.76,80.42,77.89
78.55,78.35,79.11,77.75
79.17,77.67,80.25,77.31
77.74,75.15,77.80,74.85
74.38,72.46,74.62,72.00
