MON,Monsanto Company Common Stock,NASDAQ
82.36,83.43,83.92,82.36
83.76,85.27,85.61,83.26
83.50,86.27,86.99,82.46
85.70,85.96,86.68,84.80
85.58,86.65,86.73,85.32
86.67,85.01,87.06,84.44
83.37,83.31,83.97,81.64
81.80,83.95,84.12,80.50
83.03,82.79,84.00,81.82
82.60,81.16,83.09,80.91
80.99,81.75,82.22,80.78
81.13,81.42,82.17,80.55
81.44,79.82,82.38,79.74
79.84,77.89,79.87,77.82
78.51,77.90,79.73,77.89
77.68,77.88,78.80,77.09
77.65,77.81,78.08,76.98
77.64,77.34,78.25,76.88
78.10,75.88,78.38,75.50
76.39,77.31,77.50,76.00
77.43,77.28,77.71,76.66
77.18,77.54,78.59,76.91
76.94,75.48,77.33,75.38
75.64,76.74,77.53,71.11
76.58,74.21,76.74,74.06
75.55,75.72,77.60,75.40
76.59,75.57,76.59,74.75
75.58,75.76,76.06,74.61
75.20,75.82,76.33,74.75
76.41,77.29,77.48,76.29
78.34,78.10,78.49,77.61
77.80,77.83,78.44,77.15
77.39,77.75,78.02,77.17
78.58,76.79,78.59,76.50
76.72,75.90,77.28,75.69
75.37,74.04,76.43,73.48
72.98,71.18,73.30,70.80
71.43,70.65,71.50,70.53
71.07,71.24,71.60,70.05
72.40,71.77,73.00,71.62
72.30,73.25,74.55,72.25
73.40,74.15,74.63,73.30
74.59,72.50,74.80,71.80
72.60,72.02,73.04,71.78
71.87,71.28,72.28,70.99
71.73,71.11,71.90,70.93
70.92,71.61,72.00,70.63
72.52,72.35,72.90,72.15
72.30,71.83,72.30,71.48
72.39,72.08,72.40,71.85
73.00,72.26,73.00,72.04
72.82,72.03,72.94,71.90
72.20,72.20,72.65,71.78
71.90,72.67,72.92,71.61
72.85,72.96,72.98,72.11
72.97,73.11,73.91,72.87
73.61,71.25,73.72,71.09
71.60,71.10,71.85,70.73
71.93,71.06,71.95,71.00
71.34,71.41,71.75,71.10
71.26,71.42,71.80,71.26
72.02,70.83,72.02,70.45
70.94,70.44,71.03,70.37
70.29,69.80,70.33,69.51
67.55,68.09,71.26,67.25
68.05,68.86,69.55,67.95
69.11,68.85,69.71,68.55
68.99,69.00,69.23,68.67
68.53,67.75,68.65,67.50
67.90,65.73,67.97,65.18
66.24,65.63,66.69,65.57
65.60,64.73,65.69,63.75
64.90,66.75,66.93,64.79
67.11,66.88,67.18,65.78
67.02,66.37,67.07,65.93
65.90,65.56,66.60,65.00
65.68,65.66,65.96,64.91
65.71,65.10,65.89,65.08
64.70,63.38,64.86,63.28
63.43,63.14,63.52,62.45
62.85,62.25,63.40,62.19
62.80,63.06,63.50,62.33
63.68,63.37,63.80,62.90
62.85,61.47,62.93,61.07
60.74,60.98,61.91,60.30
60.80,58.87,61.63,57.29
59.35,59.09,60.00,58.50
60.56,59.16,61.00,58.68
58.50,57.52,58.67,57.35
57.20,56.83,57.68,56.31
56.44,55.54,56.64,55.15
54.79,54.61,54.96,54.11
54.80,55.48,55.71,53.90
55.81,54.26,55.84,54.19
54.11,56.34,56.56,53.82
55.40,53.98,55.69,53.90
53.01,54.95,55.06,53.00
54.95,53.93,55.52,53.89
53.01,54.56,54.58,52.44
54.73,52.66,54.88,52.55
50.00,50.27,50.27,48.16
49.71,50.87,51.48,49.25
50.47,48.77,50.76,48.70
50.38,50.37,50.75,49.75
51.14,50.51,51.15,50.06
49.81,49.02,50.48,48.99
49.29,49.52,50.25,49.20
49.60,50.41,50.55,49.36
50.70,48.93,50.77,48.78
49.63,50.66,50.74,49.52
50.04,51.23,51.60,50.04
51.39,49.99,51.70,49.85
50.43,51.28,51.30,50.26
50.89,50.73,51.41,50.51
50.99,50.28,50.99,49.64
50.23,50.39,50.61,50.01
50.96,49.96,51.14,49.53
50.01,49.58,50.80,49.52
49.44,49.46,49.76,49.03
49.24,49.01,49.91,48.90
49.00,48.27,49.14,48.06
48.30,47.80,48.42,47.47
46.84,47.34,47.58,46.66
46.68,46.22,47.82,45.30
46.54,46.05,47.10,45.59
46.21,46.54,46.91,45.99
46.94,45.12,47.07,44.76
45.06,47.32,47.39,44.61
47.82,47.72,48.01,46.92
47.82,51.21,51.32,47.82
52.16,51.20,52.40,50.77
51.96,52.17,52.47,51.70
52.37,54.55,54.98,52.27
54.59,56.03,56.30,54.31
55.96,56.20,57.36,55.53
56.22,55.79,56.97,55.18
55.00,57.61,57.71,55.00
57.96,57.57,58.46,56.95
57.29,56.66,58.00,56.27
56.92,58.37,58.48,56.79
58.12,57.32,58.50,56.13
57.75,57.36,58.22,57.00
57.09,57.60,58.24,57.07
57.92,57.91,58.88,57.09
57.62,57.84,58.50,57.26
58.60,59.60,59.85,58.34
59.31,59.00,59.44,58.26
59.19,59.42,59.66,58.94
59.88,61.28,62.18,59.81
62.29,60.60,62.29,59.95
60.60,59.56,60.61,58.90
59.04,58.82,59.35,58.03
57.89,56.77,57.95,56.65
56.25,57.18,57.75,56.14
57.53,57.29,58.44,57.13
57.03,57.70,58.19,56.80
59.45,59.16,60.18,58.34
59.49,58.97,59.56,58.50
58.53,57.17,58.68,56.63
56.67,57.73,58.57,56.67
58.13,57.32,58.42,57.26
56.73,55.93,57.59,55.89
55.32,55.86,56.04,54.72
56.32,55.30,56.58,55.21
55.66,56.56,56.64,55.04
56.01,55.90,56.72,55.77
54.30,52.65,54.30,51.42
53.09,53.99,54.59,53.00
54.02,54.35,54.42,53.52
55.02,55.79,55.83,54.45
55.48,55.34,56.42,55.20
55.32,55.60,56.00,55.20
56.16,56.64,56.94,55.90
56.54,57.23,57.33,56.29
57.96,57.85,59.43,57.80
57.65,57.99,58.78,57.16
57.82,57.46,58.08,57.33
57.09,57.27,57.50,56.77
57.01,56.23,57.55,55.96
56.60,55.54,56.87,55.16
54.67,54.34,54.76,53.57
54.02,54.22,54.71,53.60
53.54,53.73,54.24,53.20
54.06,55.38,55.44,53.87
55.63,53.07,55.84,52.93
52.50,48.75,52.64,47.50
49.25,48.00,49.62,47.97
48.31,47.93,48.90,47.17
48.12,48.26,48.48,47.79
48.15,47.77,48.15,47.50
48.25,48.80,48.91,47.07
49.66,48.65,51.27,48.28
48.60,48.83,48.86,47.60
49.88,50.87,52.19,49.58
52.30,51.23,53.00,51.11
50.36,52.25,52.78,50.18
53.18,54.69,54.85,52.25
54.89,54.12,55.61,53.66
54.52,56.78,56.80,53.95
56.43,56.78,56.90,56.11
55.94,57.30,57.81,55.71
57.55,57.80,58.17,56.75
58.35,57.90,58.70,57.30
57.77,57.15,58.00,56.67
57.76,58.71,60.12,57.76
58.58,58.98,59.26,57.81
58.39,60.25,60.42,58.13
60.54,58.69,60.54,58.25
58.88,59.42,60.10,58.67
59.76,58.91,60.02,58.69
59.33,59.11,59.97,58.82
59.01,59.54,59.84,58.78
60.12,62.82,63.22,59.86
62.22,62.27,62.52,61.61
62.24,62.30,63.32,61.50
62.58,62.77,64.00,62.44
62.80,62.62,63.00,61.27
62.16,63.66,63.74,61.82
63.16,62.15,63.49,61.04
61.26,60.79,62.39,60.59
60.25,59.33,60.75,58.44
59.56,59.25,60.13,59.15
60.08,59.63,60.57,59.33
59.63,59.45,59.95,58.83
61.13,59.90,62.47,59.68
58.77,59.31,59.98,57.56
59.90,60.14,60.18,59.35
59.29,59.53,59.89,59.11
59.21,59.36,59.61,58.48
58.76,59.92,60.46,58.50
61.31,61.73,61.95,60.83
61.67,62.35,62.94,61.34
61.55,62.82,63.00,61.45
62.53,62.50,63.56,62.35
63.01,61.83,63.16,61.70
62.08,61.27,62.37,60.85
61.49,61.00,61.67,60.50
61.08,60.95,61.41,60.55
61.76,61.01,62.00,60.80
60.79,60.66,61.35,60.50
60.43,60.52,61.50,60.28
60.55,63.00,63.04,59.93
63.26,64.60,65.41,63.10
64.52,65.18,65.28,64.40
65.50,66.30,66.88,65.39
66.37,66.45,66.87,66.09
66.30,66.60,66.98,66.01
66.14,66.71,66.87,66.10
66.64,67.11,67.39,66.55
67.52,68.92,69.36,67.50
69.10,69.72,69.78,68.59
69.47,69.64,69.82,69.14
69.99,68.86,69.99,68.68
69.53,69.07,70.27,68.25
69.14,69.13,69.39,68.30
68.65,70.79,72.65,68.58
71.11,71.79,71.80,70.90
71.28,71.37,71.50,70.60
71.92,72.52,72.75,71.69
73.23,74.92,75.34,73.23
74.68,74.78,75.00,73.73
74.79,74.33,74.90,73.73
74.27,74.63,74.88,73.67
74.38,71.19,74.38,70.65
71.16,69.67,71.32,68.50
70.33,70.11,71.20,69.71
71.26,71.12,71.61,70.37
71.06,72.18,72.21,70.48
72.28,73.54,73.85,72.13
73.85,73.68,74.66,72.30
73.56,71.54,74.56,71.53
71.39,73.38,73.38,71.21
74.43,76.05,76.06,74.29
76.36,75.44,76.69,74.51
76.00,74.83,76.10,73.76
75.12,74.66,75.22,73.92
75.05,75.55,75.80,75.04
75.28,74.70,75.50,74.15
75.28,75.23,75.99,74.31
74.28,74.97,75.50,73.74
74.49,75.05,75.55,74.11
74.87,75.13,75.88,74.77
74.79,71.54,74.98,70.69
72.23,72.99,74.10,72.14
72.62,74.15,74.56,72.05
74.45,72.39,74.46,72.03
71.09,71.26,73.24,71.01
70.67,70.91,71.30,69.25
70.67,70.54,71.74,69.67
71.20,72.21,72.46,70.93
72.41,71.89,72.61,71.42
72.22,70.04,72.30,69.85
70.00,70.09,70.77,69.19
70.35,71.96,72.11,70.15
72.14,73.06,73.21,71.86
73.39,71.65,74.43,70.73
71.83,71.79,72.60,71.30
70.90,69.40,70.95,69.21
68.88,67.09,68.88,66.92
65.86,67.51,68.04,65.62
67.09,67.06,67.97,66.41
64.88,67.81,68.41,64.29
68.35,66.43,68.35,65.73
67.44,67.20,68.31,66.78
67.90,67.84,68.80,67.71
68.96,68.98,69.70,68.60
68.91,68.95,69.31,68.45
