ACLS,Axcelis Technologies,NASDAQ
5.76,5.80,5.80,5.64
5.84,5.72,5.92,5.72
5.72,6.04,6.32,5.72
6.20,6.08,6.36,5.84
6.24,6.52,6.68,6.12
6.56,6.56,6.60,6.32
6.64,6.60,6.64,6.40
6.44,6.60,6.60,6.00
6.60,6.60,6.64,6.32
6.64,6.36,6.64,6.28
6.28,6.28,6.44,6.08
6.44,7.00,7.28,6.44
6.88,6.88,7.08,6.52
6.44,6.40,6.80,6.16
6.36,6.16,6.44,6.00
6.08,6.00,6.32,5.96
6.00,6.04,6.12,5.80
6.20,6.12,6.32,5.96
6.08,6.00,6.52,6.00
6.04,6.32,6.40,6.04
6.48,7.04,7.08,6.32
7.16,7.12,7.44,6.80
7.04,6.48,7.04,6.32
6.44,6.36,6.56,5.92
6.20,5.96,6.56,5.96
6.20,6.00,6.28,5.72
6.24,6.20,6.28,5.84
6.16,6.52,6.52,5.92
6.52,6.84,6.84,6.20
6.84,6.88,7.00,6.60
7.00,7.12,7.28,6.92
6.76,6.72,6.88,6.40
6.56,6.52,6.68,6.20
6.84,6.96,7.00,6.48
6.96,6.72,7.00,6.44
6.60,6.60,6.72,6.52
6.52,6.72,6.72,6.28
6.68,6.60,6.88,6.48
6.64,6.84,6.84,6.64
6.80,7.00,7.00,6.64
7.00,6.88,7.00,6.76
6.96,6.84,6.96,6.64
7.00,6.80,7.00,6.72
6.92,6.80,6.92,6.68
6.80,6.84,6.84,6.72
6.80,6.68,6.82,6.60
6.60,6.72,6.80,6.56
6.76,6.76,6.88,6.60
6.84,6.80,6.84,6.64
6.84,6.92,6.96,6.72
6.92,6.84,6.92,6.68
6.84,6.72,6.92,6.68
6.68,5.92,6.80,5.92
5.84,6.36,6.60,5.64
6.36,6.56,6.56,6.20
6.48,6.32,6.56,6.28
6.28,6.52,6.60,6.28
6.48,6.56,6.72,6.44
6.44,6.56,6.68,6.44
6.48,6.72,6.80,6.48
6.56,6.64,6.80,6.56
N/A,N/A,N/A,N/A
7.40,7.88,8.36,7.36
8.00,7.96,8.20,7.68
8.08,7.96,8.08,7.68
8.00,8.36,8.76,7.88
8.52,8.52,8.88,8.32
8.84,8.84,8.96,8.52
8.88,8.68,8.88,8.28
9.00,9.28,9.40,8.68
9.36,9.24,9.40,8.40
9.40,8.88,9.44,8.68
8.72,9.12,9.12,8.28
9.12,9.20,9.24,8.80
9.36,9.52,9.72,9.12
9.44,9.44,9.44,9.16
9.56,9.88,10.00,9.36
9.88,10.00,10.28,9.88
10.16,10.00,10.20,9.52
10.20,9.40,10.20,8.96
9.60,9.80,9.80,9.28
9.84,9.52,10.32,9.36
9.84,9.60,9.84,9.44
9.60,9.40,9.60,9.20
8.84,9.44,9.76,8.32
9.44,8.72,9.44,7.04
8.92,8.04,8.92,7.52
9.16,8.96,9.36,8.48
8.60,8.84,9.32,8.20
8.60,9.20,9.28,8.52
9.16,9.56,9.72,9.00
9.56,8.84,9.56,8.84
8.84,8.80,9.16,8.44
8.88,8.76,9.20,8.60
8.80,8.40,8.84,8.14
8.12,7.72,8.16,7.36
7.28,7.76,8.20,7.24
7.84,7.24,7.96,7.16
6.92,7.04,7.08,6.60
7.28,7.08,7.60,7.04
7.28,7.96,7.96,7.28
7.88,7.92,7.92,7.56
7.84,7.56,7.84,7.56
7.52,7.72,7.84,7.20
7.60,7.56,7.72,7.32
7.20,7.36,7.56,7.20
7.40,6.60,7.60,6.40
6.60,6.40,6.84,5.76
6.40,6.28,6.76,6.20
6.40,6.48,6.88,6.32
6.48,6.88,7.16,6.48
7.00,6.64,7.08,6.60
6.64,7.36,7.52,6.56
7.36,7.56,7.76,6.92
7.60,7.56,7.68,7.08
7.52,7.92,7.96,7.44
8.20,8.28,8.72,7.88
8.16,7.76,8.56,7.76
7.76,7.24,7.76,7.08
7.08,6.88,7.32,6.64
6.88,7.08,7.12,6.24
6.96,6.88,6.96,6.52
6.72,6.44,6.80,6.36
6.40,6.20,6.58,6.20
6.24,6.36,6.40,5.72
6.44,6.32,6.48,6.04
6.32,5.68,6.52,5.52
5.72,6.28,6.32,5.48
6.48,6.32,6.52,6.16
6.24,6.96,7.04,6.12
6.88,6.72,7.04,6.70
6.88,7.20,7.20,6.88
7.36,6.84,7.36,6.76
6.80,6.40,6.96,6.20
6.40,6.72,6.96,6.24
6.72,7.32,7.40,6.68
7.16,7.04,7.16,6.88
7.44,6.76,7.44,6.62
6.88,6.72,6.96,6.52
6.64,6.92,7.00,6.56
6.92,7.20,7.36,6.72
7.28,7.32,7.40,7.08
7.32,6.80,7.54,6.68
7.12,6.52,7.28,6.44
6.40,6.68,6.96,6.40
6.80,6.68,6.80,6.40
6.64,7.12,7.20,6.62
7.12,7.44,7.44,6.94
7.36,6.96,7.40,6.80
6.84,6.84,7.04,6.80
6.88,6.96,6.96,6.80
6.88,6.64,6.92,6.64
6.56,6.04,6.60,5.96
5.92,6.04,6.28,5.52
5.96,6.24,6.52,5.92
6.16,6.36,6.44,6.12
6.48,6.40,6.48,6.20
6.40,6.36,6.60,6.20
6.36,6.00,6.36,6.00
5.96,6.00,6.16,5.84
6.04,5.84,6.48,5.84
5.84,5.56,5.84,5.56
5.52,5.88,5.96,5.40
5.88,5.56,5.96,5.56
5.68,5.85,6.28,5.60
5.80,5.72,5.88,5.68
5.68,5.40,5.72,5.36
5.56,5.92,5.94,5.44
5.80,6.00,6.04,5.72
6.08,6.12,6.20,6.04
6.04,5.80,6.04,5.76
5.88,5.88,6.08,5.80
6.00,5.96,6.08,5.80
6.04,5.84,6.04,5.80
5.88,6.00,6.02,5.76
6.00,6.36,6.40,6.00
6.28,6.56,6.60,6.16
6.60,6.40,6.68,6.36
6.52,6.60,6.60,6.28
6.52,6.68,6.72,6.44
6.68,6.48,6.68,6.40
6.44,6.44,6.56,6.40
6.36,6.56,6.60,5.88
6.64,6.84,6.84,6.48
6.84,7.08,7.16,6.76
7.12,7.64,7.80,6.84
7.60,7.76,7.80,7.48
7.84,7.72,7.84,7.32
7.76,7.76,7.84,7.64
7.64,7.36,7.76,7.32
7.44,7.56,7.68,7.36
7.60,7.36,7.60,7.28
7.48,7.44,7.52,7.30
7.40,7.48,7.52,7.20
7.44,7.36,7.56,7.28
7.28,7.76,7.88,7.28
7.84,7.92,8.16,7.68
7.92,7.80,8.16,7.68
7.96,8.00,8.12,7.96
8.04,8.28,8.36,7.80
8.12,8.44,8.68,8.08
8.52,8.80,8.88,8.50
8.88,8.44,9.00,8.32
8.44,8.44,8.52,8.00
8.52,8.52,8.80,8.48
8.48,8.52,8.60,8.36
8.48,8.40,8.68,8.20
8.52,8.04,8.52,8.00
8.04,8.56,8.72,8.04
8.60,8.24,8.92,8.20
8.40,8.52,8.60,8.24
8.60,8.52,8.68,8.36
8.96,10.24,10.24,8.88
9.88,10.12,10.50,9.84
10.32,10.32,10.80,10.16
10.44,10.96,11.44,10.44
11.00,11.12,11.36,10.72
10.92,10.92,11.12,10.44
10.72,10.76,11.12,10.56
10.84,10.56,10.84,10.40
10.44,10.16,10.56,9.96
10.16,9.96,10.29,9.68
10.08,10.52,10.72,10.08
10.44,10.64,10.92,10.12
10.68,10.48,10.88,10.24
10.32,10.24,10.44,10.20
10.32,10.40,10.72,10.28
10.36,10.36,10.40,10.32
10.36,10.16,10.40,10.08
10.00,9.92,10.24,9.76
10.20,10.24,10.40,9.92
10.24,9.84,10.56,9.64
9.72,10.40,10.48,9.72
10.44,11.04,11.08,10.40
11.64,11.44,11.64,11.10
11.44,11.28,11.44,10.76
11.48,12.72,12.72,11.40
12.84,12.96,13.32,12.40
13.08,12.60,13.20,12.60
12.60,12.00,12.68,11.88
11.92,12.08,12.60,11.68
12.60,13.76,13.96,12.60
13.80,13.08,13.84,13.06
13.12,13.32,13.80,13.08
13.44,14.72,14.76,13.32
14.80,14.40,14.88,14.32
14.36,14.08,14.72,14.00
14.08,14.20,14.28,13.72
14.16,13.80,14.28,13.72
13.80,13.92,14.12,13.44
13.96,13.88,14.02,13.60
13.80,13.84,14.28,13.68
14.20,14.48,14.88,14.04
14.68,13.84,15.08,13.80
13.76,13.28,13.84,12.44
13.36,13.08,13.38,12.76
13.16,12.94,13.40,12.84
12.92,12.80,13.08,12.64
12.96,13.36,13.72,12.96
13.60,14.32,14.52,13.60
14.32,14.40,14.76,14.32
14.76,14.68,14.76,14.12
14.64,14.32,14.72,14.04
14.36,13.28,14.40,13.04
13.08,12.84,13.16,12.60
13.00,12.84,13.52,12.80
12.84,12.96,13.28,12.84
12.80,12.52,12.88,12.32
12.60,13.68,13.68,12.56
13.68,13.84,13.88,13.56
13.80,13.96,14.36,13.72
14.00,13.88,14.16,13.56
14.04,14.24,14.60,13.76
12.28,10.96,12.28,10.60
10.84,10.44,11.00,10.28
10.52,11.12,11.28,9.92
11.20,11.00,11.56,11.00
11.00,11.24,11.28,10.92
11.24,11.08,11.36,10.96
10.92,11.28,11.48,10.84
11.20,11.40,11.52,11.04
11.40,11.40,11.92,11.28
11.44,10.88,11.48,10.84
11.00,11.04,11.16,10.57
10.88,11.36,11.40,10.84
11.44,11.56,11.96,11.32
11.36,11.12,11.52,10.92
11.12,10.24,11.36,10.16
10.28,10.80,10.92,10.24
10.84,11.16,11.24,10.60
11.40,11.00,11.44,11.00
11.12,10.56,11.24,10.48
10.52,11.20,11.20,10.48
11.32,11.56,11.68,11.12
11.56,11.64,11.88,11.38
11.68,10.92,11.68,10.84
10.92,10.84,11.16,10.68
10.84,10.60,11.08,10.60
10.48,10.12,10.56,10.12
10.12,10.04,10.56,9.80
9.84,10.00,10.64,9.80
9.76,9.80,9.96,9.52
9.72,9.20,9.84,9.20
9.48,8.84,9.64,8.80
9.04,9.20,9.52,8.90
9.48,10.16,10.16,9.20
10.08,10.00,10.36,9.84
10.00,10.32,10.36,9.92
10.40,10.32,10.68,10.24
10.40,10.24,10.62,10.08
10.16,10.24,10.48,10.12
10.28,10.36,10.52,10.16
10.48,10.52,10.52,10.28
10.52,10.60,10.60,10.40
10.64,10.36,10.76,10.24
10.36,10.24,10.76,10.04
10.16,10.12,10.40,10.08
10.24,10.24,10.40,10.20
10.24,9.92,10.44,9.88
10.08,9.32,10.20,9.28
9.28,9.00,9.56,8.96
8.76,8.84,9.16,8.68
8.92,8.96,9.28,8.76
8.80,8.96,9.00,8.64
8.88,8.88,8.88,8.68
8.72,9.00,9.00,8.68
8.96,8.76,8.96,8.60
9.04,9.24,9.32,8.84
9.44,9.88,9.88,9.20
9.72,9.68,10.08,9.58
9.80,10.36,10.36,9.80
10.24,9.96,10.36,9.88
8.32,7.16,8.32,7.10
7.36,7.48,7.56,7.20
7.64,7.28,7.80,7.20
7.28,7.04,7.44,6.84
8.00,7.96,8.28,7.72
7.68,7.76,8.12,7.68
8.04,7.84,8.16,7.80
8.08,7.84,8.08,7.80
7.96,7.76,8.00,7.72
7.76,7.56,7.84,7.40
7.44,7.84,7.88,7.36
7.84,7.56,7.92,7.56
7.56,7.48,7.72,7.44
7.48,7.24,7.52,7.12
7.28,7.44,7.56,7.28
7.36,7.24,7.44,7.24
7.20,7.08,7.28,7.04
6.88,6.84,7.04,6.80
6.92,6.56,6.96,6.44
6.44,6.64,6.88,6.44
6.68,6.92,6.96,6.68
7.00,7.16,7.16,6.92
7.24,7.20,7.32,7.08
7.20,7.32,7.48,7.12
7.60,7.48,7.60,7.32
7.32,7.24,7.46,7.20
7.28,7.04,7.40,7.04
7.08,6.84,7.08,6.84
6.80,6.56,6.84,6.52
6.56,6.84,6.88,6.44
6.72,6.44,6.76,6.40
6.44,6.40,6.64,6.20
6.52,6.56,6.56,6.36
6.44,6.56,6.68,6.44
6.52,6.28,6.68,6.20
6.36,6.04,6.44,5.92
6.00,6.36,6.44,5.96
6.36,6.72,6.80,6.28
6.68,6.56,6.84,6.48
6.40,6.44,6.52,6.28
6.44,7.00,7.00,6.24
6.88,6.80,6.88,6.60
6.96,6.84,7.12,6.60
6.88,6.76,6.88,6.64
6.76,6.56,6.76,6.56
6.68,6.68,6.76,6.48
6.72,7.12,7.22,6.68
7.12,7.12,7.20,6.92
7.24,7.48,7.72,7.08
7.36,7.20,7.48,6.96
7.24,6.88,7.40,6.84
6.84,6.68,6.88,6.64
6.92,6.60,6.92,6.52
6.64,6.52,6.64,6.44
6.56,6.40,6.60,6.36
6.32,6.40,6.48,6.08
6.48,6.52,6.64,6.40
6.52,6.80,6.84,6.52
6.76,6.92,6.96,6.56
6.96,6.92,7.04,6.80
7.00,7.20,7.32,6.76
7.40,7.28,7.76,7.24
7.20,6.80,7.20,6.80
6.88,6.88,7.12,6.68
7.04,6.64,7.04,6.40
6.76,6.68,6.88,6.56
6.64,6.22,6.50,6.08
6.24,6.16,6.50,6.08
6.12,5.64,6.20,5.52
6.32,5.92,6.36,5.68
5.64,5.12,5.64,5.04
5.20,5.56,5.56,5.00
5.40,5.16,5.52,5.04
5.20,5.48,5.60,5.20
5.52,5.36,5.68,5.32
