TFX,Teleflex Incorporated Common Stock,NASDAQ
55.68,55.49,55.93,55.13
55.48,54.90,55.50,54.87
54.93,55.45,55.53,54.74
55.61,55.96,56.07,55.35
55.94,56.29,56.33,55.80
57.62,60.69,61.47,57.23
60.58,60.18,61.52,60.03
60.61,60.00,61.31,58.82
60.09,59.81,60.41,59.46
59.42,58.82,59.98,58.77
59.00,60.84,60.89,59.00
60.63,60.58,60.72,59.67
60.37,60.11,61.10,59.72
59.92,58.82,59.93,58.63
58.94,58.53,59.29,58.16
58.32,58.55,59.02,58.17
58.36,58.43,58.62,58.00
58.43,58.31,58.67,58.00
58.19,57.16,58.72,56.99
57.32,57.72,57.80,56.78
57.59,58.54,58.74,57.59
58.57,58.30,58.89,57.77
58.00,56.94,58.05,56.89
56.84,56.77,56.89,55.99
56.98,57.22,57.68,56.69
57.39,57.85,57.92,57.05
57.55,57.37,57.80,57.11
57.25,57.75,57.82,57.06
57.27,57.85,57.90,56.88
58.15,59.10,59.19,57.55
59.35,59.09,59.49,58.93
59.28,59.02,59.28,57.21
58.95,59.75,59.76,58.70
59.98,59.64,60.02,59.34
59.43,59.80,60.00,58.84
59.80,59.74,60.48,58.64
59.20,59.69,59.84,57.76
59.89,60.94,61.07,59.62
60.85,61.34,61.45,60.65
61.63,63.23,63.32,61.63
63.00,63.21,63.66,62.90
63.17,62.71,63.55,62.46
63.01,63.61,63.72,62.73
63.39,63.25,63.73,63.09
63.25,63.11,63.59,62.85
63.28,62.90,63.28,62.78
62.56,62.06,62.62,61.80
62.08,62.24,62.43,61.50
62.05,61.93,62.38,61.60
62.17,62.11,62.69,61.56
62.37,62.66,62.89,61.93
62.58,63.60,63.68,62.24
62.74,62.74,63.63,62.35
62.28,63.73,63.85,62.02
63.98,64.03,64.17,63.06
64.03,62.77,64.04,62.66
63.43,63.28,63.80,62.81
63.53,62.98,63.59,62.50
63.20,64.52,64.53,63.10
64.83,64.46,65.00,64.37
64.46,64.07,65.00,64.07
64.31,64.30,64.67,63.67
64.53,64.72,64.79,64.28
64.09,64.49,64.67,64.08
64.19,64.39,64.53,63.63
64.11,63.66,64.16,63.38
63.63,63.97,63.99,63.49
64.13,63.51,64.13,63.48
63.35,63.69,63.85,63.21
63.74,65.72,65.73,63.73
65.49,65.39,65.92,65.07
65.35,64.41,65.35,64.37
64.13,64.70,64.90,64.05
64.86,66.02,66.07,64.86
65.88,65.57,66.03,65.37
64.97,64.46,64.97,63.76
64.68,65.30,65.87,64.50
65.38,64.85,65.86,64.67
63.30,61.55,63.49,60.95
61.80,62.11,62.65,61.65
62.68,63.34,63.60,62.64
63.58,61.32,64.21,61.28
61.50,61.99,62.18,61.14
61.50,60.53,61.50,60.35
60.27,59.89,60.31,58.86
59.52,58.43,60.12,56.50
58.55,58.12,59.05,57.25
60.86,59.75,60.87,59.06
59.43,59.86,60.27,59.19
59.74,60.52,60.78,59.20
60.16,59.54,60.45,59.31
59.24,57.83,59.24,57.60
58.19,58.38,58.73,56.90
59.02,58.19,59.20,58.08
57.89,57.67,57.89,57.02
56.59,55.76,56.95,55.63
54.94,55.78,56.05,54.57
55.76,55.91,56.48,55.27
54.76,55.41,55.46,53.99
55.43,55.12,56.17,54.90
56.11,56.91,56.91,55.45
56.77,56.08,56.88,56.03
55.82,55.02,56.63,55.02
55.10,56.82,56.82,54.46
56.58,56.88,57.20,56.49
55.59,54.86,55.92,54.67
55.01,54.66,55.04,54.22
54.76,53.89,54.76,53.21
53.88,53.70,54.83,53.52
54.24,55.87,56.06,54.24
55.07,56.35,56.42,55.05
56.61,56.88,57.54,56.59
57.13,57.87,57.89,56.92
57.71,58.24,58.36,57.71
58.52,58.65,58.74,58.10
58.64,58.40,58.83,58.15
