APH,Amphenol Corporation Common Stock,NASDAQ
47.01,45.94,47.01,45.91
45.87,44.98,46.10,44.84
45.04,45.15,45.53,44.89
44.99,44.85,45.24,44.70
44.65,45.18,45.18,44.50
45.44,45.29,45.54,44.60
44.77,44.30,44.94,43.72
44.38,45.00,45.10,44.05
44.98,45.29,45.50,44.84
45.02,43.84,45.11,43.68
43.83,44.08,44.11,43.44
43.81,44.10,44.27,43.34
44.57,42.50,45.48,42.43
42.22,40.54,42.50,40.51
40.98,40.85,41.14,40.30
40.50,41.20,41.59,40.26
41.00,40.79,41.25,40.02
40.82,40.02,41.06,39.62
40.40,39.84,40.69,39.77
40.17,40.57,40.71,40.02
40.73,40.57,40.75,40.06
40.45,40.43,40.95,40.29
40.02,38.52,40.02,38.51
38.50,38.86,38.90,37.78
38.78,38.96,39.69,38.53
39.45,39.62,39.91,38.98
39.50,39.55,39.72,38.77
39.53,40.06,40.07,38.79
39.70,39.88,40.05,39.06
40.36,41.30,41.37,40.01
41.49,41.69,41.89,41.18
41.59,41.96,42.09,41.45
43.09,42.79,43.62,42.31
42.90,41.76,42.90,41.69
41.74,41.23,42.09,41.10
41.32,41.63,41.72,41.06
40.82,41.47,41.56,40.31
41.34,41.65,41.74,41.01
42.02,42.50,42.57,42.02
42.65,42.44,42.96,42.23
42.50,43.55,43.70,42.46
43.51,43.25,43.58,42.93
43.44,43.91,44.02,43.44
43.97,43.76,44.14,43.71
43.69,44.29,44.48,43.51
44.39,45.14,45.21,44.38
44.89,44.33,45.08,44.19
44.39,44.15,44.45,43.99
43.99,43.89,44.38,43.80
43.93,44.38,44.38,43.93
44.42,44.57,44.90,44.36
44.36,44.26,44.40,43.90
43.49,43.49,44.56,43.43
43.10,42.96,43.16,42.88
43.07,42.25,43.08,42.06
42.12,41.98,42.25,41.83
42.31,41.95,42.88,41.89
42.03,41.46,42.13,41.01
41.64,42.42,42.48,41.57
42.40,42.22,42.59,41.94
42.03,42.19,42.43,41.96
42.47,42.39,42.77,42.09
42.52,42.97,43.08,42.52
42.61,42.97,43.03,42.30
43.09,42.79,43.09,42.58
42.70,42.80,42.87,42.32
42.83,43.30,43.33,42.47
43.30,43.48,43.67,43.21
43.51,43.53,43.62,43.19
43.64,44.70,44.77,43.52
44.48,44.43,44.87,44.29
44.23,43.82,44.59,43.70
43.81,44.02,44.02,43.00
46.12,47.44,47.50,45.60
47.20,46.74,47.83,46.40
46.07,46.73,46.75,45.48
46.80,46.97,47.43,46.55
47.00,47.39,47.58,46.86
46.98,45.91,47.19,45.76
46.33,46.36,46.63,45.66
46.81,46.73,47.00,46.47
46.65,46.21,47.00,46.05
46.49,47.11,47.11,46.38
46.53,44.77,46.53,44.39
44.11,44.11,44.32,42.52
43.77,43.36,44.68,40.99
43.36,42.47,43.54,41.60
44.51,45.25,45.45,44.06
44.72,44.99,45.87,44.33
45.26,45.44,45.54,44.99
45.38,45.02,45.82,44.96
44.70,44.00,44.91,43.45
44.05,44.81,44.98,43.88
45.24,44.16,45.52,43.99
43.87,42.99,44.10,42.42
41.85,41.19,42.29,40.97
40.49,41.92,42.41,40.16
41.78,41.57,42.32,41.53
40.31,41.54,41.59,39.79
41.83,41.22,42.29,41.00
42.13,42.99,43.03,41.92
42.81,42.40,42.97,42.23
42.04,41.05,42.33,40.99
41.17,41.95,41.96,40.51
42.04,42.25,42.47,41.84
41.42,40.79,41.85,40.51
40.86,39.80,40.95,39.73
39.82,39.16,40.12,38.40
39.46,39.39,40.37,39.23
39.80,40.65,40.65,39.79
40.00,41.01,41.02,40.00
41.40,41.06,41.83,41.00
41.49,43.00,43.02,41.35
42.66,42.66,42.97,42.43
42.92,42.67,42.99,42.12
42.75,42.64,43.05,42.36
43.24,42.57,43.58,42.25
42.59,41.86,42.92,41.79
41.93,41.73,42.14,41.00
41.42,40.94,41.88,40.85
41.25,41.41,41.65,40.34
41.41,41.48,41.83,41.17
40.72,40.04,40.91,39.70
39.91,39.28,40.40,39.08
39.09,39.53,39.91,38.36
39.70,38.96,40.00,38.66
39.81,38.88,39.81,38.44
39.06,40.28,40.37,38.82
40.83,40.74,41.25,40.04
40.74,40.64,40.86,40.36
40.36,40.55,40.79,40.02
41.01,41.98,42.15,40.88
42.08,42.34,42.75,41.92
42.29,42.60,42.71,41.87
42.31,41.15,42.31,40.97
41.32,41.60,41.73,40.89
40.85,42.46,42.50,40.75
44.11,42.50,44.58,42.33
43.10,43.91,43.95,42.97
43.88,45.10,45.28,43.88
45.06,45.84,45.88,44.66
46.15,45.05,46.32,45.00
44.90,44.88,45.26,44.61
45.12,44.78,45.30,44.23
44.23,44.80,45.05,43.70
45.57,45.71,46.00,45.29
45.61,45.23,45.83,44.95
45.34,45.65,45.90,45.19
45.17,45.24,45.47,44.91
44.65,45.00,45.28,44.35
45.18,45.71,45.73,45.03
45.03,44.99,45.29,44.48
44.22,42.63,44.22,42.58
41.68,41.64,41.98,41.48
41.58,40.83,41.59,40.81
40.53,41.30,41.39,40.33
41.64,42.33,42.75,41.51
42.23,42.34,42.68,41.81
42.09,41.48,42.32,41.36
41.22,41.66,41.72,40.81
41.59,40.76,41.92,40.75
40.12,40.37,40.66,39.61
39.97,40.55,40.68,39.72
40.77,41.04,41.39,40.67
41.37,41.93,41.97,40.46
41.70,41.23,42.16,41.20
41.07,40.72,41.47,40.44
41.40,43.90,43.96,41.40
43.81,44.66,44.68,43.73
45.15,45.81,45.93,45.15
45.80,46.22,46.88,45.67
46.59,46.89,47.23,46.04
47.50,46.26,47.50,45.87
46.13,45.89,46.36,45.80
46.36,47.40,47.47,46.23
47.29,47.43,47.71,46.78
47.38,47.34,47.48,46.90
47.16,46.89,47.41,46.80
47.30,47.35,47.60,46.88
47.47,48.26,48.35,47.26
48.26,47.73,48.36,47.42
47.56,46.74,48.00,46.66
46.30,46.84,47.52,46.04
47.47,48.72,48.72,47.34
48.54,48.46,48.90,48.00
48.55,48.92,49.02,47.53
48.64,49.18,49.33,48.36
49.54,48.98,49.98,48.87
49.50,49.06,49.66,48.63
48.83,48.25,48.95,47.84
48.95,50.15,50.31,48.92
50.08,49.44,50.31,49.10
49.66,49.42,49.67,48.90
49.51,49.25,49.56,49.03
49.21,49.32,49.49,49.02
49.24,49.28,49.56,48.60
49.56,49.87,50.23,49.09
49.79,49.44,49.88,49.02
49.98,50.15,50.15,49.37
50.15,49.89,50.44,49.75
49.03,48.77,49.55,48.31
48.38,48.67,48.77,47.37
49.00,49.40,49.42,48.26
49.29,49.12,49.48,48.82
49.54,50.04,50.38,49.43
49.68,49.88,50.09,49.24
49.37,49.47,49.78,48.85
49.72,49.39,49.84,48.96
49.18,50.13,50.20,48.87
50.28,49.98,50.55,49.65
50.60,51.12,51.48,50.36
51.04,51.50,51.50,50.76
52.20,52.95,53.04,51.84
52.87,52.88,53.01,52.55
52.14,52.48,52.65,52.12
52.68,52.17,52.69,51.81
52.15,52.52,52.52,51.65
51.36,51.25,51.65,50.72
50.75,50.57,51.37,50.20
