LGL,LGL Group,NASDAQ
3.50,3.50,3.69,3.39
3.65,3.75,3.75,3.62
3.69,3.69,3.70,3.61
3.69,3.70,3.70,3.60
3.68,3.70,3.70,3.63
3.70,3.70,3.70,3.70
3.70,3.80,3.80,3.68
3.80,3.85,3.86,3.80
3.75,3.85,3.85,3.75
3.85,3.85,3.85,3.81
3.85,3.80,3.85,3.79
4.00,4.00,4.00,3.85
4.00,4.00,4.00,3.99
3.94,4.00,4.00,3.94
3.99,4.00,4.00,3.99
4.00,3.65,4.00,3.65
3.75,4.00,4.00,3.65
3.98,4.05,4.05,3.98
3.95,4.00,4.00,3.95
4.05,4.05,4.05,4.05
4.03,4.01,4.05,4.01
4.01,4.01,4.01,4.01
4.40,4.05,4.40,4.00
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.04
4.05,4.30,4.56,4.05
4.30,4.27,4.30,4.10
4.25,4.34,4.35,4.25
4.29,4.29,4.65,4.29
4.30,4.25,4.30,4.25
4.50,4.15,4.50,4.15
4.15,4.11,4.34,4.11
4.12,4.12,4.12,4.12
4.12,4.12,4.12,4.12
4.00,4.15,4.15,4.00
4.15,4.15,4.15,4.15
4.15,4.15,4.15,4.15
4.15,4.15,4.15,4.15
4.04,4.15,4.15,4.00
4.15,4.15,4.15,4.15
4.15,4.15,4.15,4.15
4.15,4.10,4.15,4.10
4.00,4.04,4.12,3.93
4.04,4.04,4.04,4.04
4.04,4.04,4.04,4.04
4.04,4.04,4.04,4.04
3.93,4.04,4.04,3.93
3.90,3.90,3.90,3.90
3.85,4.04,4.04,3.85
4.12,4.04,4.12,4.04
4.04,4.04,4.04,4.04
4.04,4.04,4.04,4.04
4.04,4.04,4.04,4.04
4.04,4.04,4.05,4.04
4.00,4.05,4.05,4.00
3.85,3.92,3.92,3.85
3.92,3.92,3.92,3.92
4.03,4.05,4.06,4.03
4.60,5.55,6.90,4.60
5.55,5.51,6.53,5.40
5.67,5.87,5.90,5.67
6.14,5.91,6.14,5.55
5.81,6.05,6.25,5.81
6.21,6.11,6.30,5.62
6.26,5.70,6.26,5.70
5.99,6.10,6.30,5.66
6.35,6.26,6.40,6.16
6.15,6.25,6.50,6.15
6.33,6.15,6.39,6.10
5.85,6.25,6.55,5.85
6.27,6.27,6.35,6.15
6.14,6.10,6.14,6.10
6.21,6.12,6.37,6.06
6.15,6.15,6.15,6.15
6.17,6.15,6.17,6.15
6.17,6.15,6.17,6.05
6.15,6.36,6.39,6.15
6.40,6.39,6.40,6.20
6.39,6.70,6.70,6.25
6.50,7.10,7.50,6.50
6.99,7.71,7.85,6.99
8.30,7.91,8.30,7.75
8.01,7.94,8.01,7.75
7.80,7.51,7.80,7.00
7.59,7.19,7.77,7.07
7.01,7.27,7.47,7.01
7.19,7.70,8.01,7.19
7.99,7.59,7.99,7.41
7.49,7.35,7.50,7.26
7.31,7.49,7.52,7.24
7.19,7.35,7.36,7.03
7.20,8.20,8.25,7.20
10.00,12.22,12.35,10.00
12.50,11.70,12.78,11.19
11.50,10.71,11.50,10.67
9.77,11.50,11.95,9.77
11.10,11.55,11.89,11.10
11.30,11.10,11.44,10.70
11.39,11.32,11.90,11.30
11.74,12.41,12.55,11.69
12.41,12.38,12.56,11.96
12.55,12.01,12.55,12.00
11.91,12.31,12.31,11.91
12.68,12.11,12.68,12.11
12.01,11.75,12.49,11.60
11.75,11.35,11.75,11.10
11.35,11.17,11.35,11.03
11.42,11.15,11.90,11.15
11.20,11.70,11.70,11.20
12.00,12.00,12.00,11.56
12.36,13.34,13.55,12.00
13.60,13.51,14.20,13.25
13.57,13.24,13.75,13.15
13.55,13.40,13.71,13.30
13.22,13.19,13.65,12.82
13.11,12.85,13.50,12.52
12.63,12.39,12.79,11.80
12.26,12.20,12.39,12.00
12.20,12.37,12.61,12.10
12.54,12.44,12.54,12.05
12.02,12.10,12.30,12.02
12.00,11.29,12.00,11.06
11.10,11.24,11.37,11.00
11.00,10.94,11.00,10.50
10.81,10.78,11.19,10.70
10.45,10.47,10.97,10.19
10.24,10.79,10.95,10.24
11.21,10.73,11.27,10.73
11.00,11.02,11.11,11.00
10.80,10.45,11.00,10.38
10.36,10.70,10.95,10.36
11.00,10.72,11.00,10.50
10.51,10.89,10.89,10.50
10.65,10.65,10.65,10.65
10.70,10.68,10.71,10.24
10.34,10.60,10.60,10.33
10.64,10.44,10.64,10.30
10.60,10.87,11.01,10.60
10.80,11.01,11.45,10.80
11.20,11.40,11.55,11.20
11.50,11.91,12.32,11.39
12.17,12.06,12.38,12.06
12.16,12.12,12.51,12.10
12.37,12.56,12.94,12.37
12.56,12.76,12.76,12.56
12.76,12.80,12.85,12.76
12.95,12.87,12.95,12.73
12.90,12.75,12.90,12.75
12.64,12.38,12.64,12.35
12.80,12.46,12.80,12.35
12.30,12.31,12.31,12.25
12.10,12.30,12.30,12.10
12.37,12.10,12.37,11.97
12.08,12.08,12.38,12.08
12.36,12.50,12.80,12.26
14.75,15.96,16.45,14.75
16.00,17.50,17.50,16.00
17.63,19.06,19.33,17.46
19.01,18.00,19.10,17.81
17.50,16.44,18.48,15.82
15.55,15.56,16.00,14.50
15.10,15.27,15.80,15.10
15.23,14.26,15.23,14.26
14.30,14.25,14.80,14.10
14.59,13.93,14.59,13.78
13.75,13.65,13.96,13.44
13.65,14.00,14.74,13.65
14.00,13.95,14.73,13.66
14.22,14.21,14.50,14.09
14.25,14.84,15.10,14.22
15.00,16.29,16.40,14.99
16.51,17.79,18.40,16.51
18.11,18.37,18.80,17.85
18.75,20.05,20.49,18.35
20.34,22.80,23.49,19.85
