IVV,iShares Core S&P 500 ETF,NASDAQ
112.77,113.65,113.74,112.71
113.62,113.98,114.03,113.25
113.89,114.07,114.34,113.79
113.87,114.57,114.67,113.55
114.23,114.96,114.97,114.01
115.40,115.12,115.49,114.59
114.32,114.06,114.57,113.58
114.33,114.96,115.30,113.72
114.92,115.30,115.48,114.37
114.99,114.00,115.20,113.56
114.00,115.41,115.49,113.95
114.63,114.27,114.66,113.34
114.29,112.03,114.62,111.90
111.58,109.61,111.98,109.46
110.57,110.16,110.76,109.78
109.69,109.64,110.81,109.39
109.52,110.20,110.42,108.68
110.55,108.88,110.58,108.25
109.38,107.66,110.12,107.56
108.55,109.36,109.40,108.42
109.62,110.73,110.94,109.23
110.24,110.17,110.78,109.88
109.32,106.80,109.36,106.77
106.91,107.03,107.22,104.90
107.07,106.20,107.65,106.12
107.49,107.58,108.48,106.61
107.37,107.33,107.95,106.46
107.23,108.43,108.59,106.60
107.30,108.39,108.40,106.86
109.25,110.10,110.21,108.79
110.61,110.59,110.76,110.10
110.43,111.29,111.50,110.40
110.96,111.52,111.94,110.73
111.89,111.53,112.02,111.20
111.21,110.13,111.57,109.88
110.51,111.14,111.36,110.22
109.57,111.05,111.09,109.30
111.11,111.05,111.47,110.47
111.60,112.22,112.37,111.56
112.75,112.51,113.10,112.36
112.88,112.68,113.33,112.40
112.80,112.99,113.18,112.39
113.79,114.62,114.72,113.48
114.66,114.66,114.90,114.47
114.30,114.79,115.36,114.24
114.89,115.30,115.65,114.80
115.11,115.82,115.85,114.73
116.32,115.81,116.37,115.55
115.65,115.88,115.96,114.98
116.18,116.82,116.90,115.89
117.13,117.48,117.87,117.10
117.48,117.43,117.66,116.98
116.82,116.82,117.84,116.39
116.19,117.45,117.68,116.12
117.65,118.30,118.39,117.25
117.86,117.72,118.22,117.48
118.06,117.01,118.49,116.90
117.27,117.06,117.81,116.52
117.56,117.71,117.92,117.36
117.86,117.77,118.19,117.29
117.31,117.34,117.90,117.00
118.19,118.21,118.64,117.49
118.63,119.16,119.22,118.30
118.84,119.39,119.64,118.68
119.19,118.76,119.46,118.20
118.35,119.12,119.36,117.98
119.41,119.90,119.98,119.19
120.10,120.13,120.41,119.95
119.99,120.24,120.41,119.38
120.67,121.55,121.58,120.47
121.36,121.68,121.91,121.34
121.27,119.79,121.46,119.15
119.39,120.19,120.32,118.87
120.96,121.28,121.37,120.56
121.34,121.06,121.61,120.40
120.24,121.37,121.56,119.52
121.35,122.14,122.25,121.03
122.26,121.72,122.50,121.64
121.04,118.87,121.66,118.64
119.43,119.76,120.05,118.67
120.51,121.23,121.50,120.47
121.26,119.24,121.39,119.16
119.75,120.76,121.07,119.59
119.42,117.96,119.42,117.31
116.92,117.23,118.17,116.36
116.64,113.20,117.49,88.42
113.01,111.46,114.12,109.95
116.19,116.51,117.00,115.27
115.46,116.16,117.73,115.29
116.65,117.77,117.97,116.46
117.57,116.37,118.05,116.26
115.51,114.28,115.69,113.23
114.55,114.29,114.87,112.12
115.23,112.80,115.58,112.39
112.15,112.14,113.12,110.73
109.77,107.93,110.22,107.81
106.22,109.40,109.71,105.97
108.84,108.07,109.72,107.97
105.44,108.16,108.20,104.74
108.86,107.46,109.81,107.18
109.57,111.12,111.15,109.16
111.02,109.70,111.02,109.21
108.71,107.84,110.28,107.70
108.43,110.66,110.69,107.96
111.03,111.04,111.39,109.95
108.95,107.14,109.65,106.80
107.55,105.85,107.92,105.72
105.90,106.86,107.16,104.97
107.58,106.32,108.59,106.00
108.21,109.55,109.63,108.03
108.52,109.99,110.11,108.47
110.89,109.88,111.48,109.75
110.62,112.32,112.46,110.46
111.78,112.31,112.79,111.58
112.67,112.51,112.69,111.44
112.76,112.61,113.02,112.28
114.03,112.27,114.11,111.69
112.31,110.46,112.79,110.30
110.06,109.58,110.42,108.88
109.06,107.84,109.20,107.52
108.11,108.27,108.78,107.15
108.39,107.88,108.69,107.52
106.41,104.58,106.44,103.93
104.30,103.46,105.25,103.25
103.54,103.21,103.84,101.50
103.48,102.60,103.77,101.98
