DNB,Dun & Bradstreet Corporation (The) Common Stock,NASDAQ
84.61,83.37,84.61,82.95
83.16,83.29,83.41,82.70
82.93,83.34,83.54,82.73
83.01,82.60,83.52,82.33
82.34,81.74,82.47,81.42
82.17,82.15,82.32,81.66
81.73,82.07,82.42,81.57
82.09,82.29,82.48,81.96
82.08,82.43,82.50,81.78
82.54,82.15,82.54,82.09
82.35,82.60,82.65,82.05
82.06,81.39,82.25,81.36
81.38,80.35,81.89,80.34
80.09,79.77,80.74,79.67
79.84,80.04,80.78,79.75
80.07,79.35,80.30,79.32
79.36,80.16,80.17,79.08
80.20,79.22,80.42,78.99
79.25,78.97,79.85,78.87
79.16,79.96,79.98,79.13
79.93,80.33,80.38,79.45
80.37,78.95,80.58,78.89
78.63,77.74,79.37,77.63
75.00,73.92,75.00,71.21
71.98,71.35,72.41,71.35
71.76,71.04,72.10,70.91
71.19,70.72,71.48,70.67
70.74,71.01,71.02,70.06
70.75,70.39,71.19,70.32
70.76,70.47,70.76,69.94
70.57,71.09,71.18,70.36
71.05,71.35,71.39,70.75
71.42,71.32,71.45,70.91
71.50,71.06,71.50,70.96
71.13,70.25,71.13,70.11
70.52,70.76,70.79,70.16
70.35,70.43,70.49,69.79
70.36,70.16,70.36,69.86
70.11,70.21,70.43,69.48
70.51,70.11,70.76,69.70
70.25,70.24,70.59,70.08
70.18,69.84,70.19,69.73
70.00,69.95,70.04,69.65
69.93,69.62,70.10,69.57
69.60,69.31,69.78,69.13
69.50,69.50,69.62,69.26
69.35,69.69,69.71,69.10
69.62,70.73,70.92,69.47
70.65,71.25,71.58,70.65
71.36,72.68,72.75,71.34
72.61,73.59,73.87,72.50
73.48,73.35,73.59,73.13
74.25,74.25,74.43,73.51
73.87,74.92,74.93,73.87
75.00,74.75,75.00,74.20
74.55,73.70,74.70,73.60
74.00,73.58,74.14,73.44
73.70,73.50,73.70,73.12
73.81,74.22,74.32,73.69
74.44,74.60,74.66,74.32
74.41,74.42,74.94,74.08
74.56,74.38,75.32,74.05
74.67,74.69,75.19,74.42
74.27,74.46,74.96,74.18
74.45,74.04,74.54,73.90
74.06,74.12,74.18,73.72
74.09,74.49,74.50,73.99
74.62,74.95,75.00,74.62
75.08,75.53,75.80,75.00
75.57,76.27,76.27,75.48
75.91,76.70,76.80,75.84
76.54,76.31,77.00,76.28
76.38,76.40,76.60,75.79
76.40,77.03,77.05,76.10
77.19,77.08,77.19,76.60
76.70,77.96,78.00,76.28
77.95,78.82,78.98,77.85
78.89,78.59,79.20,78.58
78.42,78.20,78.99,77.70
78.09,77.32,78.40,76.98
