SMBK,SmartFinancial,NASDAQ
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.15,2.20,2.20,2.15
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.40,2.40,2.40,2.40
2.50,2.50,2.50,2.50
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.50,2.50,2.50,2.50
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.75,2.30,2.75,2.30
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.75,2.75,2.75,2.75
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.70,2.70,2.70,2.70
2.70,2.70,2.70,2.70
2.70,2.70,2.70,2.70
2.70,2.70,2.70,2.70
2.50,2.40,2.50,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.50,2.50,2.50,2.50
2.75,2.50,2.75,2.50
3.00,3.50,3.50,3.00
4.50,4.75,4.75,4.50
4.50,4.00,4.50,3.50
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
3.60,4.00,4.00,3.60
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
3.58,3.25,3.58,3.25
3.30,2.75,3.30,2.50
2.75,2.75,2.75,2.75
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.51,2.45,2.51,2.45
2.25,1.92,2.25,1.92
2.25,2.28,2.60,2.25
2.50,2.59,2.60,2.50
2.59,2.59,2.59,2.59
2.59,2.59,2.59,2.59
2.59,2.59,2.59,2.59
2.59,2.59,2.59,2.59
2.59,2.59,2.59,2.59
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.30,1.95,2.30,1.95
1.95,1.95,1.95,1.95
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
2.00,2.00,2.00,2.00
2.00,2.15,2.15,2.00
2.50,1.75,2.50,1.75
2.20,1.75,2.50,1.75
2.25,1.80,2.25,1.80
1.25,1.50,1.60,1.25
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.70,1.70,1.75,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.61,1.70,1.70,1.61
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.65,1.75,1.75,1.65
1.75,2.05,2.05,1.75
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
1.85,1.85,1.85,1.85
1.85,1.85,1.85,1.85
1.85,1.85,1.85,1.85
1.85,1.65,1.85,1.65
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
1.75,2.60,2.60,1.65
2.60,2.60,2.60,2.60
2.60,2.00,2.60,2.00
2.49,2.00,2.49,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.95,2.00,2.00,1.95
2.00,1.65,2.00,1.65
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.60,1.75,1.75,1.50
1.90,1.55,1.90,1.55
1.60,1.60,1.60,1.60
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.80,1.90,1.90,1.80
1.90,1.90,1.90,1.90
1.65,1.85,1.85,1.65
1.85,1.70,1.85,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.90,1.90,1.90,1.90
1.70,1.65,1.70,1.65
1.89,1.95,1.95,1.89
1.95,1.95,1.95,1.95
1.95,1.95,1.95,1.95
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.72,2.00,2.00,1.72
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.80,1.99,1.99,1.76
1.73,1.65,2.00,1.65
1.75,1.75,1.75,1.75
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.72,1.74,1.74,1.65
1.74,1.74,1.74,1.74
