NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,NASDAQ
52.75,54.60,54.60,52.75
56.00,56.10,56.15,56.00
56.10,56.10,56.10,56.10
56.10,56.10,56.10,56.10
56.05,56.47,58.14,55.05
56.47,56.47,56.47,56.47
56.00,57.45,57.65,56.00
57.45,57.45,57.45,57.45
55.99,57.00,57.00,55.99
57.00,57.00,57.00,57.00
54.10,55.91,55.91,54.10
55.00,55.00,55.00,55.00
55.00,55.00,55.00,55.00
54.00,54.50,54.50,54.00
54.50,54.42,55.30,54.42
53.50,53.50,53.50,53.50
53.50,53.50,53.50,53.50
53.50,53.50,53.50,53.50
55.00,55.00,55.00,55.00
56.00,56.00,56.00,56.00
55.00,55.00,55.00,55.00
55.00,55.00,55.00,55.00
55.00,55.00,55.00,55.00
53.50,53.50,53.50,53.50
53.50,53.50,53.50,53.50
53.80,53.80,53.80,53.80
53.80,53.80,53.80,53.80
53.95,53.95,53.95,53.95
53.95,53.95,53.95,53.95
53.95,53.95,53.95,53.95
53.95,53.95,53.95,53.95
53.95,53.95,53.95,53.95
54.00,54.00,54.00,54.00
53.20,53.10,53.20,53.10
53.00,53.00,53.00,53.00
54.00,54.00,54.00,54.00
54.00,54.00,54.00,54.00
53.30,53.30,53.30,53.30
54.30,56.00,56.00,54.30
57.00,56.00,57.00,56.00
55.50,55.00,55.50,55.00
55.00,55.00,55.00,55.00
57.00,57.00,57.00,57.00
57.20,56.70,57.20,55.04
57.50,57.50,57.50,57.50
57.70,57.50,57.70,57.00
56.85,56.85,56.85,56.85
55.30,55.40,55.40,55.00
56.40,55.85,56.40,54.00
56.85,56.85,56.85,56.85
57.99,58.50,58.50,57.25
60.00,59.50,60.99,58.50
60.50,60.50,60.50,60.50
60.00,60.00,60.00,60.00
60.75,60.75,60.75,60.75
62.50,60.40,62.50,60.00
60.40,60.40,60.40,60.40
61.00,61.94,61.94,60.97
63.50,62.50,63.50,62.50
64.03,64.50,64.50,63.20
65.00,67.99,67.99,65.00
67.99,67.99,67.99,67.99
65.00,64.00,65.00,64.00
65.00,64.25,65.00,64.25
64.01,64.25,64.25,64.01
65.00,65.90,65.90,65.00
65.00,63.51,65.00,63.51
63.51,63.51,63.51,63.51
63.50,63.50,63.50,63.50
65.00,66.00,66.00,65.00
66.00,66.00,66.00,66.00
66.00,66.00,66.00,66.00
66.00,66.00,66.00,66.00
66.00,66.00,66.00,66.00
64.50,63.00,64.50,63.00
64.99,64.99,64.99,64.99
64.99,64.99,64.99,64.99
66.00,66.00,66.00,66.00
66.00,66.00,66.00,66.00
64.50,64.50,64.50,64.50
65.00,68.95,68.95,65.00
69.00,69.00,69.00,69.00
69.00,70.00,70.00,68.51
68.50,66.00,68.50,66.00
66.00,66.00,66.00,66.00
68.00,61.60,68.00,55.19
62.75,62.75,62.75,62.75
64.00,64.00,64.00,64.00
64.00,64.00,64.00,64.00
65.95,64.95,65.95,60.00
63.45,63.45,63.45,63.45
63.45,63.45,63.45,63.45
61.99,61.99,61.99,61.99
61.95,62.00,62.01,61.95
62.00,62.00,62.00,62.00
62.00,62.00,62.00,62.00
62.00,62.00,62.00,62.00
62.00,62.00,62.00,62.00
60.50,60.50,60.50,60.50
60.50,60.50,60.50,60.50
62.00,61.99,62.00,61.99
61.99,61.99,61.99,61.99
61.00,61.00,61.00,61.00
61.95,62.00,62.00,61.04
61.00,63.50,63.50,61.00
62.00,62.00,62.00,62.00
62.00,62.00,62.00,62.00
61.80,61.99,61.99,60.50
62.00,62.50,62.50,62.00
63.95,63.95,63.95,63.95
63.95,63.95,63.95,63.95
63.95,63.95,63.95,63.95
63.25,64.74,64.74,63.25
64.90,64.92,64.92,64.10
64.92,64.92,64.92,64.92
65.00,64.50,65.00,64.50
63.50,62.00,63.50,60.81
62.50,62.50,62.50,62.50
62.02,62.02,62.02,62.02
62.02,62.02,62.02,62.02
62.02,62.02,62.02,62.02
62.00,61.09,62.00,59.60
63.09,60.00,65.00,59.14
60.00,60.00,60.00,60.00
59.80,59.90,59.90,59.80
59.60,59.60,60.00,59.60
59.60,60.00,60.60,59.41
59.60,61.30,61.30,59.60
61.80,60.50,61.80,59.81
59.90,60.90,60.90,59.90
62.50,60.79,62.50,60.30
62.25,61.00,62.25,60.00
61.00,61.00,61.00,61.00
61.00,61.00,61.00,61.00
62.45,59.60,62.56,59.60
59.60,59.60,59.60,59.60
59.61,60.99,60.99,59.60
60.99,60.99,60.99,60.99
61.25,61.25,61.25,61.25
62.00,62.00,62.00,62.00
62.50,62.50,62.50,62.50
61.02,61.02,61.02,61.02
62.75,64.00,64.00,62.50
64.00,64.00,64.00,64.00
64.00,63.75,64.75,61.65
64.75,64.75,64.75,64.75
64.75,64.75,64.75,64.75
63.00,64.49,64.49,63.00
64.49,64.49,64.49,64.49
62.99,63.16,64.10,62.99
61.68,62.40,62.40,60.10
62.95,60.25,62.95,60.00
59.00,60.00,61.35,59.00
60.00,60.00,60.00,60.00
59.98,60.90,60.90,59.98
60.90,60.90,60.90,60.90
60.90,60.90,60.90,60.90
61.95,63.05,63.05,61.95
60.00,60.92,61.00,58.50
61.42,61.42,61.42,61.42
62.40,60.91,62.40,60.91
60.91,60.91,60.91,60.91
61.30,61.30,61.30,61.30
61.30,61.30,61.30,61.30
61.50,61.50,61.50,61.50
61.50,61.50,61.50,61.50
62.70,61.25,62.70,60.27
61.25,62.70,63.65,61.25
63.74,63.74,63.74,63.74
63.75,65.00,65.00,63.75
63.75,63.75,63.75,63.75
65.00,63.75,65.00,63.75
63.75,63.75,63.75,63.75
63.75,63.75,63.75,63.75
63.05,63.25,63.25,61.50
61.32,63.25,63.25,60.93
62.25,63.74,63.74,62.25
63.06,63.04,63.06,63.04
63.95,63.95,63.95,63.95
63.95,65.57,65.57,63.08
63.00,64.50,65.00,63.00
65.15,65.15,65.15,65.15
65.15,65.15,65.15,65.15
65.15,65.15,65.15,65.15
65.00,65.44,65.44,64.50
64.99,65.00,65.00,63.52
65.00,65.00,65.00,65.00
65.00,65.00,65.00,65.00
65.00,65.00,65.00,65.00
62.00,63.49,63.49,62.00
65.00,66.03,66.03,64.69
64.56,66.20,66.20,64.56
66.20,66.20,66.20,66.20
66.20,66.20,66.20,66.20
66.20,66.20,66.20,66.20
66.20,66.20,66.20,66.20
64.10,65.59,65.59,64.10
64.35,64.75,64.75,64.35
64.75,64.75,64.75,64.75
64.75,64.75,64.75,64.75
64.75,64.75,64.75,64.75
66.75,66.10,66.75,66.10
66.10,66.10,66.10,66.10
66.10,66.10,66.10,66.10
67.00,66.10,67.00,64.08
66.10,66.10,66.10,66.10
64.75,64.25,64.75,63.52
65.00,65.00,65.00,65.00
65.00,65.00,65.00,65.00
65.00,65.00,65.00,65.00
67.39,67.39,67.39,67.39
67.40,67.40,67.40,67.40
67.72,68.00,68.00,67.72
66.00,67.15,67.15,66.00
67.15,67.15,67.15,67.15
70.00,68.00,70.00,67.15
68.00,68.00,68.00,68.00
66.43,66.43,66.43,66.43
65.17,65.00,65.17,65.00
65.00,65.00,65.00,65.00
63.25,63.25,63.25,63.25
63.25,63.25,63.25,63.25
63.25,63.25,63.25,63.25
65.25,65.25,65.25,65.25
65.25,65.25,65.25,65.25
67.10,65.25,67.10,65.25
65.25,65.25,65.25,65.25
67.25,67.25,67.25,67.25
67.25,67.25,67.25,67.25
68.00,66.00,68.25,66.00
65.00,67.43,67.43,65.00
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
68.00,68.70,69.00,68.00
68.70,68.70,68.70,68.70
68.70,68.70,68.70,68.70
66.00,67.49,67.49,66.00
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
65.50,66.99,66.99,65.00
66.99,66.99,66.99,66.99
66.99,66.99,66.99,66.99
66.99,66.99,66.99,66.99
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
64.99,64.11,64.99,64.05
66.05,66.00,66.05,64.05
67.40,67.00,67.40,67.00
67.00,67.00,67.00,67.00
65.50,65.50,65.50,65.50
65.50,65.50,65.50,65.50
67.50,67.50,67.50,67.50
67.05,67.05,67.05,67.05
67.05,67.05,67.05,67.05
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.21,67.00,67.21,67.00
66.74,66.75,66.75,66.74
66.75,66.75,66.75,66.75
66.50,66.50,66.50,66.50
67.45,67.45,67.45,67.45
65.45,65.45,65.45,65.45
67.20,67.40,67.40,66.94
66.74,67.45,67.45,66.74
67.45,67.45,67.45,67.45
67.50,66.02,67.50,66.02
67.00,67.71,67.75,67.00
67.50,67.50,67.50,67.50
65.50,66.10,67.01,64.06
66.10,66.10,66.10,66.10
66.10,66.10,66.10,66.10
66.10,66.10,66.10,66.10
66.02,66.00,66.02,66.00
66.00,66.00,66.00,66.00
66.00,66.00,66.00,66.00
66.00,66.00,66.00,66.00
66.00,66.00,66.00,66.00
67.00,67.00,67.00,67.00
64.55,65.75,65.75,64.50
66.55,67.00,67.00,66.55
65.00,64.90,65.00,64.90
64.90,64.90,64.90,64.90
64.90,64.90,64.90,64.90
64.90,64.90,64.90,64.90
66.75,66.80,66.80,65.00
66.80,66.80,66.80,66.80
64.17,65.68,65.68,64.17
65.62,66.39,66.39,65.62
66.39,66.39,66.39,66.39
66.39,66.39,66.39,66.39
66.39,66.39,66.39,66.39
66.90,67.00,67.00,66.90
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
65.93,65.94,65.94,64.45
66.98,66.50,66.99,66.50
66.50,66.50,66.50,66.50
66.50,66.50,66.50,66.50
64.90,64.45,64.90,64.45
66.75,66.75,66.75,66.75
66.75,66.75,66.75,66.75
66.99,66.99,67.00,66.99
66.00,66.00,66.06,65.56
66.00,66.00,66.00,66.00
66.99,66.99,66.99,66.99
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
66.00,65.31,66.00,65.31
65.25,66.90,67.00,65.25
66.90,66.90,66.90,66.90
66.45,66.45,66.45,66.45
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
67.00,67.00,67.00,67.00
65.65,66.00,66.45,65.25
67.00,66.48,67.00,66.00
66.48,66.48,66.48,66.48
66.99,67.00,67.00,66.50
67.30,67.95,67.95,67.30
67.50,67.74,67.75,67.50
67.74,67.74,67.74,67.74
67.74,67.74,67.74,67.74
67.74,67.74,67.74,67.74
71.55,67.74,71.55,67.74
67.74,67.74,67.74,67.74
67.74,67.74,67.74,67.74
67.74,67.74,67.74,67.74
67.74,67.74,67.74,67.74
67.74,67.74,67.74,67.74
68.00,68.00,68.00,66.51
68.00,68.00,68.00,68.00
68.00,68.00,68.00,68.00
68.00,68.00,68.00,68.00
68.00,68.01,68.01,68.00
68.01,68.01,68.01,68.01
67.01,67.01,67.01,67.01
68.00,68.25,68.25,68.00
68.25,67.67,68.25,67.67
67.67,67.67,67.67,67.67
66.70,66.97,67.06,66.70
67.75,68.70,68.80,67.75
67.80,67.80,67.80,67.80
67.80,67.80,67.80,67.80
68.74,68.00,68.74,68.00
66.64,68.13,68.13,66.64
68.96,68.90,68.96,68.15
68.96,69.00,69.00,68.91
69.00,69.00,69.00,69.00
68.06,68.01,68.06,68.01
68.01,68.01,68.01,68.01
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
67.50,67.50,67.50,67.50
66.95,66.20,66.95,66.20
