NWLI,National Western Life Group,NASDAQ
166.58,166.07,167.00,164.21
167.00,169.46,169.46,167.00
167.79,167.13,168.37,167.13
168.00,172.01,172.01,168.00
169.13,167.39,169.41,166.44
167.26,166.25,168.00,166.25
168.52,166.81,168.52,165.44
165.26,167.45,167.45,165.26
165.49,163.31,165.51,163.31
161.81,157.92,163.27,157.69
157.93,160.01,161.47,157.92
165.58,158.37,165.58,158.37
160.35,164.96,165.36,160.00
165.59,172.95,174.10,165.59
174.74,179.81,179.81,174.06
178.92,177.93,178.92,174.00
175.43,175.43,175.43,175.43
174.01,172.79,174.97,170.16
173.98,172.90,174.00,172.60
171.70,170.22,172.50,170.22
169.66,166.99,169.66,166.99
167.50,168.01,171.30,166.00
168.40,168.56,168.56,166.51
172.04,170.00,172.04,170.00
170.85,169.08,170.90,169.08
170.09,168.00,170.09,167.72
166.48,168.70,170.20,165.58
168.00,166.26,168.00,161.30
167.31,169.52,169.52,167.17
169.52,169.52,169.52,169.52
166.84,167.05,167.05,165.00
160.46,166.73,166.79,160.46
167.00,168.33,169.94,166.75
169.32,171.04,172.50,168.98
172.00,170.21,172.00,170.00
170.00,170.00,171.18,169.29
170.00,170.00,171.32,166.73
166.50,166.57,167.99,166.50
167.03,172.50,172.50,166.19
172.36,175.04,175.45,168.76
173.11,172.10,173.50,172.10
172.14,173.00,174.23,169.90
170.28,169.39,174.47,169.39
170.30,172.41,173.84,167.30
172.18,169.04,173.30,169.04
170.00,170.57,174.76,170.00
172.52,172.00,173.23,172.00
171.17,172.55,172.87,171.17
170.50,168.68,170.63,168.68
167.00,169.30,170.00,166.99
170.00,167.75,170.00,167.50
165.71,166.93,167.98,165.71
167.99,167.00,167.99,167.00
168.00,166.72,168.00,166.72
170.00,169.98,170.00,169.98
169.43,168.76,171.00,168.05
168.30,169.00,170.33,168.01
170.00,170.00,170.29,169.54
169.14,168.04,169.32,167.02
168.04,167.91,168.04,166.38
169.00,170.33,170.45,169.00
172.16,172.91,172.91,172.14
171.32,171.32,171.32,171.32
169.71,173.84,174.00,169.71
171.75,173.26,175.88,171.00
173.00,170.78,175.66,170.78
170.16,167.65,171.60,167.65
169.40,165.80,169.40,160.14
163.01,165.24,166.64,163.01
165.00,165.40,165.87,165.00
166.00,172.12,172.12,165.45
172.82,172.50,172.85,172.10
172.55,172.03,174.52,171.31
171.12,172.98,173.79,169.04
172.00,174.95,174.95,172.00
174.14,173.78,174.91,172.71
174.98,172.55,174.98,172.51
173.05,169.99,173.05,169.73
169.93,170.00,170.00,169.70
171.35,171.32,173.92,171.26
170.38,169.88,171.08,169.88
168.65,168.77,173.16,168.65
169.34,170.78,170.93,169.34
172.36,171.00,172.36,171.00
169.84,169.74,169.84,169.73
170.22,170.21,170.23,168.01
171.34,171.15,171.60,170.84
170.38,170.22,172.40,169.75
169.40,168.66,169.70,168.61
169.28,169.00,169.60,168.60
169.76,169.76,170.00,168.00
170.44,172.94,172.97,169.10
173.00,174.88,174.88,173.00
174.86,171.77,174.86,171.00
170.50,169.76,171.00,168.36
170.78,171.18,171.50,169.72
170.00,168.92,170.21,168.92
170.72,168.83,170.91,166.56
168.76,169.64,172.10,168.76
