TDW,Tidewater Inc. Common Stock,NASDAQ
48.63,48.99,49.55,48.56
49.09,49.43,49.60,48.78
49.44,50.00,50.13,49.02
49.79,49.77,50.11,49.44
49.78,51.00,51.02,49.70
51.15,50.40,51.43,50.27
49.98,49.72,50.05,49.60
49.66,49.89,50.41,49.24
49.82,50.58,50.66,49.57
50.71,50.20,50.86,49.78
49.97,51.37,51.39,49.97
50.80,50.33,50.80,50.15
50.30,48.93,50.70,48.78
48.84,47.74,48.89,47.64
47.93,48.10,48.68,47.90
47.91,47.84,49.21,47.56
47.59,47.77,48.28,46.88
47.96,47.23,48.13,46.60
47.45,46.82,48.24,46.81
47.08,48.68,48.69,47.08
48.25,47.29,48.55,46.04
46.93,46.12,47.10,45.91
45.62,44.83,45.82,44.79
44.69,43.96,44.98,42.96
44.12,44.03,44.77,43.41
44.53,44.76,45.31,44.30
44.66,44.36,44.85,43.68
44.20,44.62,44.90,43.88
44.11,44.61,44.62,43.58
45.15,45.70,45.75,45.01
45.93,45.86,46.03,45.21
45.95,46.17,46.40,45.36
46.22,46.17,46.54,45.91
46.35,46.18,46.50,45.83
45.96,45.25,46.24,45.01
45.25,44.94,45.78,44.38
44.41,44.68,44.73,43.52
44.71,44.57,44.80,44.03
44.74,45.45,45.45,44.38
45.48,45.38,45.85,45.13
45.41,45.75,46.21,45.30
45.75,46.15,46.47,45.50
46.55,46.67,46.91,46.40
46.52,47.19,47.23,46.52
47.00,47.30,47.50,46.99
47.57,48.03,48.40,47.18
47.86,48.32,48.46,47.71
48.59,48.62,48.86,48.01
48.48,48.43,48.74,47.97
48.57,49.40,49.46,48.50
49.33,49.94,50.20,49.32
49.74,49.00,50.00,48.67
47.87,47.87,49.36,47.52
47.33,48.26,48.40,47.22
48.43,48.55,48.68,47.96
48.19,47.85,48.67,47.35
48.21,46.02,48.21,45.85
46.28,46.89,47.19,46.27
46.82,47.52,47.52,46.39
47.67,47.37,47.81,47.02
47.59,47.27,48.00,47.23
47.65,48.32,48.32,47.65
48.61,49.25,49.25,48.30
49.13,49.40,49.62,48.93
49.11,48.90,49.35,48.59
48.57,48.82,48.94,48.16
48.96,49.53,49.54,48.75
49.42,49.50,49.97,49.33
49.56,48.96,49.59,48.47
49.38,49.90,50.00,48.65
49.70,49.69,50.00,49.56
49.46,49.30,49.79,48.22
49.02,49.48,49.56,48.70
49.73,50.69,50.71,49.70
50.60,50.65,51.21,50.30
50.15,51.01,51.06,49.90
51.05,51.75,51.82,50.61
51.65,52.36,52.40,51.62
52.05,51.15,52.32,51.04
51.45,52.36,52.36,51.07
52.61,53.04,53.24,51.83
52.74,53.61,57.08,52.63
53.96,52.31,54.41,51.90
51.54,50.93,52.03,50.37
50.32,50.58,51.47,49.47
50.22,48.80,50.97,45.90
48.59,48.44,49.38,47.92
49.92,49.92,50.29,49.03
49.33,50.49,51.26,49.33
50.68,51.08,51.37,50.49
51.13,49.96,51.58,49.86
49.57,48.67,49.67,48.25
48.81,48.59,49.22,47.14
49.18,47.66,49.47,47.49
47.55,47.38,47.73,46.00
46.70,42.90,46.73,42.30
42.11,43.05,43.13,41.53
42.81,41.42,43.08,41.36
40.47,41.83,41.91,40.05
42.10,41.83,42.62,41.60
