MSTR,MicroStrategy Incorporated - Class A Common Stock,NASDAQ
94.47,96.16,96.25,94.47
96.94,97.84,98.60,96.67
98.26,96.34,98.64,96.10
96.09,92.49,97.33,92.21
92.57,95.00,95.41,92.57
95.78,90.77,96.77,90.50
93.75,99.57,99.70,92.17
100.00,98.09,103.23,97.00
98.36,99.07,99.29,97.72
102.25,103.59,106.06,102.11
104.69,105.10,106.86,103.86
104.68,102.44,104.98,100.80
102.85,99.45,104.16,98.50
99.10,97.01,99.80,96.83
97.26,95.49,98.54,95.01
95.07,97.35,98.43,94.02
96.63,96.83,97.94,95.70
96.72,95.50,97.84,95.15
96.01,93.72,97.33,93.72
94.09,94.37,95.00,92.76
94.37,94.66,95.62,94.03
94.58,96.64,97.66,94.56
84.01,79.03,86.21,77.79
79.03,79.13,80.78,77.25
79.33,81.26,81.94,78.10
81.95,82.42,83.16,81.04
82.10,84.03,84.81,81.15
83.62,84.54,84.99,82.54
83.88,84.80,84.94,83.75
85.15,86.14,86.49,84.95
86.50,86.00,87.12,85.84
85.69,85.04,86.00,84.50
85.13,85.66,86.18,84.02
85.61,86.36,87.24,85.00
85.90,86.12,86.71,85.51
85.93,87.19,87.41,85.87
86.26,87.24,87.35,85.26
87.35,88.62,88.93,86.79
89.10,90.67,91.26,89.10
91.03,88.31,91.13,87.92
88.55,88.97,89.18,88.15
88.96,89.28,89.46,88.55
89.77,91.33,91.54,89.40
89.17,86.54,89.17,86.10
86.06,85.39,86.68,85.06
85.15,86.50,86.74,84.66
85.90,86.69,86.72,85.45
87.17,87.48,87.79,86.75
87.12,87.07,87.66,85.91
87.53,86.47,87.89,85.74
86.84,85.83,87.25,84.75
86.60,85.02,86.61,84.80
89.49,89.27,90.41,87.89
88.72,89.12,89.95,88.61
89.09,89.40,89.65,88.74
89.42,87.51,89.42,87.28
88.33,86.30,88.34,86.19
86.76,85.00,86.77,84.66
85.09,85.51,85.74,84.31
85.34,85.56,86.39,84.90
85.10,85.07,85.58,84.80
85.95,85.47,86.50,84.83
85.68,85.81,85.95,85.42
85.67,85.93,86.17,85.56
85.61,86.27,86.45,85.61
86.00,85.99,86.20,85.66
86.00,85.46,86.02,85.35
85.40,84.42,85.40,84.26
84.44,84.86,85.34,84.01
85.03,85.20,85.62,84.94
85.02,84.74,85.60,84.67
84.85,84.29,84.95,84.01
84.14,83.95,84.82,82.49
84.38,86.71,86.72,83.90
87.04,87.17,87.58,86.28
86.52,87.49,87.54,85.50
87.25,87.78,88.28,87.25
87.31,88.37,88.73,87.31
87.99,87.93,89.55,87.65
88.44,88.68,89.91,88.44
89.27,90.01,90.72,89.09
80.00,76.60,80.45,76.19
76.39,76.09,77.54,74.43
74.82,74.59,75.09,74.02
73.04,72.45,75.41,71.73
72.08,69.89,72.20,66.00
69.29,68.83,70.56,67.22
71.01,71.31,71.70,70.50
70.75,72.85,73.28,70.75
73.21,76.20,76.29,73.04
76.23,77.61,78.91,76.00
77.10,77.09,78.19,75.79
77.43,77.38,77.76,75.85
78.19,77.08,78.44,76.51
76.79,77.14,77.71,76.03
76.50,74.68,76.78,74.61
73.62,76.40,77.89,73.32
76.05,76.00,77.41,75.72
74.75,76.14,76.53,73.46
76.24,74.96,77.20,74.72
75.66,78.27,78.29,75.51
78.32,77.06,78.63,76.87
76.44,75.09,77.63,73.27
75.10,76.10,76.46,74.04
77.00,77.51,78.28,76.34
75.45,74.60,77.08,74.60
74.99,73.15,75.63,72.93
73.30,72.26,74.10,71.29
72.87,72.73,74.23,71.72
73.80,74.99,74.99,73.80
73.79,75.70,76.29,71.62
76.45,75.81,78.07,75.21
76.30,77.37,77.60,76.01
76.76,78.13,78.39,76.19
78.15,78.61,79.53,77.64
79.07,78.51,79.72,78.20
79.55,79.16,81.02,78.70
79.23,77.68,79.99,77.52
77.90,77.66,78.20,76.34
77.22,75.71,77.86,75.55
76.02,75.99,76.50,74.49
75.98,76.37,76.91,75.10
75.35,75.51,77.63,74.65
75.29,75.09,77.14,75.09
74.80,74.32,75.67,73.68
74.93,74.48,75.50,74.19
75.60,74.58,77.96,74.18
74.81,74.95,75.64,74.39
75.46,74.97,75.93,74.75
75.05,75.43,76.96,75.02
75.33,77.22,77.36,75.33
77.97,79.24,79.54,77.26
78.49,78.68,79.85,78.49
78.97,77.63,79.16,77.20
77.52,75.69,78.36,75.57
75.88,77.24,77.40,74.65
76.46,80.55,80.71,76.46
81.27,79.25,81.55,79.25
80.24,80.00,80.91,79.21
79.54,81.50,81.75,79.50
81.86,81.40,82.44,81.16
81.89,82.92,83.22,81.65
82.62,81.58,83.47,81.28
82.22,80.05,82.22,80.04
80.75,82.99,83.03,80.04
84.01,84.38,84.83,83.67
85.22,79.26,85.23,78.71
79.31,79.13,80.07,78.06
78.35,77.38,78.50,77.28
76.84,77.42,77.55,75.80
77.84,77.40,78.00,76.53
76.61,76.19,77.13,75.07
75.01,75.12,75.91,74.26
74.17,74.65,74.99,73.58
74.27,74.30,75.04,74.10
74.01,73.59,74.74,72.42
74.28,75.92,76.44,73.87
75.64,75.91,77.18,74.84
75.56,75.92,76.31,74.26
75.52,76.93,77.56,75.45
77.23,76.90,77.74,76.38
75.99,76.23,77.17,75.21
75.86,77.27,77.50,75.17
77.26,76.43,77.68,76.23
76.89,77.54,78.10,75.39
77.21,77.57,78.71,77.13
77.42,77.93,78.46,76.48
78.53,79.99,80.74,78.13
79.83,81.17,81.64,79.48
81.27,81.99,82.38,79.59
81.84,81.72,82.73,80.96
