SSKN,Strata Skin Sciences,NASDAQ
10.50,10.62,10.69,10.38
10.66,10.52,10.70,10.50
10.50,10.55,10.70,10.42
10.64,10.62,10.65,10.38
10.65,10.57,10.65,10.33
10.65,10.62,10.66,10.47
10.60,10.65,10.76,10.50
10.64,10.73,10.77,10.46
10.76,11.67,12.24,10.75
11.57,11.05,11.57,10.75
11.07,11.11,11.12,10.80
11.05,11.19,11.28,10.90
11.15,10.45,11.18,10.30
10.34,9.38,10.35,9.32
9.45,9.42,9.49,9.00
9.40,9.28,9.58,9.10
9.30,9.30,9.35,9.11
9.46,9.17,9.46,9.07
9.23,9.12,9.30,9.05
9.13,9.20,9.33,9.05
9.25,9.27,9.43,9.20
9.27,9.21,9.45,9.10
9.21,8.87,9.26,8.81
8.88,8.84,9.25,8.57
8.67,8.77,9.07,8.59
8.96,8.83,8.99,8.70
8.90,9.04,9.07,8.75
9.08,9.73,9.92,9.05
9.62,9.86,9.91,9.33
9.93,9.95,10.12,9.87
10.05,9.85,10.05,9.68
9.86,9.83,9.86,9.55
9.83,9.45,9.83,9.31
9.45,9.22,9.45,9.06
9.18,9.41,9.41,9.00
9.44,9.52,9.65,9.30
9.42,9.85,9.88,9.37
9.87,9.76,9.95,9.62
9.81,9.75,9.82,9.52
9.71,9.71,9.75,9.61
9.70,9.59,9.70,9.40
9.52,9.53,9.73,9.43
9.50,9.42,9.59,9.21
9.40,9.39,9.46,9.30
9.34,9.28,9.43,9.25
9.39,9.52,9.62,9.32
9.52,9.39,9.60,9.35
9.40,9.23,9.40,9.18
9.23,9.21,9.42,9.10
9.25,9.28,9.37,9.11
9.36,9.22,9.43,9.16
9.20,9.29,9.43,9.16
9.30,9.30,9.32,9.10
9.57,9.26,9.57,9.04
9.26,9.20,9.26,9.02
9.13,9.16,9.48,9.09
6.84,7.28,7.67,6.43
7.26,7.07,7.29,7.02
7.21,7.48,7.54,7.10
7.56,7.34,7.58,7.22
7.50,7.42,7.50,7.26
7.50,7.64,7.75,7.35
7.75,7.53,7.77,7.45
7.45,7.31,7.45,7.29
7.26,7.33,7.39,7.23
7.35,7.31,7.39,7.25
7.45,7.24,7.45,7.21
7.30,7.31,7.40,7.20
7.25,7.19,7.25,7.13
7.20,7.31,7.32,7.15
7.31,7.32,7.36,7.25
7.36,7.45,7.48,7.35
7.50,7.33,7.50,7.21
7.37,7.60,7.60,7.32
7.63,7.57,7.72,7.52
7.57,7.66,7.71,7.41
7.63,7.46,7.66,7.37
7.54,7.23,7.54,7.22
7.20,7.12,7.25,7.06
7.11,7.15,7.25,7.10
7.20,7.29,7.34,7.18
7.29,7.12,7.33,7.12
7.16,7.37,7.44,7.16
7.30,7.12,7.31,7.10
7.05,6.84,7.12,6.56
6.73,6.51,7.03,6.45
6.43,6.25,6.51,6.00
6.53,6.99,7.00,6.45
6.74,6.41,6.89,6.31
6.50,6.53,6.60,6.43
6.54,6.38,6.55,6.35
6.37,6.24,6.38,6.17
6.27,6.27,6.30,5.95
6.37,6.03,6.37,5.98
5.95,5.92,5.97,5.74
5.74,5.62,5.86,5.61
5.52,5.65,5.71,5.51
5.60,6.11,6.52,5.57
5.96,6.04,6.07,5.70
7.10,7.57,8.06,7.05
7.76,7.63,7.98,7.23
7.65,7.53,7.75,7.39
7.39,7.19,7.47,7.19
7.20,7.38,7.46,7.18
7.36,7.55,7.60,7.23
7.43,7.29,7.60,7.28
7.29,7.06,7.51,7.06
7.06,7.20,7.28,7.02
7.28,7.23,7.39,7.20
7.36,7.32,7.54,7.19
7.22,7.32,7.45,7.16
7.39,7.12,7.40,7.07
7.20,7.25,7.28,7.08
7.19,7.36,7.50,7.19
7.40,7.24,7.42,7.12
7.30,7.23,7.31,7.12
8.81,8.33,8.92,7.97
8.50,8.83,9.05,8.35
8.99,8.59,9.18,8.58
8.59,8.86,8.99,8.45
8.90,9.12,9.18,8.82
9.19,8.86,9.25,8.72
8.51,8.30,8.70,8.22
7.70,7.44,7.73,7.25
7.33,7.04,7.35,6.75
7.08,7.15,7.32,6.95
7.30,7.14,7.40,7.03
7.19,7.30,7.31,7.10
7.40,7.23,7.42,7.15
7.21,7.13,7.29,7.00
7.22,6.85,7.22,6.79
6.96,6.91,7.04,6.86
6.86,6.88,6.98,6.79
6.98,6.83,6.98,6.75
6.80,6.61,6.85,6.51
6.76,6.62,6.84,6.61
6.61,6.87,6.89,6.55
6.94,6.47,6.96,6.36
6.00,6.71,6.75,5.90
6.74,6.82,6.90,6.50
6.92,6.75,7.16,6.69
6.84,6.68,6.89,6.59
6.78,6.78,6.80,6.51
6.96,6.74,6.98,6.61
6.67,6.73,6.88,6.65
6.86,6.94,7.09,6.80
6.94,6.78,6.96,6.74
6.79,6.95,6.99,6.73
6.90,6.77,6.95,6.73
6.73,6.54,6.89,6.51
6.55,6.55,6.60,6.45
6.49,6.39,6.55,6.31
6.28,6.10,6.30,6.04
6.02,6.37,6.40,5.90
6.43,6.50,6.73,6.35
6.46,6.46,6.84,6.37
6.53,6.51,6.57,6.41
6.52,6.37,6.52,6.35
6.35,6.25,6.35,6.01
6.88,6.87,6.98,6.57
7.17,7.11,7.30,7.02
7.05,6.90,7.12,6.74
6.99,7.16,7.28,6.85
7.28,7.28,7.42,7.20
7.35,7.29,7.39,7.10
7.48,6.77,7.50,6.75
6.79,6.88,7.05,6.78
7.02,7.22,7.23,6.90
7.19,6.98,7.19,6.91
7.05,7.10,7.14,6.90
7.04,6.88,7.08,6.84
6.87,6.74,6.98,6.72
6.82,6.89,7.03,6.77
6.86,6.70,6.90,6.56
6.70,6.63,6.90,6.60
6.63,6.57,6.76,6.55
6.60,6.69,6.72,6.55
6.70,6.98,6.98,6.69
6.99,6.85,6.99,6.84
6.83,6.89,6.93,6.81
6.89,6.75,6.93,6.73
6.76,6.56,6.89,6.55
6.54,6.56,6.73,6.52
6.65,6.74,6.75,6.60
6.71,6.95,7.01,6.70
6.93,6.67,6.95,6.46
6.62,6.71,6.80,6.53
6.75,6.52,6.79,6.46
6.58,6.60,6.65,6.46
6.60,6.57,6.66,6.36
6.60,6.64,6.73,6.49
6.61,6.57,6.66,6.43
6.65,6.80,6.85,6.55
6.82,6.80,6.89,6.70
6.77,6.69,6.80,6.61
6.69,6.61,6.69,6.57
6.69,6.94,7.05,6.65
6.97,7.09,7.25,6.80
7.20,6.95,7.24,6.87
7.19,6.96,7.19,6.90
7.00,7.29,7.45,6.95
7.39,7.27,7.43,7.26
7.33,7.36,7.40,7.26
7.47,7.41,7.48,7.29
7.70,7.59,7.70,7.37
7.68,7.77,7.82,7.50
8.03,8.07,8.30,7.57
8.10,8.24,8.32,8.00
8.16,7.52,8.18,7.50
7.50,6.72,7.51,6.54
6.73,7.13,7.13,6.72
7.10,7.13,7.17,6.89
7.15,7.11,7.42,6.97
7.11,7.06,7.16,6.89
7.00,7.42,7.50,6.88
7.39,7.02,7.49,6.96
7.02,6.83,7.19,6.80
6.75,5.94,6.75,5.81
5.87,5.60,5.90,5.23
6.60,6.37,7.00,6.10
3.43,2.92,3.50,2.80
2.82,2.53,3.02,2.51
2.53,2.53,2.53,2.53
5.45,4.98,5.85,4.56
4.83,4.38,4.91,4.37
4.25,3.99,4.30,3.89
4.06,3.92,4.10,3.77
3.90,3.87,3.91,3.74
3.72,3.70,3.81,3.54
3.64,3.56,3.67,3.51
3.60,3.40,3.68,3.29
3.36,3.25,3.36,3.17
3.20,3.40,3.53,3.08
3.35,3.33,3.41,3.22
3.32,3.23,3.37,3.22
3.23,3.17,3.30,3.11
3.20,3.21,3.27,3.16
3.20,3.31,3.38,3.18
3.34,3.19,3.34,3.16
3.21,3.18,3.25,3.12
3.15,3.18,3.34,3.14
3.17,3.16,3.18,3.08
3.12,3.20,3.23,3.03
3.20,3.10,3.23,3.07
3.10,3.10,3.13,3.07
3.10,3.10,3.12,3.05
3.10,3.09,3.12,3.03
3.07,3.07,3.10,3.03
3.04,3.03,3.09,3.00
3.02,3.03,3.12,3.01
3.01,3.21,3.33,3.01
3.21,3.35,3.42,3.21
3.39,3.34,3.44,3.14
3.33,3.29,3.33,3.20
3.27,3.45,3.50,3.21
3.42,3.35,3.49,3.31
3.37,3.26,3.40,3.20
3.23,3.30,3.36,3.15
3.30,3.30,3.32,3.23
3.32,3.39,3.43,3.30
3.40,3.29,3.41,3.25
3.27,3.27,3.35,3.26
3.20,3.25,3.33,3.19
3.23,3.12,3.32,3.11
3.10,3.18,3.19,3.06
3.18,3.12,3.18,3.05
3.10,3.07,3.13,3.04
3.04,3.04,3.06,3.01
3.05,3.12,3.12,3.01
3.09,3.04,3.09,3.03
3.02,2.88,3.04,2.82
2.88,2.70,2.93,2.62
