IEP,Icahn Enterprises L.P. - Depositary units,NASDAQ
40.01,38.79,40.13,38.40
38.76,38.63,39.37,38.11
38.74,39.22,39.37,37.77
39.18,40.67,41.49,38.93
40.54,41.77,41.77,40.38
41.83,42.54,42.75,41.50
42.24,43.85,43.85,42.24
43.85,44.36,44.48,42.58
44.45,45.28,45.82,43.66
45.46,45.24,45.89,44.63
45.18,45.60,45.87,45.17
45.60,45.79,45.87,45.07
45.39,45.68,45.75,45.24
45.66,46.37,46.88,45.47
46.50,46.77,47.29,46.41
46.70,46.78,47.58,46.45
46.74,46.75,46.75,45.00
46.86,46.01,46.98,45.93
46.50,45.82,46.50,45.44
45.33,45.36,45.75,45.02
45.28,45.44,45.93,44.60
44.90,45.52,45.70,44.71
45.70,45.68,45.70,44.39
45.67,46.02,46.06,44.49
46.01,45.77,46.01,44.59
45.74,45.40,45.86,45.23
45.40,45.00,45.55,44.31
45.04,46.05,46.84,45.04
45.42,45.96,46.83,45.42
46.40,46.62,46.83,46.40
46.44,46.93,47.44,46.12
47.25,47.97,48.09,46.80
47.11,46.77,48.18,45.72
36.50,46.37,46.51,36.50
46.35,46.00,46.70,44.83
45.78,46.17,46.18,45.28
45.42,48.05,48.20,45.38
48.20,49.98,50.10,47.72
50.00,49.00,51.40,48.82
49.09,47.87,49.75,47.64
47.80,47.63,48.56,46.33
51.65,47.37,51.65,46.79
47.85,48.43,48.59,47.09
48.73,47.51,48.73,46.98
46.78,47.87,48.13,46.66
48.26,46.93,48.26,46.02
46.93,46.65,47.57,45.92
46.31,47.40,47.46,46.08
47.70,47.03,47.70,45.45
46.94,47.66,48.03,46.37
47.80,47.50,48.03,46.57
47.00,46.72,48.00,46.16
46.24,46.24,46.99,44.99
46.15,45.91,46.15,45.62
45.83,45.91,46.24,45.61
45.91,45.55,46.02,45.29
45.85,45.45,46.30,45.45
45.43,45.87,45.99,45.43
45.87,45.53,46.00,45.53
45.51,46.20,46.20,44.60
46.10,47.50,47.50,45.94
47.35,45.80,47.40,45.00
45.98,45.93,45.98,45.36
45.31,45.50,45.65,45.00
45.31,44.54,45.31,44.00
44.54,43.50,44.54,43.50
43.05,44.79,44.85,42.85
45.39,44.49,45.39,44.29
44.28,43.30,44.28,43.21
43.15,44.01,44.02,43.15
43.97,44.00,44.14,43.25
43.02,44.53,44.53,43.02
44.50,44.40,44.55,44.00
44.40,44.37,44.68,44.12
44.16,43.55,44.38,43.49
43.33,43.56,43.84,42.94
43.92,44.40,44.50,43.87
45.00,44.54,45.00,44.00
44.25,44.54,44.59,43.73
44.50,44.95,45.09,44.49
44.96,45.10,45.20,44.80
45.29,44.98,45.29,44.64
44.86,45.00,45.01,44.34
44.94,43.55,44.95,43.55
43.61,42.52,43.61,42.32
42.00,40.42,42.05,38.50
41.12,37.38,41.78,35.72
39.00,35.81,39.01,35.04
35.56,37.63,37.65,34.63
37.91,36.62,38.41,35.70
36.62,36.50,37.26,35.80
36.50,36.27,36.50,35.25
36.25,36.07,36.25,35.53
36.01,34.68,36.01,34.57
34.51,33.56,34.55,33.54
32.08,31.80,32.28,31.02
31.22,31.30,31.63,30.36
31.52,31.46,32.00,30.82
30.79,30.90,31.46,30.34
30.91,30.66,31.55,30.12
31.05,33.76,33.76,31.00
33.58,34.33,34.96,32.72
36.66,37.90,38.90,36.66
38.75,39.85,39.85,38.06
40.52,39.41,41.25,38.82
39.00,39.37,40.21,38.80
38.85,39.49,40.00,38.34
39.54,38.68,39.84,38.16
39.38,38.99,39.38,38.32
38.90,38.99,39.89,38.15
39.22,38.74,39.25,38.26
39.40,38.03,39.40,37.64
38.47,39.45,39.93,38.44
39.25,39.19,39.25,38.49
39.18,39.95,39.99,38.98
38.96,40.69,40.78,38.96
40.80,41.15,41.75,40.50
41.22,41.10,41.35,39.79
41.25,41.10,41.25,40.35
40.79,39.58,40.81,39.16
39.08,39.33,39.72,38.05
39.26,38.57,39.26,38.00
37.91,36.88,38.29,36.87
36.88,36.95,37.48,36.55
37.11,37.01,37.31,35.90
37.01,36.44,37.01,35.54
35.85,35.89,36.24,35.01
36.44,35.55,36.44,35.43
35.47,36.10,36.24,35.47
36.27,36.21,36.63,36.19
36.26,36.49,36.64,36.22
36.97,37.95,38.15,36.97
38.02,38.90,39.21,37.85
39.08,38.64,39.08,37.52
38.04,38.07,38.27,37.87
37.71,37.31,37.71,36.97
36.71,37.44,37.49,36.68
37.41,36.60,37.50,36.26
37.25,37.55,37.74,37.16
37.87,38.19,38.49,37.87
38.06,38.71,39.06,38.06
38.62,38.69,38.72,37.93
38.39,38.52,39.06,37.82
38.72,39.37,39.38,37.67
35.11,40.50,40.50,35.11
40.85,39.81,41.15,38.50
39.56,39.17,39.56,38.91
39.39,38.70,39.39,37.11
38.47,38.29,38.71,37.70
37.99,38.68,39.00,37.12
39.03,38.40,39.03,37.68
37.78,37.76,38.15,36.52
37.38,36.43,37.39,36.00
36.65,36.18,37.02,36.06
36.02,36.99,36.99,35.34
36.99,37.14,37.44,36.44
37.22,36.22,38.07,36.19
35.83,35.38,36.05,35.06
35.49,35.40,35.49,34.76
35.00,35.11,35.34,34.52
35.10,34.34,35.10,33.75
33.96,32.57,34.07,32.56
32.50,32.38,32.50,31.34
32.33,33.69,33.69,32.10
33.97,34.05,34.69,33.32
33.80,33.70,33.99,33.32
33.31,35.20,35.20,33.04
36.07,35.30,36.07,34.79
34.87,34.12,35.12,33.75
33.99,34.24,34.39,33.05
34.29,34.78,34.86,34.02
35.18,34.47,35.18,34.22
34.64,33.63,34.64,33.43
33.68,35.12,35.17,33.68
36.16,35.50,36.16,34.94
34.00,35.43,35.70,34.00
35.41,35.69,35.70,35.11
35.56,35.22,35.56,34.73
35.70,37.69,38.08,35.30
37.70,38.58,38.80,37.53
38.29,38.75,38.93,38.26
38.80,38.40,38.99,38.06
38.03,38.37,38.47,37.92
38.50,37.37,38.55,36.50
37.51,36.75,37.51,36.28
36.75,36.96,37.43,36.69
36.78,36.98,37.21,36.26
36.77,36.70,37.19,36.42
36.82,35.90,36.82,35.20
36.21,35.18,36.27,35.01
35.17,35.78,36.33,34.80
35.45,36.00,36.27,35.45
35.88,35.52,35.88,34.75
35.38,35.04,35.49,34.64
35.08,34.80,35.08,34.21
34.72,35.02,35.08,34.47
35.10,35.50,36.13,34.84
35.38,36.45,36.46,34.62
36.25,35.43,36.43,35.30
35.78,35.26,35.89,34.65
35.06,35.16,35.38,34.67
34.98,34.80,35.00,34.42
34.98,35.19,35.32,34.79
35.16,35.10,35.19,34.66
35.11,35.70,35.70,34.55
35.28,35.86,35.89,35.10
35.56,35.07,35.95,34.96
35.08,35.20,35.20,34.62
34.88,34.60,35.75,33.78
34.43,34.16,34.43,33.75
34.06,35.28,35.28,34.01
35.48,35.29,35.48,34.71
35.00,36.33,36.33,35.00
37.00,36.38,37.00,36.00
35.25,35.98,36.50,34.80
35.54,35.99,36.04,35.34
36.00,36.81,36.85,35.66
36.46,36.12,36.48,35.50
35.64,35.16,35.64,34.58
35.09,35.01,35.94,34.93
35.03,35.50,35.50,34.50
35.30,35.20,35.33,34.79
35.69,35.72,36.50,35.25
36.01,36.22,36.29,35.28
36.17,35.91,36.17,35.24
35.93,35.62,35.93,34.55
35.65,35.50,35.85,35.33
35.36,35.84,35.93,35.33
35.56,34.65,35.56,33.94
34.13,34.50,34.70,33.66
34.75,33.94,34.75,33.69
34.00,34.08,34.09,33.67
34.05,34.20,34.27,33.88
35.17,34.00,35.17,33.55
34.24,33.83,34.24,33.51
33.90,33.81,34.00,33.65
33.94,33.70,33.94,33.25
33.68,33.79,33.79,33.50
33.79,33.67,33.80,33.32
33.43,33.80,34.13,33.18
33.80,33.78,33.95,33.69
33.43,33.71,34.00,33.30
33.66,34.09,34.09,33.65
34.19,34.00,34.19,33.65
33.89,33.93,34.35,33.89
33.93,33.92,34.02,33.79
33.91,34.14,34.26,33.91
34.09,34.19,34.27,33.91
34.19,34.27,34.28,33.92
34.31,34.30,34.31,34.00
34.20,35.02,35.18,34.00
35.00,35.26,35.65,34.74
35.27,35.75,35.75,35.01
35.75,35.73,35.88,35.35
35.50,36.00,36.00,35.42
35.91,35.98,35.99,35.63
35.87,36.74,36.75,35.87
36.84,36.79,37.00,36.60
36.80,35.85,36.80,35.71
35.98,36.06,36.25,35.97
36.00,36.03,36.50,35.25
36.13,36.76,36.84,35.92
36.75,36.55,36.75,36.41
36.55,36.55,36.73,35.84
36.55,36.24,36.56,35.85
36.11,36.10,36.30,35.90
36.14,36.21,36.34,35.96
36.29,38.44,38.72,36.08
38.68,39.45,40.47,38.26
39.82,38.99,39.82,38.29
38.80,38.62,38.80,36.64
38.50,40.50,40.50,36.75
40.27,40.67,41.20,40.05
40.85,41.12,41.20,40.40
40.95,41.20,41.56,40.75
40.99,41.39,41.43,40.99
41.46,41.59,41.83,41.12
41.59,41.95,41.95,40.94
41.94,41.87,42.48,41.41
41.87,41.86,42.38,41.01
42.22,42.15,42.35,41.98
42.50,42.38,42.66,42.14
42.41,42.15,42.42,42.01
42.38,42.57,43.00,42.35
42.40,42.65,42.80,42.27
42.76,42.93,42.93,42.21
42.95,42.24,43.00,42.23
42.14,42.30,42.50,41.76
42.13,42.68,42.68,41.71
42.80,42.90,42.95,42.45
42.88,42.90,43.00,42.20
42.87,41.80,42.87,41.35
41.73,40.50,41.73,39.00
40.81,40.50,41.17,39.82
40.22,40.43,40.75,39.50
40.28,39.99,40.88,38.32
41.17,39.98,41.17,38.34
