CBMX,CombiMatrix Corporation - Common Stock,NASDAQ
14400.00,14332.50,14400.00,13725.00
14062.50,14332.50,14400.00,13815.00
14580.00,13530.15,14602.50,13500.00
14040.00,13837.50,14040.00,13297.50
14422.50,14220.00,14422.50,14175.00
14310.00,14535.00,14557.50,14017.50
14400.00,14850.00,15120.00,14287.50
15052.50,15075.00,15075.00,14895.00
15075.00,14850.00,15075.00,14692.50
14805.22,14850.00,14850.00,14805.22
14850.00,15164.78,15164.78,14625.00
15120.00,15030.00,15120.00,14782.50
14872.50,15052.50,15120.00,14872.50
15142.50,14942.25,15187.50,14850.00
14917.50,15907.50,15930.00,14872.50
15705.00,15637.50,15705.00,15412.50
15435.00,15390.00,15660.00,15300.00
15187.50,15705.00,15705.00,15165.00
15727.50,15705.00,17550.00,15367.50
15525.00,14737.50,15525.00,14400.00
14737.50,14872.50,15659.78,14715.00
14850.00,14760.00,15007.50,14692.50
15007.50,15255.00,15255.00,14737.50
14625.00,14467.50,15277.50,14400.00
14850.00,14737.50,14850.00,14602.50
14422.50,14467.50,14827.50,14197.50
14445.00,14602.50,14602.50,14062.50
14602.50,14625.00,14692.50,14400.00
14197.50,14625.00,14625.00,14197.50
14332.50,14377.50,14602.50,14332.50
14602.50,14467.50,14602.50,14332.50
14467.50,14625.00,14625.00,14400.00
14467.50,13882.28,14467.50,13725.00
14004.00,13522.50,14004.00,13522.50
13500.00,13500.00,13522.50,13275.00
13477.50,13500.00,13792.50,13387.50
13500.00,13275.22,13500.00,13275.00
13275.00,13275.00,13275.00,13252.50
13252.50,13252.50,13277.25,13252.50
13410.00,13927.50,13927.50,13410.00
13837.72,14017.50,14175.00,13837.50
13837.50,13950.00,13983.75,13837.50
13680.00,13815.00,13950.00,13410.00
13950.00,13882.50,13950.00,13455.00
13680.00,13590.00,13927.50,13477.50
13590.00,13567.50,13612.50,13455.00
13522.50,13005.00,13522.50,13005.00
12960.00,12937.50,13050.00,12915.00
12937.50,12487.50,12937.50,11947.50
12420.00,12847.28,12847.28,12105.00
12735.00,12330.00,12735.00,12015.00
12172.50,12285.00,12397.50,11722.50
12239.78,12105.00,12465.00,11790.00
11767.50,11497.50,12082.28,11497.50
11407.50,10800.22,11407.50,10710.00
10755.00,10957.50,11070.00,10755.00
10912.50,11520.00,11609.78,10912.50
11390.62,11407.28,11925.00,11385.00
11250.00,11250.00,11835.00,11025.22
11677.50,11407.50,11677.50,11407.50
11250.00,11362.50,11497.50,11182.50
N/A,N/A,N/A,N/A
11250.00,10912.72,11475.00,10890.00
11407.50,10912.50,11407.50,10710.00
10822.50,10957.50,11137.50,10800.00
10980.00,10822.50,10980.00,10777.50
10755.00,10530.00,10777.50,10530.00
10440.00,10125.00,10462.50,10057.50
10282.50,10417.50,10509.75,10147.50
10440.00,10395.00,10575.00,10125.00
10350.00,10552.50,10552.50,10350.00
10350.00,10512.00,10552.50,10125.00
10282.50,10170.00,10665.00,10125.00
10125.00,9337.50,10664.78,9157.50
9315.00,8977.50,9315.00,8617.50
8977.50,8910.00,9009.00,8865.00
8955.00,8977.50,9157.28,8932.50
8977.50,9000.00,9157.50,8977.50
9000.00,8977.50,9270.00,8956.12
9112.50,9022.50,9225.00,9000.00
9045.00,8977.50,9132.75,8941.50
9000.00,8887.50,9087.75,8887.50
8910.00,8595.00,8910.00,8550.00
8550.00,8392.50,8550.00,8392.50
9000.00,8662.50,9157.28,8603.78
8685.00,8325.00,8707.50,8325.00
8302.50,8005.50,8325.22,7537.50
8415.00,8707.50,9090.00,8169.75
8640.00,8190.00,8640.00,8190.00
8347.50,7875.00,8392.50,7875.00
7852.50,7740.00,8280.00,7650.00
7650.00,7267.28,7672.50,6930.00
7200.00,7222.50,7402.50,7200.00
7335.00,7785.00,7852.50,7245.00
7875.00,7740.00,7875.00,7020.00
7425.00,7357.50,7717.50,7357.50
7155.00,7335.00,7335.00,7155.00
7222.50,7065.00,7312.50,7042.50
7042.50,6885.00,7335.00,6817.50
6862.50,5872.50,6997.50,5850.00
