EVK,Ever-Glory International Group,NASDAQ
2.77,2.92,2.97,2.77
2.92,2.95,2.96,2.90
2.90,2.94,2.95,2.75
2.86,2.93,2.93,2.85
2.53,2.81,2.92,2.53
2.76,3.35,3.44,2.76
3.42,4.41,4.46,3.42
4.46,4.35,4.90,4.35
4.10,4.23,4.33,3.90
3.80,4.19,4.58,3.80
4.15,4.60,4.69,4.15
4.60,4.59,4.60,4.23
4.59,4.59,4.70,4.40
4.54,4.47,4.59,4.36
4.80,4.50,4.80,4.41
4.32,4.21,4.40,4.14
4.00,4.02,4.08,3.81
4.02,4.04,4.11,3.95
4.10,4.40,4.44,4.04
4.60,4.12,4.60,4.00
4.20,4.16,4.20,4.16
4.60,4.11,4.60,4.10
4.00,4.11,4.30,4.00
4.05,4.15,4.18,4.01
4.12,4.03,4.13,4.00
4.10,4.14,4.14,4.05
4.21,4.17,4.21,4.15
4.15,4.11,4.15,4.06
4.10,4.05,4.10,4.03
4.04,3.78,4.04,3.62
3.71,3.45,3.71,3.15
3.48,3.62,3.75,3.43
3.69,3.83,3.90,3.69
3.95,3.68,3.95,3.65
3.62,3.47,3.62,3.35
3.47,3.46,3.50,3.32
3.45,3.45,3.45,3.45
3.45,3.44,3.50,3.40
3.49,3.63,3.79,3.49
3.58,3.50,3.62,3.50
3.50,3.46,3.54,3.46
3.45,3.50,3.50,3.45
3.44,3.54,3.55,3.44
3.30,3.30,3.45,3.25
3.28,3.45,3.50,3.27
3.37,3.40,3.40,3.37
3.36,3.35,3.39,3.35
3.36,3.36,3.40,3.33
3.40,3.25,3.42,3.22
3.50,3.32,3.50,3.26
3.25,3.20,3.60,3.20
3.24,3.25,3.35,3.20
3.20,3.25,3.25,3.20
3.25,3.25,3.25,3.20
3.22,3.23,3.23,3.22
3.10,3.17,3.21,3.10
3.18,3.20,3.20,3.18
3.14,3.15,3.19,3.08
3.10,3.00,3.14,2.85
3.11,2.95,3.11,2.88
2.99,2.83,3.00,2.81
N/A,N/A,N/A,N/A
2.88,3.00,3.00,2.83
3.00,3.20,3.37,3.00
3.25,3.20,3.40,3.20
3.16,3.11,3.30,3.10
3.19,3.10,3.20,3.10
3.15,3.08,3.15,2.99
2.99,3.05,3.12,2.90
3.20,3.05,3.20,3.05
3.05,2.99,3.05,2.95
2.96,2.97,2.99,2.96
2.97,2.99,3.13,2.95
3.14,3.14,3.14,3.14
3.17,3.14,3.20,3.05
3.01,3.00,3.15,3.00
3.07,3.10,3.10,2.98
2.98,3.10,3.10,2.98
3.00,3.10,3.10,3.00
3.02,3.04,3.04,2.98
3.00,3.01,3.04,3.00
2.96,3.01,3.02,2.96
2.98,2.99,2.99,2.98
2.98,2.94,2.99,2.86
2.85,3.00,3.00,2.82
2.85,2.65,2.95,2.27
3.18,2.60,3.18,2.60
2.64,2.70,2.79,2.63
2.70,2.71,2.77,2.62
2.75,2.85,2.85,2.71
3.15,3.39,3.55,2.85
3.39,3.60,3.79,3.39
3.59,3.46,3.60,3.43
3.45,3.17,3.45,3.15
3.21,3.03,3.29,2.95
3.10,2.98,3.10,2.83
2.50,2.83,2.88,2.50
2.71,2.80,2.99,2.70
2.81,2.80,2.81,2.61
2.74,2.78,2.79,2.61
2.80,2.75,2.80,2.75
2.74,2.72,2.90,2.70
2.75,2.75,2.75,2.75
2.77,2.72,2.77,2.66
2.75,2.75,2.75,2.68
2.70,2.65,2.70,2.65
2.65,2.75,3.02,2.47
2.70,2.79,2.96,2.70
2.90,2.90,2.90,2.90
2.74,2.98,3.00,2.74
2.95,2.90,2.95,2.90
3.39,3.04,3.39,2.48
3.10,3.09,3.16,3.00
3.07,3.00,3.08,3.00
2.99,3.15,3.15,2.98
3.01,2.80,3.48,2.80
2.95,3.14,3.40,2.95
3.05,3.13,3.20,2.90
3.10,3.05,3.10,3.05
3.07,2.92,3.07,2.92
3.05,3.00,3.05,3.00
3.08,3.10,3.10,3.01
3.00,2.90,3.00,2.85
2.99,3.00,3.00,2.99
3.10,3.09,3.10,3.00
3.00,3.05,3.10,2.81
3.05,3.04,3.10,2.95
3.00,3.05,3.05,2.90
2.85,2.98,2.98,2.77
3.04,3.01,3.04,3.00
3.05,3.00,3.05,3.00
3.05,3.05,3.07,2.95
3.00,3.05,3.05,2.99
3.10,3.05,3.10,3.04
1.89,1.89,1.89,1.89
3.05,2.79,3.05,2.63
2.76,2.74,2.76,2.74
2.60,2.77,2.77,2.60
2.65,2.74,2.84,2.65
2.75,2.74,2.75,2.74
2.74,2.74,2.74,2.70
2.70,2.70,2.70,2.69
2.60,2.60,2.60,2.52
2.55,2.55,2.55,2.50
2.46,2.75,2.75,2.40
2.70,2.66,2.70,2.66
2.70,2.76,2.89,2.70
2.80,2.65,2.80,2.60
2.60,2.73,2.73,2.60
2.63,2.60,2.63,2.53
2.52,2.65,2.65,2.48
2.56,2.39,2.70,2.39
2.42,2.88,2.95,2.40
3.05,2.90,3.05,2.81
2.88,2.83,2.88,2.83
2.75,2.73,2.75,2.73
2.71,2.45,2.71,2.45
2.37,2.38,2.38,2.37
2.34,2.36,2.46,2.29
2.36,2.36,2.36,2.36
2.43,2.43,2.43,2.43
