NEPT,Neptune Technologies & Bioresources Inc - Ordinary Shares,NASDAQ
2.19,2.05,2.19,2.03
2.06,2.05,2.06,2.02
2.09,2.05,2.10,2.03
2.06,1.97,2.06,1.97
2.01,1.99,2.01,1.98
2.19,2.00,2.19,2.00
1.99,1.95,2.19,1.95
1.99,2.03,2.05,1.99
2.05,2.05,2.05,2.05
2.05,2.07,2.07,2.01
2.05,2.02,2.05,2.02
2.00,2.03,2.04,2.00
1.96,1.95,1.99,1.95
1.95,1.94,2.05,1.91
2.01,2.01,2.09,1.97
1.98,1.98,1.99,1.95
1.96,2.00,2.00,1.95
1.97,2.00,2.00,1.95
2.00,1.97,2.01,1.92
1.97,1.94,2.02,1.93
1.94,1.93,2.00,1.93
1.95,1.97,1.98,1.93
1.95,1.92,1.95,1.90
1.91,1.94,1.95,1.90
1.90,1.96,2.04,1.88
1.99,1.95,2.07,1.95
1.94,1.96,1.97,1.94
1.97,1.97,1.97,1.97
1.95,1.99,2.02,1.95
2.14,1.94,2.50,1.90
2.09,2.00,2.20,1.96
1.99,2.00,2.00,1.97
2.02,2.01,2.09,2.00
2.06,2.07,2.11,2.05
2.06,1.97,2.06,1.96
2.03,1.98,2.09,1.98
2.07,1.95,2.07,1.95
1.93,1.92,1.99,1.92
1.95,1.97,1.97,1.93
1.97,1.97,1.97,1.97
2.00,2.00,2.00,2.00
2.04,1.94,2.04,1.94
2.04,2.02,2.04,1.96
2.01,2.00,2.01,2.00
2.00,2.00,2.00,1.94
1.97,1.97,2.00,1.96
1.95,1.96,1.96,1.95
1.95,2.04,2.04,1.95
2.00,1.98,2.00,1.98
1.98,2.01,2.02,1.95
1.98,1.98,1.99,1.98
1.98,2.00,2.05,1.97
2.00,2.00,2.03,2.00
2.00,2.11,2.11,2.00
2.10,2.05,2.10,2.05
2.01,2.00,2.01,1.99
2.00,2.00,2.00,2.00
2.00,2.00,2.01,1.97
1.96,1.98,1.99,1.96
2.05,1.98,2.05,1.96
1.99,1.98,1.99,1.97
1.99,2.05,2.05,1.98
2.09,2.01,2.09,2.01
2.04,2.04,2.04,2.04
2.00,2.01,2.01,2.00
2.03,2.08,2.13,2.03
2.13,2.32,2.37,2.13
2.39,2.29,2.39,2.26
2.32,2.25,2.32,2.22
2.21,2.35,2.35,2.14
2.22,2.21,2.32,2.14
2.22,2.03,2.25,2.03
2.18,2.17,2.18,2.10
2.13,2.16,2.19,2.13
2.18,2.26,2.26,2.18
2.21,2.21,2.21,2.21
2.22,2.34,2.34,2.17
2.26,2.29,2.32,2.21
2.31,2.21,2.31,2.15
2.15,2.18,2.21,2.15
2.14,2.20,2.20,2.14
2.19,2.25,2.26,2.10
2.30,2.13,2.30,2.10
2.10,2.05,2.14,2.00
2.10,1.94,2.10,1.90
1.92,1.74,1.92,1.71
1.74,1.64,1.86,1.64
1.89,1.81,1.89,1.74
1.74,1.76,1.77,1.70
1.79,1.88,1.88,1.75
1.88,1.91,1.97,1.80
1.85,1.84,1.88,1.84
1.84,1.79,1.93,1.79
1.80,1.75,1.80,1.75
1.68,1.81,1.81,1.67
1.68,1.56,1.68,1.53
1.41,1.60,1.68,1.41
1.60,1.51,1.61,1.51
1.50,1.56,1.69,1.44
1.65,1.62,1.68,1.61
1.68,1.72,1.76,1.68
1.66,1.75,1.77,1.62
1.70,1.72,1.72,1.65
1.71,1.67,1.73,1.67
1.70,1.70,1.70,1.66
1.65,1.61,1.66,1.54
1.59,1.50,1.59,1.49
1.53,1.53,1.53,1.53
1.51,1.42,1.53,1.42
1.52,1.46,1.52,1.46
1.52,1.42,1.56,1.41
1.49,1.36,1.49,1.31
1.35,1.35,1.42,1.35
1.32,1.33,1.33,1.21
1.44,1.48,1.58,1.34
1.48,1.50,1.52,1.48
1.50,1.48,1.50,1.48
1.48,1.48,1.48,1.48
1.43,1.34,1.43,1.34
1.44,1.26,1.48,1.21
1.28,1.14,1.37,1.14
1.22,1.34,1.39,1.22
1.34,1.20,1.34,1.11
1.20,1.14,1.20,1.14
1.14,1.14,1.14,1.14
1.12,1.08,1.13,1.08
1.06,1.12,1.20,0.91
1.13,1.15,1.19,1.13
1.14,1.21,1.26,1.14
1.30,1.30,1.37,1.25
1.31,1.32,1.36,1.31
1.32,1.23,1.33,1.20
1.24,1.26,1.29,1.24
1.28,1.35,1.39,1.28
1.35,1.30,1.35,1.28
1.28,1.26,1.34,1.15
1.26,1.26,1.26,1.26
1.31,1.30,1.31,1.25
1.30,1.30,1.30,1.30
1.33,1.30,1.34,1.30
1.29,1.29,1.29,1.29
1.29,1.32,1.43,1.29
1.30,1.30,1.30,1.30
1.34,1.36,1.39,1.34
1.38,1.36,1.43,1.36
1.36,1.36,1.36,1.36
1.36,1.40,1.42,1.33
1.39,1.39,1.39,1.39
1.39,1.38,1.39,1.36
1.36,1.41,1.41,1.36
1.35,1.31,1.35,1.30
1.31,1.31,1.31,1.26
1.25,1.28,1.28,1.25
1.22,1.22,1.22,1.22
1.22,1.22,1.22,1.22
1.22,1.20,1.22,1.20
1.16,1.20,1.40,1.16
1.20,1.18,1.22,1.13
1.25,1.25,1.25,1.25
1.25,1.18,1.27,1.18
1.19,1.17,1.27,1.16
1.28,1.26,1.29,1.16
1.26,1.16,1.26,1.16
1.20,1.16,1.21,1.16
1.21,1.23,1.25,1.09
1.19,1.26,1.26,1.18
1.23,1.26,1.28,1.23
1.26,1.26,1.26,1.26
1.25,1.40,1.40,1.23
1.42,1.55,1.61,1.42
1.57,1.63,1.69,1.57
1.65,1.73,1.73,1.65
1.75,1.76,1.79,1.73
1.76,1.84,1.84,1.76
1.87,1.82,1.98,1.75
1.82,1.80,1.82,1.75
1.80,1.76,1.80,1.75
1.85,1.81,1.94,1.80
1.81,1.81,1.84,1.76
1.85,1.86,1.87,1.83
1.74,1.80,1.94,1.71
1.97,1.86,1.98,1.80
1.80,1.83,1.83,1.80
1.83,1.90,1.90,1.83
1.92,1.93,1.99,1.90
1.99,1.99,2.05,1.98
2.05,2.08,2.12,2.04
2.08,2.10,2.12,2.03
2.10,2.12,2.12,2.06
2.10,2.10,2.12,2.00
2.07,2.14,2.14,2.07
2.12,2.10,2.15,2.09
2.10,2.07,2.13,2.07
2.12,2.16,2.16,2.12
2.15,2.12,2.15,2.10
2.13,2.09,2.14,2.06
2.08,2.00,2.10,2.00
2.01,1.92,2.01,1.92
1.95,2.01,2.03,1.95
2.01,2.11,2.14,1.99
2.10,2.06,2.11,2.02
2.08,2.10,2.10,2.06
2.10,2.10,2.15,2.09
2.06,1.92,2.06,1.81
2.00,2.08,2.12,2.00
2.08,2.06,2.10,2.03
1.99,2.09,2.09,1.94
2.01,2.15,2.15,2.01
2.10,2.10,2.16,2.05
2.16,2.10,2.16,2.09
2.12,2.12,2.12,2.10
2.09,2.05,2.14,2.05
2.13,2.12,2.15,2.08
2.11,2.17,2.17,2.04
2.17,2.15,2.17,2.04
2.15,2.00,2.15,2.00
2.03,1.94,2.08,1.91
1.99,2.12,2.12,1.92
2.05,2.09,2.09,1.92
2.01,2.09,2.09,2.00
2.01,2.09,2.09,1.94
2.05,2.01,2.09,2.00
1.99,2.00,2.01,1.96
1.99,1.98,1.99,1.96
1.96,1.97,1.99,1.80
1.92,1.92,1.97,1.90
1.92,1.94,1.94,1.90
1.98,2.06,2.26,1.98
2.12,2.17,2.17,2.09
2.12,2.27,2.27,2.11
2.26,2.18,2.27,2.15
2.23,2.27,2.29,2.20
2.28,2.30,2.30,2.25
2.30,2.42,2.44,2.26
2.55,2.46,3.10,2.30
2.46,2.31,2.50,2.31
2.31,2.17,2.35,2.11
2.17,2.31,2.33,2.17
2.34,2.31,2.34,2.29
2.29,2.16,2.31,2.16
2.16,2.25,2.30,2.16
2.25,2.26,2.28,2.23
2.22,2.19,2.27,2.19
2.28,2.26,2.29,2.20
2.25,2.21,2.25,2.19
2.20,2.18,2.33,2.18
2.18,2.21,2.21,2.16
2.25,2.25,2.25,2.20
2.29,2.25,2.40,2.25
2.33,2.28,2.33,2.23
2.22,2.41,2.42,2.22
2.45,2.48,2.50,2.38
2.50,2.79,2.80,2.42
2.67,2.50,2.75,2.45
2.48,2.35,2.49,2.29
2.36,2.42,2.45,2.35
2.55,2.41,2.55,2.37
