SPY,SPDR S&P 500,NASDAQ
118.28,117.70,118.35,116.76
117.74,118.28,118.67,117.31
117.19,116.73,117.85,116.02
116.94,117.87,118.44,116.87
118.40,118.13,119.09,117.21
118.31,118.35,118.53,118.00
119.14,118.70,119.76,118.61
118.10,118.72,118.84,117.87
117.89,118.38,118.51,117.26
119.06,118.40,119.11,117.83
118.28,118.49,118.72,118.07
119.07,118.53,119.75,117.85
119.42,119.47,119.75,119.10
119.68,119.95,120.02,118.45
121.28,122.26,122.32,119.97
122.34,122.72,122.92,122.18
122.34,122.49,122.69,121.94
122.82,121.61,122.95,121.12
121.58,122.10,122.16,120.66
121.05,121.64,121.82,120.68
120.82,120.20,121.35,119.65
120.58,120.03,121.05,119.98
119.29,118.16,119.49,117.59
118.21,118.22,118.71,117.86
119.36,119.96,120.39,119.35
119.90,120.29,120.34,119.25
119.69,120.19,120.24,118.77
118.77,118.45,119.02,117.99
119.20,120.20,120.23,119.18
119.16,118.80,119.81,118.80
118.50,119.16,119.48,117.74
117.98,118.49,119.17,117.81
120.20,121.01,121.24,120.19
121.20,122.56,122.65,121.13
122.14,122.89,123.03,122.11
122.63,122.76,123.04,122.50
123.94,122.83,124.01,122.76
122.98,123.28,123.38,122.41
123.97,123.76,124.02,123.15
124.14,124.48,124.60,123.73
125.05,124.56,125.20,124.52
124.75,124.67,125.23,124.29
124.44,124.10,124.93,123.89
124.18,124.82,124.91,123.75
124.08,124.30,124.46,123.82
124.64,124.60,124.90,123.98
124.99,125.39,125.47,124.87
125.48,125.78,125.82,125.41
125.64,125.60,125.78,125.29
125.13,125.65,125.77,125.04
125.90,125.83,125.95,125.50
125.98,125.92,126.20,125.90
125.80,125.72,126.13,125.53
125.53,125.75,125.87,125.33
126.71,127.05,127.60,125.70
127.33,126.98,127.37,126.19
126.58,127.64,127.72,126.46
127.69,127.39,127.83,127.01
127.56,127.14,127.77,126.15
126.58,126.98,127.16,126.20
127.44,127.43,127.74,126.95
128.21,128.58,128.72,127.46
128.63,128.37,128.69,128.05
128.19,129.30,129.33,128.10
129.18,129.52,129.64,129.03
129.41,128.25,129.54,127.91
127.96,128.08,128.40,127.13
128.88,128.37,129.17,128.23
128.29,129.10,129.25,128.26
128.76,129.17,129.28,128.11
129.49,129.67,130.05,129.23
129.70,129.99,130.21,129.47
130.14,127.72,130.35,127.51
128.07,128.68,128.78,127.75
129.46,130.74,130.97,129.38
130.40,130.49,130.84,130.33
130.26,130.78,130.98,129.57
130.83,131.15,131.20,130.23
131.44,131.97,132.40,131.43
132.09,132.57,132.64,131.73
132.21,132.27,132.63,131.61
131.60,132.32,132.47,131.30
131.80,133.11,133.28,131.77
133.03,133.43,133.54,132.88
133.02,133.01,133.22,132.32
133.46,133.85,134.01,133.19
133.46,134.25,134.43,133.34
134.37,134.53,134.69,134.06
133.12,131.83,134.56,131.47
131.75,131.02,132.07,130.21
130.88,130.93,131.44,129.70
131.48,132.33,132.41,131.40
132.82,133.15,133.32,132.38
133.57,130.93,133.69,130.89
130.75,131.21,131.82,130.35
132.40,133.47,133.62,132.39
133.37,132.47,133.63,131.60
132.86,131.43,133.16,130.74
131.64,132.58,133.00,131.07
132.32,132.39,132.80,131.60
131.00,129.94,131.18,129.81
129.52,130.84,131.31,129.49
129.99,130.05,130.48,129.06
126.59,128.56,129.33,126.50
128.15,126.18,128.57,125.28
128.00,127.85,128.39,127.10
128.84,127.76,128.88,127.51
129.35,129.74,130.01,129.20
129.72,129.29,129.89,129.17
128.93,129.66,130.00,128.32
130.40,130.90,131.09,129.67
131.24,131.30,131.87,130.89
131.58,130.98,131.92,130.94
130.87,131.86,131.90,130.44
132.55,132.77,133.16,132.36
132.60,132.59,132.96,132.45
133.41,133.15,133.77,132.83
133.43,133.26,133.67,132.88
133.00,133.24,133.83,132.94
133.88,133.66,134.00,133.12
133.42,133.32,133.98,132.66
133.91,132.86,133.99,132.31
133.00,132.46,133.45,132.14
131.72,131.47,131.98,130.99
132.08,131.46,132.18,130.96
130.70,131.56,131.76,130.27
131.80,132.04,132.37,131.41
130.59,130.56,132.03,129.51
130.76,131.31,131.35,130.44
132.88,133.10,133.39,132.79
133.79,133.78,133.84,133.10
133.68,133.64,133.86,133.20
134.05,134.79,135.06,133.91
135.05,135.67,135.87,134.50
135.43,136.11,136.29,135.41
136.16,136.43,136.57,135.98
137.07,136.22,137.18,135.95
135.96,135.73,136.19,135.04
135.67,134.83,135.73,134.23
134.08,133.61,134.95,133.02
134.94,134.20,135.63,133.68
134.19,134.72,135.11,133.98
135.17,135.87,136.11,135.00
135.67,134.44,135.69,133.82
