NYNY,Empire Resorts,NASDAQ
2.16,2.30,2.30,2.07
2.25,2.26,2.47,2.20
2.26,2.30,2.37,2.19
2.33,2.42,2.45,2.23
2.42,2.36,2.42,2.34
2.36,2.33,2.41,2.29
2.24,2.34,2.34,2.21
2.33,2.27,2.34,2.22
2.27,2.26,2.27,2.23
2.25,2.22,2.26,2.18
2.29,2.19,2.34,2.17
2.17,2.12,2.21,2.10
2.13,2.05,2.13,2.05
2.09,2.10,2.11,1.96
2.14,2.14,2.17,2.10
2.10,2.20,2.20,2.10
2.21,2.21,2.21,2.15
2.22,2.18,2.22,2.10
2.18,2.26,2.34,2.14
2.34,2.16,2.34,2.14
2.15,2.09,2.16,2.09
2.09,1.99,2.10,1.95
1.97,1.76,2.01,1.75
1.80,1.70,1.94,1.70
1.74,1.56,1.75,1.55
1.58,1.78,1.78,1.52
1.80,1.93,1.96,1.79
1.94,1.97,1.98,1.85
1.97,2.01,2.01,1.90
2.06,1.92,2.07,1.92
1.96,1.82,1.97,1.80
1.79,1.78,1.83,1.77
1.78,1.75,1.82,1.70
1.82,1.94,1.95,1.77
1.93,1.84,1.93,1.82
1.86,1.77,1.86,1.76
1.77,1.79,1.81,1.73
1.81,1.78,1.90,1.75
1.83,1.73,1.83,1.71
1.73,1.72,1.89,1.69
1.71,1.75,1.77,1.71
1.75,1.79,1.80,1.75
1.80,1.81,1.85,1.74
1.84,2.03,2.10,1.79
2.04,1.94,2.04,1.91
1.90,1.82,1.95,1.80
1.85,1.81,1.90,1.74
1.85,1.82,1.89,1.76
1.79,1.79,1.82,1.77
1.85,1.83,1.85,1.79
1.82,1.82,1.84,1.79
1.81,1.83,1.85,1.81
1.85,1.81,1.85,1.76
1.77,1.78,1.81,1.77
1.79,1.81,1.81,1.77
1.83,1.79,1.83,1.76
1.82,1.78,1.82,1.78
1.79,1.72,1.79,1.71
1.69,1.81,1.82,1.66
1.80,1.80,1.80,1.78
1.84,1.82,1.84,1.75
1.80,1.84,1.84,1.75
1.82,1.86,1.88,1.78
1.85,1.87,1.88,1.85
1.82,1.78,1.87,1.76
1.75,2.05,2.10,1.75
2.09,1.90,2.11,1.85
1.91,2.27,2.28,1.91
1.97,2.11,2.18,1.95
2.08,1.95,2.13,1.95
1.99,1.99,2.04,1.92
1.99,1.89,2.04,1.86
1.87,1.88,1.91,1.85
1.92,1.95,2.04,1.90
1.99,1.96,2.04,1.93
1.97,2.06,2.09,1.93
2.04,2.03,2.10,2.01
2.01,2.04,2.07,2.01
2.06,1.98,2.06,1.95
1.96,1.87,2.04,1.87
1.92,2.02,2.07,1.91
2.00,1.90,2.00,1.90
1.97,2.09,2.09,1.92
2.04,2.05,2.07,1.93
2.01,2.00,2.05,1.96
2.00,1.90,2.06,1.80
1.96,1.89,2.01,1.84
2.02,1.93,2.02,1.91
1.85,2.00,2.03,1.85
1.99,1.99,2.03,1.95
2.01,2.00,2.02,1.93
2.00,1.91,2.00,1.90
1.94,1.97,2.01,1.90
1.95,1.93,2.02,1.91
1.93,1.89,1.93,1.85
1.85,1.77,1.87,1.71
1.75,1.73,1.83,1.71
1.77,1.74,1.82,1.73
1.70,1.65,1.71,1.65
1.69,1.80,1.85,1.68
1.84,1.81,1.84,1.69
1.79,1.82,1.87,1.76
1.83,1.80,1.87,1.76
1.78,1.84,1.84,1.75
1.84,1.78,1.84,1.75
1.74,1.72,1.81,1.70
1.71,1.66,1.78,1.63
1.64,1.74,1.76,1.60
1.73,1.68,1.79,1.65
1.67,1.75,1.79,1.62
1.74,1.84,1.96,1.74
1.83,1.89,1.93,1.81
1.85,1.90,1.90,1.80
1.85,1.85,1.88,1.80
1.85,1.75,1.85,1.71
1.78,1.80,1.87,1.68
1.82,1.73,1.83,1.68
1.71,1.78,1.84,1.70
1.81,1.82,1.84,1.73
1.84,1.97,1.98,1.80
