ARCW,ARC Group Worldwide,NASDAQ
0.93,0.92,0.94,0.92
nan,0.92,nan,nan
0.94,0.93,0.94,0.93
nan,0.93,nan,nan
0.96,0.96,0.96,0.96
0.93,0.96,0.98,0.93
0.96,0.92,0.96,0.92
nan,0.92,nan,nan
0.94,0.94,0.94,0.94
nan,0.94,nan,nan
nan,0.94,nan,nan
nan,0.94,nan,nan
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
nan,0.95,nan,nan
nan,0.95,nan,nan
0.95,0.98,0.98,0.95
nan,0.98,nan,nan
0.98,0.96,0.98,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
nan,0.96,nan,nan
0.96,0.96,0.96,0.96
0.98,0.96,0.98,0.96
0.98,0.98,0.98,0.97
0.98,0.98,0.98,0.98
0.98,0.98,0.98,0.98
nan,0.98,nan,nan
0.98,0.96,0.98,0.96
0.93,0.93,0.93,0.93
0.96,0.96,0.96,0.96
0.96,0.98,0.98,0.96
0.98,0.98,0.98,0.98
0.98,0.97,0.98,0.94
0.98,0.98,0.98,0.97
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.94,0.98,0.98,0.94
nan,0.98,nan,nan
nan,0.98,nan,nan
1.02,1.04,1.04,1.02
1.00,1.00,1.00,1.00
nan,1.00,nan,nan
1.19,1.16,1.52,1.16
nan,1.20,nan,nan
1.16,1.30,1.30,1.16
1.24,1.26,1.38,1.24
1.30,1.28,1.30,1.28
1.30,1.30,1.30,1.24
1.30,1.29,1.36,1.29
1.28,1.22,1.28,1.20
1.22,1.20,1.30,1.20
1.20,1.18,1.20,1.10
1.16,1.16,1.30,1.12
nan,1.20,nan,nan
1.11,1.10,1.11,1.10
1.11,1.11,1.11,1.11
nan,1.11,nan,nan
1.13,1.13,1.27,1.13
nan,1.13,nan,nan
N/A,N/A,N/A,N/A
nan,1.13,nan,nan
1.27,1.27,1.27,1.27
1.16,1.16,1.16,1.16
nan,1.16,nan,nan
nan,1.16,nan,nan
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.13,1.10,1.13,1.10
1.14,1.14,1.15,1.11
1.06,1.06,1.06,1.06
1.08,1.05,1.08,1.05
1.05,1.04,1.06,1.04
1.05,1.05,1.10,1.03
1.10,1.05,1.10,1.03
1.05,1.03,1.05,1.03
nan,1.03,nan,nan
1.03,1.02,1.03,1.02
nan,1.02,nan,nan
1.10,1.05,1.10,1.05
1.05,1.08,1.10,1.05
1.10,1.10,1.10,1.10
1.06,1.06,1.07,1.06
1.10,1.08,1.10,1.06
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
1.07,1.06,1.07,1.06
1.10,1.10,1.10,1.10
1.08,1.08,1.08,1.08
nan,1.08,nan,nan
nan,1.08,nan,nan
nan,1.08,nan,nan
nan,1.08,nan,nan
1.07,1.07,1.08,1.07
nan,1.07,nan,nan
1.06,1.08,1.08,1.06
1.06,1.06,1.06,1.06
1.10,1.10,1.10,1.10
1.10,1.12,1.12,1.10
1.20,1.13,1.20,1.10
1.11,1.11,1.11,1.11
nan,1.11,nan,nan
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
1.08,1.08,1.08,1.08
1.19,1.19,1.19,1.19
1.08,1.10,1.10,1.08
1.18,1.18,1.18,1.18
nan,1.18,nan,nan
1.18,1.18,1.18,1.18
nan,1.18,nan,nan
nan,1.18,nan,nan
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
1.11,1.10,1.11,1.10
nan,1.10,nan,nan
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
nan,1.10,nan,nan
nan,1.10,nan,nan
nan,1.10,nan,nan
1.11,1.11,1.11,1.11
nan,1.11,nan,nan
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
nan,1.10,nan,nan
nan,1.10,nan,nan
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
nan,1.10,nan,nan
nan,1.10,nan,nan
nan,1.10,nan,nan
nan,1.10,nan,nan
1.05,1.05,1.05,1.05
nan,1.05,nan,nan
1.05,1.02,1.05,1.02
nan,1.02,nan,nan
nan,1.02,nan,nan
nan,1.02,nan,nan
1.02,1.02,1.02,1.02
nan,1.02,nan,nan
nan,1.02,nan,nan
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
1.04,1.04,1.04,1.04
nan,1.00,nan,nan
1.02,1.03,1.04,1.02
1.00,1.00,1.00,1.00
nan,1.00,nan,nan
1.02,1.12,1.12,1.00
N/A,N/A,N/A,N/A
nan,1.12,nan,nan
1.02,1.02,1.02,1.02
1.02,1.02,1.06,1.02
1.06,1.06,1.06,1.02
nan,1.06,nan,nan
1.06,1.06,1.06,1.06
1.02,1.02,1.02,1.02
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
nan,1.06,nan,nan
1.06,1.02,1.06,1.02
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.07,1.07,1.07,1.07
N/A,N/A,N/A,N/A
1.07,1.07,1.07,1.07
1.10,1.04,1.10,0.81
1.04,1.04,1.04,1.04
N/A,N/A,N/A,N/A
1.02,1.06,1.06,1.02
1.06,1.08,1.08,1.06
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1.08,1.08,1.08,1.08
1.06,1.06,1.06,1.06
1.07,1.07,1.07,1.07
1.06,1.06,1.06,1.06
1.06,1.07,1.07,1.06
1.03,1.04,1.04,1.03
1.04,1.04,1.04,1.04
1.08,1.08,1.08,1.08
1.06,1.06,1.06,1.06
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
