PNRG,PrimeEnergy Corporation - Common Stock,NASDAQ
36.22,36.01,37.12,36.01
36.08,35.76,37.02,35.76
35.87,35.87,35.87,35.53
35.53,36.64,36.64,35.53
36.35,36.18,36.85,35.80
35.95,35.65,36.42,35.07
35.35,34.73,35.38,34.47
35.97,34.61,35.97,34.61
35.28,33.71,35.28,32.88
33.88,33.90,34.86,33.69
33.91,34.40,34.88,33.91
34.79,34.44,35.47,34.44
34.90,32.37,35.00,31.80
33.40,30.40,33.40,30.02
30.61,30.56,31.35,30.47
31.00,29.85,31.93,29.85
31.26,30.42,31.26,30.01
30.11,30.04,30.37,30.00
30.15,30.15,30.15,30.15
29.90,30.38,31.20,29.90
31.30,30.56,31.30,30.32
30.94,30.20,30.94,30.20
29.96,29.56,30.20,29.45
30.67,29.12,31.39,29.10
29.77,27.60,29.77,27.60
28.68,26.97,28.68,26.79
27.83,26.99,28.13,26.38
28.52,26.85,28.52,26.85
26.09,26.29,26.29,24.22
27.19,25.54,27.19,25.30
25.80,26.25,26.52,25.09
25.05,26.55,26.61,25.05
26.59,26.41,26.59,26.10
25.88,26.30,26.41,25.41
24.41,26.63,26.93,24.41
25.36,25.78,25.78,25.36
25.51,25.51,25.51,25.51
24.83,25.07,25.27,24.50
24.78,25.00,25.01,24.78
24.78,25.21,25.70,24.66
25.75,25.19,25.75,24.80
25.56,25.26,25.56,25.26
25.71,25.38,26.00,25.37
25.44,25.49,25.72,25.25
25.70,25.96,26.00,25.57
25.62,25.99,26.27,25.62
25.62,25.94,26.17,25.57
25.66,25.99,26.33,25.66
25.71,25.83,25.83,25.65
26.70,27.34,27.34,26.67
27.81,28.24,28.30,27.81
28.94,29.60,29.75,28.94
30.05,29.67,31.00,28.80
30.19,30.44,30.50,29.47
30.22,29.90,30.22,29.53
29.60,28.99,29.60,28.99
29.38,28.11,29.38,28.11
28.80,28.32,28.80,28.32
28.21,27.70,28.23,27.70
28.13,29.00,29.44,28.13
29.00,29.00,29.00,29.00
28.12,28.17,29.00,28.12
28.13,26.89,28.13,26.89
27.96,27.96,27.96,27.96
26.01,26.01,26.01,25.79
25.50,25.70,26.15,25.32
26.45,26.70,26.70,26.45
27.20,26.20,27.84,26.19
26.80,26.34,26.83,25.98
26.75,27.59,27.60,26.24
27.62,27.00,27.62,26.36
26.52,24.84,26.52,24.83
25.23,24.38,25.78,24.00
26.37,24.80,26.37,24.34
24.80,24.80,24.80,24.80
24.12,25.16,25.16,24.11
25.41,24.22,25.41,24.22
24.49,23.34,24.49,23.34
23.49,22.58,23.49,22.58
22.75,22.80,23.49,22.65
22.80,22.80,22.80,22.80
22.48,22.48,22.48,22.48
22.73,21.92,22.73,21.50
24.24,21.52,24.24,21.00
20.75,21.01,21.01,20.63
20.87,20.26,23.69,20.26
21.85,21.60,23.05,21.60
22.04,21.60,22.61,21.27
20.00,20.58,23.83,20.00
20.58,20.35,21.00,20.35
20.11,20.40,20.44,20.11
19.59,19.59,19.59,19.59
19.98,19.98,19.98,19.98
20.36,19.75,21.91,19.75
20.00,19.09,20.00,19.09
19.25,18.00,19.25,18.00
18.01,17.03,18.01,17.03
17.95,18.62,18.68,15.98
17.11,17.38,18.62,17.01
18.99,18.63,19.15,18.63
19.12,19.12,19.12,19.12
19.01,21.10,21.10,19.01
21.19,19.70,21.19,19.19
19.00,19.00,19.35,17.94
19.25,19.17,19.25,19.17
17.90,17.90,17.90,17.90
18.96,18.75,18.96,17.93
18.94,18.94,18.94,18.94
18.94,18.94,18.94,18.94
19.73,19.45,19.97,18.50
19.45,19.45,19.45,19.45
19.45,19.45,19.45,19.45
17.92,19.85,20.00,17.92
19.83,19.83,19.83,19.83
19.83,19.83,19.83,19.83
19.82,18.76,19.82,18.76
18.71,18.71,18.71,18.71
19.11,18.93,19.43,18.46
19.90,19.30,19.90,19.00
18.93,18.63,19.47,18.24
18.89,18.14,19.37,17.76
17.55,18.00,18.90,17.55
18.85,19.37,19.59,18.40
19.13,19.74,20.20,19.13
19.00,20.60,20.60,19.00
20.14,21.77,21.85,19.56
22.49,23.21,23.39,22.49
22.00,20.85,22.00,20.52
20.21,20.69,20.86,20.21
23.08,21.83,23.08,21.83
21.83,21.83,21.83,21.83
22.83,22.33,23.30,22.31
21.66,20.61,23.40,20.42
21.21,21.21,21.21,21.21
19.91,19.00,20.36,18.49
20.49,19.06,20.49,18.62
18.02,18.11,19.11,18.00
18.33,17.91,18.33,17.91
18.25,18.55,18.74,18.25
18.00,18.00,18.00,18.00
18.90,18.00,18.90,17.95
18.50,18.26,18.50,18.00
18.26,18.28,19.83,18.00
18.10,18.10,19.00,18.10
18.12,18.24,19.41,18.00
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.31,18.43,18.43,18.31
18.43,18.43,18.43,18.43
18.10,18.12,18.12,18.10
18.12,18.12,18.12,18.12
18.12,18.12,18.12,18.12
18.01,18.01,18.01,18.01
18.45,18.87,18.95,18.14
18.20,18.45,18.55,17.89
18.80,18.99,19.03,18.37
18.92,18.90,19.46,18.75
19.00,18.35,19.00,17.71
18.83,18.80,18.86,18.35
18.70,18.70,18.70,18.31
17.95,19.16,19.16,17.95
19.10,18.88,20.11,18.88
18.73,19.03,19.21,18.62
19.03,19.03,19.03,19.03
19.80,19.31,20.00,19.31
19.00,18.57,19.00,18.55
18.57,18.57,18.57,18.57
18.60,20.26,20.26,18.50
20.50,20.00,20.80,20.00
19.87,21.49,21.49,19.37
21.49,21.49,21.49,21.49
21.49,21.49,21.49,21.49
21.49,21.49,21.49,21.49
20.40,21.04,21.04,20.40
21.21,18.96,21.21,18.12
19.70,19.87,20.15,19.24
19.21,20.09,20.19,19.03
20.00,18.24,20.00,18.10
18.25,18.51,18.56,18.23
18.20,19.94,19.95,18.02
19.90,19.50,20.42,19.50
19.38,19.95,20.25,19.38
19.88,19.72,19.88,19.72
19.33,18.95,19.33,18.93
18.88,18.95,19.00,18.78
18.90,18.15,19.95,18.15
18.15,18.30,18.49,18.15
18.30,18.30,18.30,18.30
18.51,19.00,19.10,18.51
19.70,18.35,19.70,18.35
18.12,18.12,18.12,18.12
18.09,18.16,18.30,17.68
18.35,18.35,18.35,18.35
18.40,18.40,18.40,18.40
18.15,18.15,18.15,18.15
18.15,18.15,18.15,18.15
18.23,18.23,18.23,18.23
18.45,18.45,18.45,18.43
18.55,18.60,18.88,18.40
18.60,18.60,18.60,18.60
18.30,18.49,18.49,18.30
18.20,18.35,18.35,18.17
18.30,18.59,18.64,18.30
18.50,18.98,18.98,18.50
18.98,19.75,19.75,18.98
19.76,19.68,19.80,19.01
19.70,19.32,19.70,19.29
19.24,19.49,19.77,18.95
19.70,19.37,19.91,18.45
19.53,19.10,19.53,19.08
19.32,18.52,19.32,18.16
18.40,18.10,18.40,18.10
18.25,18.40,18.90,18.00
18.22,18.63,19.65,18.13
18.63,18.63,18.63,18.63
18.63,18.63,18.63,18.63
18.65,18.55,18.65,18.55
18.55,20.80,20.80,18.55
20.82,22.10,22.14,20.05
20.00,19.68,20.00,19.00
19.50,21.00,21.00,19.50
20.50,20.38,20.50,19.93
20.25,20.00,20.25,20.00
20.00,20.21,20.50,20.00
20.20,20.44,20.50,19.92
21.57,20.50,21.95,20.00
20.50,20.50,20.50,20.50
19.46,20.72,20.98,19.02
20.06,20.70,20.84,20.06
21.00,20.71,21.87,20.60
20.71,20.71,20.71,20.71
20.94,20.78,21.05,20.62
20.36,20.63,20.63,20.36
20.77,20.90,21.00,20.77
20.83,20.50,20.83,20.49
20.65,19.87,20.65,19.68
19.65,19.65,19.65,19.65
