LTEA,Long Island Iced Tea Corp. - Common Stock,NASDAQ
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.60,3.60,3.60,3.60
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
2.97,2.97,2.97,2.97
2.97,2.97,2.97,2.97
2.97,2.97,2.97,2.97
2.97,2.97,2.97,2.97
2.97,2.97,2.97,2.97
2.99,2.50,2.99,2.50
2.50,2.50,2.50,2.50
2.98,3.95,3.95,2.98
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
3.95,3.95,3.95,3.95
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.50,2.50,2.50,2.50
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
