ADS,Alliance Data Systems Corporation Common Stock,NASDAQ
64.40,64.08,64.74,63.38
64.10,64.55,64.76,63.80
64.56,64.76,65.09,64.51
64.64,66.17,66.29,64.32
66.56,68.25,68.69,66.56
68.22,68.75,69.00,67.86
69.56,68.35,69.95,67.74
68.19,67.90,68.19,67.45
66.96,65.74,67.42,65.57
63.08,62.65,64.39,62.44
60.10,63.48,63.73,59.99
63.50,64.24,64.46,62.99
65.61,64.20,66.32,63.99
63.38,62.15,63.79,62.02
61.87,60.46,62.72,60.37
60.90,59.03,61.19,59.03
59.01,60.72,60.98,58.58
61.03,60.44,61.25,59.97
61.16,60.85,62.02,60.00
60.89,61.92,61.92,60.44
62.54,63.08,63.10,61.95
63.15,62.95,63.91,62.73
62.87,62.52,63.37,62.17
62.60,62.07,62.84,61.95
62.13,62.77,62.85,61.99
61.91,63.18,63.56,61.71
62.71,62.18,63.24,61.29
62.37,61.99,62.53,61.88
61.51,61.59,61.67,60.89
61.64,61.01,62.14,60.91
61.87,61.59,62.36,61.26
61.40,61.72,61.81,60.93
61.39,62.57,62.71,61.20
61.72,62.60,62.92,61.72
62.99,64.45,64.45,62.95
63.95,63.70,64.02,63.28
63.13,62.77,63.31,62.21
62.20,63.08,64.05,62.20
63.78,66.16,66.62,63.66
66.32,67.14,67.48,66.32
66.85,68.18,68.28,66.74
68.15,67.96,68.80,67.69
68.69,67.88,68.75,67.63
68.01,68.24,68.37,67.51
68.66,69.19,69.20,68.32
69.29,69.84,70.45,68.88
70.10,69.03,70.36,68.96
69.19,69.10,69.74,68.83
69.00,68.89,69.56,68.61
69.02,70.35,71.67,69.02
70.42,70.07,70.88,69.78
70.33,70.73,70.75,69.41
70.80,71.34,71.50,70.65
71.23,71.23,71.70,70.91
71.03,70.68,71.76,70.56
70.38,70.93,71.00,69.99
70.89,70.76,71.40,70.56
70.79,70.99,71.17,70.49
70.99,71.32,71.53,70.76
71.32,71.03,71.56,70.86
71.93,72.52,72.97,71.70
72.58,72.05,72.80,71.35
71.70,70.68,72.23,69.67
71.03,71.48,71.70,70.88
71.53,71.20,71.70,70.58
70.90,71.79,72.12,70.57
71.99,72.02,72.39,71.84
72.85,73.60,74.00,71.81
73.34,72.27,74.05,71.95
71.24,72.16,72.55,70.09
71.97,72.01,73.05,70.91
71.88,71.27,71.88,71.02
71.05,72.02,72.42,70.88
72.31,71.64,72.53,71.53
71.76,73.10,73.57,71.56
72.81,73.00,73.26,72.48
73.00,72.96,73.59,72.36
72.86,72.43,73.16,72.25
72.51,71.25,72.66,71.20
71.42,70.74,71.61,70.64
71.54,72.26,72.41,71.01
75.59,75.57,76.80,74.25
75.25,77.84,77.95,75.25
77.62,76.51,78.00,75.91
76.68,77.94,78.20,76.67
77.68,77.18,78.17,76.85
77.26,77.37,77.63,76.41
76.82,77.99,77.99,76.28
77.60,78.53,78.72,77.46
79.21,79.88,79.97,78.86
79.25,79.15,79.88,78.47
79.39,78.50,79.72,78.17
78.31,78.71,79.09,78.02
78.76,78.96,79.75,78.53
77.88,76.62,78.18,76.21
76.78,76.49,76.78,75.31
76.28,77.25,77.44,75.84
77.38,78.35,78.68,77.19
78.60,78.74,79.30,77.75
79.32,77.56,79.90,77.35
77.39,77.91,78.53,77.39
78.93,80.56,80.59,78.34
80.46,81.22,81.27,79.76
81.23,80.89,82.25,80.57
80.75,80.40,80.91,79.90
80.29,80.05,80.31,79.49
79.09,78.73,79.30,78.17
78.51,78.73,79.06,78.03
78.41,78.12,78.41,76.64
76.01,80.06,80.27,76.01
79.79,81.29,82.41,79.35
82.50,81.67,82.98,81.52
82.34,81.13,82.83,80.99
81.96,83.30,83.52,81.04
83.30,84.06,84.24,83.14
83.86,83.88,84.25,82.92
83.83,84.53,85.56,83.35
85.00,84.86,85.18,84.25
84.98,83.71,85.24,83.62
83.54,83.61,83.69,82.72
84.08,85.06,85.57,83.85
85.00,85.89,86.10,84.63
86.63,85.93,87.85,85.55
84.65,84.20,84.90,80.31
84.00,83.74,84.86,83.58
84.02,84.12,84.35,83.28
84.15,84.93,85.52,84.01
85.63,85.00,85.78,84.63
84.70,84.49,85.43,84.17
84.23,83.80,84.63,83.60
84.35,84.25,84.86,83.87
83.76,83.61,84.44,83.37
83.74,83.66,84.81,83.53
82.73,83.76,84.03,81.99
83.80,83.91,84.04,82.95
84.98,86.92,86.94,84.96
87.82,90.25,90.71,86.92
90.30,90.50,91.17,90.04
90.65,90.91,91.26,90.20
90.93,92.65,92.76,90.84
92.33,93.21,93.40,92.00
93.15,95.00,95.29,93.02
94.99,96.09,97.00,94.80
96.06,93.50,96.28,92.90
93.54,92.89,93.98,92.50
92.50,92.15,93.98,91.89
90.64,90.79,91.19,89.51
91.02,90.86,91.34,89.88
91.00,91.70,91.95,90.81
91.49,92.97,93.18,91.49
92.63,93.96,94.73,92.53
93.98,91.78,94.06,91.74
92.16,91.64,92.47,91.18
91.19,90.15,91.32,89.47
90.51,90.41,90.75,89.89
90.48,90.84,91.00,90.08
90.61,91.49,91.74,90.39
90.10,88.77,90.23,88.32
89.27,89.00,89.78,88.22
88.74,89.10,89.81,88.44
89.07,92.01,92.59,88.21
92.23,93.72,94.45,92.09
94.91,93.93,95.27,93.55
