TROV,TrovaGene,NASDAQ
0.76,0.76,0.76,0.76
0.75,0.75,0.75,0.75
0.75,0.74,0.75,0.74
0.74,0.75,0.75,0.74
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.69,0.74,0.69
0.69,0.68,0.69,0.68
0.67,0.67,0.68,0.67
0.67,0.66,0.67,0.66
0.66,0.62,0.66,0.60
0.62,0.62,0.62,0.62
0.61,0.61,0.61,0.60
0.61,0.61,0.61,0.61
0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63
0.61,0.61,0.61,0.61
0.61,0.59,0.61,0.59
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.54,0.59,0.59,0.54
0.59,0.59,0.59,0.59
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.58,0.57,0.58,0.57
0.56,0.58,0.58,0.54
0.58,0.58,0.58,0.58
0.58,0.55,0.58,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.54,0.58,0.58,0.53
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
0.54,0.53,0.54,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.52,0.51,0.52,0.51
0.50,0.53,0.53,0.49
0.54,0.63,0.72,0.54
0.64,0.60,0.64,0.59
0.63,0.63,0.63,0.63
0.63,0.60,0.63,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.57,0.57,0.57,0.57
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.59,0.59,0.59,0.57
0.59,0.59,0.59,0.59
0.59,0.57,0.59,0.56
0.56,0.55,0.56,0.55
0.56,0.55,0.56,0.55
0.55,0.55,0.55,0.55
0.55,0.57,0.57,0.55
0.55,0.55,0.55,0.55
0.55,0.54,0.55,0.54
0.55,0.54,0.55,0.53
0.53,0.53,0.54,0.53
0.53,0.53,0.53,0.53
0.54,0.54,0.54,0.54
0.55,0.55,0.55,0.55
0.54,0.54,0.54,0.54
