LMT,Lockheed Martin Corporation Common Stock,NASDAQ
75.87,76.85,76.95,75.52
76.62,77.65,77.79,76.55
76.10,76.51,77.19,75.85
76.17,74.41,76.20,73.61
74.35,75.61,75.94,74.32
75.76,75.97,76.19,75.19
75.75,75.96,76.47,75.31
76.16,76.88,77.02,75.71
76.79,76.84,77.03,76.15
76.96,76.76,77.19,76.33
76.80,78.31,78.70,76.55
77.81,78.11,78.30,76.82
78.05,76.98,78.58,76.47
76.75,75.58,77.31,75.50
76.25,76.76,77.48,75.82
76.42,76.78,77.35,75.85
76.69,77.13,77.34,76.00
78.43,76.15,78.47,75.25
76.16,74.52,76.45,74.37
75.34,74.89,75.34,74.28
75.00,76.55,76.76,74.89
76.18,76.69,76.95,75.84
76.25,76.00,77.12,75.95
75.85,75.72,76.62,74.04
75.68,74.53,75.86,74.47
75.17,75.45,75.99,74.70
75.35,75.11,75.59,74.70
74.90,76.35,76.42,74.51
75.73,75.58,75.96,75.02
75.92,76.03,76.33,75.48
76.15,76.37,76.77,75.52
76.17,77.33,77.44,76.15
77.19,77.21,77.46,76.64
77.19,76.94,77.73,76.55
76.84,76.90,78.05,76.74
77.17,77.56,77.69,76.93
76.00,76.99,77.04,75.62
76.89,77.76,77.94,76.70
77.75,78.86,79.42,77.69
79.22,79.21,80.09,78.97
79.73,78.85,80.05,78.72
79.19,79.27,79.83,78.61
79.42,81.27,81.33,79.42
81.19,81.09,81.97,81.07
81.01,82.22,82.45,80.84
82.49,82.58,82.96,82.23
82.20,83.03,83.24,80.32
83.09,83.09,83.35,82.58
83.14,84.12,84.26,83.06
84.30,84.62,84.99,84.14
84.77,84.86,85.20,84.50
84.74,85.94,86.13,84.34
86.90,86.90,87.18,86.10
85.39,85.71,86.35,85.12
85.50,84.78,85.75,84.42
84.68,83.88,84.71,83.46
83.93,83.53,84.58,83.49
83.94,84.24,84.58,83.53
84.54,84.82,85.23,84.53
84.70,84.09,85.03,83.61
83.88,83.22,83.88,82.89
83.61,83.88,84.25,83.20
84.00,83.84,84.49,83.57
83.62,82.52,83.62,82.28
82.22,82.19,82.81,81.97
82.23,82.19,82.59,81.99
82.44,82.79,82.82,81.88
82.72,82.92,83.20,82.53
82.84,82.60,82.92,82.14
82.63,82.61,82.69,81.49
82.68,83.22,83.58,82.61
83.31,82.99,83.54,82.03
82.95,84.20,84.28,82.87
84.52,84.97,85.42,84.26
84.84,86.25,86.85,84.29
85.89,86.67,86.78,85.41
86.73,86.92,86.92,85.94
87.03,86.09,87.06,85.92
85.99,84.50,86.27,84.19
84.88,84.96,85.23,83.89
85.44,86.37,86.65,85.44
86.24,84.89,86.87,84.89
85.29,86.75,86.98,85.03
86.28,85.40,86.31,85.00
84.44,84.84,85.94,84.44
84.50,82.85,85.73,78.74
82.33,81.27,83.26,80.55
83.98,83.62,84.89,82.64
83.01,83.10,83.95,82.64
83.49,83.41,84.02,82.96
83.45,82.35,83.92,82.06
81.78,80.79,82.16,80.10
80.97,81.31,81.70,80.18
81.61,81.00,82.71,80.63
80.77,80.50,81.01,78.98
79.32,77.55,79.60,77.55
76.27,81.16,81.19,76.06
80.76,79.80,81.11,79.67
78.56,80.40,80.76,78.19
80.94,79.73,81.37,79.71
80.60,80.56,80.60,79.62
80.42,79.92,80.75,79.72
79.85,79.17,80.90,78.97
79.30,79.80,79.84,78.46
79.81,79.71,80.32,79.34
78.76,77.39,78.76,77.17
77.99,76.32,77.99,76.22
76.30,77.00,77.28,75.74
77.04,77.34,78.54,77.00
77.97,78.47,78.83,77.52
77.81,78.75,78.86,77.42
79.25,79.67,80.67,79.25
80.19,80.84,80.89,79.95
80.46,81.20,81.60,80.42
80.96,80.95,81.45,79.99
81.09,80.69,81.09,80.01
81.45,80.07,81.70,79.61
79.96,79.86,81.14,79.77
80.07,79.69,80.57,79.24
79.44,78.12,80.02,78.00
78.12,78.05,78.50,77.58
78.35,77.58,78.64,77.58
77.08,75.15,77.34,74.62
75.00,74.50,75.52,74.36
74.50,74.46,74.96,73.78
74.74,74.44,75.02,73.89
75.03,74.33,75.32,73.65
74.28,75.41,75.48,73.80
75.58,76.15,76.21,75.22
75.93,75.24,76.01,74.61
74.94,74.74,75.20,74.24
75.10,75.53,75.98,75.10
75.22,75.50,76.23,75.04
75.58,75.95,76.15,75.01
75.61,73.93,76.09,73.83
74.34,74.05,74.74,73.73
73.15,73.90,73.98,72.35
74.28,73.66,74.59,73.14
74.41,74.25,74.81,73.78
74.38,73.95,74.83,73.90
73.85,74.88,75.27,73.85
75.30,74.87,76.34,74.78
75.07,75.24,75.67,74.25
75.71,74.95,75.71,74.13
74.26,75.15,75.44,74.26
75.84,75.90,76.00,74.98
75.81,75.43,75.81,75.27
75.59,75.02,75.59,74.91
74.50,75.03,75.68,74.25
74.40,75.07,75.07,74.20
75.18,75.60,75.74,75.14
75.24,75.05,75.25,73.62
74.10,73.12,74.20,72.75
72.37,72.48,72.93,72.00
72.24,72.72,73.52,72.22
72.42,71.94,72.42,71.51
72.40,72.42,73.37,71.96
72.50,73.66,73.91,72.29
73.33,73.08,73.72,72.66
72.48,73.20,73.35,72.48
73.68,72.48,73.72,72.41
71.94,71.25,72.09,71.13
70.79,71.67,72.08,70.00
71.74,71.54,72.32,71.33
71.93,72.27,72.30,71.18
70.65,70.22,71.14,70.14
69.93,69.52,70.20,69.36
70.09,69.93,70.64,69.78
69.78,70.32,70.32,69.65
70.78,70.72,70.93,70.38
70.66,69.59,70.70,69.49
68.85,68.86,69.61,68.62
69.70,69.37,69.93,69.15
69.39,70.38,70.56,69.19
71.07,69.45,71.18,69.07
69.45,68.48,69.58,68.41
68.41,68.48,68.77,68.19
68.38,68.51,68.84,68.26
68.81,69.75,70.13,68.77
70.00,70.71,70.92,69.52
70.58,71.65,72.06,70.51
71.35,71.80,72.30,71.21
71.39,71.67,72.16,71.20
71.71,73.13,73.19,71.31
73.24,72.38,73.45,72.36
72.51,72.47,72.60,71.82
72.16,71.89,72.40,71.33
72.33,71.28,72.49,71.10
71.53,69.61,71.55,69.00
69.63,69.35,70.54,69.25
69.96,70.60,70.87,69.35
70.38,70.90,71.50,70.38
70.99,70.63,71.16,70.25
70.86,70.10,70.87,69.97
70.18,70.48,70.61,69.55
70.68,70.55,70.77,69.57
70.96,71.12,71.26,70.73
71.15,70.20,71.43,70.07
70.70,70.02,70.89,69.65
69.90,70.04,70.19,69.50
68.49,69.47,69.70,67.87
69.44,69.83,69.97,69.33
69.83,71.84,71.89,69.83
71.77,71.78,71.84,71.15
