PEP,Pepsico,NASDAQ
61.19,61.24,61.52,60.64
61.00,61.98,62.10,60.90
61.99,61.36,62.47,61.23
61.35,60.97,61.38,60.53
60.76,60.77,60.82,60.27
60.68,60.70,60.81,60.10
60.52,61.55,61.68,60.50
61.41,62.05,62.34,61.41
62.02,62.80,62.92,61.76
62.61,62.29,62.91,61.82
62.23,62.33,62.41,61.97
62.09,61.95,62.15,61.44
62.01,60.94,62.16,60.74
60.75,60.39,61.24,60.31
60.70,60.23,60.70,60.08
60.10,60.25,60.53,59.82
60.05,60.29,60.39,59.60
60.30,59.74,60.50,59.50
59.84,59.62,60.36,59.12
59.93,60.70,60.75,59.52
60.68,61.15,61.28,60.34
60.92,61.29,61.40,60.56
60.83,59.64,60.93,59.62
59.51,59.51,59.79,58.95
59.60,58.96,59.66,58.75
59.29,60.05,60.48,59.29
59.96,60.38,60.67,59.51
60.87,61.19,61.70,60.50
61.06,60.92,61.22,60.49
61.03,61.31,61.45,60.50
61.48,62.11,62.20,61.25
61.97,62.53,62.72,61.97
62.32,62.66,62.92,61.98
62.69,62.41,62.87,62.10
62.22,61.78,62.48,61.70
61.98,62.08,62.16,61.58
61.51,62.30,62.34,61.02
62.50,62.47,62.59,61.91
62.65,63.43,63.58,62.47
63.61,63.80,64.00,63.42
63.82,63.98,64.27,63.80
64.43,64.11,64.50,63.96
64.30,64.37,64.48,63.91
64.27,64.15,64.46,63.80
63.88,64.36,64.65,63.80
64.30,64.43,64.59,64.01
64.20,64.97,65.00,63.90
64.92,65.10,65.25,64.68
65.69,66.15,66.26,65.40
66.25,66.07,66.30,65.83
66.15,66.57,66.58,66.02
66.57,66.52,66.73,66.16
66.56,66.56,66.98,66.26
66.43,66.31,66.56,66.15
66.39,66.86,67.00,66.24
66.62,66.26,67.00,66.25
66.37,66.55,67.00,66.35
66.64,66.59,66.81,66.34
66.61,66.55,66.87,66.30
66.52,66.77,67.00,66.36
66.68,66.16,66.71,66.06
66.32,66.68,66.68,66.25
66.68,65.98,66.68,65.83
65.79,66.39,66.63,65.79
66.39,65.99,66.52,65.75
65.75,65.97,66.19,65.62
65.93,66.36,66.43,65.86
66.35,66.32,66.67,66.26
66.16,66.39,66.50,66.02
66.20,66.29,66.30,65.83
65.97,66.27,66.50,65.80
66.01,66.14,66.65,65.96
66.08,66.12,66.39,65.70
66.17,65.90,66.40,65.72
65.82,65.98,66.31,65.61
65.75,64.76,65.79,64.50
64.85,64.71,64.85,64.17
64.84,65.02,65.44,64.61
64.93,64.23,65.20,64.07
64.28,64.75,64.82,63.60
64.95,65.20,65.50,64.83
65.33,65.22,65.98,65.18
65.28,65.69,66.00,64.89
65.30,65.43,65.98,65.05
65.10,65.20,65.95,65.02
65.16,64.70,66.20,61.91
64.46,64.57,65.04,63.66
65.80,66.41,66.49,65.66
66.16,66.55,67.00,66.02
67.24,66.94,67.61,66.81
67.02,66.48,67.08,66.46
66.41,66.07,66.60,65.77
66.11,66.75,66.96,66.07
66.92,66.53,67.30,66.40
66.30,66.04,66.38,65.50
65.23,63.86,65.23,63.86
63.21,63.58,63.64,62.14
63.09,63.32,64.01,62.60
61.93,62.89,62.92,61.65
63.06,61.23,63.06,61.04
61.97,62.90,62.93,61.52
