RGLD,Royal Gold,NASDAQ
48.13,48.00,48.94,47.81
48.05,47.87,48.82,47.11
48.35,48.75,49.67,48.28
48.79,48.37,48.90,47.72
48.44,49.65,49.74,48.08
50.39,50.02,50.98,49.83
49.48,48.44,49.83,48.07
48.80,48.79,48.91,47.37
48.82,48.04,48.82,47.60
47.73,47.21,47.76,46.75
47.00,47.68,47.71,47.00
47.09,46.20,47.09,45.28
45.70,44.06,45.99,44.01
43.77,44.50,45.32,43.44
45.35,44.37,45.35,44.05
44.01,43.87,45.07,43.68
43.92,44.08,44.30,43.28
44.35,43.72,44.82,43.01
43.88,42.62,44.45,42.49
43.02,44.35,44.50,43.02
44.74,43.76,44.89,43.61
43.77,43.46,44.44,43.20
42.76,41.87,43.09,41.19
42.56,44.39,44.42,41.35
44.39,42.49,44.61,42.45
42.91,43.70,44.05,42.80
43.87,43.24,43.87,42.49
43.30,44.05,44.19,42.89
43.73,43.70,44.06,42.74
44.86,44.38,45.00,43.91
44.29,44.06,44.41,43.54
43.97,44.00,44.56,43.60
43.99,44.64,44.94,43.62
45.05,44.01,45.24,43.92
43.92,42.80,43.96,42.13
42.75,42.93,43.38,42.60
42.70,44.10,44.13,42.32
44.28,44.94,44.97,43.52
45.11,45.46,45.51,44.06
45.79,46.86,47.15,45.52
47.21,46.51,47.50,46.38
46.74,46.25,46.74,45.60
46.35,46.59,47.00,46.15
46.83,46.28,46.83,45.96
45.90,46.04,46.30,45.45
46.00,45.03,46.38,44.77
45.01,45.68,45.68,44.50
46.04,45.48,46.14,44.95
45.57,45.75,45.95,44.97
46.31,47.05,47.24,46.31
47.10,47.32,47.92,47.10
47.59,48.32,49.00,47.56
47.95,48.01,48.53,47.28
47.57,47.31,47.75,46.57
47.01,47.66,48.12,46.50
46.87,45.75,46.93,45.57
46.22,44.68,46.43,44.61
45.06,45.87,45.94,44.59
46.26,46.23,46.55,45.80
46.23,45.50,46.50,45.09
45.68,46.21,46.53,45.68
46.90,49.04,49.10,46.53
49.48,50.08,50.21,48.89
49.73,49.88,50.22,49.34
50.06,50.68,51.48,50.05
50.27,50.97,51.42,50.01
51.16,51.50,52.13,51.16
51.39,51.33,51.92,51.03
50.43,49.65,50.72,48.56
50.08,49.41,50.35,48.89
49.05,49.08,49.65,48.75
48.07,48.04,48.90,47.10
47.26,47.71,47.76,46.78
48.29,47.26,48.52,47.13
47.44,47.58,47.82,46.51
47.21,48.07,48.18,46.94
48.17,48.94,49.14,47.75
49.18,48.35,49.32,48.29
48.06,48.67,48.94,47.79
48.91,50.37,50.63,48.43
50.49,50.98,51.25,50.13
51.39,51.18,51.99,50.95
51.32,50.93,51.34,49.88
50.84,49.19,51.00,48.46
48.52,48.73,49.46,47.80
48.37,50.33,51.27,48.01
50.04,49.10,50.93,48.84
49.86,49.59,49.86,48.78
50.04,51.45,52.39,50.04
52.13,52.34,52.75,51.16
52.57,52.11,53.54,51.68
52.34,51.87,52.88,50.56
51.90,51.18,52.50,50.97
51.05,50.97,51.62,50.61
50.46,49.60,50.64,48.34
48.51,47.56,49.28,47.51
47.01,47.74,48.33,46.57
48.51,48.31,49.25,48.31
47.94,50.01,50.29,47.77
51.00,49.63,51.46,49.62
50.47,50.72,50.73,49.94
50.98,50.14,50.99,49.63
50.50,48.67,51.34,48.66
48.99,50.41,50.44,48.51
50.41,49.30,50.41,49.02
48.80,49.17,50.11,48.56
49.29,50.32,51.17,48.29
51.14,50.99,51.81,50.41
50.83,51.06,51.60,50.60
51.49,51.34,51.50,50.58
51.29,51.68,51.68,50.76
51.76,51.10,51.99,50.92
51.23,52.55,52.70,51.23
52.50,52.28,53.03,52.14
52.59,53.36,53.68,52.18
53.71,53.79,54.52,53.39
54.10,53.35,54.85,53.08
52.80,51.28,53.24,51.18
48.98,48.63,49.18,48.25
48.66,48.48,49.85,48.44
49.11,49.80,50.32,48.71
49.99,49.38,50.57,48.81
48.84,48.60,49.19,48.25
48.26,48.00,49.19,47.73
47.93,45.93,48.24,44.71
45.78,45.54,46.51,45.25
45.49,44.93,45.91,44.52
45.03,45.68,45.78,44.63
45.84,45.13,45.87,44.71
45.51,45.66,46.29,45.50
45.48,44.85,46.01,44.78
45.50,44.72,45.85,44.60
44.65,44.40,44.80,43.81
44.43,44.55,44.77,43.80
44.19,43.82,44.23,43.58
43.76,43.14,43.80,42.75
42.92,43.88,44.25,42.80
44.00,43.47,44.50,43.11
44.04,43.93,44.64,43.71
44.06,44.08,44.36,43.31
44.39,43.77,44.50,43.58
43.73,42.82,43.73,42.15
42.49,43.12,43.52,42.40
43.08,43.49,43.71,42.91
43.55,44.13,44.41,43.49
44.44,44.22,44.74,43.59
44.23,44.97,45.16,44.23
45.79,45.65,45.90,45.28
45.56,45.84,45.90,45.16
46.47,46.76,46.98,46.02
46.74,46.34,46.86,45.84
46.04,46.51,46.80,45.58
46.46,45.73,46.97,45.56
45.85,46.40,47.20,45.85
46.13,45.80,46.44,45.77
46.04,46.77,46.92,45.97
46.75,46.92,47.29,46.39
46.71,47.88,48.11,46.10
48.05,48.73,49.47,47.87
48.58,48.89,48.92,47.98
48.92,48.04,48.94,47.93
47.26,47.53,48.41,47.00
47.71,49.00,49.44,47.71
49.46,49.06,49.74,48.97
49.31,49.79,49.96,48.65
49.68,48.78,49.98,48.76
49.11,49.07,50.21,48.65
49.48,48.87,49.58,48.17
49.44,49.01,49.47,48.50
48.50,49.01,49.04,48.11
49.07,49.54,50.00,49.06
49.60,49.22,50.08,49.14
49.27,48.34,49.52,47.97
48.20,48.27,48.71,48.02
48.27,48.60,48.89,48.00
49.25,50.46,51.18,49.16
50.33,49.94,50.48,49.58
50.11,50.89,51.44,50.05
51.37,50.41,51.37,50.05
50.32,50.40,51.31,50.32
50.20,50.43,50.69,48.92
51.13,50.69,51.57,50.53
50.43,49.86,50.85,49.77
50.48,50.07,50.68,49.54
50.14,49.33,50.25,49.20
49.04,50.76,50.91,48.22
50.86,50.10,51.06,50.06
50.63,49.84,50.63,48.84
50.64,50.38,50.99,50.06
50.30,49.84,50.38,49.11
50.32,50.57,51.26,50.32
50.50,51.36,51.36,50.23
51.55,49.50,51.70,48.97
49.26,49.84,50.50,49.26
49.78,49.94,50.24,49.20
49.59,49.91,50.04,48.81
50.41,50.50,51.26,50.35
50.38,50.31,50.91,49.97
50.12,49.76,50.12,48.86
48.85,50.09,50.16,48.77
48.97,48.22,49.20,47.80
48.51,48.51,49.28,48.26
48.50,47.43,48.92,46.74
47.26,47.69,47.78,47.00
48.30,48.31,48.94,48.09
47.81,48.75,49.13,47.65
48.38,48.23,48.38,46.90
48.63,49.00,49.22,48.43
48.97,49.51,49.65,48.95
49.38,49.36,50.00,48.70
49.57,50.07,50.28,49.40
50.17,50.33,50.67,48.56
52.00,51.51,52.25,51.25
51.49,51.66,52.29,51.30
51.41,53.40,53.50,51.23
53.40,51.20,54.12,50.49
51.03,52.14,52.25,50.66
51.68,52.62,52.77,51.48
52.06,51.89,52.50,50.86
51.86,50.84,52.20,50.70
50.60,50.12,50.96,49.50
49.92,49.66,50.64,49.40
50.36,50.35,50.84,50.12
50.25,50.67,50.99,49.64
50.72,51.50,51.75,50.22
51.36,51.46,51.87,51.00
51.65,51.25,51.90,50.91
50.64,51.25,51.86,49.95
50.85,50.78,51.04,49.74
51.05,51.52,52.22,50.89
52.07,52.11,52.22,51.28
52.23,51.78,52.56,51.43
51.86,52.70,52.80,51.62
52.67,53.62,53.78,52.50
54.01,52.37,54.08,52.24
52.32,52.57,52.88,51.91
52.49,53.03,53.24,52.49
