RYH,Guggenheim S&P 500 Equal Weight Healthcare ETF,NASDAQ
57.49,57.62,57.62,57.40
57.55,57.52,57.65,57.32
57.52,57.72,57.74,57.52
57.57,58.08,58.09,57.57
57.96,58.25,58.25,57.87
58.38,58.53,58.69,58.38
58.26,57.90,58.30,57.90
58.33,58.75,58.75,58.17
58.72,59.10,59.11,58.71
59.13,58.64,59.13,58.35
59.02,59.81,59.82,59.02
59.74,59.31,59.91,58.84
59.27,58.03,59.27,58.00
57.90,57.47,58.39,57.47
57.95,57.64,57.95,57.56
57.32,57.48,57.69,57.07
57.24,57.43,57.52,56.86
57.79,57.16,57.79,56.95
57.34,56.98,57.37,56.89
57.18,57.04,57.22,56.69
57.03,58.08,58.17,57.03
57.80,57.65,57.80,57.60
56.69,56.09,56.87,56.09
55.72,55.64,55.77,54.95
56.07,56.01,56.23,55.69
56.35,56.38,56.82,55.86
53.02,56.05,56.34,53.02
56.02,56.41,56.42,55.59
55.82,56.05,56.05,55.70
56.58,56.64,56.77,56.14
57.10,57.44,57.61,57.09
57.33,57.65,57.70,57.33
57.50,57.57,57.68,57.22
57.77,57.93,58.01,57.26
57.79,57.37,57.79,57.22
57.61,57.66,57.71,57.50
57.45,57.90,57.95,57.19
57.96,58.21,58.25,57.96
58.52,59.00,59.16,58.52
59.33,59.49,59.55,59.18
59.39,59.21,59.39,59.16
59.22,59.03,59.22,58.72
59.28,59.86,59.86,59.17
59.78,59.52,59.78,59.51
59.37,59.44,59.57,59.37
59.61,59.62,59.69,59.50
59.43,59.92,59.92,59.31
60.11,59.70,60.11,59.56
59.71,59.46,59.71,59.46
59.80,60.15,60.19,59.72
59.99,60.22,60.27,59.97
60.25,60.69,60.69,60.10
60.69,60.69,61.01,60.60
60.90,61.24,61.43,60.90
61.29,61.30,61.30,60.91
61.14,60.71,61.14,60.69
61.01,60.38,61.01,60.38
60.43,60.12,60.62,59.98
60.26,60.81,60.81,60.26
60.73,60.97,61.01,60.72
60.77,60.65,60.77,60.48
62.22,60.78,62.22,60.60
61.19,60.91,61.19,60.82
60.74,60.76,60.93,60.72
60.61,60.47,60.65,60.21
60.41,60.27,60.41,59.87
60.43,60.40,60.47,60.15
60.55,60.33,60.55,60.33
60.22,60.47,60.47,60.06
60.51,60.36,60.51,60.10
60.23,60.37,60.37,60.14
60.30,59.91,60.30,59.63
59.68,60.31,60.42,59.68
60.78,60.77,60.82,60.40
60.40,60.08,60.52,59.88
59.74,59.63,59.74,59.12
59.70,59.90,59.90,59.39
60.28,59.26,60.28,59.20
59.12,58.58,59.59,58.53
58.92,59.06,59.38,58.83
59.58,59.99,60.11,59.58
60.04,59.07,60.06,59.07
59.19,59.35,59.45,58.88
58.75,58.39,59.13,58.34
58.06,58.64,58.64,58.06
58.39,57.14,58.78,53.00
56.24,56.11,58.05,55.70
57.11,57.83,59.57,57.11
57.33,57.89,59.17,57.33
58.30,58.53,58.53,57.92
58.68,58.04,58.68,58.04
57.90,57.02,57.90,56.73
57.47,56.88,57.47,56.35
57.24,56.93,57.87,56.87
57.24,56.89,57.24,56.46
56.60,54.96,56.60,54.95
54.69,54.86,55.19,53.73
55.53,54.83,55.53,54.71
54.10,54.60,54.60,53.36
55.31,54.54,55.39,54.53
55.90,55.69,55.90,55.09
55.78,55.76,56.01,55.45
55.99,54.91,55.99,54.90
54.67,55.52,55.52,54.66
55.96,56.34,56.35,55.96
55.34,54.53,55.76,54.45
54.62,54.54,54.83,54.44
54.18,54.06,54.43,53.60
54.38,54.03,54.78,54.03
55.04,55.17,55.17,54.74
55.19,55.27,55.47,55.18
56.00,55.66,56.05,55.66
56.11,56.59,56.63,55.74
56.32,56.72,56.87,56.32
57.07,56.86,57.07,56.46
56.91,56.78,56.91,56.58
57.53,56.52,57.53,56.38
56.54,55.81,56.86,55.79
55.61,55.53,55.70,55.40
55.34,54.92,55.34,54.86
54.79,55.29,55.40,54.79
55.45,55.28,55.52,54.84
54.04,53.93,54.30,53.65
53.74,53.41,54.15,53.37
53.20,52.80,53.43,51.77
53.11,53.09,53.28,52.78
53.83,53.11,53.84,53.02
53.62,54.29,54.29,53.62
54.54,54.56,54.56,54.24
54.59,54.69,54.76,54.59
54.61,54.72,54.72,54.61
55.25,55.39,55.52,55.22
55.32,55.40,55.52,54.97
55.32,55.54,55.56,55.19
55.46,54.25,55.62,54.25
54.70,54.44,54.70,54.31
54.15,54.60,54.60,53.95
54.06,53.43,54.11,53.43
54.07,53.96,54.07,53.95
53.91,54.01,54.05,53.75
54.81,54.75,54.90,54.72
54.87,54.62,54.88,54.62
53.89,53.83,53.92,53.83
