JNJ,Johnson & Johnson Common Stock,NASDAQ
64.71,64.68,64.99,64.41
64.58,63.93,64.62,63.82
63.90,64.45,64.54,63.83
64.25,63.99,64.35,63.74
63.92,64.21,64.26,63.63
64.75,64.22,64.75,64.01
64.13,64.56,64.72,64.02
64.54,64.97,65.23,64.54
65.20,65.10,65.27,64.75
65.14,64.56,65.20,63.98
64.14,65.35,65.75,64.11
65.47,65.15,65.95,64.47
65.07,63.97,65.47,63.80
63.91,63.20,64.19,63.09
63.67,63.22,63.70,63.05
62.64,62.79,63.01,62.22
62.78,63.44,63.72,62.70
63.57,63.80,64.07,63.04
63.95,62.86,64.27,62.82
63.26,63.09,63.26,62.77
63.20,63.99,64.20,62.63
63.87,63.63,63.87,63.29
63.49,62.64,63.62,62.62
62.69,62.64,63.60,61.89
62.50,62.37,62.98,62.26
62.55,62.76,63.47,62.47
62.79,62.73,63.07,62.21
62.62,62.91,63.21,62.26
62.61,62.72,63.00,62.11
63.25,63.61,63.71,62.82
63.63,63.98,64.36,63.61
63.98,64.53,64.70,63.95
64.15,63.81,64.46,63.62
63.81,63.49,64.10,63.39
63.56,63.31,63.85,63.23
63.55,63.45,63.85,63.25
62.79,63.28,63.35,62.52
63.46,63.00,63.59,63.00
63.27,63.39,63.46,63.17
63.31,63.44,63.64,63.02
63.59,63.40,63.75,63.22
63.53,63.57,63.70,63.37
63.66,64.04,64.07,63.55
64.08,64.20,64.41,64.02
64.55,64.27,64.55,64.09
64.49,64.29,64.56,64.15
64.15,64.22,64.22,63.60
64.26,64.18,64.26,63.85
64.14,64.57,64.57,64.07
64.70,64.53,64.72,64.23
64.72,64.65,64.74,64.48
64.58,65.06,65.15,64.37
65.11,65.11,65.49,64.81
65.07,65.10,65.44,64.98
65.18,65.36,65.39,64.87
65.31,64.75,65.31,64.75
65.04,64.57,65.25,64.53
64.68,64.38,64.72,64.33
64.46,64.82,64.93,64.40
64.95,64.90,64.98,64.56
64.84,65.20,65.31,64.70
65.37,65.77,65.77,65.24
65.77,65.40,65.89,65.38
65.13,65.31,65.45,65.00
65.24,65.22,65.49,65.08
65.19,64.93,65.19,64.77
64.88,65.14,65.17,64.78
65.11,65.11,65.21,64.93
65.06,65.68,65.85,64.91
65.43,65.49,65.60,65.18
65.29,65.51,65.54,65.13
65.34,65.02,65.65,64.89
65.06,66.03,66.10,65.06
66.03,65.99,66.20,65.73
65.98,65.39,65.98,65.07
65.18,64.78,65.24,64.33
64.71,65.04,65.04,64.33
64.99,64.76,65.20,64.72
64.57,64.28,64.88,64.21
64.43,64.62,64.86,64.25
64.85,65.01,65.34,64.85
65.13,64.30,65.34,64.30
65.16,65.33,65.62,64.54
65.07,64.70,65.28,64.41
64.58,65.14,65.29,64.44
65.04,63.40,65.10,60.03
63.26,63.31,63.60,62.09
64.91,64.75,65.36,64.00
64.23,64.67,65.09,64.18
64.85,64.90,65.05,64.49
64.84,64.67,65.16,64.51
64.71,63.97,64.79,63.41
64.06,63.88,64.24,63.20
63.44,62.97,63.56,62.85
62.69,62.22,62.96,62.05
61.82,60.55,61.84,60.55
59.78,60.88,60.96,59.51
60.62,60.57,61.45,60.21
59.71,60.35,60.41,59.15
60.83,59.66,60.83,59.65
59.74,59.03,59.89,58.71
58.72,58.30,59.12,58.19
58.21,58.76,59.41,57.55
59.07,59.73,59.73,58.69
59.89,59.77,60.15,59.55
58.96,58.01,59.03,57.76
