VDC,Vanguard Consumer Staples ETF - DNQ,NASDAQ
65.82,66.36,66.52,65.80
66.25,66.42,66.45,66.08
66.13,66.41,66.44,66.10
66.40,66.41,66.42,65.98
66.31,66.05,66.31,65.79
66.20,66.28,66.36,65.65
66.19,66.58,66.58,66.19
66.61,67.04,67.16,66.61
66.99,67.00,67.09,66.82
66.97,66.62,67.09,66.38
66.61,67.04,67.09,66.59
66.72,66.54,66.72,66.00
66.70,65.51,66.74,65.44
65.37,65.26,65.81,65.18
65.44,65.39,65.85,65.08
65.20,65.29,65.53,65.01
65.49,65.43,65.49,64.90
65.83,65.22,65.99,65.21
65.53,65.06,65.86,65.03
65.43,65.58,65.58,65.02
65.73,66.41,66.46,65.51
66.09,66.08,66.58,65.86
65.59,64.53,65.59,64.51
64.41,64.48,64.51,63.77
64.53,64.30,64.84,64.30
64.77,65.15,65.45,64.59
64.94,65.09,65.14,64.68
64.88,65.66,65.72,64.71
65.26,65.48,65.68,65.01
65.77,66.32,66.33,65.69
66.44,66.80,66.83,66.39
66.73,67.29,67.30,66.69
67.28,67.39,67.56,66.96
67.59,67.30,67.59,67.18
67.30,66.92,67.32,66.70
67.12,67.38,67.38,66.90
66.58,67.39,67.39,66.48
67.30,67.04,67.31,66.81
67.23,67.50,67.51,67.11
67.71,67.85,68.00,67.62
67.91,67.94,68.12,67.78
67.98,68.20,68.37,67.98
68.47,68.61,68.61,68.18
68.58,68.38,68.65,68.27
68.28,68.34,68.59,68.21
68.32,68.20,68.32,68.03
68.09,68.23,68.28,67.78
68.52,68.39,68.52,68.29
68.35,68.86,68.88,68.35
68.92,69.21,69.21,68.85
69.26,69.50,69.53,69.18
69.59,69.44,69.59,69.36
69.28,69.28,69.66,69.00
69.02,69.70,69.76,69.01
69.68,70.34,70.38,69.65
70.14,69.70,70.21,69.68
70.06,69.62,70.09,69.60
69.76,69.69,69.87,69.49
69.93,70.07,70.14,69.78
70.20,70.19,70.34,69.95
70.02,69.79,70.05,69.77
69.98,70.16,70.23,69.89
70.41,70.19,70.41,70.04
69.97,69.96,70.09,69.90
69.87,69.63,69.87,69.43
69.42,69.67,69.72,69.37
69.61,70.05,70.06,69.61
70.01,70.15,70.22,69.96
70.06,70.12,70.22,69.70
70.03,70.24,70.24,69.80
70.05,70.12,70.13,69.83
69.96,69.89,70.38,69.68
69.81,70.04,70.04,69.59
70.12,70.29,70.29,70.02
70.25,70.19,70.38,70.05
69.96,70.14,70.17,69.68
70.10,70.07,70.13,69.67
70.13,69.93,70.27,69.91
69.60,68.73,69.74,68.65
68.90,69.17,69.34,68.74
69.41,69.49,69.75,69.15
69.91,69.06,69.91,69.06
69.12,69.42,69.62,69.03
68.94,68.74,69.28,68.66
68.64,68.86,69.11,68.64
68.90,67.10,68.90,30.00
66.68,66.62,67.24,66.10
69.19,68.50,69.19,67.62
68.39,68.51,69.08,68.21
68.72,69.08,69.16,68.54
69.09,68.77,69.39,68.77
68.41,68.11,68.62,67.83
68.20,68.68,68.76,67.89
69.13,68.40,69.30,68.37
68.00,68.22,68.40,67.71
66.97,66.00,67.15,66.00
64.22,66.29,66.29,64.22
65.93,65.72,66.30,65.69
64.72,65.13,65.13,64.21
65.56,64.65,65.65,64.64
65.56,65.97,65.99,65.25
66.05,65.63,66.16,65.63
64.97,65.50,66.28,64.97
65.68,66.63,66.63,65.59
66.91,66.73,66.91,66.36
65.73,64.98,65.83,64.80
64.99,64.41,65.32,64.41
64.40,65.35,65.37,64.40
65.62,65.29,65.99,65.18
66.19,66.27,66.40,65.99
65.93,66.05,66.05,65.48
66.61,66.24,66.68,66.24
66.83,67.08,67.08,66.57
66.71,66.66,66.86,66.55
67.07,67.16,67.17,66.57
67.36,67.03,67.49,67.03
67.78,66.75,67.78,66.57
66.73,66.12,66.95,66.08
66.08,66.25,66.40,65.97
65.94,65.61,66.10,65.52
65.58,65.03,65.64,64.91
65.30,65.52,65.70,64.90
64.75,64.40,65.02,64.24
64.35,63.91,64.47,63.77
63.82,63.99,64.13,63.38
64.22,63.83,64.22,63.64
64.21,64.11,64.69,63.75
64.24,65.44,65.45,64.10
65.91,66.39,66.39,65.77
66.32,66.50,66.50,66.19
66.52,66.59,66.61,66.32
67.21,67.21,67.35,66.83
67.03,67.31,67.34,66.89
67.42,67.42,67.54,66.88
67.44,66.51,67.57,66.40
66.77,66.55,66.79,66.35
66.19,67.46,67.47,66.19
67.72,66.79,67.72,66.60
67.57,67.43,67.71,67.32
67.29,68.28,68.28,67.24
68.45,68.60,68.61,68.21
68.88,68.96,68.98,68.67
68.70,68.50,68.84,68.41
68.27,67.69,68.40,67.35
67.06,67.93,68.04,67.06
68.54,68.63,68.69,68.30
68.45,68.15,68.45,67.93
68.31,68.40,68.54,68.01
68.06,68.06,68.12,67.91
68.02,68.25,68.25,67.55
68.44,68.64,68.77,68.37
68.28,68.74,69.00,68.20
68.23,67.50,68.23,67.45
66.56,67.35,67.46,66.03
67.09,67.34,67.53,67.09
67.03,67.35,67.40,66.75
67.71,67.98,68.35,67.57
68.04,68.06,68.27,67.64
67.77,67.26,67.77,67.00
