SPYG,SPDR S&P 500 Growth ETF (based on S&P 500 Growth Index symbol--SGX),NASDAQ
49.57,50.05,50.08,49.57
50.05,50.18,50.19,50.04
50.28,50.21,50.28,50.12
50.13,50.25,50.28,49.91
50.10,50.59,50.59,50.03
50.76,50.52,50.76,50.33
50.13,49.88,50.17,48.90
50.10,50.47,50.47,49.81
50.36,50.52,50.54,50.36
50.46,49.96,50.46,49.82
49.96,50.58,50.58,49.96
50.17,50.03,50.17,49.67
50.31,49.46,50.34,49.26
49.13,47.98,49.16,47.98
48.46,48.29,48.49,48.24
48.16,48.14,48.57,47.95
48.11,48.37,48.39,47.79
48.41,47.60,48.41,47.42
47.81,47.16,47.95,46.87
47.18,47.65,47.65,47.18
47.77,48.22,48.28,47.69
47.99,48.16,48.18,47.93
47.65,46.50,47.65,46.50
46.56,46.71,46.71,45.76
46.73,46.57,47.02,46.57
47.08,47.15,47.40,46.70
47.00,46.95,47.19,44.24
46.96,47.71,47.72,46.96
47.06,47.63,47.63,47.06
47.96,48.33,48.37,47.96
48.62,48.55,48.64,48.52
48.84,49.02,49.03,48.73
48.89,49.10,49.21,48.77
49.04,48.95,49.13,48.90
48.88,48.42,48.88,48.21
48.46,48.74,48.81,48.46
48.00,48.79,48.79,47.96
48.66,48.91,48.96,48.66
49.06,49.58,49.58,49.06
49.81,49.67,49.93,49.61
49.77,49.84,50.05,49.74
49.84,49.94,49.94,49.75
50.19,50.57,50.58,50.19
50.54,50.57,50.68,50.51
50.36,50.67,50.93,50.36
50.70,50.87,51.00,50.68
50.69,51.01,51.01,50.64
51.21,51.12,51.21,50.96
50.96,50.98,51.07,50.65
51.20,51.40,51.40,50.92
51.45,51.65,51.82,51.45
51.59,51.57,51.63,51.51
51.10,51.10,51.69,50.96
50.83,51.47,51.61,50.83
51.60,51.81,51.87,51.47
51.56,51.55,51.66,51.44
51.91,51.40,52.04,51.39
51.58,51.35,51.67,51.17
51.65,51.77,51.80,51.65
51.98,51.91,52.02,51.75
51.78,51.67,51.91,51.67
52.24,51.66,52.24,51.66
52.15,52.53,52.54,52.15
52.32,52.59,52.67,52.32
52.52,52.24,52.55,52.05
52.09,52.41,52.51,51.94
52.53,52.77,52.77,52.48
52.85,52.85,52.89,52.74
52.78,52.88,52.91,52.54
53.08,53.35,53.35,52.95
53.28,53.48,53.53,53.28
53.29,52.81,53.34,52.47
52.65,52.69,52.78,52.27
53.02,53.14,53.24,52.93
53.14,53.19,53.20,52.93
52.75,53.47,53.47,52.60
53.40,53.90,53.90,53.40
54.03,53.78,54.05,53.75
53.54,52.59,53.70,52.59
52.69,52.69,52.82,52.48
53.16,53.33,53.38,53.08
53.05,52.42,53.05,52.42
52.55,53.02,53.13,52.52
52.40,51.56,52.41,51.35
50.99,51.20,51.48,50.80
51.01,49.92,51.29,20.00
49.35,48.56,49.68,47.77
50.77,50.83,50.94,50.35
50.42,50.71,51.19,50.42
50.78,51.49,51.60,50.78
51.43,51.10,51.58,50.89
50.58,49.97,50.58,49.57
50.07,49.95,50.07,49.15
50.34,49.39,50.56,49.30
49.11,49.07,49.47,48.50
47.89,47.18,48.00,47.17
46.35,47.68,47.78,46.33
47.68,47.21,47.88,47.21
46.13,47.25,47.26,45.46
47.55,47.09,48.09,46.92
47.88,48.60,48.60,47.88
48.24,48.11,48.53,47.83
47.62,47.20,48.27,47.20
47.38,48.26,48.26,47.27
48.66,48.83,48.87,48.42
47.90,47.19,48.11,47.18
47.28,46.39,47.39,46.39
46.47,46.69,46.70,46.00
47.04,46.46,47.40,46.35
47.29,47.81,47.84,47.29
47.85,48.30,48.30,47.81
48.64,48.54,48.93,48.40
48.77,49.45,49.45,48.77
49.27,49.43,49.67,49.14
49.51,49.34,49.51,49.15
49.52,49.44,49.59,49.35
49.93,49.14,50.00,49.14
49.22,48.47,49.30,48.32
48.51,48.17,48.51,47.89
47.90,47.44,47.90,47.25
47.40,47.59,47.78,47.23
47.24,47.54,47.65,47.22
46.62,45.57,46.62,45.52
45.61,45.27,46.01,45.21
45.18,45.15,45.18,44.33
45.30,45.22,45.33,44.71
45.42,45.02,45.77,44.98
45.63,46.39,46.39,45.63
46.92,46.88,46.92,46.42
46.91,47.16,47.17,46.91
47.37,47.28,47.37,47.03
47.84,48.03,48.15,47.84
47.98,48.07,48.34,47.88
48.08,48.21,48.21,47.51
47.85,46.77,47.85,46.77
47.02,47.05,47.20,46.80
46.56,47.81,47.81,46.56
48.12,47.12,48.12,47.11
47.64,48.11,48.32,47.64
48.15,48.62,48.62,48.15
48.88,49.08,49.08,48.86
49.31,48.89,49.31,48.68
48.97,48.50,48.97,48.44
48.90,48.31,48.94,48.01
47.70,48.41,48.48,47.70
48.97,49.39,49.44,48.97
49.30,49.08,49.30,48.93
49.31,49.62,49.62,49.22
49.43,49.46,49.51,49.32
48.87,49.14,49.32,48.63
49.40,49.54,49.57,49.34
48.90,49.19,49.29,48.90
48.37,47.80,48.38,47.61
46.73,47.46,47.46,46.73
47.26,47.24,47.31,47.23
46.75,47.12,47.26,46.75
47.75,47.90,48.16,47.53
47.85,48.14,48.20,47.71
47.67,47.37,47.67,47.00
47.15,47.16,47.18,46.79
47.28,46.92,47.28,46.92
46.22,45.97,46.34,45.97
45.75,46.27,46.27,45.52
46.42,45.85,46.45,45.85
45.84,46.61,46.61,45.84
46.56,46.15,46.56,46.15
45.80,45.84,46.16,45.65
46.70,47.27,47.27,46.68
47.65,47.68,47.70,47.54
48.33,48.49,48.54,48.28
48.28,48.03,48.28,48.03
48.14,48.38,48.49,48.14
48.84,48.59,48.84,48.51
48.56,48.64,48.78,48.52
49.17,49.38,49.38,49.17
49.31,49.52,49.76,49.31
49.38,49.70,49.73,49.38
49.53,49.54,49.63,49.50
49.92,49.83,49.92,49.61
49.86,50.53,50.53,49.81
50.47,50.32,50.49,50.32
50.36,50.23,50.59,49.99
49.76,49.91,50.38,49.74
50.95,51.05,51.08,50.95
51.00,50.82,51.08,50.82
50.72,51.09,51.10,50.71
50.97,51.04,51.15,50.90
51.38,51.10,51.48,50.63
51.24,51.08,51.28,50.84
50.90,50.53,50.96,50.34
51.02,51.69,51.76,51.02
51.56,51.41,51.64,51.24
51.70,51.36,51.70,51.13
51.51,51.78,51.87,51.30
51.88,51.80,51.97,51.73
51.53,52.10,52.10,51.53
52.37,52.59,52.75,52.37
52.26,52.42,52.42,52.18
52.84,52.82,52.88,52.50
52.99,53.04,53.04,52.83
52.52,52.01,52.58,51.97
52.26,52.77,52.92,52.26
53.02,52.80,53.23,52.77
53.01,53.03,53.07,52.96
53.52,53.44,53.66,53.37
53.09,53.32,53.38,53.01
52.98,53.18,53.18,52.87
53.45,53.35,53.45,53.01
53.25,53.34,53.40,53.19
53.51,53.49,53.86,53.30
53.88,54.03,54.13,53.79
54.05,54.10,54.10,53.61
54.70,55.00,55.08,54.70
55.19,55.26,55.31,54.98
55.04,55.16,55.24,55.00
55.35,54.71,55.35,54.71
