TCI,Transcontinental Realty Investors,NASDAQ
11.90,11.90,12.01,11.27
11.82,11.90,11.91,11.70
11.85,11.76,11.85,11.76
11.85,11.92,11.92,11.75
11.88,11.81,12.05,11.63
11.76,11.71,12.05,11.71
11.71,11.75,11.90,11.71
11.81,11.90,12.11,11.81
11.89,11.79,11.89,11.44
12.04,11.95,12.09,11.86
12.02,11.94,12.05,11.81
11.93,11.82,11.95,11.77
11.82,11.76,11.82,11.76
11.75,11.61,11.76,11.61
11.62,10.81,11.80,10.65
10.81,10.70,11.04,10.60
10.60,11.34,11.48,10.60
11.34,11.09,11.35,11.09
11.11,11.21,11.35,11.11
11.17,10.92,11.22,10.90
10.87,10.90,11.00,10.87
10.88,10.90,10.95,10.88
10.85,10.97,11.13,10.85
11.58,11.50,11.58,11.42
11.43,11.05,11.43,11.05
11.15,10.81,11.15,10.79
10.78,11.07,11.12,10.78
10.99,10.65,11.05,10.65
10.62,10.73,11.42,10.60
10.76,10.76,10.90,10.75
10.75,11.09,11.09,10.58
11.03,11.22,11.22,10.79
11.27,11.34,11.34,11.26
11.34,11.34,11.34,11.34
11.59,12.77,12.98,11.59
12.71,12.44,12.80,12.22
12.38,12.58,12.71,12.38
12.59,12.25,12.59,11.87
12.10,11.92,12.14,11.81
11.89,11.60,11.97,11.49
11.75,11.63,11.79,11.63
11.93,11.74,11.93,11.61
11.62,11.75,11.75,11.24
11.89,11.96,11.98,11.82
12.35,12.31,12.50,11.40
12.16,12.36,12.38,11.40
12.10,12.23,12.23,11.95
12.23,12.04,12.23,11.90
12.17,11.99,12.21,11.99
11.76,11.55,11.76,11.15
11.35,11.66,11.85,11.29
11.77,12.05,12.10,11.77
12.00,12.00,12.12,11.76
12.14,12.14,12.14,12.14
12.27,12.02,12.27,12.02
12.30,12.02,12.30,11.90
11.97,12.13,12.20,11.75
12.19,12.17,12.30,11.99
12.08,12.30,12.47,12.08
12.50,12.99,13.13,12.50
13.10,12.52,13.10,12.51
12.30,12.17,12.30,12.17
11.98,10.81,11.98,10.81
11.01,10.76,11.30,10.76
11.00,10.96,11.00,10.89
11.13,10.74,11.13,10.74
10.96,11.00,11.02,10.80
11.08,10.59,11.08,10.50
10.41,11.02,11.12,10.41
10.88,11.02,11.17,10.82
10.91,10.87,10.99,10.77
10.87,10.97,11.00,10.78
10.68,10.97,10.97,10.68
