USATP,USA Technologies,NASDAQ
9.00,9.00,9.00,8.75
9.00,9.00,9.00,9.00
9.00,8.75,9.03,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
8.50,8.50,8.50,8.50
8.65,8.66,9.13,8.61
9.15,9.00,9.30,9.00
9.00,9.49,9.49,9.00
9.49,9.49,9.49,9.49
9.00,9.90,9.90,8.65
9.02,9.10,9.10,9.02
8.65,8.65,8.65,8.65
8.65,8.50,8.65,8.50
8.50,8.50,8.50,8.50
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.56,8.56,8.56,8.56
8.51,8.51,8.51,8.51
8.51,8.51,8.51,8.51
8.51,8.51,8.51,8.51
9.00,10.80,10.80,8.54
10.00,8.86,10.05,8.86
9.50,9.01,9.50,9.00
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
8.59,8.68,8.81,8.55
8.77,8.71,8.83,8.63
8.75,8.75,8.75,8.55
8.61,8.63,8.84,8.55
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.57,8.50,8.57,8.50
8.56,8.55,8.56,8.55
8.55,8.55,8.55,8.55
8.55,8.55,8.55,8.55
8.55,8.55,8.55,8.55
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.56,8.53,8.57,8.53
8.53,8.53,8.53,8.53
8.53,8.53,8.53,8.53
8.53,8.53,8.53,8.53
8.50,8.70,8.70,8.50
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
9.49,9.50,9.50,9.49
9.50,9.50,9.50,9.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.55,8.25,8.55,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
9.00,9.00,9.00,8.25
8.75,8.65,8.75,8.65
8.26,8.25,8.26,8.25
8.25,8.25,8.25,8.25
9.00,9.50,9.50,9.00
8.60,8.60,8.60,8.60
9.00,9.50,9.50,9.00
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
8.74,8.75,8.75,8.74
9.00,8.70,9.00,8.70
8.75,8.65,8.90,8.65
8.65,8.65,8.65,8.65
8.65,8.65,8.65,8.65
8.65,8.65,8.65,8.65
8.65,8.65,8.65,8.65
8.65,8.65,8.65,8.65
9.50,10.00,10.00,8.99
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
8.00,9.99,9.99,8.00
9.99,9.99,9.99,9.99
9.99,9.99,9.99,9.99
7.03,7.06,7.06,7.01
7.10,5.91,7.10,5.71
6.00,8.00,8.00,5.00
7.00,8.00,8.00,7.00
7.98,8.00,8.00,7.98
8.00,8.00,8.00,8.00
7.53,7.53,7.53,7.53
7.53,7.53,7.53,7.53
7.53,7.53,7.53,7.53
6.61,7.00,7.00,5.40
7.00,7.00,7.00,7.00
5.86,5.86,5.86,5.86
6.60,6.03,6.61,6.00
6.03,6.03,6.03,6.03
6.03,6.03,6.03,6.03
6.50,6.50,6.50,6.50
6.60,6.60,6.60,6.60
6.60,6.60,6.60,6.60
6.60,6.60,6.60,6.60
6.22,7.85,7.85,6.22
6.51,6.30,6.51,6.00
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
8.20,8.20,8.20,8.20
7.99,7.99,7.99,7.99
7.99,7.99,7.99,7.99
7.77,7.27,7.77,7.27
7.27,7.27,7.27,7.27
8.03,8.03,8.03,8.03
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
7.74,8.78,9.20,7.71
9.25,9.75,10.50,9.20
10.01,9.45,10.50,9.45
9.70,10.05,10.10,9.00
11.00,10.50,11.00,10.10
11.25,12.00,12.00,11.19
12.40,13.43,13.74,12.25
13.85,13.27,14.42,13.27
13.27,13.72,13.83,13.27
14.00,14.05,14.64,13.75
13.98,13.70,14.20,13.70
14.99,15.49,15.74,14.75
15.00,14.70,15.00,14.70
13.00,15.00,15.00,13.00
13.77,15.00,15.00,13.77
15.00,15.00,15.00,15.00
13.86,14.25,14.25,13.83
14.74,15.00,15.00,14.74
15.00,15.00,15.00,15.00
12.53,15.25,15.25,12.53
15.15,16.00,16.00,15.00
15.60,15.00,15.60,15.00
17.99,17.00,17.99,15.78
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.00,15.85,16.00,15.50
15.85,15.85,15.85,15.85
15.85,15.85,15.85,15.85
15.85,15.85,15.85,15.85
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.00
13.03,13.26,14.25,12.50
13.00,13.00,13.00,12.75
13.00,13.00,13.00,13.00
13.00,12.95,13.50,12.95
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
15.62,15.62,15.62,15.62
15.62,15.62,15.62,15.62
14.05,15.90,15.90,14.05
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.90,15.90,15.90,15.90
15.75,15.49,15.90,15.44
15.00,15.90,15.90,15.00
15.86,15.74,16.00,15.70
16.00,16.00,16.00,16.00
16.00,16.00,16.00,16.00
16.00,16.00,16.00,16.00
16.00,16.00,16.00,16.00
16.33,15.60,16.50,14.93
15.60,15.60,15.60,15.60
15.50,15.50,15.50,15.50
15.55,15.60,15.60,15.55
15.70,15.70,15.70,15.66
16.10,16.10,16.10,16.00
16.10,16.10,16.10,16.10
16.50,17.00,17.00,16.50
16.54,16.54,16.54,16.54
16.53,17.00,17.00,16.53
17.07,17.90,18.00,17.07
17.90,17.90,17.90,17.90
16.53,16.53,16.53,16.53
16.53,16.51,16.53,16.51
16.54,16.54,16.54,16.54
17.22,17.25,17.25,17.22
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.10,17.25,17.25,17.10
17.50,17.90,18.00,17.50
17.97,17.97,17.97,17.97
17.90,18.25,18.25,17.90
18.00,18.00,18.00,18.00
18.00,17.03,18.00,17.00
17.03,17.03,17.03,17.03
17.03,17.03,17.03,17.03
17.03,17.03,17.03,17.03
17.03,17.03,17.03,17.03
17.50,18.10,18.10,17.00
17.77,17.50,17.77,17.01
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
18.18,18.50,18.50,18.18
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
19.73,19.03,20.98,19.03
18.06,19.00,19.00,18.01
20.09,20.08,20.09,20.08
18.50,18.55,18.55,17.50
18.55,18.55,18.55,18.55
17.25,17.84,18.00,17.25
18.50,18.50,18.50,18.50
17.63,19.96,19.96,17.63
17.71,17.80,19.00,17.66
18.41,18.38,18.41,18.38
18.35,18.35,18.35,18.35
17.54,18.37,18.37,17.54
18.37,18.37,18.37,18.37
18.37,18.37,18.37,18.37
17.51,18.10,18.10,17.51
17.75,18.01,18.03,17.75
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
19.95,20.14,20.14,19.95
19.00,20.00,20.00,19.00
20.00,20.00,20.00,20.00
20.00,20.00,20.00,20.00
19.00,19.00,19.00,19.00
19.00,18.04,19.00,18.01
19.00,19.00,19.00,19.00
18.97,19.00,19.00,18.97
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.99,19.89,19.99,19.89
19.89,19.89,19.89,19.89
18.11,18.00,19.90,18.00
19.96,19.96,19.96,19.96
18.28,19.96,19.96,18.28
19.96,19.96,19.96,19.96
20.29,18.60,20.29,18.60
18.62,18.00,18.62,17.50
18.88,18.88,18.88,18.88
18.02,18.50,18.50,18.02
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.30,18.30,18.30,18.00
18.48,18.06,18.48,18.06
18.06,18.06,18.06,18.06
18.06,18.06,18.06,18.06
18.50,18.50,18.50,18.50
19.28,19.28,19.28,19.28
18.50,19.25,19.25,18.46
19.25,19.25,19.25,19.25
18.06,18.83,18.96,18.04
18.51,18.52,18.52,18.51
18.52,18.52,18.52,18.52
18.52,18.52,18.52,18.52
19.60,19.60,19.60,19.60
19.60,19.60,19.60,19.60
19.95,19.95,19.95,19.95
18.51,18.51,18.51,18.51
18.97,18.97,18.97,18.97
18.97,18.97,18.97,18.97
18.97,18.97,18.97,18.97
18.56,18.87,19.00,18.25
