CALI,China Auto Logistics Inc. - Common Stock,NASDAQ
31.20,30.60,31.20,29.28
32.04,31.14,32.04,30.00
31.20,31.20,31.50,30.00
33.00,32.04,33.00,30.66
32.40,34.62,34.62,31.80
36.00,36.60,37.50,34.86
37.20,35.82,37.20,34.50
36.48,34.80,36.48,31.80
34.50,33.06,34.50,32.40
33.30,32.22,33.60,31.50
32.04,32.76,32.94,31.14
32.40,31.14,32.40,30.72
31.44,30.12,32.34,28.98
29.88,29.22,30.29,28.20
29.28,29.10,31.98,28.74
28.86,26.46,28.86,24.96
25.20,26.70,29.28,25.20
27.30,25.68,28.38,24.90
25.50,25.15,26.70,24.60
25.32,25.56,26.28,24.24
25.80,27.30,27.90,24.66
26.40,26.70,27.54,25.74
25.92,25.62,26.40,25.08
25.50,26.58,28.02,24.00
26.40,26.16,26.70,25.56
26.70,26.70,27.42,26.46
26.70,25.50,27.66,25.20
26.16,27.48,28.92,25.02
28.80,27.00,28.80,26.10
27.24,26.82,27.60,25.92
26.70,26.94,27.18,25.50
27.00,27.12,27.84,26.40
26.86,27.60,29.04,26.86
28.84,27.72,28.84,26.82
28.14,27.36,28.44,25.98
27.90,26.94,27.90,26.46
26.67,27.00,27.00,26.28
27.00,28.32,28.62,26.22
27.90,27.54,27.90,26.82
27.42,27.60,28.32,25.80
27.60,27.48,28.44,27.06
27.60,26.82,27.84,26.70
27.18,27.36,27.54,25.80
27.54,26.94,27.60,26.76
26.94,26.70,27.60,26.52
26.94,27.12,27.12,26.34
26.82,27.54,27.60,26.43
27.90,28.02,28.02,27.30
27.42,26.88,28.02,26.70
26.70,27.06,27.66,26.40
27.24,27.00,28.14,25.92
26.70,26.46,27.34,26.40
25.92,25.80,26.16,25.80
25.98,25.26,25.98,24.48
25.50,25.98,26.34,23.58
25.80,26.22,26.50,24.81
26.82,26.58,26.82,25.68
26.64,26.70,26.76,25.50
29.10,26.28,29.10,25.80
26.16,25.14,26.93,23.76
25.02,24.06,25.44,23.76
N/A,N/A,N/A,N/A
25.02,24.78,25.02,24.48
24.78,24.60,25.62,24.24
24.60,24.00,24.60,23.88
23.88,25.20,25.26,23.46
25.20,25.14,25.20,24.30
25.08,24.60,25.08,24.24
24.30,24.48,24.60,24.00
24.36,24.60,24.60,24.18
24.60,24.90,24.90,24.06
24.36,24.72,24.84,23.46
24.24,24.24,24.30,24.12
24.84,24.06,24.84,23.76
23.88,24.30,24.90,23.88
24.12,24.42,24.60,24.00
24.00,24.24,24.30,23.70
24.18,24.30,24.60,23.70
24.54,24.36,25.20,23.88
24.60,24.54,24.60,23.76
