VO,Vanguard Mid-Cap ETF - DNQ,NASDAQ
60.74,61.07,61.12,60.62
61.07,61.36,61.37,60.90
61.38,61.74,61.78,61.38
61.62,62.04,62.07,61.35
61.80,62.28,62.32,61.65
62.67,62.32,62.70,62.05
61.95,61.47,61.95,61.17
61.74,62.18,62.26,61.20
62.10,62.29,62.39,61.96
62.31,61.52,62.34,61.28
61.43,62.26,62.26,61.43
61.76,61.69,61.76,61.10
61.79,60.73,62.12,60.73
60.72,59.28,60.72,59.26
59.85,59.59,60.04,59.28
59.47,59.28,59.93,59.09
59.15,59.45,59.50,58.63
59.61,58.75,59.65,58.28
58.85,57.81,59.40,57.69
57.99,58.92,58.94,57.97
59.09,59.90,59.97,58.85
59.58,59.49,59.87,59.31
58.93,57.31,59.01,57.30
57.26,57.39,57.53,56.01
57.50,57.13,57.95,57.00
57.93,57.95,58.40,57.36
57.83,57.88,58.17,57.23
57.80,58.72,58.73,57.43
57.96,58.84,58.84,57.80
59.50,59.96,60.01,59.20
60.32,60.34,60.40,59.95
60.35,60.75,60.80,60.24
60.57,61.03,61.17,60.45
61.34,61.01,61.36,60.83
60.89,60.03,60.91,59.94
60.13,60.57,60.63,60.10
59.69,60.65,60.72,59.46
60.73,60.86,60.93,60.33
61.19,61.92,62.01,61.19
62.18,62.23,62.49,62.07
62.39,62.29,62.73,62.21
62.45,62.44,62.61,62.09
62.78,63.39,63.43,62.70
63.40,63.47,63.61,63.30
63.16,63.51,63.83,63.15
63.56,64.05,64.11,63.55
63.77,64.28,64.30,63.57
64.50,64.35,64.60,64.08
64.18,64.12,64.30,63.56
64.27,64.88,64.91,64.15
65.13,65.32,65.62,65.05
65.41,64.99,65.42,64.86
64.39,64.39,65.25,64.19
63.90,65.10,65.14,63.81
65.21,65.62,65.66,64.95
65.40,65.27,65.53,65.15
65.66,64.74,65.83,64.74
64.99,64.79,65.31,64.46
65.24,65.32,65.44,65.08
65.48,65.42,65.66,65.05
65.24,65.12,65.57,65.04
65.63,65.82,66.01,65.34
66.09,66.82,66.82,66.00
66.59,67.10,67.18,66.53
67.06,66.46,67.06,66.15
66.27,66.60,66.67,65.80
66.74,67.11,67.13,66.55
67.18,67.26,67.43,67.14
67.20,67.35,67.44,66.88
67.65,68.31,68.31,67.58
68.27,68.20,68.48,68.06
68.02,67.15,68.13,66.69
66.91,66.91,67.24,66.08
67.33,67.93,67.93,67.17
68.03,68.05,68.20,67.61
67.57,68.97,68.99,67.24
69.05,69.65,69.66,68.82
69.72,69.46,70.03,69.34
68.98,67.46,69.30,67.32
67.83,67.70,68.15,67.21
68.31,68.83,68.97,68.17
68.93,67.48,68.93,67.46
67.82,68.57,68.64,67.76
67.60,66.56,67.64,66.25
65.88,65.86,66.79,65.17
65.55,63.67,66.16,26.27
63.13,62.14,63.94,61.14
65.00,65.47,65.57,64.68
64.70,65.34,66.20,64.61
65.77,66.78,66.82,65.65
66.67,66.03,67.07,65.89
65.47,64.44,65.48,63.81
64.72,64.50,65.08,63.00
65.26,63.46,65.50,63.25
62.92,62.89,63.81,61.82
61.13,60.20,61.56,60.05
59.33,61.38,61.62,58.67
61.06,60.58,61.71,60.58
58.90,60.81,60.81,58.30
61.12,60.88,62.19,60.67
62.26,63.33,63.36,62.01
63.18,62.56,63.41,62.20
61.83,60.97,62.71,60.91
61.42,62.80,62.80,61.00
63.06,63.33,63.42,62.53
61.89,60.65,62.54,60.46
60.95,59.40,61.11,59.37
59.50,59.90,59.96,58.59
60.22,59.98,61.44,59.72
61.17,62.10,62.15,61.10
61.50,62.69,62.75,61.40
63.51,62.86,63.89,62.80
63.40,64.51,64.56,63.29
64.11,64.30,64.74,63.93
64.65,64.31,64.65,63.66
64.54,64.20,64.54,64.00
65.16,63.86,65.23,63.55
63.99,62.48,64.26,62.39
62.47,62.38,62.80,61.61
61.96,61.21,62.12,61.11
61.48,61.82,62.06,60.90
61.88,61.54,62.13,61.37
60.44,59.15,60.51,58.85
59.10,58.68,59.98,58.56
58.59,58.42,58.85,57.09
58.61,57.98,58.81,57.67
58.92,58.00,59.38,57.51
58.31,60.11,60.14,58.02
60.95,60.66,60.98,60.00
60.64,61.30,61.32,60.55
61.10,61.07,61.52,60.59
61.89,62.34,62.52,61.71
62.21,62.22,62.55,61.74
62.25,62.21,62.40,61.27
61.79,60.19,61.79,60.06
60.47,60.62,60.81,59.76
59.77,61.58,61.62,59.54
61.96,60.62,62.09,60.40
61.55,62.23,62.42,61.55
62.05,63.05,63.11,61.82
63.33,64.12,64.12,63.00
64.63,63.56,64.70,63.38
63.59,62.90,63.67,62.65
63.34,62.54,63.53,61.84
61.64,62.74,62.96,61.49
63.80,64.14,64.20,63.48
64.01,63.61,64.05,63.34
63.89,64.29,64.31,63.67
63.90,64.07,64.17,63.65
63.33,63.85,64.04,62.99
64.50,64.35,64.50,63.90
63.75,63.66,64.01,63.19
62.35,61.61,62.35,61.44
60.33,61.29,61.51,60.13
61.03,61.08,61.51,61.00
60.78,61.07,61.32,60.44
61.63,62.16,62.55,61.54
62.12,62.32,62.65,61.64
61.89,61.28,62.28,61.07
61.22,61.27,61.30,60.56
61.58,60.81,61.83,60.81
60.00,59.82,60.32,59.29
59.35,60.12,60.29,58.98
60.32,59.77,60.66,59.58
60.29,60.99,61.01,59.21
60.76,59.96,61.01,59.96
59.74,59.90,60.38,59.40
60.86,62.00,62.05,60.84
62.06,62.86,62.93,62.05
63.68,63.74,63.92,63.21
63.38,62.81,63.47,62.77
62.90,63.27,63.55,62.90
64.07,63.39,64.07,63.16
63.51,63.65,63.83,63.34
