CKH,SEACOR Holdings Inc. Common Stock,NASDAQ
77.59,77.41,77.82,76.97
77.12,77.38,77.51,76.80
76.96,78.14,78.24,76.60
77.67,77.06,78.00,76.28
77.17,77.88,77.88,76.70
77.88,76.75,78.53,76.46
75.89,75.27,75.89,75.03
75.27,75.44,75.80,75.00
75.08,75.11,76.13,75.07
75.00,75.07,75.31,74.87
74.96,75.40,75.45,74.73
75.02,74.89,75.02,74.13
74.89,73.94,75.36,73.63
74.00,72.82,74.00,72.46
73.50,72.74,73.76,72.51
72.10,71.98,73.18,71.80
72.13,71.34,72.38,70.43
71.49,70.97,71.49,70.45
71.13,70.25,71.46,70.09
71.17,71.90,72.01,71.14
71.86,72.29,72.32,71.49
72.04,71.62,72.22,71.44
70.80,70.80,71.28,70.55
71.00,70.83,71.44,69.88
70.80,70.50,71.33,70.16
71.20,71.10,72.02,70.88
71.08,71.40,71.53,70.49
71.15,72.22,72.22,71.15
71.50,72.69,72.71,70.54
73.34,73.80,73.82,72.82
73.68,73.19,73.68,72.56
73.18,72.49,73.65,72.27
72.61,75.49,76.19,72.61
75.32,75.00,75.94,74.87
75.14,74.74,75.47,74.60
74.99,76.12,76.21,74.92
75.69,77.62,77.62,75.20
78.07,76.38,78.07,76.20
76.97,78.28,78.31,76.94
78.75,79.68,80.11,78.56
79.61,80.11,80.86,79.61
79.73,79.53,80.10,79.01
79.44,78.28,79.44,77.68
78.53,79.61,79.65,78.37
79.21,80.09,80.11,78.96
80.70,80.74,81.05,79.74
80.82,80.07,80.86,79.99
80.60,80.35,80.78,79.79
79.93,80.77,80.92,79.40
81.25,81.57,81.79,81.00
81.40,80.70,81.69,80.42
80.39,80.58,80.89,79.92
81.04,80.54,81.50,80.30
80.40,79.87,80.40,79.64
79.46,79.88,79.97,79.27
79.33,79.36,80.05,79.17
79.85,79.08,80.05,79.05
79.73,78.47,79.79,78.30
78.66,79.64,79.92,78.66
79.49,79.86,79.90,79.38
80.00,80.66,81.17,80.00
80.98,82.14,82.14,80.90
82.32,83.31,83.31,81.79
82.77,83.32,83.78,82.75
83.55,83.00,83.79,82.35
82.67,82.61,82.67,81.86
82.60,83.55,83.55,82.37
83.37,83.29,83.90,83.05
83.00,82.78,83.25,82.19
82.91,83.89,84.11,82.49
83.89,83.94,84.00,83.35
83.87,82.94,83.87,82.27
82.47,82.69,82.98,81.73
83.17,84.45,84.48,83.17
83.84,85.16,85.18,83.84
84.18,85.50,86.00,84.18
83.80,81.21,84.48,81.02
81.21,80.89,81.43,79.51
80.73,79.66,80.94,79.58
80.15,80.74,81.06,79.04
80.97,83.56,85.29,80.97
83.56,84.17,92.23,83.56
85.38,84.72,87.25,82.75
83.81,82.05,83.81,81.70
