BSPM,Biostar Pharmaceuticals,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
115.50,107.10,115.71,99.54
108.15,86.31,108.15,85.89
97.65,93.03,98.70,91.77
94.50,96.39,96.60,93.45
98.70,92.82,98.70,90.30
94.50,92.82,94.50,91.35
93.87,89.25,93.87,86.10
87.78,83.37,87.99,81.90
84.84,83.16,86.10,80.22
87.57,80.22,87.57,74.55
84.00,76.65,84.00,73.50
84.00,82.32,84.42,79.80
85.05,83.75,85.05,82.95
85.26,86.10,86.94,84.00
86.52,86.10,89.04,84.63
88.83,84.00,88.83,81.06
80.01,77.49,80.11,74.76
79.80,76.02,79.80,75.60
75.60,73.71,75.60,68.25
73.08,67.83,73.08,66.36
73.50,72.45,73.50,65.10
73.50,69.30,73.71,68.46
68.25,69.30,70.35,66.15
71.40,68.46,73.29,68.25
72.45,70.56,73.08,68.25
72.03,73.50,73.50,70.77
72.66,72.24,72.87,69.93
72.24,72.45,73.08,70.35
72.45,74.13,74.97,70.98
70.98,71.19,73.08,68.25
71.19,65.10,71.40,64.05
63.00,67.83,67.83,63.00
67.62,67.20,68.67,65.10
67.83,67.41,68.67,64.68
65.73,66.78,66.99,63.42
67.20,68.04,68.88,67.20
69.09,70.35,70.56,67.79
70.35,68.25,70.35,68.04
67.83,65.73,67.83,65.10
65.31,63.42,65.31,60.27
64.26,63.00,66.36,63.00
63.84,63.42,64.26,62.79
63.00,61.95,64.05,61.11
61.95,62.79,64.05,61.11
62.16,62.37,64.01,62.16
63.84,64.68,64.68,62.16
61.95,63.63,63.63,60.90
62.37,62.37,63.00,59.22
61.74,58.17,61.74,53.93
57.75,54.81,60.69,53.97
54.60,53.17,56.70,52.50
53.13,51.66,53.13,49.77
51.87,52.71,53.96,51.87
52.50,56.49,58.59,52.50
56.91,54.39,57.54,53.97
54.81,56.49,56.70,53.97
57.12,55.86,57.12,55.02
56.49,55.02,57.12,54.60
55.02,52.08,55.25,51.24
52.92,52.50,53.34,51.66
52.29,53.13,53.34,51.87
54.18,53.97,56.28,52.71
54.18,57.12,57.54,54.18
57.54,57.12,57.54,56.35
56.70,56.28,57.12,55.25
57.54,57.12,58.59,56.70
55.44,54.18,55.44,54.18
55.02,54.81,55.44,53.13
53.55,55.65,55.65,53.55
55.23,56.07,57.12,54.77
55.65,57.54,57.54,55.02
58.38,57.33,58.38,55.23
56.28,54.60,56.70,54.18
54.60,54.39,55.65,52.71
54.81,56.48,56.49,54.18
55.65,59.22,59.85,53.55
59.64,58.80,59.64,53.97
58.59,57.75,58.59,55.86
60.90,59.64,62.16,56.91
56.70,58.80,58.80,54.81
65.10,63.63,65.94,62.16
63.00,60.90,63.63,60.48
60.90,59.64,60.90,58.80
60.48,57.96,60.48,57.96
57.96,58.80,60.69,57.96
57.96,56.49,57.96,55.02
55.02,54.81,55.02,53.55
53.97,52.71,55.23,52.71
52.71,55.44,55.44,52.71
55.44,51.87,56.26,51.87
51.45,51.66,52.50,50.40
52.50,49.35,52.50,49.14
49.98,51.45,51.45,49.35
50.40,53.55,54.81,49.56
54.39,51.45,54.60,50.82
52.29,52.92,52.92,50.82
53.13,51.03,53.97,50.40
51.66,49.77,51.66,49.56
51.03,53.76,54.60,49.56
54.60,52.50,54.60,51.45
52.08,49.35,52.08,48.72
48.93,48.72,50.82,48.72
48.72,49.56,51.66,48.72
49.35,48.93,50.82,48.72
48.72,49.77,50.61,48.72
49.35,49.98,51.03,48.93
49.14,52.92,53.15,48.72
53.55,53.76,56.28,51.66
53.76,53.76,54.39,51.87
53.97,56.91,57.96,52.71
55.86,58.17,59.43,52.92
55.86,59.01,60.48,55.86
58.38,59.72,59.72,57.75
60.48,57.96,60.48,56.28
57.75,57.54,57.75,55.86
57.96,55.65,57.96,55.23
55.86,56.70,57.54,55.65
56.70,57.75,57.75,56.28
58.59,60.48,61.53,57.94
60.69,59.22,60.92,59.22
59.22,60.87,62.58,59.22
61.53,61.32,62.58,60.69
62.58,60.06,62.58,59.43
60.06,61.95,61.95,59.43
60.69,59.85,62.16,59.85
60.90,64.47,64.68,60.69
65.10,65.31,66.15,62.79
66.15,63.42,66.15,63.00
63.42,61.74,64.26,56.91
60.69,60.48,63.00,60.06
60.06,60.06,61.11,59.85
60.06,59.22,60.27,58.38
58.59,59.22,60.48,58.59
59.68,59.64,60.48,59.22
60.06,60.06,60.48,59.22
60.06,61.32,61.95,59.85
61.74,67.20,67.20,61.74
67.20,66.99,67.20,65.10
67.41,72.03,73.71,67.39
73.29,68.25,73.29,67.41
67.62,66.78,69.30,65.10
66.78,66.36,66.98,64.61
64.68,65.94,66.15,61.75
60.69,57.75,60.69,57.34
57.54,56.70,59.64,54.39
57.96,56.28,57.96,55.02
58.38,63.63,63.84,58.38
63.00,64.47,64.68,60.06
64.47,63.63,64.47,62.58
63.42,60.90,63.42,60.90
61.32,62.16,63.00,61.32
61.95,61.95,62.37,61.53
63.00,61.42,63.00,61.32
60.90,59.22,60.90,59.22
59.85,59.43,59.87,59.01
59.43,59.01,60.27,58.80
59.01,57.54,60.05,57.54
58.80,59.85,61.11,58.59
60.27,59.96,61.32,59.43
61.11,59.43,61.11,59.43
60.90,59.01,60.90,58.38
59.85,58.38,59.85,57.96
61.95,61.53,63.00,60.48
61.11,60.90,61.53,60.27
60.16,60.48,60.48,59.89
60.27,61.11,61.30,60.06
61.11,61.74,62.79,60.69
61.74,61.32,63.00,61.11
62.37,61.11,62.37,60.06
61.11,59.64,61.11,59.03
59.64,58.38,59.64,58.38
57.96,58.17,58.80,57.12
58.17,57.75,58.18,57.12
57.96,56.91,58.80,56.91
57.33,57.75,60.90,56.91
59.01,59.22,59.64,57.33
60.48,58.38,60.48,58.38
58.38,57.54,58.76,57.33
57.75,57.96,57.96,57.33
58.59,57.96,58.59,56.28
57.12,57.33,58.17,55.65
57.75,55.86,57.96,55.65
58.17,56.91,58.17,56.26
57.75,56.70,57.75,56.28
56.49,56.49,57.12,55.65
56.49,56.28,57.33,55.44
56.70,55.65,56.70,55.23
55.23,53.13,55.23,53.13
52.92,52.50,54.60,52.50
53.55,53.97,54.60,53.34
53.97,50.82,53.97,50.40
51.45,50.19,52.08,49.77
49.35,50.19,51.03,48.72
48.93,50.19,51.45,48.93
50.40,52.71,53.55,50.40
51.24,51.87,55.86,51.24
51.24,51.66,54.60,51.03
51.03,54.60,55.02,50.40
52.50,52.08,53.97,51.24
51.03,52.43,53.13,50.82
53.55,52.29,53.55,51.45
52.50,52.92,52.92,51.45
53.13,52.92,53.50,51.45
51.87,52.92,53.34,51.66
53.34,52.92,53.34,52.08
53.13,51.87,53.13,51.03
52.29,51.45,52.29,50.82
51.45,52.50,52.71,51.20
52.92,53.55,53.76,51.87
54.60,52.71,54.60,51.66
52.08,53.13,53.13,51.24
52.50,53.34,53.34,51.87
53.34,51.87,53.34,51.45
52.29,51.87,52.29,51.24
52.29,52.50,52.71,51.87
53.13,51.03,53.34,50.61
51.87,50.61,51.87,50.19
50.82,50.61,51.24,50.40
51.03,50.19,51.24,49.98
51.87,50.61,51.87,49.98
50.40,49.35,51.24,49.35
49.35,49.56,50.19,48.93
49.35,49.98,50.61,49.35
49.98,46.20,50.61,45.15
46.20,42.84,46.62,42.00
41.37,38.64,41.37,34.02
38.43,40.11,42.63,38.32
40.53,40.53,41.58,40.11
41.79,38.64,43.05,38.64
38.01,37.80,39.90,36.75
37.80,46.64,49.98,37.17
47.67,45.99,47.67,45.57
48.30,46.62,48.30,46.20
58.80,54.18,66.78,53.13
57.33,51.66,57.33,50.19
50.82,49.14,51.66,48.26
48.93,48.51,50.41,48.09
49.56,45.15,49.56,45.15
44.31,44.10,48.30,44.10
44.52,43.68,46.41,43.47
43.68,41.58,44.10,41.37
42.00,42.63,44.10,41.79
43.68,44.10,45.78,42.63
44.31,42.63,45.36,42.63
43.05,42.00,43.89,40.95
42.00,41.16,42.00,39.90
37.80,36.75,37.80,32.55
36.75,35.28,36.75,34.23
33.81,34.86,36.32,33.60
34.86,35.70,36.12,34.44
36.54,37.17,38.85,36.12
37.59,37.17,38.43,37.17
36.96,38.64,40.11,36.54
39.27,36.75,39.48,36.54
36.75,35.28,37.59,34.44
35.70,34.65,35.70,33.60
35.07,35.28,35.70,33.81
35.70,34.86,36.33,34.86
34.86,34.65,35.49,33.81
34.65,34.02,34.86,33.81
34.44,32.55,34.86,31.92
32.13,34.02,34.44,32.13
33.60,33.39,34.02,33.18
32.97,32.55,34.23,32.13
31.92,33.39,34.02,31.92
33.60,33.81,35.09,33.60
35.49,35.70,35.91,34.02
36.54,38.22,40.32,36.12
39.06,33.81,39.06,31.92
33.60,31.92,33.60,31.92
32.55,30.66,33.18,29.61
30.45,29.61,31.50,27.51
28.35,28.77,30.45,26.67
28.35,27.72,29.19,25.41
28.56,27.30,28.56,25.83
28.35,28.77,28.98,27.30
28.35,29.82,30.66,28.14
30.45,30.87,31.29,29.82
30.45,29.40,30.45,28.98
28.77,27.30,28.98,27.09
25.83,26.88,27.72,25.83
26.67,26.46,27.30,26.25
26.67,25.62,27.28,25.20
25.20,25.62,27.09,25.20
