CRIS,Curis,NASDAQ
3.25,3.35,3.38,3.22
3.39,3.60,3.66,3.30
3.52,3.53,3.64,3.52
3.59,3.50,3.70,3.48
3.50,3.61,3.63,3.46
3.66,3.51,3.67,3.50
3.49,3.25,3.56,3.21
3.25,3.33,3.43,3.25
3.39,3.38,3.40,3.21
3.42,3.22,3.42,3.18
3.22,3.32,3.32,3.11
3.29,3.15,3.30,3.10
3.17,2.96,3.18,2.96
2.52,2.37,2.55,2.22
2.46,2.44,2.52,2.38
2.49,2.32,2.53,2.30
2.32,2.34,2.37,2.31
2.34,2.39,2.41,2.30
2.41,2.06,2.43,2.05
2.11,2.20,2.23,2.11
2.27,2.27,2.34,2.18
2.27,2.27,2.39,2.23
2.23,2.20,2.28,2.20
2.19,2.25,2.28,2.15
2.26,2.34,2.41,2.26
2.37,2.29,2.44,2.25
2.16,2.28,2.31,2.15
2.28,2.31,2.36,2.23
2.33,2.51,2.54,2.32
2.52,2.51,2.54,2.45
2.52,2.53,2.54,2.50
2.53,2.53,2.62,2.49
2.54,2.55,2.59,2.52
2.55,2.52,2.57,2.50
2.52,2.50,2.53,2.46
2.55,2.55,2.61,2.50
2.53,2.71,2.85,2.52
2.71,2.86,2.86,2.67
2.91,2.95,2.99,2.81
2.98,3.07,3.15,2.91
3.14,3.21,3.43,3.10
3.25,3.15,3.26,3.12
3.20,3.17,3.20,3.06
3.18,3.14,3.20,3.11
3.13,3.17,3.18,3.04
3.17,3.16,3.22,3.15
3.11,3.25,3.32,3.10
3.30,3.18,3.31,3.16
3.19,3.20,3.20,3.10
3.21,3.18,3.23,3.11
3.19,3.24,3.25,3.17
3.25,3.24,3.25,3.16
3.25,3.15,3.27,3.10
3.13,3.20,3.25,3.12
3.21,3.19,3.25,3.16
3.17,3.19,3.22,3.17
3.23,3.12,3.23,3.11
3.11,3.05,3.13,2.90
3.06,3.08,3.10,3.01
3.08,3.03,3.10,2.99
3.02,3.07,3.09,2.98
N/A,N/A,N/A,N/A
3.06,3.23,3.23,3.04
3.20,3.20,3.26,3.11
3.18,3.16,3.25,3.15
3.14,3.22,3.27,3.10
3.19,3.15,3.26,3.07
3.14,3.22,3.45,3.09
3.22,3.33,3.36,3.16
3.40,3.45,3.58,3.38
3.41,3.40,3.44,3.32
3.40,3.32,3.42,3.28
3.30,3.26,3.38,3.21
3.30,3.30,3.34,3.26
3.32,3.28,3.33,3.22
3.31,3.42,3.42,3.23
3.42,3.38,3.42,3.31
3.39,3.34,3.42,3.32
3.32,3.26,3.42,3.23
3.29,3.24,3.31,3.23
3.25,3.34,3.35,3.25
3.33,3.30,3.39,3.30
3.30,3.27,3.40,3.23
3.23,3.17,3.27,3.12
3.15,3.12,3.18,3.00
3.15,3.01,3.18,2.91
3.03,2.91,3.14,2.89
2.99,3.16,3.23,2.98
3.15,3.23,3.28,3.11
3.23,3.31,3.40,3.23
3.31,3.38,3.39,3.28
3.35,3.29,3.38,3.24
3.29,3.46,3.49,3.28
3.48,3.37,3.48,3.36
3.38,3.36,3.46,3.30
3.30,3.26,3.37,3.20
3.19,3.28,3.37,3.15
3.29,3.14,3.30,3.14
2.99,3.12,3.12,2.91
3.14,2.99,3.20,2.99
3.11,3.18,3.19,3.05
3.17,3.15,3.23,3.08
3.13,3.05,3.19,3.05
3.10,3.25,3.25,3.10
3.25,3.33,3.35,3.24
3.21,3.11,3.32,3.11
3.18,2.95,3.24,2.95
2.98,2.83,3.04,2.75
2.88,2.78,2.99,2.76
2.85,3.05,3.07,2.85
3.00,3.20,3.21,2.95
3.25,3.11,3.30,3.09
3.16,3.26,3.28,3.08
2.33,1.69,2.33,1.66
1.79,1.70,1.89,1.70
1.75,1.82,1.82,1.70
1.87,1.76,1.87,1.73
1.77,1.57,1.81,1.57
1.57,1.57,1.61,1.51
1.55,1.59,1.63,1.55
1.63,1.59,1.63,1.51
1.58,1.56,1.59,1.55
1.53,1.48,1.54,1.48
1.49,1.39,1.49,1.38
1.38,1.30,1.38,1.29
1.36,1.45,1.50,1.31
1.49,1.45,1.62,1.41
1.47,1.40,1.48,1.32
1.50,1.48,1.55,1.44
1.51,1.51,1.52,1.47
1.51,1.46,1.51,1.45
1.50,1.53,1.55,1.46
1.51,1.50,1.57,1.49
1.50,1.50,1.52,1.49
1.48,1.47,1.60,1.46
1.48,1.50,1.52,1.46
1.47,1.49,1.55,1.45
1.51,1.50,1.54,1.47
1.53,1.55,1.56,1.50
1.54,1.62,1.65,1.54
1.66,1.80,1.84,1.66
1.82,1.74,1.85,1.72
1.73,1.68,1.74,1.68
1.70,1.61,1.72,1.61
1.59,1.72,1.74,1.57
1.77,1.77,1.80,1.74
1.76,1.77,1.80,1.65
1.78,1.80,1.80,1.74
1.77,1.82,1.85,1.76
1.77,1.74,1.87,1.73
1.65,1.52,1.65,1.45
1.50,1.53,1.62,1.47
1.48,1.41,1.57,1.40
1.37,1.39,1.40,1.33
1.39,1.41,1.45,1.39
1.41,1.42,1.43,1.37
1.44,1.42,1.44,1.39
1.41,1.40,1.41,1.34
1.40,1.35,1.40,1.35
1.35,1.36,1.40,1.34
1.38,1.33,1.40,1.32
1.31,1.29,1.34,1.28
1.27,1.27,1.40,1.25
1.27,1.23,1.30,1.21
1.24,1.26,1.27,1.21
1.24,1.24,1.26,1.22
1.24,1.23,1.27,1.23
1.26,1.27,1.27,1.24
1.26,1.28,1.29,1.25
1.30,1.31,1.31,1.26
1.31,1.27,1.35,1.26
1.27,1.32,1.32,1.26
1.35,1.34,1.36,1.31
1.35,1.35,1.36,1.34
1.35,1.35,1.36,1.31
1.35,1.30,1.35,1.28
1.29,1.28,1.32,1.26
1.28,1.26,1.30,1.26
1.30,1.26,1.30,1.25
1.26,1.29,1.30,1.25
1.29,1.28,1.29,1.22
1.27,1.35,1.36,1.26
1.34,1.34,1.41,1.31
1.37,1.36,1.37,1.29
1.37,1.35,1.39,1.32
1.36,1.36,1.40,1.34
1.35,1.36,1.38,1.33
1.38,1.37,1.38,1.34
1.39,1.36,1.39,1.35
1.36,1.36,1.36,1.33
1.37,1.41,1.45,1.34
1.42,1.41,1.44,1.39
1.43,1.35,1.43,1.28
1.35,1.40,1.40,1.31
1.40,1.38,1.40,1.34
1.37,1.43,1.44,1.36
1.43,1.47,1.51,1.41
1.48,1.43,1.48,1.42
1.48,1.42,1.48,1.38
1.42,1.42,1.48,1.41
1.41,1.44,1.45,1.41
1.46,1.46,1.48,1.40
1.46,1.44,1.48,1.44
1.44,1.45,1.45,1.41
1.47,1.41,1.53,1.38
1.39,1.42,1.42,1.39
1.41,1.40,1.43,1.39
1.45,1.40,1.45,1.39
1.39,1.40,1.44,1.39
1.41,1.41,1.45,1.40
1.43,1.45,1.45,1.41
1.45,1.50,1.50,1.41
1.51,1.70,1.70,1.48
1.69,1.67,1.74,1.59
1.66,1.62,1.66,1.60
1.62,1.58,1.64,1.57
1.59,1.61,1.62,1.53
1.59,1.60,1.61,1.54
1.58,1.60,1.61,1.56
1.62,1.60,1.63,1.59
1.59,1.56,1.59,1.53
1.57,1.60,1.61,1.53
1.61,1.61,1.61,1.58
1.61,1.59,1.61,1.55
1.59,1.55,1.59,1.55
1.54,1.50,1.54,1.48
1.52,1.61,1.61,1.52
1.60,1.60,1.62,1.59
1.59,1.64,1.64,1.51
1.61,1.68,1.71,1.61
1.73,1.72,1.73,1.68
1.73,1.70,1.73,1.64
1.68,1.68,1.68,1.63
1.67,1.65,1.67,1.63
1.69,1.74,1.74,1.63
1.74,1.89,1.97,1.72
1.89,1.88,1.93,1.77
1.90,1.89,1.90,1.81
1.89,1.76,1.90,1.75
1.78,1.86,1.89,1.72
1.86,1.86,1.90,1.81
1.85,1.92,1.92,1.81
1.92,2.05,2.07,1.91
2.04,1.99,2.04,1.98
2.01,2.00,2.03,1.99
2.00,1.92,2.01,1.90
1.92,1.94,1.95,1.92
1.88,1.98,1.99,1.86
1.99,2.02,2.04,1.90
2.04,2.04,2.14,2.01
2.03,2.02,2.07,2.02
2.02,1.98,2.05,1.96
2.00,2.03,2.05,1.98
2.05,2.04,2.06,1.97
2.05,2.09,2.09,2.00
2.08,2.18,2.18,2.08
2.16,2.15,2.23,2.11
2.20,2.16,2.22,2.14
2.17,2.28,2.28,2.16
2.29,2.80,2.80,2.29
2.94,2.97,3.15,2.88
3.05,3.24,3.25,2.98
3.30,3.12,3.34,3.00
3.10,2.78,3.10,2.60
2.78,2.83,2.93,2.71
2.88,2.79,2.94,2.77
2.80,2.95,2.98,2.77
2.92,2.91,2.93,2.85
2.93,2.96,2.98,2.91
3.00,3.01,3.07,2.97
3.00,2.86,3.01,2.85
2.83,2.77,2.85,2.75
2.80,2.87,2.90,2.77
2.85,2.80,2.89,2.78
2.82,2.99,3.05,2.78
3.01,2.92,3.07,2.90
2.94,2.99,3.03,2.93
3.01,3.06,3.14,2.97
3.15,3.04,3.20,3.01
3.02,2.98,3.05,2.96
2.98,2.98,3.00,2.92
2.99,2.99,3.03,2.93
2.99,2.78,2.99,2.77
2.81,2.89,2.90,2.79
2.90,2.88,2.91,2.80
3.00,2.94,3.05,2.91
2.97,2.81,2.97,2.81
2.82,2.83,2.91,2.82
2.85,2.82,2.90,2.82
2.84,3.00,3.04,2.82
3.00,3.11,3.25,2.95
3.12,2.93,3.15,2.93
2.94,2.96,3.01,2.87
3.00,3.00,3.03,2.97
3.02,2.99,3.03,2.94
3.02,2.90,3.03,2.87
2.90,2.98,3.02,2.87
2.97,2.97,3.02,2.92
2.92,2.89,2.97,2.89
2.88,2.94,2.97,2.88
2.91,2.89,2.96,2.88
2.87,2.88,2.91,2.82
2.86,2.82,2.92,2.82
2.88,2.78,2.93,2.78
2.82,2.93,2.93,2.78
3.30,3.25,3.63,3.21
3.28,3.05,3.34,3.04
3.05,3.07,3.08,2.98
3.10,3.23,3.27,3.09
3.23,3.28,3.31,3.20
3.28,3.21,3.35,3.21
3.22,3.28,3.34,3.16
3.29,3.28,3.35,3.25
3.25,3.25,3.31,3.12
3.37,3.35,3.37,3.23
3.35,3.43,3.45,3.30
3.41,3.69,3.73,3.31
3.75,4.22,4.29,3.75
4.27,4.07,4.35,3.99
4.20,4.05,4.25,3.91
4.03,3.93,4.11,3.91
3.90,3.85,3.91,3.75
3.92,3.80,4.06,3.78
3.78,3.87,3.91,3.76
3.86,3.98,4.04,3.85
3.90,3.99,4.04,3.85
4.03,4.08,4.20,3.94
4.15,4.01,4.15,3.99
4.08,4.06,4.08,3.90
4.08,4.05,4.13,4.00
4.07,4.35,4.36,3.99
4.35,4.33,4.39,4.20
4.20,4.39,4.42,4.05
4.26,4.16,4.28,4.07
4.16,3.85,4.16,3.82
3.80,3.71,3.83,3.64
3.72,3.67,3.80,3.65
3.66,3.65,3.74,3.60
3.75,3.68,3.90,3.64
3.65,3.77,3.81,3.65
3.78,3.76,3.79,3.70
3.75,3.67,3.79,3.63
3.73,3.87,3.98,3.68
3.89,3.71,3.89,3.68
3.65,3.56,3.73,3.56
3.52,3.57,3.67,3.46
3.60,3.67,3.72,3.56
3.72,3.61,3.77,3.58
3.58,3.62,3.65,3.53
3.52,3.46,3.55,3.33
3.48,3.52,3.55,3.40
3.52,3.60,3.61,3.45
3.60,3.61,3.61,3.53
3.62,3.55,3.62,3.53
3.60,3.76,3.77,3.53
3.70,3.56,3.76,3.56
3.57,3.52,3.61,3.50
3.50,3.58,3.71,3.48
3.63,3.54,3.69,3.51
3.59,3.62,3.64,3.51
3.60,3.55,3.62,3.53
3.57,3.56,3.63,3.52
3.51,3.31,3.53,3.30
3.33,3.00,3.33,3.00
3.09,3.26,3.29,3.04
3.20,3.05,3.28,3.01
3.05,3.13,3.24,3.05
3.18,3.21,3.24,3.05
3.32,3.32,3.35,3.15
3.31,3.40,3.45,3.25
3.36,3.29,3.39,3.25
3.22,3.32,3.33,3.05
3.33,3.58,3.59,3.29
3.55,3.59,3.67,3.44
3.62,3.56,3.62,3.47
3.59,3.49,3.59,3.46
3.51,3.58,3.58,3.48
3.56,3.62,3.64,3.51
3.62,3.59,3.65,3.54
3.58,3.61,3.66,3.55
3.66,3.70,3.72,3.61
3.84,3.99,4.03,3.74
3.90,3.85,4.02,3.85
3.83,3.82,3.92,3.72
3.85,3.85,4.00,3.73
3.88,3.98,3.99,3.83
3.99,3.99,4.03,3.87
3.91,3.84,3.93,3.76
3.86,4.00,4.01,3.78
3.98,3.93,4.00,3.90
3.97,3.98,3.99,3.92
3.99,4.23,4.30,3.95
4.16,3.99,4.16,3.89
3.99,3.91,4.00,3.91
3.91,3.71,3.92,3.67
3.57,3.57,3.73,3.50
3.48,3.49,3.60,3.21
3.59,3.53,3.71,3.45
3.50,3.31,3.40,3.15
3.30,3.40,3.40,3.15
3.31,3.08,3.51,3.08
3.13,3.04,3.27,2.96
2.81,2.75,2.98,2.74
2.86,3.28,3.28,2.80
3.21,2.99,3.23,2.98
3.01,3.13,3.22,2.98
3.17,3.08,3.18,3.05
3.14,3.31,3.33,3.13
3.24,3.08,3.25,3.06
3.11,3.04,3.21,2.98
2.92,2.84,2.99,2.84
2.80,2.80,3.04,2.70
2.89,2.86,3.01,2.85
2.89,3.00,3.01,2.85
2.99,3.02,3.05,2.87
3.07,2.90,3.10,2.89
2.87,3.00,3.01,2.81
3.05,3.24,3.24,3.00
3.20,3.18,3.25,3.08
3.21,3.20,3.40,3.14
3.23,3.01,3.27,2.99
2.90,2.88,3.02,2.85
2.78,3.04,3.06,2.77
3.14,3.19,3.19,3.10
3.15,3.01,3.21,3.00
2.96,2.91,3.02,2.90
2.94,3.09,3.16,2.91
3.12,3.26,3.26,3.10
3.28,3.36,3.40,3.16
3.40,3.25,3.42,3.17
3.30,3.27,3.30,3.13
3.17,3.18,3.30,3.14
3.19,3.13,3.28,3.13
3.13,3.00,3.24,3.00
2.90,3.04,3.26,2.90
3.07,3.08,3.13,2.98
3.22,3.16,3.23,3.05
3.24,3.30,3.35,3.16
3.29,3.05,3.32,3.05
3.19,3.18,3.19,3.00
3.09,3.16,3.24,3.05
3.10,2.89,3.16,2.89
2.87,3.19,3.20,2.87
3.20,3.26,3.28,3.11
3.29,3.24,3.29,3.17
3.26,3.07,3.26,3.04
3.15,3.30,3.30,3.06
3.30,3.28,3.43,3.20
3.31,3.33,3.37,3.21
3.29,3.33,3.35,3.09
3.39,3.45,3.45,3.26
3.41,3.25,3.44,3.23
3.30,3.56,3.56,3.26
3.55,3.38,3.58,3.37
3.42,3.38,3.48,3.26
3.47,3.50,3.56,3.43
3.51,3.68,3.70,3.50
3.68,3.45,3.68,3.42
3.57,3.65,3.69,3.43
3.74,3.77,3.79,3.54
3.79,3.69,3.79,3.61
3.59,3.68,3.76,3.57
3.50,3.44,3.65,3.40
3.55,3.60,3.64,3.45
3.65,3.73,3.75,3.52
3.66,3.71,3.75,3.64
3.69,3.60,3.75,3.50
3.65,3.76,3.79,3.56
3.79,3.82,3.93,3.72
3.92,3.76,3.92,3.68
3.84,3.82,3.85,3.78
3.81,3.73,3.83,3.67
3.70,3.79,3.80,3.69
3.72,3.66,3.78,3.65
3.65,3.56,3.73,3.55
3.57,3.51,3.64,3.50
3.47,3.35,3.47,3.22
3.35,3.32,3.47,3.31
3.29,3.16,3.30,3.16
3.14,3.08,3.20,3.08
3.26,3.29,3.34,3.16
3.29,3.22,3.30,3.15
3.40,3.61,3.64,3.37
3.60,3.68,3.70,3.39
3.70,3.65,3.70,3.61
3.75,3.68,3.75,3.61
3.66,3.69,3.71,3.56
3.66,3.69,3.70,3.55
3.64,3.56,3.68,3.56
3.60,3.78,3.80,3.50
3.74,3.90,3.90,3.68
3.90,3.97,4.00,3.84
3.90,4.00,4.00,3.87
4.02,4.00,4.02,3.96
4.00,4.08,4.15,3.99
4.13,3.92,4.13,3.90
4.04,4.09,4.11,3.95
4.09,4.34,4.39,4.02
4.45,4.43,4.49,4.30
4.45,4.50,4.50,4.40
4.46,4.65,4.66,4.40
4.69,4.56,4.69,4.51
4.57,4.67,4.68,4.50
4.71,4.68,4.72,4.61
4.79,4.55,4.80,4.36
4.52,4.51,4.59,4.46
4.50,4.52,4.55,4.40
4.55,4.46,4.57,4.45
4.40,4.43,4.47,4.32
4.50,4.47,4.50,4.39
4.45,4.55,4.56,4.38
4.55,4.55,4.61,4.44
4.50,4.52,4.56,4.46
4.57,4.52,4.60,4.45
4.52,4.68,4.68,4.44
4.68,4.78,4.78,4.64
4.75,4.74,4.80,4.68
4.75,4.70,4.80,4.66
4.67,4.86,4.88,4.64
4.88,5.00,5.06,4.78
5.08,5.12,5.15,4.95
5.11,5.18,5.18,5.03
5.14,4.75,5.65,4.62
4.95,4.95,5.09,4.80
5.09,4.99,5.10,4.90
5.00,4.98,5.05,4.95
5.04,5.01,5.05,4.81
4.99,5.15,5.22,4.98
5.27,5.47,5.50,5.21
5.58,5.10,5.60,5.03
5.15,4.98,5.22,4.95
4.96,4.77,4.97,4.70
4.85,4.69,4.85,4.58
4.70,4.79,4.80,4.65
4.80,4.89,4.99,4.77
4.89,4.79,4.96,4.75
4.81,4.61,4.81,4.53
4.60,4.51,4.65,4.45
4.49,4.50,4.62,4.40
4.50,4.58,4.58,4.41
4.56,4.50,4.57,4.43
4.48,4.59,4.64,4.45
4.60,4.62,4.82,4.55
4.63,4.51,4.69,4.50
4.54,4.53,4.62,4.49
4.53,4.41,4.60,4.41
4.40,4.40,4.47,4.25
4.34,4.24,4.35,4.20
4.24,4.51,4.52,4.24
4.54,4.52,4.60,4.43
4.50,4.60,4.70,4.45
4.59,4.51,4.60,4.46
4.62,4.63,4.73,4.56
4.65,4.56,4.65,4.49
4.54,4.63,4.63,4.51
4.62,4.58,4.62,4.53
4.58,4.56,4.62,4.50
4.51,4.41,4.57,4.38
4.44,4.55,4.74,4.42
4.53,4.57,4.62,4.50
4.60,4.52,4.60,4.47
4.64,4.61,4.68,4.55
4.63,4.91,5.01,4.60
4.90,5.03,5.07,4.81
5.00,4.98,5.09,4.88
5.04,4.82,5.04,4.82
4.80,4.85,4.93,4.73
4.86,4.86,4.93,4.80
4.84,4.72,4.86,4.72
4.70,4.75,4.82,4.67
4.95,4.79,4.95,4.74
4.80,4.44,4.83,4.44
4.52,4.58,4.64,4.47
4.52,4.65,4.69,4.52
4.66,4.50,4.73,4.50
4.56,4.84,4.88,4.48
4.90,4.86,4.93,4.77
4.84,4.96,5.05,4.83
4.96,4.83,5.05,4.80
4.92,4.93,5.02,4.85
4.89,4.80,4.89,4.74
4.77,4.77,4.86,4.73
4.82,4.92,4.93,4.82
4.91,4.87,4.92,4.82
4.88,4.98,5.00,4.77
4.96,4.79,4.96,4.78
4.77,4.66,4.89,4.65
4.70,4.85,4.86,4.70
4.83,4.71,4.83,4.70
4.67,4.63,4.74,4.51
4.62,4.75,4.82,4.59
4.71,4.78,4.83,4.59
4.74,4.80,4.85,4.70
4.84,4.89,4.95,4.77
4.84,4.94,4.97,4.81
4.87,4.95,4.99,4.82
4.94,4.82,4.99,4.75
4.83,4.84,4.92,4.80
4.87,4.67,4.87,4.67
4.66,4.47,4.67,4.40
4.47,4.77,4.78,4.45
4.76,4.60,4.80,4.55
4.53,4.58,4.60,4.44
4.60,4.66,4.66,4.48
4.67,4.60,4.67,4.54
4.77,4.77,4.80,4.69
4.72,4.74,4.75,4.60
4.74,4.68,4.75,4.57
4.55,4.50,4.68,4.40
4.51,4.67,4.68,4.48
4.63,4.77,4.80,4.61
4.80,4.80,4.86,4.76
4.89,4.66,4.90,4.65
4.63,4.82,4.85,4.56
4.85,4.58,4.85,4.58
4.63,4.65,4.72,4.55
4.62,4.60,4.74,4.55
4.59,4.70,4.72,4.55
4.68,4.75,4.76,4.66
4.71,4.76,4.79,4.68
4.76,4.82,4.83,4.69
4.88,4.91,4.93,4.83
4.88,4.94,4.95,4.86
4.95,5.13,5.14,4.86
5.06,5.21,5.29,4.96
5.24,5.22,5.25,5.15
5.24,5.38,5.38,5.24
5.35,5.39,5.44,5.22
5.49,5.40,5.49,5.34
5.36,5.50,5.50,5.35
5.48,5.35,5.51,5.31
5.31,5.43,5.48,5.30
5.34,5.39,5.47,5.28
5.40,5.40,5.44,5.35
5.43,5.23,5.43,5.22
5.23,5.23,5.25,5.02
5.19,5.29,5.32,5.15
5.28,5.29,5.37,5.22
5.25,5.22,5.32,5.20
5.25,5.21,5.29,5.15
5.22,5.35,5.41,5.21
5.35,5.26,5.35,5.24
5.19,5.19,5.25,5.15
5.12,5.11,5.22,5.00
5.15,4.87,5.15,4.80
